UniProt,median.K
A2A5R2,0.145666667
A2A8U2,0.0925
A2A8Z1,0.686
A2AAJ9,0.0877
A2ADY9,0.1795
A2AGT5,1.024333333
A2AIL4,0.0655
A2AJI0,0.284
A2AMM0,0.05955
A2AN08,0.3223125
A2APV2,0.162666667
A2APY7,0.072
A2AQ25,0.285555556
A2ARP1,0.267
A2ASQ1,0.0868
A2ASS6,0.0598
A2AUC9,0.15035
A2AWP8,0.1945
A2BDX3,0.1385
A3KFX0,0.226
A3KG59,0.1696
A3KGS3,1.924
A3KMP2,0.0962
A6H584,1.706
A6H611,0.1849
A6H6A9,0.223666667
A6H6E2,0.6747
A6H8H2,0.7694375
A6X8Z5,1.395
A6X935,2.8431
B1AR13,0.181285714
B1AUE5,0.202
B1AY13,0.2241
B2RQC6,0.1105
B2RRE7,0.2735
B2RXC1,1.253
B2RXR6,0.1925
B2RXS4,0.19975
B7ZMP1,0.1025
D3Z7P3,0.187875
E9Q401,0.13435
E9Q557,0.20685
E9Q8I9,0.375375
F6ZDS4,0.38825
G5E8K5,0.2402
O08528,0.13615
O08529,0.10655
O08532,0.3698125
O08547,0.138
O08553,0.1017
O08579,0.2443
O08582,0.105
O08583,0.075666667
O08599,0.14475
O08600,0.1632
O08638,0.09675
O08663,0.152
O08677,0.601833333
O08709,0.08415
O08715,0.28045
O08739,0.0794
O08749,0.03515
O08756,0.0331
O08759,0.78525
O08788,0.2906
O08795,0.1923
O08807,0.896
O08808,0.26475
O08810,0.268785714
O08848,0.180333333
O08911,0.134666667
O08915,0.367555556
O08917,0.166357143
O08992,0.115333333
O08997,0.09485
O09061,0.693
O09117,1.817
O09131,0.08165
O09161,0.0457
O09164,0.3019
O09174,0.06475
O35071,0.535333333
O35074,0.4055
O35075,0.144
O35099,0.153
O35114,0.4938
O35127,1.2456
O35129,0.027
O35143,0.1765
O35206,0.102777778
O35226,0.30575
O35286,0.436833333
O35295,0.078333333
O35309,0.2265
O35326,0.484
O35343,0.496714286
O35344,0.142
O35350,0.102
O35381,0.0976
O35382,0.225333333
O35387,0.201125
O35435,0.045
O35459,0.17745
O35465,0.1388
O35566,0.2498
O35593,0.1332
O35598,0.102
O35604,0.10475
O35639,0.091777778
O35643,0.157611111
O35658,0.043
O35678,0.1338
O35682,0.0782
O35685,0.263
O35737,0.137
O35841,0.213666667
O35855,0.0294
O35857,0.083
O35864,0.117666667
O35887,0.6781
O35943,0.0377
O35955,0.111875
O35972,0.06505
O54724,0.05675
O54734,0.199
O54754,0.72
O54774,0.3006
O54784,0.793
O54931,0.323
O54946,0.13635
O54950,0.8053125
O54962,0.114166667
O54984,0.194375
O54988,0.505
O55023,0.065214286
O55028,0.13
O55060,0.114833333
O55111,0.06435
O55126,0.0373
O55131,0.1441
O55135,0.3225625
O55137,0.056
O55143,0.11175
O55222,0.08035
O55229,0.1335
O55234,0.09255
O70133,0.47765
O70194,0.64525
O70209,0.17925
O70228,0.055
O70250,0.0656
O70251,0.1365
O70252,0.157
O70305,0.326357143
O70310,0.15275
O70318,0.15975
O70373,0.288888889
O70378,0.099
O70400,0.170444444
O70404,0.570666667
O70423,0.0575
O70433,0.0951
O70435,0.10715
O70439,0.22175
O70468,0.0814
O70493,0.276
O70548,0.61325
O70579,0.221
O70622,0.0669
O88322,0.05025
O88342,0.0927
O88351,0.153
O88428,0.173
O88441,0.0487
O88447,0.195
O88456,0.2682
O88487,0.167
O88492,0.14915
O88531,0.15195
O88532,0.2405
O88543,0.1238
O88544,0.116642857
O88545,0.18925
O88569,0.1154
O88587,0.2155
O88630,0.6524
O88653,0.3111
O88667,0.551
O88685,0.18045
O88696,0.1006
O88738,0.280666667
O88746,0.1885
O88844,0.0716
O88851,0.0807
O88947,0.214
O88958,0.087
O88967,0.42395
O88983,0.409666667
O89020,0.35005
O89023,0.07
O89051,0.682
O89079,0.313888889
O89084,0.411428571
O89103,0.2972
O89112,0.102928571
O89114,1.8666
P00329,0.123
P00397,0.0733
P00405,0.151
P00416,0.045
P00493,0.0881
P00848,0.024
P00920,0.023
P01027,1.49945
P01029,0.477928571
P01831,0.0992
P01872,0.59405
P01898,0.3666875
P01942,0.02955
P02088,0.02445
P02089,0.0215
P02468,0.0344
P02469,0.044
P03893,0.037
P03911,0.03725
P03921,0.03755
P04117,0.08235
P04186,1.60705
P04247,0.05585
P04919,0.05
P05064,0.12155
P05125,0.151625
P05132,0.20875
P05201,0.06445
P05202,0.03345
P05977,0.262375
P06151,0.09785
P06683,0.13
P06728,0.397
P06745,0.0615
P06801,0.10445
P06909,1.61425
P07091,0.167
P07310,0.0625
P07356,0.07045
P07724,0.27975
P07742,0.095
P07759,1.185
P07901,0.1335
P07934,0.27725
P08003,0.12125
P08030,0.032
P08032,0.1475
P08113,0.2464
P08122,0.636
P08226,3.628
P08228,0.06165
P08249,0.03095
P08551,0.2335
P08553,0.054
P08607,0.405
P08752,0.1424
P09055,0.19875
P09103,0.20805
P09242,0.114333333
P09405,0.201285714
P09411,0.05895
P09470,0.97
P09528,0.27475
P09541,0.1071
P09542,0.07075
P09671,0.03195
P09813,0.894833333
P09925,0.077
P0C605,0.237
P0CG14,0.1725
P10107,0.26225
P10126,0.1358
P10493,0.0516
P10518,0.10625
P10605,0.2855
P10630,0.2451
P10637,0.09885
P10639,0.1025
P10649,0.0963
P10711,0.422
P10833,0.20355
P10922,0.061
P11087,0.11
P11103,0.46675
P11152,1.948666667
P11247,0.256
P11276,0.6498
P11352,0.109
P11404,0.0595
P11438,0.24645
P11499,0.17345
P11531,0.06435
P11930,0.369
P11983,0.15145
P12242,0.727642857
P12246,2.229083333
P12367,0.0707
P12382,0.14275
P12787,0.04085
P12815,0.139
P12849,0.113
P12970,0.08975
P13020,0.4191
P13707,0.1038
P14094,0.0497
P14115,0.07815
P14131,0.08075
P14142,0.1983
P14148,0.08815
P14152,0.0601
P14206,0.06
P14211,0.28025
P14576,0.407
P14602,0.1315
P14685,0.16355
P14733,0.021
P14824,0.08835
P14869,0.11525
P14873,0.306
P15092,0.406
P15105,1.174
P15116,0.08495
P15327,0.05575
P15331,0.865857143
P15508,0.1066
P15532,0.063
P15626,0.10105
P16015,0.128
P16045,0.0805
P16125,0.0986
P16332,0.1057
P16460,0.177666667
P16546,0.0577
P16675,0.547666667
P16858,0.07595
P17047,0.209
P17156,0.110333333
P17182,0.04545
P17225,0.196333333
P17426,0.1584
P17427,0.14995
P17563,0.054666667
P17710,0.05045
P17742,0.0989
P17751,0.06795
P18052,0.23
P18242,0.293055556
P18572,0.1557
P18654,0.131166667
P18760,0.2268
P18826,0.178
P18872,0.595833333
P19001,0.179666667
P19096,0.32625
P19123,0.1012
P19157,0.392
P19221,1.046428571
P19253,0.412
P19258,0.1185
P19324,0.52205
P19536,0.0645
P19783,0.03745
P20029,0.1486
P20108,0.0336
P20152,0.10745
P20918,1.071166667
P21126,0.3443
P21279,0.113
P21300,0.072
P21447,0.23925
P21460,1.7012
P21550,0.0697
P21614,1.87555
P21619,0.217333333
P21956,0.748333333
P21981,0.08765
P22315,0.1406875
P22892,0.298
P22907,0.17275
P23116,0.25685
P23198,0.32475
P23242,0.0873
P23492,0.109428571
P23506,0.066
P23591,0.088
P23927,0.2163
P23953,0.54285
P24270,0.3163
P24369,0.1247
P24452,0.17
P24472,0.059
P24527,0.0722
