UniProt,median.K
A2AAJ9,0.085828
A2ADY9,0.184277
A2AGT5,0.735547
A2AIL4,0.066479
A2AMM0,0.0673035
A2AN08,0.104565
A2APY7,0.071851
A2AQ25,0.338086
A2ASQ1,0.063184
A2ASS6,0.059766
A2AUC9,0.172559
A3KG59,0.175
A3KGS3,31.3
A3KMP2,0.115552
A6H611,0.17085
A6H6A9,0.293164
A6H6E2,0.526563
A6H8H2,0.757031
B1AR13,0.210645
B1AY13,0.24043
D3Z7P3,0.201855
E9Q401,0.140332
E9Q557,0.222363
E9Q8I9,0.36543
G5E8K5,0.179639
O08528,0.144849
O08529,0.091504
O08532,0.093701
O08553,0.104932
O08579,0.212354
O08583,0.069043
O08600,0.102612
O08638,0.097974
O08677,0.468945
O08709,0.0800905
O08715,0.307202
O08749,0.0340695
O08756,0.033215
O08759,0.276074
O08788,0.1339235
O08795,0.203809
O08848,0.145459
O08911,0.133008
O08915,0.3231935
O08917,0.222363
O08997,0.1017575
O09131,0.081982
O09161,0.0462765
O09164,0.316602
O09174,0.056287
O35114,0.480664
O35127,1.491406
O35129,0.027448
O35206,0.10188
O35226,0.3264895
O35295,0.074902
O35343,0.228711
O35381,0.110913
O35382,0.290234
O35435,0.031445
O35459,0.1809815
O35465,0.143994
O35566,0.299023
O35593,0.131177
O35639,0.089368
O35643,0.148465
O35658,0.04353
O35678,0.151562
O35682,0.0876285
O35685,0.27168
O35841,0.149609
O35855,0.02995
O35864,0.114575
O35887,0.918164
O35943,0.0482605
O35955,0.116528
O35972,0.069196
O54724,0.058301
O54774,0.1851315
O54946,0.0962645
O54962,0.119824
O54984,0.214062
O55023,0.0665405
O55028,0.135083
O55060,0.077832
O55111,0.0694705
O55126,0.039746
O55131,0.148145
O55135,0.378125
O55137,0.052563
O55143,0.113721
O55222,0.0827145
O55229,0.131177
O55234,0.094556
O70133,0.406445
O70209,0.179639
O70250,0.067151
O70251,0.1375855
O70252,0.163525
O70305,0.258008
O70310,0.148389
O70318,0.186108
O70373,0.776563
O70400,0.176221
O70433,0.09657
O70435,0.101941
O70439,0.221387
O70468,0.08125
O70548,0.757031
O70622,0.062268
O88322,0.037854
O88342,0.0924805
O88441,0.067883
O88456,0.110303
O88487,0.175732
O88492,0.1463135
O88531,0.1312985
O88543,0.096143
O88544,0.137524
O88545,0.15376
O88569,0.1828735
O88587,0.17207
O88653,0.279492
O88667,0.58125
O88685,0.171826
O88696,0.109814
O88746,0.1479005
O88844,0.073315
O88851,0.102429
O88947,0.218457
O88967,0.33479
O89020,0.412305
O89079,0.244336
O89084,0.675
O89103,0.426953
O89112,0.10249
P00397,0.068005
P00848,0.022717
P00920,0.023969
P01027,1.600781
P01029,0.4347655
P01831,0.103223
P01872,0.591992
P01942,0.027875
P02088,0.0262875
P02089,0.0218015
P02468,0.031873
P02469,0.035016
P03893,0.03291
P03911,0.03877
P03921,0.040601
P04117,0.075879
P04186,1.565625
P04247,0.055646
P05064,0.128552
P05125,0.1521115
P05132,0.2169315
P05201,0.066846
P05202,0.0333675
P05977,0.256543
P06151,0.098523
P06745,0.074719
P06801,0.1026125
P06909,1.335156
P07310,0.063855
P07356,0.069165
P07724,0.309277
P07759,1.216016
P07901,0.139844
P07934,0.285352
P08113,0.247876
P08122,0.02998
P08228,0.060498
P08249,0.031781
P08752,0.1448485
P09055,0.182324
P09103,0.219922
P09405,0.345898
P09411,0.060803
P09470,0.136914
P09528,0.275586
P09541,0.1082885
P09542,0.071362
P09671,0.032849
P09813,1.005078
P10107,0.255078
P10126,0.124585
P10493,0.0485045
P10518,0.100293
P10605,0.186475
P10630,0.274365
P10637,0.094739
P10649,0.076245
P10833,0.091748
P11152,2.104688
P11276,0.8097655
P11404,0.056592
P11438,0.244824
P11499,0.180371
P11531,0.063031
P11983,0.1117065
P12242,0.216504
P12367,0.0752685
P12382,0.16438
P12787,0.03877
P12970,0.0825625
P13020,0.222119
P13707,0.101941
P14094,0.046094
P14115,0.0803955
P14131,0.078305
P14142,0.189282
P14148,0.086011
P14152,0.0630005
P14206,0.061719
P14211,0.1898925
P14602,0.145215
P14685,0.176221
P14824,0.09248
P14869,0.086377
P15105,1.39375
P15116,0.088391
P15327,0.035229
P15508,0.1102415
P15532,0.065076
P15626,0.0869875
P16045,0.0793885
P16125,0.097333
P16332,0.1080445
P16546,0.054028
P16858,0.076367
P17156,0.111523
P17182,0.048047
P17426,0.124951
P17427,0.173047
P17563,0.059338
P17710,0.05058
P17742,0.1100585
P17751,0.070172
P18242,0.29707
P18572,0.141675
P18654,0.152539
P18760,0.2106445
P19096,0.29707
P19123,0.1027955
P19157,0.387891
P19324,0.8
P19536,0.040234
P19783,0.036267
P20029,0.1563845
P20108,0.032117
P20152,0.084485
P20918,1.155469
P21126,0.339063
P21279,0.129102
