UniProt,median.K
A2AAJ9,0.0962645
A2AGT5,0.416211
A2AIL4,0.0600405
A2AJI0,0.57002
A2AMM0,0.072034
A2AN08,0.173657
A2APY7,0.059949
A2ASS6,0.069592
A2AUC9,0.2385985
A3KG59,0.140576
A3KGS3,7.3
A3KMP2,0.144177
A6H584,0.026746
A6H611,0.2885255
A6H630,0.099561
A6H6A9,0.335156
A6H6E2,0.555859
A6H8H2,0.411328
B1AR13,0.092847
B1AY13,0.204785
B2RU80,0.088086
B7ZMP1,0.084424
D3Z7P3,0.146558
E9Q401,0.15498
E9Q557,0.224805
G5E8K5,0.152417
O08528,0.178784
O08529,0.139478
O08532,0.132031
O08547,0.1461305
O08553,0.138989
O08582,0.188916
O08600,0.1582155
O08601,0.086865
O08638,0.123364
O08677,0.594922
O08709,0.084485
O08715,0.250195
O08749,0.03999
O08756,0.032239
O08759,0.2331055
O08788,0.152051
O08795,0.199902
O08808,0.364453
O08810,0.294141
O08848,0.364697
O08915,0.4904295
O08917,0.367383
O08997,0.111646
O09061,0.1278195
O09131,0.0852175
O09159,0.299512
O09161,0.0612305
O09164,0.451367
O09167,0.10127
O09174,0.070264
O35075,0.244336
O35127,2.198438
O35129,0.036816
O35143,0.065808
O35206,0.105054
O35286,0.36543
O35295,0.064877
O35343,0.204053
O35344,0.153027
O35345,0.575391
O35350,0.16377
O35381,0.160107
O35386,2.276563
O35435,0.073926
O35459,0.156201
O35465,0.318066
O35566,0.314648
O35593,0.166699
O35639,0.151868
O35643,0.201855
O35658,0.0622375
O35678,0.261426
O35682,0.151929
O35685,0.170361
O35855,0.049023
O35857,0.0942505
O35864,0.152539
O35887,0.346875
O35943,0.041028
O35955,0.078564
O35972,0.124463
O54724,0.070325
O54734,0.135937
O54774,0.2493405
O54901,0.348828
O54946,0.1704835
O54950,0.213574
O54962,0.168896
O54984,0.208691
O55023,0.093335
O55028,0.090039
O55042,0.054517
O55060,0.1743895
O55111,0.069653
O55126,0.042004
O55131,0.24165
O55135,0.735791
O55143,0.10896
O55222,0.095288
O55229,0.136914
O55234,0.140942
O70133,0.315869
O70172,0.188306
O70209,0.2459225
O70250,0.083691
O70251,0.1696285
O70252,5.753125
O70310,0.218701
O70373,0.6720705
O70400,0.203809
O70433,0.1065795
O70435,0.2223635
O70468,0.098157
O70475,1.026563
O70481,0.342969
O70492,0.432813
O70548,0.608594
O70571,1.5597655
O70572,0.063916
O70622,0.06001
O88322,0.050244
O88342,0.131604
O88441,0.05473
O88456,0.142651
O88487,0.17793
O88492,0.169873
O88531,0.164014
O88543,0.1601075
O88544,0.152295
O88545,0.102979
O88569,0.234692
O88587,0.221387
O88653,0.261426
O88667,0.506055
O88685,0.197705
O88696,0.0753905
O88712,0.29707
O88738,0.282422
O88746,0.230664
O88844,0.118115
O88967,0.324414
O88983,0.524609
O89020,0.455273
O89023,0.093701
O89079,0.460156
O89086,0.273633
O89103,0.680859
O89112,0.100415
O89114,0.678906
P00397,0.0664795
P00405,0.039319
P00493,0.135449
P00848,0.0343445
P00920,0.029675
P01027,1.589062
P01029,0.628613
P01831,0.160596
P01872,0.25874
P01898,1.012891
P01942,0.0341155
P02088,0.02821
P02089,0.0296445
P02463,0.090771
P02468,0.0487795
P02469,0.050977
P03893,0.049084
P03899,0.042126
P03911,0.048413
P03921,0.0502745
P04117,0.104687
P04186,1.573437
P04247,0.0565615
P04919,0.0346195
P05064,0.142407
P05125,0.568555
P05201,0.091992
P05202,0.036435
P05977,0.246289
P06151,0.12666
P06745,0.068616
P06801,0.132275
P06909,1.729687
P07310,0.074536
P07356,0.1170775
P07724,0.264355
P07759,0.712109
P07901,0.197461
P07934,0.230664
P08003,0.1635865
P08030,0.158032
P08032,0.125562
P08113,0.210889
P08122,0.0729185
P08226,1.714062
P08228,0.056409
P08249,0.0369385
P08752,0.216992
P09055,0.213574
P09103,0.2433595
P09405,0.24104
P09411,0.0843325
P09470,1.76875
P09528,0.296094
P09541,0.114941
P09542,0.062207
P09671,0.0330325
P09813,1.0285155
P09925,0.083813
P0C605,0.084668
P10107,0.3408935
P10126,0.2545895
P10493,0.0662355
P10605,0.325391
P10630,0.315137
P10637,0.114331
P10639,0.082593
P10833,0.148755
P10852,0.418164
P11103,0.449414
P11152,64.296094
P11276,0.598828
P11352,0.107007
P11404,0.040784
P11438,0.190137
P11499,0.181836
P11531,0.070203
P11983,0.240186
P12242,0.160352
P12246,0.34248
P12367,0.095166
P12382,0.182202
P12787,0.0427065
P12970,0.0971195
P13020,0.39375
P13634,0.025464
P13707,0.145703
P14094,0.097363
P14115,0.133679
P14131,0.095746
P14142,0.198926
P14148,0.100293
P14152,0.074536
P14206,0.103955
P14211,0.214795
P14602,0.250684
P14685,0.1674315
P14824,0.106519
P14869,0.114941
P15116,0.117505
P15327,0.043347
P15331,0.028271
P15508,0.1304445
P15532,0.750073
P15626,0.088574
P16015,0.172314
P16045,0.099805
P16125,0.094983
P16332,0.105176
P16546,0.08241
P16627,0.281445
P16675,1.414258
P16858,0.0972715
P17095,0.124707
P17182,0.075513
P17183,0.183301
P17225,0.228589
P17427,0.170117
P17563,0.050549
P17665,0.041882
P17710,0.075208
P17742,0.1513795
P17751,0.0789915
P18242,0.2562985
P18572,0.171521
P18760,0.342969
P18826,0.166699
P18872,0.236035
P19096,0.323438
P19123,0.115796
P19221,0.745313
P19324,0.367383
P19536,0.0988895
P19783,0.045514
P20029,0.169385
P20108,0.036618
P20152,0.132642
P20918,1.4875
P21107,0.203687
P21126,0.425
P21278,0.196973
P21279,0.183789
P21300,0.065869
P21460,1.01875
P21550,0.087476
P21614,2.1964845
P21844,0.051038
P21981,0.148877
P22315,0.10542
P22892,0.124219
P22907,0.112256
P23116,0.281079
P23242,0.138135
P23492,0.152478
P23506,0.0825925
P23591,0.1530885
P23927,0.204785
P23953,0.3722655
P24270,0.299023
P24369,0.166211
P24452,0.2589845
P24472,0.080518
P24527,0.081616
P24547,63.787793
P24549,0.121777
P25444,0.1048705
P26039,0.231641
P26041,0.215527
P26043,0.211255
P26231,0.433301
P26262,0.652539
P26443,0.051343
P26516,0.258008
P26638,0.3114745
P26883,0.112195
P27546,0.185986
P27612,0.39729
P27659,0.083569
P27773,0.2005125
P28063,1.421094
P28271,0.097729
P28352,0.819531
P28474,0.0946165
P28650,0.165723
P28653,0.65791
P28654,0.28584
P28665,0.414014
P28798,0.1635255
P29268,0.200879
P29341,0.122876
P29699,0.925
P29758,0.1829345
P30416,0.171155
P30999,1.1481445
P31001,0.151807
P31230,0.169141
P31428,0.150342
P31786,0.0905885
P32020,0.27998
P32067,0.4071775
P32233,0.525098
P32261,0.99043
P32921,0.1363035
P33622,2.182813
P34884,0.093701
P34914,0.115613
P34928,1.8078125
P35235,0.165967
P35282,0.243359
P35283,0.1605955
P35293,0.343579
P35385,1.663281
P35441,1.327344
P35486,0.0434085
P35505,0.061963
P35564,0.1684085
P35585,0.175427
P35700,0.118848
P35762,0.117627
P35979,0.213086
P35980,0.0857665
P36993,0.496289
P37040,0.171338
P37804,0.108105
P37889,0.20918
P38060,0.089185
P38647,0.107251
P40124,0.29707
P40142,0.121167
P40336,0.1516845
P40630,0.0395935
P41216,0.0447205
P42125,0.025647
P42208,0.803906
P42227,0.4987305
P42232,0.214917
P42669,0.068677
P42859,0.300977
P42932,0.207715
P43023,0.073865
P43024,0.04585
P43274,0.026898
P45376,0.065869
P45377,0.069897
P45591,0.1466795
P45952,0.046765
P46061,0.870313
P46412,0.319531
P46460,0.11189
P46471,0.178113
P46638,0.2276125
P46656,0.215283
P46737,0.187573
P46935,1.462109
P47199,0.087476
P47738,0.106641
P47740,0.1118285
P47753,0.144238
P47754,0.107007
P47757,0.119336
P47758,0.192822
P47791,0.065625
P47802,0.035168
P47809,0.170361
P47811,0.1724365
P47857,0.154187
P47911,0.125195
P47915,0.077039
P47934,0.033124
P47941,0.2682615
P47955,0.138867
P47962,0.091382
P47963,0.1190305
P48036,0.131238
P48455,0.418164
P48678,0.087476
P48722,0.207227
P48758,0.065442
P48771,0.096997
P48772,0.043835
P48774,0.132886
P48787,0.127393
P48962,0.044843
P49312,0.23042
P49442,0.124463
P49443,0.186597
P49615,0.138989
P49722,0.1575745
P49813,0.200269
P49817,0.0977905
P50136,0.111829
P50171,0.041577
P50172,0.454297
P50247,0.062085
P50396,0.106183
P50431,0.11311
P50462,0.1308715
P50516,0.1916015
P50518,0.926953
P50543,0.30293
P50544,0.0622985
P50580,0.185864
P50752,0.1449705
P51125,0.321484
P51150,0.423047
P51174,0.0388
P51410,0.11543
P51660,0.169873
P51667,0.0565005
P51855,0.0695925
P51859,0.1065185
P51863,0.435742
P51881,0.044324
P51885,0.061475
P52196,0.05354
P52293,1.823437
P52430,0.275098
P52480,0.123853
P52503,0.07301
P52825,0.044568
P53026,0.145947
P53395,0.0465515
P53612,0.21626
P53702,0.114819
P53810,0.160596
P53986,0.147534
P53994,0.322461
P53996,0.207227
P54071,0.027173
P54310,0.964063
P54320,0.078839
P54775,0.162061
P54797,0.097974
P54822,0.1167725
P54923,0.1012695
P55096,0.1659665
P55264,0.1099365
P55292,0.105298
P56213,0.047375
P56375,0.091626
P56376,0.084912
P56380,0.111035
P56382,0.031781
P56391,0.0464295
P56392,0.0792665
P56395,0.194531
P56399,0.171338
P56480,0.047498
P56501,0.03822
P56565,0.171338
P56695,0.142529
P56812,0.195996
P56959,0.339551
P57080,0.591504
P57759,0.603711
P57776,0.296094
P57780,0.197888
P58064,0.997266
