UniProt,median.K
A2AAJ9,0.1003
A2ADF7,0.571
A2ADY9,0.21245
A2AGT5,0.38545
A2AIL4,0.07965
A2AJI0,0.6737
A2AMM0,0.08465
A2AN08,0.3232
A2APY7,0.046
A2AQ25,0.391125
A2ARP1,0.319833333
A2ASQ1,0.09
A2ASS6,0.0677
A2AUC9,0.1799
A2AWA9,1.477
A3KFX0,0.3665
A3KG59,0.2696
A3KMP2,0.13505
A6H5Y3,0.426
A6H611,0.26595
A6H630,0.102
A6H6E2,0.384357143
A6H8H2,0.245
A6X8Z5,0.757333333
A6X935,2.2438
B1AUE5,0.217111111
B1AY13,0.178666667
B1AZI6,0.538
B2RQC6,0.172666667
B2RXS4,0.245611111
B7ZMP1,0.10525
D0QMC3,0.164166667
D3YXK2,0.124
D3Z7P3,0.246333333
E5FYH1,0.047
E9Q401,0.13635
E9Q557,0.2166
E9Q8I9,0.4985
F6ZDS4,0.166833333
G3X9K3,0.127875
G5E870,0.977
G5E8K5,0.237333333
O08528,0.1965
O08529,0.1043
O08532,0.1222
O08547,0.159166667
O08553,0.09725
O08573,0.2778
O08579,0.232785714
O08583,0.14
O08585,0.228333333
O08599,0.21275
O08600,0.1292
O08601,0.246571429
O08638,0.14405
O08648,0.2505
O08663,0.2415
O08677,0.97125
O08709,0.08525
O08715,0.23255
O08734,0.081916667
O08739,0.157
O08749,0.0392
O08756,0.0354
O08759,0.46455
O08784,0.31
O08788,0.2099
O08795,0.396555556
O08807,0.182
O08808,0.408
O08810,2.510571429
O08911,0.158666667
O08915,0.419944444
O08917,0.1688
O08997,0.12875
O09044,0.344666667
O09061,0.091583333
O09110,1.3240625
O09111,0.044944444
O09131,0.128083333
O09159,0.397
O09161,0.05005
O09164,0.565083333
O09167,0.087
O09172,0.126
O09174,0.08655
O35074,0.30185
O35075,0.190071429
O35083,0.109
O35099,0.195
O35114,0.4436
O35127,0.77975
O35129,0.03755
O35143,0.130666667
O35206,0.14105
O35226,0.602
O35286,0.649428571
O35295,0.0566
O35343,0.273666667
O35344,0.2513
O35350,0.124928571
O35381,0.1594
O35382,1.67125
O35386,0.226
O35409,0.158
O35435,0.0623
O35459,0.1762
O35551,0.329333333
O35566,0.2615
O35593,0.201
O35598,0.127
O35609,0.105833333
O35639,0.143
O35643,0.13875
O35658,0.06785
O35678,0.1962
O35682,0.1275
O35683,0.097
O35685,0.261277778
O35691,0.1555
O35737,0.3415
O35841,0.425
O35855,0.05025
O35857,0.0957
O35864,0.1285
O35887,0.6047
O35943,0.08355
O35955,0.16025
O35972,0.09655
O54724,0.07735
O54734,0.174857143
O54774,0.16
O54781,0.3285
O54786,0.2575
O54865,0.4042
O54879,0.5335
O54901,0.100416667
O54931,0.673388889
O54946,0.230666667
O54950,0.40775
O54962,0.202
O54984,0.1484
O54988,0.482666667
O55003,0.33175
O55013,0.181833333
O55022,0.22275
O55023,0.09245
O55026,0.1773
O55028,0.14505
O55029,0.317
O55042,0.042
O55060,0.094
O55101,0.238
O55106,0.28075
O55111,0.1038
O55125,0.08625
O55126,0.04615
O55131,0.19665
O55135,0.3154
O55137,0.08675
O55142,0.13
O55143,0.13815
O55222,0.112944444
O55229,0.166333333
O55234,0.1483
O70133,0.24095
O70139,0.324
O70194,0.1701
O70209,0.1275
O70250,0.0692
O70251,0.1347
O70252,0.383428571
O70305,0.98525
O70310,0.654125
O70318,0.38295
O70362,0.58005
O70373,0.3747
O70378,0.1475
O70400,0.179071429
O70423,0.0745
O70433,0.1313
O70435,0.164777778
O70439,0.194
O70468,0.12155
O70475,0.212
O70492,0.6169
O70493,0.1197
O70571,1.134055556
O70572,0.090666667
O70591,0.189625
O70622,0.0771
O88291,0.22775
O88322,0.0597
O88342,0.0903
O88384,0.258
O88428,0.218
O88441,0.0454
O88447,0.243
O88456,0.239583333
O88487,0.23445
O88492,0.17
O88531,0.1877
O88543,0.164555556
O88544,0.1405
O88545,0.159142857
O88569,0.2375
O88587,0.21395
O88653,0.237722222
O88667,0.53685
O88685,0.2441
O88696,0.0604
O88712,0.203166667
O88736,0.2705
O88738,0.350375
O88746,0.2434
O88844,0.1206
O88848,0.1285
O88851,0.14175
O88947,0.539333333
O88952,0.12175
O88958,0.093
O88967,0.32605
O88983,0.2265625
O88986,0.0546
O89017,0.866
O89020,0.6023
O89023,0.1813125
O89051,1.1365
O89053,0.1638
O89079,0.188333333
O89103,0.426
O89112,0.1165
O89114,0.2942
P00158,0.052166667
P00329,0.08875
P00397,0.05265
P00405,0.0445
P00416,0.0515
P00493,0.16415
P00920,0.0942
P01027,1.5612
P01029,1.8389
P01592,0.269
P01831,0.28755
P01837,0.214
P01872,0.8449
P01887,0.914666667
P01898,1.454
P01915,0.282
P01921,0.417
P01942,0.03525
P02088,0.0291
P02089,0.023
P02463,0.197
P02468,0.06155
P02469,0.076
P02798,0.347
P02802,0.207333333
P03888,0.037
P03899,0.039375
P03911,0.03695
P03921,0.054
P03930,0.056
P03953,1.5865
P04117,0.1315
P04186,1.4441
P04228,0.5056
P04247,0.06465
P04370,0.0505
P04919,0.0271
P05064,0.1444
P05125,0.3808
P05132,0.253722222
