UniProt,median.K
A2AAJ9,0.0943725
A2ADF7,63.3
A2ADY9,0.23457
A2AGT5,0.3661625
A2AIL4,0.0749635
A2AJI0,0.6347165
A2AMM0,0.077466
A2AN08,0.2274905
A2APY7,0.04408
A2AQ25,0.31123
A2ASS6,0.061963
A2AUC9,0.174512
A3KG59,0.2779665
A3KMP2,0.123486
A6H5Y3,0.415723
A6H611,0.265088
A6H6E2,0.409863
A6X935,1.913281
B1AR13,0.032605
B1AUE5,0.22749
B2RXS4,0.2760745
B7ZMP1,0.105054
D3Z7P3,0.2295655
E9Q401,0.12782
E9Q557,0.211011
G5E8K5,0.182568
O08528,0.187085
O08529,0.1112185
O08532,0.098645
O08553,0.0901005
O08573,0.408398
O08599,0.168896
O08600,0.114697
O08601,0.154492
O08638,0.1326415
O08663,0.229077
O08677,0.997266
O08709,0.086194
O08715,0.262891
O08749,0.034802
O08756,0.035413
O08759,0.796094
O08788,0.247754
O08795,0.367871
O08807,0.17793
O08810,1.4696775
O08915,0.466016
O08917,0.173901
O08997,0.121655
O09110,1.26875
O09131,0.083875
O09159,0.41084
O09161,0.044934
O09164,0.784375
O09167,0.083569
O09174,0.072827
O35074,0.29292
O35075,0.1670655
O35114,0.5266235
O35127,0.760938
O35129,0.034467
O35143,0.050702
O35206,0.1364865
O35286,0.659375
O35295,0.05354
O35343,0.306836
O35344,0.252515
O35350,0.134595
O35381,0.1533935
O35386,8.3
O35435,0.0565615
O35459,0.175854
O35551,0.323438
O35609,0.089917
O35639,0.132214
O35643,0.144971
O35658,0.0499845
O35678,0.166028
O35682,0.113477
O35685,0.17085
O35737,0.366406
O35855,0.048474
O35857,0.0885435
O35864,0.125439
O35887,0.608594
O35943,0.0852175
O35955,0.117627
O35972,0.094434
O54724,0.076001
O54734,0.200879
O54774,0.340039
O54865,0.264844
O54901,0.075757
O54931,0.705273
O54946,0.227979
O54984,0.1496095
O54988,0.543164
O55003,0.326367
O55013,0.172803
O55023,0.068799
O55026,0.162915
O55028,0.108105
O55042,0.041089
O55106,0.252637
O55111,0.061719
O55125,0.083447
O55126,0.03941
O55131,0.1981935
O55135,0.291455
O55143,0.132031
O55234,0.141431
O70133,0.3080565
O70194,0.205762
O70250,0.065381
O70251,0.120312
O70318,0.356641
O70362,0.508496
O70373,0.396191
O70400,0.156445
O70423,0.046643
O70433,0.116833
O70435,0.1518675
O70439,0.18562
O70468,0.118176
O70475,0.232617
O70492,0.591504
O70493,0.103101
O70548,127.3
O70571,0.9875
O70572,0.090283
O70591,0.184766
O70622,0.0721555
O88322,0.055981
O88342,0.086255
O88428,0.298047
O88441,0.044751
O88456,0.174023
O88487,0.273633
O88492,0.163281
O88531,0.188672
O88543,0.173291
O88544,0.1411865
O88545,0.165723
O88569,0.2208985
O88587,0.2071655
O88653,0.280469
O88667,0.5819825
O88685,0.221509
O88696,0.060864
O88712,0.331738
O88738,0.411816
O88746,0.256543
O88844,0.105664
O88952,0.116284
O88967,0.323926
O88983,0.225293
O88986,0.048474
O89017,0.796094
O89020,0.546338
O89053,0.150708
O89103,0.399121
O89112,0.096753
P00158,0.023907
P00329,0.0825315
P00397,0.049023
P00405,0.037854
P00416,0.0495575
P00493,0.159619
P00920,0.129468
P01027,1.3898435
P01029,2.065625
P01831,0.258496
P01872,0.757031
P01942,0.02789
P02088,0.0288515
P02089,0.022595
P02468,0.0574155
P02469,0.069897
P02802,0.1868405
P03888,0.034802
P03899,0.035107
P03911,0.033887
P03921,0.050244
P03930,0.045514
P04117,0.1253785
P04186,1.64375
P04228,0.593945
P04247,0.061536
P04919,0.023602
P05064,0.1377685
P05125,0.36958
P05132,0.241528
P05201,0.080762
P05202,0.033032
P06151,0.10658
P06683,127.3
P06728,1.280469
P06745,0.077344
P06800,0.776563
P06801,0.158887
P06909,0.944531
P07310,0.0740175
P07356,0.075146
P07724,0.298291
P07759,0.5749025
P07901,0.174329
P08003,0.2042965
P08032,0.030896
P08074,0.109937
P08113,0.2174805
P08226,63.954785
P08228,0.076855
P08249,0.033002
P08752,0.183057
P09055,0.213818
P09103,0.256299
P09242,0.216504
P09405,0.26875
P09411,0.067517
P09470,0.186963
P09528,0.5734375
P09541,0.1546755
P09542,0.085278
P09671,0.034497
P09813,0.714063
P09925,0.102734
P0C605,0.174268
P0CW02,0.182324
P10107,0.303906
P10126,0.1635255
P10493,0.068799
P10518,0.1740235
P10605,0.3075685
P10630,0.374951
P10637,0.0872315
P10639,0.0677765
P10649,0.0769775
P10833,0.370801
P10852,0.333691
P11152,1.772656
P11276,0.1754275
P11352,0.08186
P11404,0.070569
P11499,0.207471
P11531,0.065503
P11798,0.126904
P11930,0.187695
P11983,0.266309
P12242,0.084912
P12367,0.0724
P12382,0.2088745
P12787,0.0395325
P12849,0.10835
P12970,0.0997435
P13020,0.312695
P13597,0.386914
P13634,0.023938
P13707,0.129834
P14094,0.0748105
P14115,0.100415
P14131,0.07771
P14142,0.232129
P14148,0.077374
P14152,0.0689515
P14206,0.086011
P14211,0.205762
P14602,0.181897
P14685,0.199292
P14824,0.104077
P14869,0.091626
P15105,1.216016
P15116,0.087659
P15508,0.1636475
P15532,0.076245
P15626,0.104199
P16015,0.243604
P16045,0.1156125
P16125,0.117383
P16330,0.088574
P16332,0.122693
P16546,0.0940065
P16858,0.094556
P17047,0.4713865
P17095,0.092847
P17156,0.119092
P17182,0.070508
P17427,0.1119505
P17439,0.240918
P17665,0.031964
P17710,0.0525635
P17742,0.1395995
P17751,0.071729
P18242,0.227002
P18572,0.125439
P18760,0.234448
P19096,0.435498
P19123,0.109845
P19221,1.647656
P19258,0.051465
P19324,0.4450195
P19536,0.066617
P19783,0.036725
P20029,0.185986
P20065,0.213574
P20108,0.036206
P20152,0.149121
P20918,1.1652345
P21107,0.142285
P21126,0.7169925
P21278,0.214551
P21279,0.167187
P21550,0.07771
P21614,1.3341795
P21956,0.211133
P21981,0.093701
P22315,0.115674
P22599,0.268262
P22892,0.315625
P22907,0.1327635
P23116,0.350415
P23198,0.319043
P23242,0.1452145
P23492,0.124097
P23506,0.086316
P23591,0.135449
P23927,0.212842
P23953,0.536328
P24270,0.2577635
P24369,0.1478395
P24452,0.120679
P24472,0.0851865
P24527,0.1188475
P24529,0.107068
P24547,0.159375
P24549,0.1342895
P25444,0.102368
P26039,0.2230955
P26040,0.145337
P26041,0.14967
P26043,0.2191895
P26231,0.3612795
P26369,0.353711
P26443,0.0473755
P26516,0.093701
P26638,0.283887
P26645,0.3983885
P27546,0.2163815
P27601,0.139844
P27612,0.145459
P27659,0.087964
P27773,0.201367
P28271,0.090024
P28352,11.3
P28474,0.089032
P28650,0.14082
P28653,1.7628905
P28654,0.273633
P28665,0.485547
P28798,0.3927735
P29268,0.200146
P29341,0.1204955
P29595,0.236035
P29699,64.5597655
P29758,0.198071
P29788,1.104688
P30115,0.122388
P30416,0.312695
P30681,0.461133
P31001,0.1178715
P31230,0.218701
P31428,0.134473
P31532,1.249219
P31786,0.083295
P31938,0.374219
P32020,0.307324
P32067,0.274609
P32233,0.561719
P32261,1.204297
P32921,0.147656
P33622,1.866406
P34884,0.072278
P34914,0.1016355
P34928,3.925
P35235,0.176495
P35278,0.176709
P35282,0.255078
P35283,0.2053955
P35293,0.356885
P35385,1.1066405
P35486,0.0492065
P35505,0.079541
P35564,0.215039
P35585,0.221387
P35700,0.124524
P35762,0.332227
P35979,0.097119
P35980,0.054822
P36552,0.186475
P36993,0.263135
P37040,0.125562
P37804,0.155469
P38060,0.092725
P38647,0.092725
P39054,0.228223
P39447,0.2401245
P40124,0.2309085
P40142,0.081616
P40336,0.199414
P40630,0.035596
P40936,0.160596
P41216,0.0562255
P42125,0.0345425
P42208,0.2523925
P42227,0.827344
P42232,0.152051
P42567,0.311963
P42669,0.058545
P42703,1.178906
P42859,0.244702
P42925,0.12251
P42932,0.219922
P43023,0.072064
P43024,0.0472075
P45376,0.067273
P45377,0.066846
P45591,0.105054
P45952,0.056348
P46412,0.619336
P46460,0.1378905
P46471,0.217236
P46656,0.1878175
P46737,0.195264
P46935,1.866406
P46938,0.870313
P46978,0.193799
P47199,0.083447
P47738,0.144727
P47740,0.127148
P47753,0.092725
P47754,0.105664
P47757,0.146313
P47758,0.42207
P47791,0.0678225
