UniProt,median.K
A2A5R2,0.143333333
A2A8U2,0.289
A2AAJ9,0.0946
A2ADF7,0.20775
A2ADY9,0.699
A2AGT5,0.413333333
A2AHC3,0.085
A2AIL4,0.089
A2AJ88,0.1905
A2AJI0,0.266
A2AKG8,0.209
A2AMM0,0.06
A2AN08,0.24025
A2APY7,0.0595
A2AQ07,0.266
A2AQ25,0.226
A2ARP1,0.165857143
A2ASQ1,0.0819
A2ASS6,0.064
A2AUC9,0.25785
A2AWA9,0.255714286
A2AWP8,0.213
A2BDX3,0.143333333
A3KG59,0.096833333
A3KMP2,0.6455
A6H5Y3,0.248
A6H611,0.225785714
A6H630,0.15
A6H6A9,0.510333333
A6H8H2,0.2734
A6X935,1.509
A7RDN6,0.095
B1AR13,0.056142857
B1AUE5,0.291666667
B1AVZ0,0.205
B1AY13,0.292
B1AZI6,0.2895
B2RQC6,0.270428571
B2RXC1,0.065
B2RXR6,0.225333333
B2RXS4,0.59925
B2RY50,0.180333333
B7ZMP1,0.107055556
D3YXK2,0.075
D3Z7P3,0.2065
E9Q401,0.1366
E9Q557,0.2006
E9Q8I9,0.31825
F6ZDS4,0.9036
G3X9K3,0.125
G5E870,1.071833333
G5E8K5,0.345333333
O08528,0.1588
O08529,0.136
O08532,0.14125
O08547,0.16075
O08553,0.14155
O08573,0.482
O08579,0.3587
O08582,0.14
O08599,1.875
O08600,0.1985
O08605,0.29
O08638,0.126
O08663,0.454
O08677,0.49005
O08709,0.071
O08715,0.450555556
O08749,0.04275
O08756,0.0292
O08759,0.508625
O08788,0.15675
O08795,0.32615
O08807,2.358357143
O08808,0.327
O08810,35.39514286
O08848,0.1815
O08911,0.055
O08912,0.047
O08915,0.39265
O08997,0.12295
O09061,0.13895
O09110,0.44375
O09111,0.0423
O09114,1.9313125
O09131,0.0921875
O09159,0.300125
O09161,0.05305
O09164,0.336
O09167,0.1565
O09172,0.258
O09174,0.0743
O35074,0.3852
O35075,0.247125
O35114,0.4952
O35129,0.03605
O35143,0.042666667
O35206,0.13735
O35226,0.313
O35286,0.4065
O35295,0.0513
O35343,0.184
O35344,0.330555556
O35350,0.099666667
O35381,0.156
O35382,0.201
O35387,0.123
O35435,0.05075
O35459,0.12475
O35465,0.269666667
O35593,0.131357143
O35604,0.081
O35609,0.078
O35639,0.15575
O35643,0.133
O35658,0.0421
O35678,0.1806
O35682,0.148
O35685,0.30815
O35841,0.348
O35855,0.03845
O35857,0.08295
O35864,0.186722222
O35887,3.5823
O35900,0.114666667
O35943,0.029166667
O35955,0.165277778
O35972,0.1252
O54724,0.0823
O54734,0.1536
O54754,0.0965
O54774,0.3215625
O54865,0.203
O54890,0.142
O54931,0.1675
O54946,0.2003
O54950,0.2145
O54962,0.18275
O54984,0.28525
O54988,0.386
O55013,0.173833333
O55023,0.10085
O55026,0.31
O55028,0.0949375
O55029,0.383125
O55060,0.137
O55106,0.4005
O55111,0.105
O55126,0.0572
O55131,0.395
O55135,0.284166667
O55143,0.0921
O55222,0.1508
O55234,0.11465
O70133,0.301
