UniProt,median.K
A2A5R2,0.127759
A2AAJ9,0.091687
A2ADY9,1.308057
A2AIL4,0.091382
A2AJI0,0.26582
A2AMM0,0.060071
A2AN08,0.2301755
A2ASQ1,0.085645
A2ASS6,0.062024
A2AUC9,0.246289
A6H5Y3,0.283398
A6H611,0.26167
A6H8H2,0.25166
A6X935,1.249219
B1AR13,0.056104
B7ZMP1,0.104077
D3YXK2,0.075146
D3Z7P3,0.1857425
E9Q401,0.13667
E9Q557,0.183301
E9Q8I9,0.316113
G5E870,1.038281
O08528,0.1569335
O08529,0.122266
O08532,0.140576
O08553,0.145459
O08579,0.364941
O08600,0.071729
O08638,0.12312
O08677,0.438672
O08709,0.069531
O08715,0.3656735
O08749,0.038586
O08756,0.027325
O08759,1.016797
O08788,0.169385
O08795,0.293164
O08807,2.721875
O08810,0.279736
O08915,0.329297
O08997,0.118237
O09061,0.183362
O09110,0.470898
O09111,0.035535
O09114,1.932812
O09131,0.079541
O09159,0.271191
O09161,0.0480775
O09174,0.075818
O35074,0.420117
O35075,0.193555
O35114,0.372754
O35129,0.03439
O35143,0.04353
O35206,0.117139
O35295,0.049634
O35343,0.2118655
O35344,0.33418
O35381,0.1529665
O35382,0.211621
O35387,0.124829
O35435,0.0450255
O35459,0.129956
O35593,0.159863
O35609,0.041638
O35639,0.1398435
O35643,0.103833
O35658,0.042157
O35678,0.187695
O35682,0.148389
O35685,0.2831545
O35855,0.039685
O35857,0.077069
O35864,0.241406
O35887,0.6896485
O35900,0.114209
O35943,0.029736
O35955,0.151807
O35972,0.129102
O54724,0.0818605
O54774,0.3305175
O54931,127.3
O54946,0.169019
O54950,0.16499
O54962,0.200879
O54984,0.367383
O55013,0.140088
O55023,0.09541
O55028,0.102002
O55111,0.077893
O55126,0.054028
O55131,0.2141845
O55135,0.346875
O55143,0.0920835
O55222,0.095898
O55234,0.108716
O70133,0.255078
O70250,0.065015
O70318,0.3200195
O70362,127.3
O70373,0.419141
O70400,0.238965
O70423,0.088086
O70433,0.095288
O70435,0.151807
O70468,0.094067
O70475,0.833203
O70492,0.577344
O70493,0.1240965
O70548,0.425
O70571,0.764844
O70622,0.061902
O88322,0.072339
O88342,0.1063355
O88441,0.048901
O88447,0.367139
O88456,0.117993
O88487,0.1845215
O88492,0.1693845
O88531,0.1106075
O88543,0.21748
O88544,0.141064
O88545,0.124463
O88569,0.243359
O88653,0.216016
O88667,0.798047
O88685,0.173047
O88696,0.0760925
O88712,0.2343265
O88746,0.286084
O88844,0.091748
O88967,0.301221
O88983,0.280957
O89017,0.903516
O89020,0.395703
O89023,0.1068235
O89051,0.940625
O89053,0.165967
O89079,0.618359
O89112,0.109814
P00158,0.025861
P00329,0.082715
P00405,0.036572
P00416,0.0491765
P00920,0.027417
P01027,0.8468755
P01831,0.195325
P01837,0.225293
P01872,0.205273
P01887,0.532422
P01942,0.0290955
P02088,0.0219695
P02089,0.02168
P02468,0.0562255
P02469,0.053845
P03888,0.030713
P03893,0.020734
P03899,0.038129
P03911,0.026807
P03921,0.06535
P03953,1.091016
P04117,0.099805
P04186,1.348828
P04247,0.046582
P04919,0.030652
P05064,0.140332
P05125,0.315381
P05201,0.079175
P05202,0.0289275
P05977,0.237622
P06151,0.1344115
P06728,0.440625
P06745,0.070508
P06800,0.708203
P06801,0.1330685
P06909,0.542188
P07310,0.0667235
P07356,0.1623045
P07724,0.222119
P07759,0.605664
P07901,0.1928225
P08003,0.216504
P08032,0.028088
P08074,0.112683
P08113,0.168164
P08121,0.054639
P08122,0.057965
