UniProt,median.K
A2A5R2,1.012
A2A8U2,0.270333333
A2AAJ9,0.08215
A2ADF7,0.423222222
A2ADY9,0.0875
A2AGT5,0.3738
A2AIL4,0.104
A2AJI0,0.38235
A2AKG8,0.1085
A2ALW5,0.226333333
A2AMM0,0.0885
A2AN08,0.1869
A2AQ07,0.335083333
A2AQ25,0.197888889
A2ASQ1,0.0758
A2ASS6,0.059
A2AUC9,0.1824
A2AWA9,0.4372
A3KFX0,0.21275
A3KG59,0.222944444
A3KMP2,0.09985
A6H611,0.19665
A6H630,0.096
A6H6E2,0.7115
A6H8H2,0.315875
A6X935,1.5449
B1AY13,0.28865
B2RQC6,0.195142857
B2RXS4,0.151388889
B7ZMP1,0.567
D3Z7P3,0.107333333
E9Q401,0.10655
E9Q414,0.511
E9Q557,0.19835
F6ZDS4,0.59275
G5E870,0.379375
G5E8K5,0.16385
O08528,0.13455
O08529,0.1007
O08532,0.098916667
O08547,0.12025
O08553,0.1007
O08573,0.224
O08579,0.187333333
O08582,0.1158
O08585,0.123
O08599,0.0765
O08600,0.0999
O08638,0.1004
O08663,0.20925
O08677,0.4811
O08709,0.0674
O08715,0.2543
O08739,0.0833125
O08749,0.033
O08756,0.0323
O08759,0.3597
O08788,0.1926
O08807,0.293
O08810,0.38775
O08848,0.257
O08911,0.115125
O08912,0.085
O08915,0.332916667
O08917,0.1245
O08997,0.1102
O09044,0.137
O09061,0.123357143
O09110,0.242
O09111,0.0369
O09117,0.278
O09131,0.07415
O09159,0.215
O09161,0.05665
O09164,0.20825
O09167,0.092666667
O09174,0.049333333
O35074,0.239055556
O35083,0.1035
O35099,0.197
O35114,0.1988
O35127,0.297
O35129,0.0202
O35143,0.19895
O35206,0.08375
O35226,0.223
O35286,0.221714286
O35295,0.1035
O35326,0.2944
O35343,0.468
O35344,0.19085
O35345,0.241
O35350,0.080583333
O35381,0.1341
O35382,0.152
O35387,0.189
O35435,0.07735
O35459,0.1327
O35566,0.213888889
O35593,0.145
O35598,0.241
O35639,0.10675
O35643,0.2181
O35658,0.047
O35678,0.1665
O35685,0.257888889
O35841,0.186428571
O35855,0.0424
O35857,0.0741
O35864,0.353875
O35887,0.3401
O35900,0.0978
O35955,0.111
O35972,0.0762
O54724,0.0661
O54734,0.100625
O54754,0.190625
O54774,0.422
O54865,0.129
O54879,0.1488
O54890,0.155
O54931,0.370833333
O54946,0.108611111
O54950,0.187
O54962,0.1325
O54984,0.17505
O54988,0.1762
O55013,0.122142857
O55022,0.2105
O55023,0.064
O55028,0.0884
O55029,0.312222222
O55111,0.0669
O55126,0.03785
O55131,0.1191
O55135,0.2055
O55137,0.065625
O55142,0.149125
O55143,0.1172
O55222,0.07625
O55234,0.12205
O70133,0.345666667
O70194,0.209
O70209,0.124
O70250,0.0626
O70251,0.1079
O70252,0.24445
O70305,0.1347
O70310,0.2015
O70362,1.194
O70373,0.3162
O70400,0.170714286
O70423,0.04165
O70433,0.101
O70435,0.1451
O70439,0.096
O70468,0.0903
O70492,0.34725
O70493,0.145333333
O70548,0.433
O70571,0.45845
O70591,0.1749
O70622,0.065
O88322,0.0555
O88342,0.0848
O88441,0.05415
O88456,0.0816
O88487,0.163625
O88492,0.1396
O88531,0.0605
O88533,0.269
O88543,0.150722222
O88544,0.25035
O88545,0.1746875
O88569,0.113777778
O88587,0.214
O88653,0.26885
O88667,0.275333333
O88685,0.17825
O88696,0.0547
O88712,0.271785714
O88736,0.1225
O88738,0.40175
O88746,0.2192
O88783,0.285
O88844,0.0883
O88851,0.095
O88967,0.2571
O88983,0.1646
O88986,0.100222222
O89017,0.3858125
O89020,0.3556875
O89053,0.17175
O89079,0.628
O89084,0.16475
O89086,0.1075
O89103,0.231571429
O89112,0.1128125
O89114,0.383
P00329,0.0671
P00397,0.0732
P00405,0.03
P00416,0.0465
P00493,0.106333333
P00848,0.0362
P00920,0.0214
P01027,1.25285
P01029,0.247
P01831,0.091
P01867,0.108111111
P01872,0.3485
P01887,15.8668125
P01898,0.7069375
P01942,0.0258
P02088,0.0234
P02463,0.03745
P02468,0.02925
P02469,0.03775
P02535,0.123
P02802,0.147
P03888,0.03495
P03899,0.037
P03911,0.0261
P03921,0.0359
P03930,0.037
P03953,0.682142857
P04117,0.0742
P04186,1.42175
P04247,0.0517
P04919,0.022333333
P05064,0.1141
P05125,0.2198
P05132,0.1800625
P05201,0.06695
P05202,0.03005
P05214,0.1305
P05533,0.167583333
P05977,0.2459
P06151,0.09545
P06683,0.613666667
P06684,0.199625
P06728,0.5731
P06745,0.07075
P06801,0.103555556
P06909,1.152571429
P07309,0.56035
P07310,0.0622
P07356,0.0532
P07724,0.19615
P07759,0.2886
P07901,0.1173
P07934,0.1574
P08003,0.1362
P08030,0.2923
P08032,0.0623
P08113,0.15385
P08121,0.068
P08122,0.03275
P08226,2.17755
P08228,0.05065
P08249,0.0307
P08752,0.1048
P08775,0.075
P09041,0.088333333
P09055,0.14225
P09103,0.22395
P09242,0.10325
P09405,0.3088
P09411,0.0542
P09470,0.18985
P09528,0.484071429
P09541,0.0996
P09542,0.07695
P09671,0.0268
P09813,0.421
P09925,0.1056
P0C605,0.2866
P10107,0.196625
P10126,0.13215
P10493,0.04775
P10518,0.154
P10605,0.19945
P10630,0.2724
P10637,0.109611111
P10639,0.0515
P10649,0.07625
P10711,0.148
P10833,0.2335
P10852,0.149
P11087,0.011
P11103,0.234625
P11152,0.85535
P11276,0.60855
P11352,0.07625
P11404,0.05195
P11438,0.539666667
P11499,0.1648
P11531,0.0591
P11589,0.866
P11679,0.267
P11680,0.187
P11859,0.47075
P11930,0.162
P11983,0.20205
P12242,0.130333333
P12367,0.0782
P12382,0.14645
P12787,0.03425
P12815,0.179
P12849,0.097
P12970,0.0993
P13020,0.2546
P13597,0.10775
P13707,0.0888
P14094,0.06835
P14115,0.1034
P14131,0.08465
P14142,0.184
P14148,0.0759
P14152,0.06535
P14206,0.0851
P14211,0.1782
P14602,0.15265
P14685,0.15635
P14733,0.013
P14824,0.07875
P14869,0.0918
P14873,0.865
P15105,3.068
P15116,0.08835
P15331,0.039
P15508,0.10825
P15532,0.088666667
P15626,0.0867
P16045,0.07115
P16054,0.21475
P16125,0.11045
P16332,0.09595
P16546,0.05145
P16675,0.66805
P16858,0.0765
P17095,0.0495
P17156,0.061
P17182,0.06905
P17225,0.13575
P17426,0.1876
P17427,0.4506
P17665,0.037
P17710,0.05935
P17742,0.0882
P17751,0.0642
P17879,0.189
P18242,0.20375
P18572,0.13435
P18654,0.1524375
P18760,0.16735
P18826,0.129333333
P18872,0.137
P19001,0.139
P19096,0.26165
P19123,0.0786
P19157,0.060625
P19221,0.83435
P19253,0.052428571
P19258,0.11
P19324,0.30555
P19536,0.0279
P19783,0.03795
P20029,0.1516
P20065,0.1135
P20108,0.02605
P20152,0.07555
P20918,0.5578
P21107,0.116
P21126,0.3135
P21278,0.078
P21300,0.073166667
P21447,0.139
P21460,0.7059
P21550,0.0705
P21614,0.8864
P21619,0.28
P21956,0.155833333
P21981,0.0764
P22315,0.0955
P22366,1.218
P22599,0.21725
P22892,0.186857143
P22907,0.1555
P23116,0.2525
P23198,0.176
P23242,0.10555
P23492,0.100428571
P23506,0.064
P23591,0.0996
P23780,0.1165
P23927,0.16615
P23953,0.45055
P24270,0.1974
P24369,0.11555
P24452,0.123055556
P24472,0.05785
P24527,0.074625
P24529,0.131
P24547,0.2478
P24549,0.09745
P25444,0.08135
P25976,0.49125
P26039,0.1367
P26040,0.12095
P26041,0.10635
P26043,0.15715
P26231,0.3081
P26262,0.623055556
P26369,0.177
P26443,0.0473
P26516,0.129166667
P26638,0.18295
P26645,0.23555
P26883,0.0699
P27546,0.16955
P27612,0.1014
P27659,0.06775
P27773,0.196
P28063,0.174714286
