UniProt,median.K
A2A8U2,0.164014
A2AAJ9,0.079449
A2ADF7,0.453809
A2ADY9,0.098584
A2AGT5,0.429883
A2AJI0,0.468945
A2AMM0,0.093579
A2AN08,0.125317
A2AQ25,0.232861
A2ASQ1,0.074872
A2ASS6,0.058667
A2AUC9,0.123608
A3KG59,0.198926
A3KMP2,0.121289
A6H611,0.23103
A6H6E2,0.817578
A6X935,1.663281
B1AY13,0.209668
B2RQC6,0.206738
B2RXS4,0.185498
E9Q401,0.106885
E9Q557,0.211133
G5E870,0.431348
G5E8K5,0.138196
O08528,0.1380735
O08529,0.107861
O08547,0.188916
O08553,0.11189
O08579,0.165234
O08582,0.118115
O08585,0.141309
O08600,0.093213
O08638,0.1016965
O08663,0.133496
O08677,0.571484
O08709,0.0753905
O08715,0.262891
O08749,0.0320405
O08756,0.031262
O08759,0.971875
O08788,0.168164
O08917,0.1163455
O08997,0.109631
O09061,0.110547
O09110,127.3
O09111,0.030713
O09131,0.06825
O09161,0.054318
O09164,0.254102
O09167,0.0867125
O09174,0.050732
O35074,0.163525
O35083,0.10249
O35129,0.021741
O35143,0.5041625
O35206,0.075757
O35286,0.228223
O35344,0.202222
O35381,0.134473
O35382,0.154248
O35435,0.079175
O35459,0.131177
O35566,0.205518
O35593,0.139355
O35639,0.069897
O35658,0.046811
O35678,0.172131
O35685,0.240186
O35841,0.180371
O35855,0.042126
O35857,0.07478
O35887,0.239453
O35972,0.070386
O54724,0.066113
O54734,0.12135
O54774,0.262463
O54879,0.155713
O54890,0.15498
O54931,0.383984
O54946,0.105908
O54950,0.149365
O54962,0.140088
O54984,0.1653565
O55013,0.129224
O55022,0.192456
O55023,0.063794
O55028,0.093213
O55029,0.222852
O55111,0.0664795
O55126,0.040295
O55131,0.119824
O55135,0.286816
O55137,0.0576295
O55142,0.1339845
O55143,0.124951
O55222,0.0734375
O55234,0.086987
O70194,0.211865
O70209,0.12373
O70250,0.063458
O70251,0.109937
O70252,0.232373
O70310,0.18855
O70373,0.3493165
O70400,0.184766
O70423,0.033948
O70433,0.100537
O70435,0.123364
O70468,0.089124
O70492,0.319043
O70493,0.1272705
O70548,0.507031
O70571,0.470898
O70591,0.138135
O70622,0.068127
O88322,0.0512815
O88342,0.085034
O88441,0.05354
O88456,0.080884
O88492,0.139966
O88543,0.147046
O88544,0.128003
O88545,0.145215
O88569,0.109204
O88587,0.145947
O88653,0.2660645
O88667,0.242627
O88685,0.141797
O88696,0.0541505
O88712,0.215527
O88746,0.206494
O88844,0.080762
O88851,0.098584
O88967,0.293408
O88986,0.096875
O89017,0.466992
O89020,0.4105955
O89053,0.159863
O89103,0.169141
P00329,0.069989
P00397,0.0548215
P00405,0.037579
P00416,0.044873
P00848,0.037061
P00920,0.0226715
P01027,1.337109
P01831,0.090771
P01867,0.161084
P01872,0.3532225
P01887,0.587109
P01898,0.538281
P01942,0.02406
P02088,0.022626
P02463,0.032178
P02468,0.0334595
P02469,0.03703
P03888,0.03349
P03899,0.0307435
P03911,0.026105
P03921,0.034955
P03930,0.037091
P03953,0.704297
P04117,0.073834
P04186,1.471875
P04247,0.049939
P04919,0.020459
P05064,0.11604
P05125,0.247754
P05132,0.2262695
P05201,0.0670285
P05202,0.0304995
P05977,0.1582765
P06151,0.093518
P06683,1.26875
P06684,0.735547
P06728,0.380078
P06745,0.067395
P06801,0.100354
P06909,1.132031
P07309,0.70625
P07310,0.061673
P07356,0.050763
P07724,0.196606
P07759,0.283398
P07901,0.108105
P08003,0.1237305
P08032,0.050732
P08113,0.156201
P08122,0.0265475
P08226,3.473828
P08228,0.039288
P08249,0.02934
P08752,0.1045655
P09041,0.075879
P09055,0.14375
P09103,0.241895
P09242,0.1084715
P09405,0.2904785
P09411,0.0514345
P09470,0.177197
P09528,0.236523
P09541,0.1096315
P09542,0.077405
P09671,0.030789
P09925,0.084302
P0C605,0.312695
P10107,0.208569
P10126,0.1408205
P10493,0.0467045
P10605,0.211255
P10630,0.2764405
P10639,0.04884
P10649,0.0778325
P10852,0.145215
P11087,0.011304
P11103,0.231885
P11152,0.7375
P11276,0.6476565
P11352,0.063062
P11404,0.049176
P11499,0.1601685
P11531,0.0574615
P11688,0.034802
P11983,0.211499
P12367,0.073804
P12382,0.13667
P12787,0.034802
P12815,0.170361
P12849,0.097485
P12970,0.0993775
P13020,0.256055
P13707,0.080396
P14094,0.0669675
P14115,0.0990725
P14131,0.085156
P14142,0.176953
P14148,0.074658
P14152,0.061536
P14206,0.0815245
P14211,0.197461
P14602,0.154858
P14685,0.163464
P14733,0.012494
P14824,0.0790525
P14869,0.080426
P15105,2.798047
P15116,0.089307
P15331,0.03877
P15508,0.103223
P15532,0.083752
P15626,0.087933
P16045,0.0785035
P16125,0.1075255
P16332,0.097638
P16546,0.047681
P16675,0.680371
P16858,0.074536
P17095,0.047131
P17182,0.071362
P17225,0.112256
P17426,0.215039
P17427,0.1219605
P17665,0.026807
P17710,0.049878
P17742,0.095593
P17751,0.062482
P17879,0.204785
P18242,0.1974
P18572,0.131482
P18654,0.1013305
P18760,0.173535
P18872,0.142773
P19001,0.115918
P19096,0.263867
P19123,0.0745055
P19157,0.061108
P19221,0.942578
P19253,0.053052
P19258,0.081982
P19324,0.356885
P19536,0.028546
P19783,0.037656
P20029,0.1601685
P20108,0.025891
P20152,0.0762145
P20918,0.566602
P21300,0.062878
P21460,0.614453
P21550,0.07063
P21614,0.913281
P21956,0.152783
P21981,0.072552
P22315,0.079053
P22599,0.212109
P22892,0.211133
P22907,0.1150025
P23116,0.209668
P23242,0.10896
P23492,0.094678
P23506,0.064038
P23591,0.0946165
P23927,0.17085
P23953,0.502148
P24270,0.215039
P24369,0.14082
P24452,0.112744
P24472,0.0323915
P24527,0.0644045
P24547,0.145215
P24549,0.103467
P25444,0.075269
P26039,0.142041
P26040,0.131787
P26041,0.116528
P26043,0.166272
P26231,0.334668
P26262,0.6459475
P26443,0.043958
P26516,0.133862
P26638,0.192212
P26645,0.234326
P26883,0.075757
P27546,0.177441
P27612,0.0982175
P27659,0.0681575
P27773,0.138135
P28271,0.089795
P28352,0.114941
P28474,0.077649
P28650,0.1001095
P28653,0.2627685
P28654,0.248975
P28665,0.3385745
P28798,0.178662
P29341,0.081494
P29416,0.25752
P29595,0.179395
P29699,1.103711
P29758,0.1599855
P29788,1.120313
P30115,0.078442
P30416,0.1792725
P30999,0.20332
P31001,0.0899475
P31230,0.132153
P31428,0.152539
P31532,1.823437
P31938,0.119946
P32020,0.231641
P32067,0.423047
P32233,0.383984
P32261,0.8683595
P32921,0.114575
P33622,2.307813
P34884,0.081738
P34914,0.102002
P34928,3.45625
P35123,0.153027
P35235,0.150708
P35278,0.122266
P35282,0.383008
P35283,0.199414
P35293,0.275586
P35385,1.253125
P35441,0.2055175
P35486,0.037915
P35505,0.039502
P35564,0.147656
P35585,0.142773
P35700,0.096265
P35762,0.162061
P35979,0.085034
P35980,0.055981
P36993,0.1711545
P37040,0.137036
P37804,0.0806705
P38060,0.083081
P38647,0.090222
P39061,0.135937
P39447,0.280713
P39876,0.537915
P40124,0.180615
P40142,0.0551575
P40240,0.21626
P40336,0.196118
P40630,0.031445
P40936,0.129346
P41105,0.062085
P41216,0.044751
P42125,0.0321775
P42208,0.174512
P42225,0.148389
P42227,1.272656
