UniProt,median.K
A2A5R2,2.212333333
A2A8U2,0.292357143
A2A8Z1,0.601
A2AAJ9,0.08175
A2ADF7,0.248
A2ADY9,0.1578
A2AGT5,0.403
A2AHC3,0.3765
A2AJI0,0.82875
A2AMM0,0.07385
A2AN08,0.1907
A2APY7,0.145333333
A2AQ07,0.148666667
A2AQ25,0.247428571
A2ASQ1,0.062166667
A2ASS6,0.0683
A2AUC9,0.20715
A2AWA9,1.11
A2BDX3,0.376
A3KFX0,0.438125
A3KG59,0.298714286
A3KGS3,0.134
A3KMP2,0.158642857
A6H611,0.2112
A6H630,0.124333333
A6H6A9,0.224833333
A6H6E2,2.291
A6H8H2,0.2969
A6X935,0.70425
B1AY13,0.153285714
B1AZI6,0.054
B2RQC6,0.059
B2RRE7,0.100666667
B2RXS4,0.225285714
B7ZMP1,0.1311
D3YXK2,0.165
D3Z7P3,0.1672
E9Q3S4,0.065
E9Q401,0.13815
E9Q557,0.2102
F6ZDS4,0.503
G3X9K3,0.708
G5E870,0.6327
G5E8K5,0.17735
O08528,0.17665
O08529,0.1301
O08532,0.07985
O08547,0.14425
O08553,0.12895
O08573,0.7669
O08579,0.247277778
O08582,0.138333333
O08599,0.219642857
O08600,0.1347
O08638,0.10925
O08663,0.16885
O08677,0.5548
O08709,0.0833
O08715,0.18195
O08734,0.7045
O08739,0.091833333
O08746,0.233
O08749,0.03465
O08756,0.0291
O08759,0.385714286
O08788,0.15905
O08795,0.266
O08807,0.401333333
O08810,0.23225
O08848,0.2844
O08911,0.1921
O08915,0.3385
O08917,0.1229
O08967,0.15
O08997,0.1159
O09061,0.338222222
O09111,0.03555
O09114,0.379
O09131,0.09485
O09159,1.162611111
O09161,0.06395
O09167,0.157
O09172,0.105166667
O09174,0.07045
O35074,0.46255
O35075,0.1442
O35083,0.1044
O35114,0.40075
O35127,4.725
O35129,0.02775
O35143,0.39275
O35206,0.11945
O35215,0.442
O35226,0.277375
O35286,0.22645
O35295,0.084071429
O35326,0.252285714
O35343,0.20285
O35344,0.159428571
O35345,0.282666667
O35350,0.132428571
O35381,0.1595
O35382,0.1862
O35386,0.344
O35435,0.060222222
O35459,0.1226
O35465,0.91535
O35551,0.334
O35566,0.24415
O35593,0.152071429
O35609,0.19
O35639,0.1481
O35643,0.165944444
O35658,0.0591
O35678,0.25815
O35682,0.1021
O35685,0.30385
O35737,0.2268125
O35841,0.460875
O35855,0.0351
O35857,0.0691
O35864,0.181
O35887,0.3003
O35900,0.081
O35955,0.1222
O35972,0.11925
O54724,0.0786
O54734,0.1271
O54754,0.098
O54774,0.23335
O54824,0.847
O54890,0.325
O54901,0.11675
O54916,0.178
O54946,0.1412
O54950,0.227833333
O54962,0.209
O54984,0.1385
O54988,0.443
O54998,0.239
O55003,0.2385
O55013,0.1745
O55022,0.2614
O55023,0.06535
O55026,0.134125
O55028,0.071428571
O55029,2.801
O55060,0.091
O55111,0.07775
O55126,0.03565
O55131,0.181888889
O55135,0.373333333
O55137,0.038
O55142,0.045
O55143,0.1246
O55186,0.103
O55222,0.09965
O55229,0.473
O55234,0.12005
O70133,0.18485
O70152,0.092
O70172,0.109
O70194,0.1774
O70209,0.2073
O70250,0.06965
O70251,0.1159
O70252,0.27205
O70305,0.471428571
O70309,0.2513
O70310,0.155
O70318,0.09425
O70362,0.745375
O70373,0.3919
O70400,0.2319
O70423,0.0606
O70433,0.12005
O70435,0.2058
O70439,0.185
O70468,0.08315
O70492,0.572
O70493,0.1063
O70496,0.1455
O70548,0.9169
O70571,0.2263
O70622,0.05325
O88322,0.06125
O88342,0.1134
O88428,0.208
O88441,0.0488
O88456,0.117
O88487,0.1595
O88492,0.1562
O88531,0.107125
O88533,0.127666667
O88543,0.171666667
O88544,0.1437
O88545,0.1276875
O88569,0.20915
O88587,0.18725
O88623,0.214
O88653,0.2884
O88667,0.312333333
O88685,0.18455
O88696,0.0742
O88712,0.17815
O88736,0.149
O88746,0.2398
O88844,0.1144
O88851,0.13
O88947,0.6725
O88952,0.140333333
O88958,0.383
O88967,0.3093
O88983,0.226
O89017,0.4645
O89020,0.34765
O89023,0.077
O89053,0.1483
O89079,0.328071429
O89084,0.3785
O89086,0.198
O89103,0.502722222
O89106,0.056333333
O89112,0.11185
P00158,0.028
P00329,0.07295
P00397,0.06585
P00405,0.03595
P00416,0.05125
P00493,0.1410625
P00848,0.047857143
P00920,0.024
P01027,0.8135
P01029,0.51945
P01831,0.20315
P01864,0.094
P01867,0.118611111
P01872,0.285
P01887,0.11825
P01898,1.040333333
P01942,0.0277
P02088,0.0314
P02089,0.0304
P02463,0.130214286
P02468,0.04555
P02469,0.0438
P02535,0.203875
P02802,0.305666667
P03888,0.03485
P03893,0.038
P03899,0.046
P03911,0.033
P03921,0.0402
P03930,0.042
P03953,0.859125
P04117,0.10345
P04186,0.80395
P04247,0.0524
P04919,0.03665
P05064,0.13455
P05125,0.32155
P05132,0.1549
P05201,0.0781
P05202,0.02685
P05977,0.2664
P06151,0.1324
P06537,0.107
P06683,0.723642857
P06684,0.8413
P06728,0.52825
P06745,0.0716
P06801,0.10175
P06909,0.9473
P07091,0.21425
P07309,1.10775
P07310,0.06485
P07356,0.1134
P07724,0.1926
P07759,0.5905
P07901,0.15385
P07934,0.2673
P08003,0.2823
P08030,0.100666667
P08032,0.05635
P08074,0.11425
P08113,0.15615
P08121,0.035
P08122,0.0693
P08226,1.2848125
P08228,0.05595
P08249,0.03115
P08607,1.023
P08752,0.154666667
P08775,0.2217
P09055,0.20385
P09103,0.25755
P09242,0.317666667
P09405,0.24015
P09411,0.071
P09470,0.1685
P09528,0.156111111
P09541,0.1113
P09542,0.06455
P09671,0.03285
P09813,2.25055
P09925,0.071333333
P0C605,0.144916667
P0CW02,0.168625
P10107,0.3151
P10126,0.21205
P10493,0.06955
P10518,0.09075
P10605,0.29325
P10630,0.2683
P10637,0.13015
P10639,0.049
P10649,0.0745
P10711,0.346666667
P10833,0.204666667
P10852,0.22
P10922,0.046
P11103,0.171
P11152,0.8696
P11276,0.58935
P11352,0.147
P11404,0.041
P11438,0.2197
P11499,0.1713
P11531,0.0628
P11589,1.716
P11679,2.564
P11680,0.479
P11688,0.2462
P11798,0.145333333
P11859,0.9528
P11930,0.239
P11983,0.23535
P12242,0.163
P12265,0.098
P12367,0.08435
P12382,0.15395
P12787,0.0351
P12815,0.194
P12849,0.237
P12970,0.09085
P13020,0.29025
P13541,0.04175
P13597,0.33125
P13707,0.11455
P14069,0.109
P14094,0.08555
P14115,0.0945
P14131,0.09745
P14142,0.2514
P14148,0.09925
P14152,0.07265
P14206,0.0811
P14211,0.20225
P14602,0.153
P14685,0.15535
P14733,0.286
P14824,0.0984
P14869,0.0944
P14873,1.2215
P15089,0.163
P15105,0.65905
P15116,0.107
P15327,0.038166667
P15508,0.1564
P15532,0.090357143
P15626,0.1210625
P16015,0.326833333
P16045,0.11925
P16110,0.246166667
P16125,0.10125
P16330,0.186
P16332,0.08515
P16546,0.07145
P16675,0.279857143
P16858,0.10405
P17047,0.371
P17095,0.058
P17156,0.149833333
P17182,0.06275
