UniProt,median.K
A2A8U2,0.324414
A2AAJ9,0.0809145
A2ADF7,0.306836
A2AGT5,0.452344
A2AIL4,0.03941
A2AMM0,0.0744755
A2AN08,0.200146
A2APY7,0.062695
A2AQ25,0.218701
A2ASQ1,0.042554
A2ASS6,0.067395
A2AUC9,0.2104005
A3KFX0,0.383984
A3KG59,0.209668
A3KMP2,0.087964
A6H584,0.021313
A6H611,0.230664
A6H6E2,2.292188
A6H8H2,0.333203
A6X935,1.1413085
B1AY13,0.141553
D3Z7P3,0.175
E9Q401,0.138623
E9Q557,0.222363
G5E870,0.635938
G5E8K5,0.1999025
O08528,0.177441
O08529,0.121289
O08532,0.090588
O08547,0.153027
O08553,0.1273925
O08573,1.104688
O08579,0.226514
O08582,0.145459
O08599,0.208203
O08600,0.133252
O08638,0.113843
O08663,0.189404
O08677,0.6217775
O08709,0.082593
O08715,0.2071045
O08739,0.084668
O08749,0.034985
O08756,0.02847
O08759,0.127148
O08788,0.15791
O08795,0.213574
O08810,0.231152
O08917,0.125439
O08997,0.1121335
O09061,0.288464
O09111,0.036206
O09131,0.074353
O09161,0.0647095
O09172,0.102246
O09174,0.0667545
O35074,0.452344
O35075,0.131543
O35083,0.115674
O35129,0.028485
O35143,0.512891
O35206,0.124951
O35226,0.36543
O35286,0.232129
O35295,0.0817685
O35343,0.2011235
O35344,0.158398
O35350,0.0854
O35381,0.16377
O35435,0.0503355
O35459,0.1220215
O35465,1.057813
O35566,0.2350585
O35593,0.11897
O35639,0.162549
O35643,0.138318
O35658,0.056714
O35678,0.3096435
O35682,0.1027955
O35685,0.231152
O35737,0.241406
O35841,0.457715
O35855,0.03262
O35857,0.060498
O35864,0.121106
O35887,0.344678
O35900,0.077832
O35955,0.129468
O35972,0.134961
O54724,0.078198
O54734,0.12666
O54774,0.243848
O54901,0.129834
O54946,0.117505
O54950,0.233105
O54962,0.269727
O54984,0.122632
O55023,0.0639465
O55026,0.1404545
O55028,0.061108
O55029,2.8
O55111,0.074963
O55126,0.036801
O55131,0.1807375
O55137,0.042126
O55142,0.045422
O55143,0.126172
O55222,0.095898
O55234,0.121533
O70133,0.222363
O70194,0.1886715
O70250,0.068311
O70251,0.116162
O70252,0.28584
O70305,0.252393
O70310,0.1587035
O70318,0.133252
O70362,0.403516
O70373,0.411328
O70400,0.267285
O70423,0.060864
O70433,0.116589
O70435,0.19209
O70468,0.0832035
O70492,0.637891
O70493,0.089185
O70548,0.537549
O70571,0.234448
O70572,0.3
O70622,0.051709
O88322,0.0612305
O88342,0.1170775
O88441,0.044904
O88456,0.115796
O88487,0.16084
O88492,0.1608395
O88531,0.10542
O88543,0.180371
O88544,0.149609
O88545,0.131299
O88569,0.254102
O88587,0.188672
O88667,0.306836
O88685,0.177441
O88696,0.0748105
O88712,0.183057
O88746,0.229993
O88844,0.109082
O88851,0.145398
O88947,0.680859
O88967,0.274365
O89017,0.527539
O89020,0.3476075
O89053,0.150586
O89079,0.313184
O89103,0.402295
O89106,0.040601
O89112,0.0997435
P00158,0.028119
P00329,0.0689515
P00397,0.065259
P00405,0.035779
P00416,0.047131
P00493,0.1637695
P00848,0.0358705
P00920,0.023785
P01027,1.413281
P01029,0.314038
P01831,0.208447
P01867,0.1216555
P01872,0.298291
P01942,0.027325
P02088,0.02934
P02089,0.028577
P02463,0.123486
P02468,0.044568
P02469,0.043988
P03888,0.0322695
P03893,0.037854
P03899,0.039288
P03911,0.033093
P03921,0.042462
P03930,0.041943
P03953,0.788281
P04117,0.093091
P04186,0.827344
P04247,0.051587
P04919,0.025159
P05064,0.1325805
P05125,0.316602
P05132,0.170972
P05201,0.07832
P05202,0.026807
P05977,0.292676
P06151,0.1216555
P06684,0.261914
P06728,0.6203125
P06745,0.068372
P06801,0.100049
P06909,0.963086
P07310,0.066388
P07356,0.111279
P07724,0.2000245
P07759,0.585156
P07901,0.143506
P07934,0.258496
P08003,0.193921
P08032,0.047101
P08074,0.124707
P08113,0.158643
P08122,0.065137
P08226,1.9367185
P08228,0.047925
P08249,0.031323
P08752,0.140942
P09055,0.219434
P09103,0.269238
P09405,0.2161375
P09411,0.07063
P09470,0.173047
P09528,0.155713
P09541,0.112256
P09542,0.0650755
P09671,0.033032
P09813,3.05
P0C605,0.109814
P0CW02,0.165234
P10107,0.309033
P10126,0.237988
P10493,0.063916
P10605,0.3236815
P10630,0.269727
P10637,0.121533
P10639,0.054791
P10649,0.072217
P10833,0.116895
P10852,0.242383
P11152,0.468945
P11276,0.599805
P11404,0.043561
P11438,0.2302975
P11499,0.175732
P11531,0.062085
P11983,0.237988
P12242,0.155957
P12367,0.081372
P12382,0.144482
P12787,0.036328
P12970,0.097485
P13020,0.298047
P13597,0.310254
P13634,0.02113
P13707,0.105908
P14094,0.0841795
P14115,0.0855835
P14131,0.097729
P14142,0.2696045
P14148,0.098218
P14152,0.069836
P14206,0.071729
P14211,0.24812
P14602,0.144971
P14685,0.168164
P14733,0.022656
P14824,0.095654
P14869,0.090466
P15105,0.592969
P15116,0.108472
P15327,0.038525
P15508,0.1619995
P15532,0.0984615
P15626,0.072705
P16015,0.17207
P16045,0.104077
P16110,0.391309
P16125,0.096997
P16332,0.082471
P16546,0.07124
P16675,0.231641
P16858,0.096295
P17047,0.371289
P17095,0.058423
P17182,0.058728
P17225,0.1903195
P17426,0.139355
P17427,0.164868
P17563,0.069653
P17665,0.030835
P17710,0.0621765
P17742,0.095593
P17751,0.07655
P18242,0.275464
P18572,0.137891
P18760,0.295605
P18826,0.33418
P18872,0.213574
P19001,0.190625
P19096,0.398145
P19123,0.079236
P19157,0.059399
P19221,0.708203
P19324,0.360547
P19536,0.026685
P19783,0.0322085
P20029,0.158643
P20108,0.029294
P20152,0.127881
P20918,0.548047
P21550,0.087567
P21614,1.029492
P21619,0.020093
P21956,0.0980345
P21981,0.0973025
P22315,0.094739
P22599,0.213574
P22892,0.332715
P22907,0.171216
P23116,0.282178
P23242,0.1093265
P23492,0.096936
P23506,0.09541
P23591,0.16377
P23927,0.180859
P23953,0.6481445
P24270,0.2298095
P24369,0.136731
P24452,0.2504395
P24472,0.0433165
P24527,0.083447
P24547,0.171643
P24549,0.967969
P25444,0.0908325
P26039,0.190381
P26040,0.175244
P26041,0.165234
P26043,0.2281005
P26231,0.360547
P26262,0.4269535
P26369,0.123975
P26443,0.042844
P26516,0.115552
P26638,0.263379
P26883,0.089398
P27546,0.189648
P27612,0.0967525
P27659,0.147351
P27773,0.178662
P28271,0.095715
P28352,0.4047365
P28474,0.092175
P28650,0.142163
P28653,0.490918
P28654,0.293408
P28665,0.4044925
P28798,0.193799
P29341,0.1174435
P29699,0.636426
P29758,0.176831
P29788,1.940625
P30416,0.194775
P30999,0.3185545
P31001,0.107129
P31230,0.180371
P31428,0.1720705
P31532,0.815625
P31786,0.064771
