UniProt,median.K
A2A5R2,0.142
A2A8U2,0.22975
A2A8Z1,0.3305
A2AAE1,0.083666667
A2AAJ9,0.0911
A2ADY9,0.396
A2AGT5,0.47555
A2AIL4,0.120071429
A2AJI0,0.6531
A2AMM0,0.0773
A2AN08,0.21885
A2APY7,0.059
A2AQ25,0.25535
A2ARA8,0.263
A2ARP1,0.352
A2ASQ1,0.1131
A2ASS6,0.06265
A2AUC9,0.155
A2AWA9,0.245
A3KFX0,0.125333333
A3KG59,0.1824
A3KMP2,0.087571429
A6H611,0.246222222
A6H630,0.087
A6H6E2,0.157
A6H8H2,0.3195
A6X935,2.342571429
A7RDN6,0.0435
B1AR13,0.4285
B1AY13,0.654666667
B1AZI6,0.427142857
B2RQC6,0.294
B2RXS4,0.530666667
B2RY56,0.290666667
B7ZMP1,0.163
E9Q401,0.1275
E9Q414,1.205571429
E9Q555,0.314
E9Q557,0.21
E9Q8I9,0.4185
F6ZDS4,0.197
G3X9K3,0.311
G5E870,0.3018
G5E8K5,0.184285714
O08528,0.1752
O08529,0.11395
O08532,0.15375
O08547,0.10885
O08553,0.105
O08579,0.2565
O08582,1.05425
O08599,0.317333333
O08600,0.0994
O08605,0.135666667
O08638,0.1011
O08663,0.21815
O08677,0.8575
O08709,0.0847
O08715,0.37415
O08738,0.294
O08739,0.068444444
O08746,0.258
O08749,0.03455
O08756,0.111
O08759,0.30045
O08784,0.161
O08788,0.15865
O08795,0.311166667
O08807,0.264
O08808,0.38975
O08810,0.203333333
O08848,0.408
O08915,1.663
O08917,0.159444444
O08997,0.1455
O09061,0.1302
O09110,0.28625
O09111,0.0336
O09117,0.152166667
O09131,0.157083333
O09161,0.0493
O09164,0.420833333
O09167,0.08045
O09174,0.05755
O35074,0.294888889
O35075,0.237666667
O35099,1.391
O35127,0.637
O35129,0.02565
O35143,0.044
O35206,0.09085
O35226,0.5306
O35286,0.734277778
O35343,0.24475
O35344,0.3175
O35350,0.113
O35381,0.202833333
O35382,0.171333333
O35386,2.37335
O35387,0.1493125
O35393,0.239
O35435,0.0804
O35459,0.1702
O35465,0.6435
O35551,0.1315
O35593,0.1398
O35598,0.069
O35604,0.206666667
O35609,0.105
O35639,0.1172
O35643,0.15345
O35658,0.0435
O35678,0.24485
O35685,0.2613
O35691,0.147
O35737,0.484
O35841,0.5765
O35855,0.03775
O35857,0.0943
O35864,0.159083333
O35887,0.6615
O35900,0.1755
O35943,0.1745
O35955,0.12325
O35972,0.12325
O54724,0.06805
O54734,0.1155
O54754,0.1301
O54774,0.2259
O54784,0.133
O54865,0.154083333
O54879,0.1947
O54890,3.69
O54901,0.101
O54931,0.570666667
O54946,0.175285714
O54950,0.1719
O54962,0.102071429
O54984,0.1766
O54988,0.912
O55023,0.0485
O55028,0.131055556
O55029,0.2527
O55060,0.965
O55106,0.4466
O55111,0.06215
O55126,0.0421
O55131,0.179416667
O55135,0.3191875
O55143,0.1241
O55222,0.0887
O55229,0.19425
O55234,0.163388889
O70133,0.346055556
O70152,0.3995
O70194,0.155785714
O70209,0.13475
O70250,0.0584
O70251,0.13065
O70252,0.1924
O70305,0.427166667
O70310,0.222
O70318,0.330875
O70362,0.5793125
O70373,0.32895
O70400,0.1634
O70423,0.044
O70433,0.10115
O70435,0.113166667
O70439,0.988
O70468,0.0938
O70481,0.473357143
O70492,0.355875
O70493,0.1435
O70496,0.1685
O70503,0.143
O70548,0.285
O70571,0.839857143
O70591,0.223125
O70622,0.082
O88207,0.066
O88271,0.753666667
O88322,0.0461875
O88342,0.10275
O88384,0.19
O88428,0.19275
O88441,0.0444
O88487,0.132055556
O88492,0.155
O88531,0.168
O88533,0.087833333
O88543,0.25025
O88544,0.15515
O88545,0.100055556
O88569,0.179
O88587,0.3257
O88653,0.2955
O88685,0.2163
O88696,0.09535
O88712,0.147
O88738,0.298142857
O88746,0.329
O88844,0.1084
O88851,0.108277778
O88958,0.1195
O88967,0.3613
O89017,0.786
O89020,0.9372
O89023,0.059
O89051,1.809333333
O89079,0.3559
O89084,0.263777778
O89086,0.338
O89112,0.782944444
O89114,1.2405
P00329,0.076357143
P00397,0.055555556
P00405,0.0369
P00416,0.05
P00493,0.1002
P00848,0.169416667
P01027,1.81435
P01786,0.146
P01831,0.1035
P01867,0.129333333
P01872,0.5901
P01898,1.048611111
P01942,0.0215
P02088,0.01375
P02468,0.0661
P02469,0.08785
P02802,0.2023
P03888,0.0331
P03899,0.0375
P03911,0.034
P03921,0.0352
P03930,0.038
P04117,0.1347
P04186,1.8648
P04247,0.05695
P04919,0.11
P05064,0.1281
P05125,0.2509
P05132,0.284
P05201,0.0758
P05202,0.03065
P05622,0.917
P05977,0.3666
P06151,0.10055
P06537,0.216
P06683,1.0470625
P06728,0.128333333
P06745,0.07015
P06801,0.11325
P06909,1.5421
P07091,0.206
P07310,0.0662
P07356,0.074
P07724,0.27125
P07759,0.5465
P07901,0.14685
P07934,0.407722222
P08003,0.138833333
P08030,0.0805
P08032,0.1667
P08074,0.1588
P08113,0.16845
P08121,0.21025
P08122,0.158
P08207,0.103833333
P08226,4.2431
P08228,0.0589
P08249,0.03435
P08553,0.054
P08607,1.022375
P08752,0.15685
P09055,0.14325
P09103,0.19785
P09242,0.236285714
P09405,0.3288
P09411,0.0624
P09470,0.519833333
P09541,0.11645
P09542,0.07085
P09671,0.0332
P09813,0.7815
P09925,0.105
P0C605,0.125
P0C7L0,0.43
P0C872,0.115
P10107,0.23185
P10126,0.15675
P10493,0.05945
P10518,0.137357143
P10605,0.29995
P10630,0.34665
P10637,0.13265
P10639,0.069
P10649,0.0929
P10711,0.47
P10833,0.1540625
P10852,0.239
P11087,0.048
P11103,0.246
P11152,2.0785
P11276,0.86205
P11352,0.993666667
P11404,0.0499
P11438,0.275333333
P11499,0.1854
P11531,0.0564
P11798,0.129285714
P11881,0.190333333
P11930,0.14245
P11983,0.2173
P12367,0.0619
P12382,0.165
P12787,0.03455
P12970,0.13525
P13020,0.35295
P13597,0.303
P13707,0.09845
P14094,0.0698
P14115,0.102
P14131,0.0799
P14142,0.3423
P14148,0.08655
P14152,0.0769
P14206,0.0854
P14211,0.2246875
P14576,0.238333333
P14602,0.1466
P14685,0.1784
P14733,0.50975
P14824,0.0848
P14869,0.21025
P14873,0.67875
P15105,0.908
P15116,0.68875
P15331,0.134
P15508,0.11345
P15532,0.093
P15626,0.0976
P16015,0.19575
P16045,0.08785
P16125,0.0979
P16254,0.159
P16301,1.5515
P16330,0.07
P16332,0.12425
P16546,0.0681
P16675,1.0507
P16858,0.0826
P17047,0.208
P17095,0.048625
P17156,0.09175
P17182,0.0552
P17183,0.102
P17225,0.16255
P17426,0.2656
P17427,0.1497
P17563,0.069
P17710,0.05015
P17742,0.1034
P17751,0.06695
P18242,0.3268
P18572,0.18495
P18654,0.073
P18760,0.1586
P18826,0.199285714
P18872,0.269928571
P19096,0.4097
P19123,0.10745
P19157,0.07135
P19221,1.5397
P19253,0.046
P19258,0.068
P19324,0.37645
P19536,0.06745
P19783,0.0341
P20029,0.17335
P20108,0.03305
P20152,0.1288
P20918,0.84315
P21107,0.3
P21126,0.7251
P21300,0.062
P21550,0.07735
P21614,1.3302
P21619,0.025
P21981,0.0864
P22315,0.10135
P22599,0.4685
P22892,0.159333333
P22907,0.146777778
P23116,0.223
P23198,0.4228
P23242,0.096555556
P23492,0.099611111
P23506,0.09795
P23591,0.12375
P23780,0.102
P23927,0.19955
P23953,0.6095
P24270,0.2347
P24369,0.12495
P24452,0.1093
P24472,0.033
P24527,0.070928571
P24529,0.139
P24547,0.43875
P24549,0.0971
P25444,0.07135
P25976,0.5201
P26039,0.17
P26040,0.17055
P26041,0.1369
P26043,0.1871
P26231,0.3454
P26262,1.235142857
P26369,0.2995
P26443,0.0381
P26516,0.163
P26638,0.2331
P26883,0.0853
P27546,0.1908
P27612,0.1342
P27659,0.08495
P27773,0.18795
P28063,0.162
P28076,0.2395
P28271,0.07385
P28352,0.3075
P28474,0.0849
P28650,0.1318
P28652,0.4695
P28653,0.62785
P28654,0.35035
P28658,0.777
P28659,0.388055556
P28660,0.37025
P28661,0.177
P28665,0.4495
P28798,0.304875
P28828,0.507
P29268,0.207666667
P29341,0.10735
P29595,0.142333333
P29699,1.49
P29758,0.26255
P29788,4.3832
P30115,0.153625
P30416,0.3383
P30681,0.0804
P30999,0.5356875
P31001,0.11085
P31230,0.17215
P31428,0.14595
P31532,0.237
P31725,0.1745
P31750,0.109
P32020,0.20025
P32067,0.47025
P32233,0.4536
P32261,1.15285
P32921,0.14125
P34022,0.1445
