UniProt,median.K
A2AAJ9,0.0891845
A2ADY9,0.461133
A2AGT5,0.399121
A2AIL4,0.070386
A2AJI0,0.951367
A2AMM0,0.07771
A2AN08,0.280713
A2APY7,0.039349
A2AQ25,0.2848635
A2ASQ1,0.0680055
A2ASS6,0.0584075
A2AUC9,0.199414
A3KG59,0.2021
A3KMP2,0.08186
A6H611,0.256299
A6X935,2.26875
A7RDN6,0.0397765
B1AZI6,0.485059
B2RXS4,0.997266
B2RY56,0.316113
B7ZMP1,0.123975
E9Q401,0.12605
E9Q557,0.227734
G5E8K5,0.1460695
O08528,0.1909915
O08529,0.120557
O08532,0.145215
O08547,0.1594975
O08553,0.104474
O08599,0.267163
O08600,0.089368
O08605,0.183057
O08638,0.1057255
O08663,0.217725
O08677,1.403516
O08709,0.0767025
O08715,0.3390625
O08739,0.052258
O08749,0.034009
O08756,0.015668
O08759,0.249707
O08788,0.154004
O08795,0.236523
O08808,0.306348
O08848,0.366284
O08915,1.678906
O08917,0.1566895
O09061,0.1154295
O09110,0.340527
O09111,0.03587
O09117,0.143018
O09131,0.20625
O09161,0.050183
O09164,0.454785
O09167,0.0910155
O09174,0.056958
O35074,0.20625
O35129,0.027844
O35206,0.070386
O35226,0.85957
O35286,0.6465575
O35343,0.211377
O35344,0.296216
O35381,0.196973
O35382,0.183667
O35386,2.4875
O35387,0.15498
O35435,0.0825625
O35459,0.169873
O35593,0.142285
O35609,0.120679
O35639,0.110547
O35643,0.163037
O35658,0.0421875
O35678,0.244824
O35685,0.294141
O35841,0.732617
O35855,0.038434
O35857,0.08656
O35864,0.144604
O35887,0.320508
O35900,0.158154
O35955,0.107617
O54724,0.066968
O54734,0.115308
O54774,0.250806
O54865,0.1896485
O54879,0.205029
O54946,0.190259
O54950,0.138867
O54962,0.087842
O54984,0.144238
O55028,0.125928
O55029,0.276074
O55106,0.450391
O55111,0.048901
O55126,0.037518
O55131,0.2107665
O55135,0.383984
O55143,0.121899
O55222,0.0750855
O55234,0.176831
O70133,0.372266
O70209,0.1319095
O70250,0.0580565
O70251,0.1273315
O70252,0.2021
O70305,0.395703
O70310,0.257031
O70318,0.384961
O70362,3.8820315
O70373,0.3646975
O70400,0.2111325
O70433,0.10188
O70435,0.113599
O70468,0.090405
O70481,0.320508
O70492,0.428906
O70493,0.091138
