UniProt,median.K
A2A432,0.628
A2A690,0.152
A2A8Z1,0.39275
A2AAJ9,0.1078
A2ADF7,0.208666667
A2AGT5,0.30755
A2AIL4,0.06525
A2AJI0,0.3647
A2AMM0,0.0685
A2AN08,0.25885
A2APY7,0.068333333
A2AQ25,0.135
A2ASQ1,0.11715
A2ASS6,0.078
A2AUC9,0.1959
A2AWA9,1.662785714
A2BDX3,0.1562
A3KFX0,0.961857143
A3KG59,0.2118
A3KMP2,0.094
A6H611,0.1996
A6H6A9,0.3561
A6H6E2,0.446
A6H8H2,0.176
A6X935,1.632642857
A7RDN6,0.046
B1AY13,0.27075
B1AZI6,0.8935
B2RQC6,0.40175
B2RXC1,1.813
B2RXR6,0.148
B2RXS4,0.327166667
B7ZMP1,0.138
D3YZG8,0.082
D3YZP9,0.152333333
D3Z7P3,0.144
E9Q401,0.14
E9Q414,1.36425
E9Q557,0.2096
E9Q8I9,0.39725
F6ZDS4,0.112
G3X9K3,0.083625
G5E870,0.4655
G5E8K5,0.1931
O08528,0.17015
O08529,0.1652
O08532,0.1274
O08547,0.165428571
O08553,0.14095
O08573,0.078
O08579,0.288
O08582,0.20625
O08583,0.19
O08585,0.2485
O08600,0.1202
O08605,0.319
O08638,0.12555
O08663,0.16575
O08677,0.68945
O08709,0.08945
O08715,0.27555
O08738,0.271
O08739,0.107055556
O08746,0.931722222
O08749,0.03735
O08756,0.050166667
O08759,0.295222222
O08788,0.17165
O08795,0.31535
O08808,0.27955
O08810,0.191642857
O08848,0.891714286
O08915,0.29745
O08917,0.1223
O08992,0.25
O08997,0.11795
O09061,0.121
O09106,0.195
O09110,0.3036
O09111,0.042
O09131,0.10855
O09161,0.0648
O09164,0.518142857
O09165,2.0735
O09167,0.1249
O35074,0.489
O35075,0.192
O35099,0.3085
O35129,0.02765
O35143,0.254
O35206,0.1344
O35226,0.3031
O35242,0.522
O35286,0.27
O35295,0.0925
O35309,0.257
O35326,1.644
O35343,0.23325
O35344,0.2805
O35345,0.228
O35350,0.139
O35381,0.184888889
O35386,1.269
O35387,0.165125
O35435,0.0815
O35459,0.15935
O35465,1.1388
O35551,1.08825
O35593,0.14835
O35598,0.205
O35604,0.639
O35639,0.15545
O35643,0.1672
O35658,0.11
O35678,0.3708
O35682,0.141444444
O35685,0.246875
O35691,0.317
O35737,0.2468
O35841,0.2445
O35855,0.03625
O35857,0.08235
O35864,0.1523
O35887,0.2115
O35892,0.2146
O35900,0.158
O35943,0.0521875
O35955,0.1815
O35972,0.0795
O54692,0.6835
O54724,0.0813
O54734,0.164
O54754,0.18375
O54774,0.233857143
O54784,0.092
O54786,0.083
O54865,0.2325
O54879,0.452
O54931,1.447
O54946,0.125944444
O54950,0.149375
O54962,0.218333333
O54984,0.21405
O54988,0.597166667
O55003,2.3055
O55013,1.112
O55023,0.0721
O55026,0.2045
O55028,0.115125
O55029,0.3248
O55060,0.1514
O55106,0.5624
O55111,0.0853
O55126,0.0413
O55131,0.1953
O55135,0.3369
O55142,0.253666667
O55143,0.12605
O55201,0.286
O55222,0.10255
O55229,0.183
O55234,0.1296
O70133,0.54595
O70172,0.10675
O70194,0.867357143
O70209,0.269428571
O70228,0.092333333
O70250,0.0777
O70251,0.2304
O70252,0.238
O70305,0.3882
O70309,0.165
O70310,0.24565
O70318,0.4412
O70325,0.197
O70362,0.367916667
O70373,0.47795
O70378,0.183
O70400,0.18815
O70423,0.03385
O70433,0.10605
O70435,0.10095
O70468,0.1011
O70475,1.1835
O70481,0.306833333
O70492,0.028
O70493,0.194
O70496,0.334
O70503,1.092
O70548,0.582666667
O70571,1.476
O70622,0.07465
O88207,0.3203
O88291,0.119
O88322,0.0736
O88342,0.12435
O88396,2.564
O88428,0.252
O88441,0.0447
O88447,0.194
O88448,0.325
O88487,0.15885
O88492,0.16425
O88520,0.126
O88531,0.1592
O88533,0.093777778
O88543,0.216083333
O88544,0.1591
O88545,0.121
O88569,0.2938
O88587,0.2233
O88653,0.27135
O88667,0.356142857
O88685,0.23075
O88696,0.218571429
O88712,0.261111111
O88738,0.322857143
O88746,0.278
O88792,0.0452
O88843,0.208
O88844,0.0943
O88851,0.116
O88947,0.785
O88958,0.13
O88967,0.286
O89017,0.7404
O89020,0.46745
O89023,0.162
O89051,0.971666667
O89053,0.2666
O89079,0.337555556
O89084,0.4869
O89086,0.240571429
O89103,0.343166667
O89112,0.1114
O89114,0.607
P00329,0.10125
P00397,0.0695
P00405,0.04225
P00416,0.0452
P00493,0.16175
P00848,0.034
P00920,0.0205
P01027,1.28475
P01592,0.280666667
P01831,0.1715
P01867,0.17885
P01872,0.39455
P01887,3.1124
P01898,1.101722222
P01942,0.02775
P02088,0.071666667
P02463,0.084611111
P02468,0.06035
P02469,0.0566
P02802,0.3075
P03888,0.03805
P03893,0.037
P03911,0.061285714
P03921,0.0398
P03930,0.043
P03953,1.163
P04117,0.13495
P04186,1.5027
P04247,0.056
P04627,0.402
P04919,0.02955
P05063,0.052
P05064,0.13885
P05125,0.46375
P05132,0.171071429
P05201,0.08865
P05202,0.0364
P05977,0.2671
P06151,0.1205
P06683,0.84375
P06728,0.9675625
P06745,0.0903
P06801,0.13145
P06909,1.19215
P07091,0.202333333
P07214,1.127
P07310,0.06935
P07356,0.13585
P07724,0.2569
P07759,0.6016
P07901,0.18535
P07934,0.22565
P08003,0.171
P08030,0.131333333
P08032,0.16285
P08074,0.2322
P08113,0.18325
P08121,0.396428571
P08122,0.073333333
P08207,0.1675
P08226,2.1667
P08228,0.06675
P08249,0.03635
P08607,1.097944444
P08752,0.1987
P09041,0.1955
P09055,0.23685
P09103,0.25885
P09242,0.288125
P09405,0.23835
P09411,0.0877
P09470,0.163785714
P09528,0.50675
P09541,0.14745
P09542,0.06545
P09671,0.0319
P09813,0.63355
P09925,0.083
P0C605,0.224
P0C872,0.1045
P0CW02,0.26725
P10107,0.27645
P10126,0.26825
P10493,0.07745
P10518,0.135
P10605,0.3296
P10630,0.4262
P10637,0.0983
P10639,0.0711
P10649,0.065
P10711,2.407
P10833,0.15815
P10922,0.024
P11087,0.073
P11103,0.3455
P11152,2.2346
P11276,0.71505
P11352,0.0645
P11404,0.05295
P11438,0.5832
P11499,0.2009
P11531,0.07435
P11679,0.244
P11680,0.312
P11688,0.704
P11798,0.123
P11859,4.71
P11930,0.11
P11983,0.1924
P12242,0.116
P12246,0.279333333
P12265,0.562
P12367,0.0804
P12382,0.2044
P12787,0.0387
P12849,0.142666667
P12970,0.12555
P13020,0.6479
P13597,1.67
P13634,0.033111111
P13707,0.13
P14069,0.255
P14094,0.0951
P14115,0.162
P14131,0.10745
P14142,0.2834
P14148,0.10215
P14152,0.07745
P14206,0.09985
P14211,0.160375
P14602,0.207
P14685,0.17415
P14733,0.071375
P14824,0.1038
P14869,0.142214286
P14873,0.337166667
P15105,0.901722222
P15116,0.1274
P15327,0.172
P15331,0.03
P15508,0.11905
P15532,0.109
P15626,0.0961
P15864,0.068333333
P16015,0.1566
P16045,0.11475
P16054,0.104
P16125,0.09715
P16254,0.2165
P16301,1.72
P16330,0.1346
P16332,0.1131
P16406,0.107
P16460,0.2176875
P16546,0.0951
P16675,0.8688
P16858,0.10385
P17047,0.47255
P17095,0.075
P17156,0.132
P17182,0.0744
P17183,0.0905
P17225,0.222333333
P17426,0.1824
P17427,0.1824
P17439,0.2235
P17563,0.081214286
P17710,0.07085
P17742,0.12035
P17751,0.0806
P17879,0.3735
P18242,0.2637
P18572,0.1853
P18654,0.23935
P18760,0.2669
P18826,0.1506
P18872,0.2365625
P19001,0.142
P19096,0.2898
P19123,0.09475
P19157,0.119
P19221,1.6588
P19258,0.0475
P19324,0.44055
P19536,0.0412
P19783,0.04265
P19973,0.608
P20029,0.1752
P20108,0.03865
P20152,0.17335
P20918,0.7017
P21107,0.382
P21126,0.66
P21180,0.708
P21278,0.2753
P21300,0.087875
P21460,2.035
P21550,0.0871
P21614,1.1509
P21619,0.156
P21956,0.292833333
P21981,0.11475
P22315,0.09425
P22682,0.110666667
P22892,0.183666667
P22907,0.157166667
P23116,0.31565
P23198,0.296222222
P23242,0.14155
P23492,0.1299
P23506,0.0656
P23591,0.0915
P23780,0.1645
P23927,0.1977
P23953,0.53845
P24270,0.3066
P24369,0.1433
P24452,0.314
P24472,0.0577
P24527,0.1005
P24547,0.27625
P24549,0.1355625
P24668,0.11225
P25444,0.1143
P25799,0.267666667
P25976,0.702
P26039,0.24255
P26040,0.124285714
P26041,0.17735
P26043,0.2115
P26231,0.44165
P26262,0.65925
P26369,0.141416667
P26443,0.0447
P26516,0.10165
P26638,0.255
P26645,0.236666667
P26883,0.10405
P27546,0.20305
P27612,0.14005
P27659,0.2989
P27773,0.2322
P28063,0.152285714
P28271,0.0956
P28352,0.365333333
P28474,0.0866
P28650,0.1649
P28653,1.892166667
P28654,0.3544
P28656,0.258
P28658,0.92425
P28659,0.5586
P28665,0.37315
P28798,0.22885
P28867,0.208
P29268,0.961
P29341,0.243833333
P29416,0.1871
P29595,0.1996
P29699,0.7063
P29758,0.21815
P29788,1.45155
P30115,0.104
P30416,0.22275
P30681,0.3905
P30999,0.207944444
P31001,0.1394
P31230,0.2317
P31428,0.172055556
P31725,0.299875
P31750,0.208642857
P31786,0.0916
P31938,0.128916667
P32020,0.18535
P32067,0.273142857
P32233,0.4645625
P32261,0.9956
P32921,0.142
P34022,0.171777778
P34152,0.254
P34884,0.0778
P34914,0.11665
P34928,4.8075
P35123,0.41505
P35235,0.17535
P35278,0.2033125
P35282,0.163666667
P35283,0.1652
P35285,0.152833333
P35290,0.134
P35293,0.3957
P35385,1.1012
P35486,0.0419
P35505,0.0541
P35550,0.30175
P35564,0.14505
P35585,0.345277778
P35700,0.132
P35762,0.24775
P35821,0.494
P35979,0.13
P35980,0.114
P36536,0.424
P36552,0.09425
P36916,0.254055556
P36993,0.1526
P37040,0.208333333
P37804,0.1161
P37889,1.1925
P38060,0.08435
P38647,0.1002
P39053,1.381
P39054,0.219555556
P39061,0.133642857
P39447,0.78175
P40124,0.2417
P40142,0.09185
P40224,1.256
P40336,0.1838
P40630,0.0377
P41105,0.07965
P41216,0.0439
P41317,1.035625
P42125,0.024
P42208,0.214388889
P42225,0.545833333
P42227,0.8605
P42232,0.280875
P42567,0.214333333
P42669,0.056
P42703,0.3764
P42859,0.19125
P42925,0.094333333
P42932,0.2193
P43023,0.0664
P43024,0.0501
P43025,1.884
P43274,0.062
P43275,0.052666667
P43276,0.03255
P43277,0.0832
P45376,0.06465
P45377,0.081
P45591,0.1491
P45878,0.188
P45952,0.04875
P46061,1.1365
P46412,0.33345
P46460,0.149
P46467,0.373
P46471,0.1992
P46638,0.172
P46664,0.405
P46735,0.28745
P46737,0.25335
P46935,0.84305
P46938,0.477333333
P47738,0.1224
P47740,0.1675
P47753,0.158
P47754,0.1099
P47757,0.1174
P47758,0.436
P47809,0.2273
P47811,0.202571429
P47857,0.159
P47911,0.1392
P47915,0.1235
P47934,0.031
P47941,0.2174
P47955,0.1452
P47962,0.0954
P47963,0.09635
P48036,0.12295
P48193,0.0748
P48410,0.15095
P48455,0.4755
P48678,0.0833
P48722,0.20605
P48758,0.090625
P48771,0.091
P48772,0.047666667
P48774,0.1319
P48787,0.14705
P48962,0.0396
P49138,0.4765
P49182,1.4181875
P49222,0.118
P49300,0.948
P49312,0.25865
P49442,0.128
P49443,0.2878
P49615,0.192857143
P49722,0.127142857
P49813,0.2492
P49817,0.195
P49962,0.128
P50136,0.10645
P50171,0.03925
P50247,0.0566
P50285,0.113714286
P50295,0.061
P50396,0.121833333
P50431,0.115
P50446,0.0355
P50462,0.1175
P50516,0.12355
P50518,0.527833333
P50543,0.2787
P50544,0.0587
P50580,0.14745
P50752,0.1484
P51125,0.343055556
P51150,0.40315
P51163,0.418857143
P51174,0.03635
P51175,0.0355
P51410,0.12335
P51432,0.156
P51655,0.137
P51660,0.15895
P51667,0.06255
P51855,0.0838
P51859,0.109
P51881,0.04705
P51885,0.0712
P51910,2.0575
P52196,0.04645
P52293,0.712333333
P52430,0.111
P52479,0.3315
P52480,0.12195
P52503,0.06495
P52825,0.0396
P53026,0.132166667
P53395,0.03675
P53612,0.15515
P53702,0.1026
P53810,0.1745
P53811,0.158
P53986,0.117
P53994,0.3178
P53995,0.247
P53996,0.573
P54071,0.0298
P54103,0.211666667
P54116,0.09255
P54227,0.2108
P54265,0.171333333
P54320,0.12875
P54726,0.1845
P54728,0.19785
P54729,0.2445
P54731,0.367
P54775,0.1646
P54797,0.1388
P54822,0.10965
P54823,0.399
P54923,0.14685
P55096,0.162611111
P55264,0.12685
P55284,0.5794
P55292,0.0919
P55772,0.1208
P55937,0.203833333
P56212,0.241625
P56371,0.199333333
P56375,0.12935
P56376,0.06905
P56380,0.09485
P56387,0.4925
P56391,0.0375
P56392,0.054125
P56394,0.278
P56395,0.104
P56399,0.14295
P56480,0.0359
P56501,0.060333333
P56528,0.221
P56546,0.9445
P56565,0.1624
P56695,0.12665
P56812,0.2075
P56873,0.449
P56959,0.45
P57080,0.511833333
P57716,0.189
P57724,0.591
P57759,0.209916667
P57776,0.2152
P57780,0.1731
P58021,0.495111111
P58064,0.154
P58137,0.144277778
P58252,0.1688
P58281,0.05435
P58389,0.084
P58771,0.11595
P58774,0.13505
P58854,0.3655
P58871,0.51025
P59017,0.05715
P59041,0.1682
P59325,0.355111111
P59672,0.4812
P59708,0.145666667
P59999,0.095
P60122,0.28325
P60229,0.17155
P60335,0.32675
P60521,0.158
P60670,0.1921
P60766,0.232357143
P60843,0.43605
P60867,0.105
P61014,0.1602
P61021,0.302055556
P61027,0.1755
P61079,0.269
P61082,0.3963
P61087,0.269
P61089,0.09885
P61148,0.270666667
P61161,0.15445
P61164,0.250666667
P61202,0.14295
P61211,0.2315
P61222,0.19165
P61255,0.051
P61290,0.7556
P61358,0.104388889
P61514,0.082571429
P61759,0.202
P61922,0.10065
P61961,0.168888889
P61965,0.427
P61971,0.08305
P61979,0.3021
P61982,0.14305
P62046,0.8
P62071,0.10475
P62073,0.112
P62075,0.0619
P62082,0.1253
P62137,0.2185
P62141,0.22275
P62192,0.1887
P62196,0.1889
P62204,0.215611111
P62242,0.121
P62245,0.0977
P62254,0.595333333
P62257,0.435333333
P62259,0.11875
P62264,0.11565
P62267,0.086
P62270,0.086
P62274,0.103
P62281,0.095
P62301,0.1127
P62315,0.151166667
P62320,0.0978
P62334,0.20635
P62500,0.388
P62627,0.38215
P62631,0.1095
P62702,0.0863
P62743,0.104888889
P62748,0.1665
P62751,0.1785
P62774,0.192785714
P62806,0.02065
P62814,0.2915
P62821,0.2106
P62827,0.16585
P62830,0.1172
P62843,0.1165
P62849,0.1182
P62852,0.102
P62855,0.118833333
P62858,0.116125
P62869,0.2816
P62874,0.179666667
P62880,0.1237
P62881,0.088
P62889,0.114666667
P62892,1.326
P62897,0.0377
P62908,0.12025
P62911,0.06415
P62918,0.1178
P62932,0.96015
P62960,0.160357143
P62962,0.1201
P62983,0.122142857
P62996,0.129
P63001,0.298
P63005,0.28195
P63011,0.26745
P63017,0.14325
P63028,0.62085
P63030,0.05185
P63038,0.03235
P63073,0.3165
P63085,0.1559
P63101,0.1547
P63147,1.5996
P63158,0.1093
P63168,0.1365
P63213,0.089
P63242,0.2020625
P63248,0.297
P63254,0.162
P63276,0.1315625
P63280,0.524875
P63325,0.0986
P63328,0.145
P63330,0.227
P67778,0.04325
P68033,0.083
P68037,0.12495
P68040,0.1488
P68134,0.0325
P68181,0.246333333
P68254,0.24795
P68368,0.1258
P68372,0.073
P68433,0.027
P68510,0.18465
P69566,0.609833333
P70122,0.5449
P70168,0.1968
P70170,0.3276
P70182,0.371
P70195,0.1445
P70207,0.167
P70236,0.1625
P70257,0.1155
P70261,0.1955
P70265,0.379333333
P70271,0.2459
P70274,0.8925
P70288,1.3098
P70290,0.071
P70296,0.08835
P70297,3.476
P70313,0.149
P70333,0.2049375
P70335,0.242333333
P70336,0.240611111
P70349,0.08775
P70362,0.216
P70372,0.275555556
P70389,0.8112
P70398,0.23795
P70404,0.0572
P70414,0.2772
P70452,0.272333333
P70460,0.234125
P70663,3.502
P70670,0.2061
P70695,0.14175
P70697,0.793666667
P70698,0.4112
P70699,0.3895
P70704,0.19425
P80313,0.18745
P80314,0.1847
P80315,0.1464
P80316,0.19425
P80317,0.1859
P80318,0.1888
P81117,0.442
P82198,0.493666667
P82348,0.336
P82349,0.110666667
P82350,0.190875
P83870,0.197
P83917,0.163
P83940,0.187
P84084,0.318083333
P84091,0.202214286
P84099,0.126
P84104,0.143666667
P84228,0.1235
P85094,0.05275
P97290,0.831625
P97314,0.1952
P97315,0.1557
P97328,0.104
P97333,0.3715
P97351,0.11545
P97352,0.15525
P97355,0.149214286
P97364,0.0925
P97370,0.1845
P97371,0.19805
P97372,0.1155
P97379,0.1411
P97384,0.19295
P97386,0.202
P97390,0.164625
P97393,0.576
P97414,1.103
P97429,0.13725
P97434,0.1625
P97443,0.1179
P97447,0.5593
P97449,0.145
P97450,0.0462
P97461,0.163
P97467,0.39195
P97471,2.578666667
P97478,0.0491
P97493,0.1454
P97494,0.106666667
P97496,0.38
P97742,0.128666667
P97760,1.1705
P97765,0.232625
P97807,0.03695
P97821,0.492333333
P97822,0.77785
P97823,0.067
P97825,0.321
P97855,0.16255
P97872,0.385
P97927,0.12505
P97930,0.0465
P98078,0.55525
P98083,0.102333333
P98192,0.258
P98203,0.0895
P99024,0.206
P99026,0.180285714
P99027,0.1257
P99028,0.056
P99029,0.0469
Q00493,0.554375
Q00519,0.22215
Q00612,0.225333333
Q00623,0.61345
Q00897,0.214444444
Q00915,0.294357143
Q00PI9,0.3496
Q01149,0.0483125
Q01279,0.48285
Q01339,1.5058
Q01341,0.368833333
Q01405,0.1805
Q01730,0.087
Q01768,0.330214286
Q01853,0.21505
Q02013,0.113
Q02053,0.14675
Q02248,0.1499
Q02257,0.1009
Q02357,0.517214286
Q02566,0.08
Q02788,0.0335
Q02819,0.663
Q03173,0.318
Q03249,0.06
Q03265,0.041
Q03311,0.202333333
Q03734,3.127
Q03958,0.224
Q04207,0.403
Q04447,0.1136
Q04750,0.187
Q04857,0.0415
Q05144,0.3107
Q05512,0.123
Q05793,0.11495
Q05816,0.1366
Q05920,0.0851
Q05BC3,0.1186
Q05CL8,0.094
Q05D44,0.391
