UniProt,median.K
A2A432,0.708203
A2AAJ9,0.100415
A2ADF7,0.367139
A2AGT5,0.1921505
A2AIL4,0.068921
A2AJI0,0.522412
A2AMM0,0.069714
A2AN08,0.304395
A2APY7,0.062207
A2ASQ1,0.1074645
A2ASS6,0.075757
A2AUC9,0.1848875
A2AWA9,1.870312
A3KFX0,0.308057
A3KG59,0.124219
A3KMP2,0.098645
A6H611,0.231763
A6H6A9,0.346875
A6H6E2,0.462598
A7RDN6,0.046216
B1AY13,0.365918
B2RQC6,0.2112545
B2RXC1,1.815625
B7ZMP1,0.202832
D3Z7P3,0.156689
E9Q401,0.137402
E9Q557,0.217236
E9Q8I9,0.377148
G5E8K5,0.209668
O08528,0.172803
O08529,0.156445
O08532,0.135693
O08547,0.162549
O08553,0.143018
O08579,0.805859
O08583,0.189893
O08600,0.119336
O08605,0.237988
O08638,0.1216555
O08663,0.169141
O08677,0.728711
O08709,0.088086
O08715,0.2470215
O08739,0.082013
O08746,0.678906
O08749,0.037366
O08756,0.0297055
O08759,0.255078
O08788,0.180371
O08795,0.306836
O08808,0.2978025
O08810,0.230176
O08848,0.396191
O08915,0.352002
O08917,0.1445435
O08997,0.118604
O09061,0.1078005
O09110,0.318555
O09111,0.041562
O09131,0.10188
O09161,0.064984
O09164,0.525586
O09167,0.139294
O35074,0.382031
O35129,0.0298125
O35206,0.128125
O35226,0.288525
O35286,0.482617
O35295,0.121045
O35343,0.308911
O35344,0.280713
O35345,0.386914
O35381,0.1825685
O35387,0.154004
O35435,0.064648
O35459,0.1605955
O35593,0.1399655
O35639,0.1773195
O35643,0.179395
O35678,0.218945
O35682,0.143872
O35737,0.261426
O35855,0.037671
O35857,0.084119
O35864,0.130566
O35887,0.173047
O35943,0.0448425
O35955,0.159741
O35972,0.074963
O54724,0.081067
O54734,0.164258
O54774,0.279492
O54931,0.508984
O54946,0.121167
O54950,0.187207
O54984,0.231152
O55023,0.079724
O55028,0.111768
O55029,0.2464115
O55106,0.948438
O55111,0.078046
O55126,0.041333
O55131,0.202344
O55135,0.335156
O55143,0.124341
O55222,0.093579
O55234,0.1285525
O70133,0.272168
O70194,0.6125
O70209,0.278027
O70250,0.0716065
O70251,0.242871
O70252,0.241406
O70310,0.218945
O70318,0.448438
O70373,0.5353515
O70400,0.16084
O70423,0.025769
O70433,0.10127
O70435,0.1156125
O70468,0.1004455
O70481,0.319043
O70492,0.027417
O70548,0.878125
O70571,1.354687
O70622,0.0750245
O88322,0.068188
O88342,0.11073
O88441,0.045178
O88487,0.1479
O88492,0.17207
O88520,0.131543
O88531,0.1670655
O88533,0.0980955
O88543,0.183301
O88544,0.155591
O88545,0.1127445
O88569,0.305859
O88587,0.2168705
O88653,0.267041
O88667,0.329785
O88685,0.2539795
O88696,0.103101
O88712,0.258252
O88792,0.044202
O88844,0.085339
O88947,0.779492
O88967,0.332715
O89017,0.770703
O89020,0.68501
O89053,0.235303
O89079,0.360547
O89084,0.338574
O89086,0.25166
O89103,0.471875
O89112,0.108228
P00329,0.098828
P00397,0.067334
P00405,0.041821
P00416,0.042615
P00493,0.181592
P00848,0.025159
P00920,0.0203065
P01027,1.39375
P01831,0.175244
P01867,0.176465
P01872,0.345898
P01898,1.085156
P01942,0.028775
P02463,0.081555
P02468,0.058911
P02469,0.058728
P02802,0.330762
P03888,0.031323
P03893,0.032239
P03911,0.033154
P03921,0.040051
P03930,0.042554
P04117,0.127393
P04186,1.620312
P04247,0.05528
P04919,0.0253115
P05064,0.145215
P05125,0.385938
P05132,0.225537
P05201,0.0874145
P05202,0.035931
P05977,0.255566
P06151,0.1185425
P06683,1.058789
P06728,1.163281
P06745,0.081982
P06801,0.117932
P06909,1.249219
P07310,0.069653
P07356,0.138013
P07724,0.269238
P07759,0.6950195
P07901,0.175488
P07934,0.225781
P08003,0.1462525
P08032,0.064771
P08113,0.1688965
P08122,0.081372
P08226,2.1320315
P08228,0.061719
P08249,0.0336425
P08607,2.05
P08752,0.216504
P09055,0.2589845
P09103,0.2300535
P09405,0.422559
P09411,0.087476
P09528,0.412305
P09541,0.1719485
P09542,0.067212
P09671,0.032666
P09813,0.570752
P09925,0.089795
