UniProt,median.K
A2A8U2,0.17475
A2AAJ9,0.08515
A2ADF7,0.27395
A2ADY9,0.393
A2AGT5,0.5061
A2AHC3,0.237
A2AIL4,0.0900625
A2AJI0,0.8455625
A2AKG8,0.121625
A2AMM0,0.0634
A2AN08,0.2508
A2APY7,0.07
A2AQ25,0.2649
A2ASQ1,0.0857
A2ASS6,0.0619
A2AUC9,0.14265
A2BDX3,0.191
A3KFX0,0.51095
A3KG59,0.35895
A3KGS3,0.108
A3KMP2,0.113714286
A6H584,0.203055556
A6H611,0.197
A6H630,0.075285714
A6H6A9,0.550666667
A6H6E2,0.503125
A6H8H2,0.920944444
A6X8Z5,0.422
A6X935,1.3989
A7RDN6,0.023
B1AR13,0.043
B1AY13,0.407785714
B1AZI6,0.2354
B2RQC6,0.3594
B2RRE7,0.2635
B2RXR6,1.659
B2RXS4,0.266625
B2RY04,0.277
B7ZMP1,0.0796
D3YZP9,0.15
D3Z7P3,0.293
E9PV87,0.216
E9Q401,0.11245
E9Q414,0.664666667
E9Q557,0.19355
E9Q634,0.441388889
F6ZDS4,0.170571429
G3X9K3,0.11825
G5E870,0.332
G5E8K5,0.22485
O08528,0.1567
O08529,0.1221
O08532,0.2268
O08547,0.10395
O08553,0.11745
O08579,0.244333333
O08582,0.1235
O08599,0.1125
O08600,0.11775
O08638,0.1143
O08663,0.325333333
O08677,0.6942
O08709,0.07645
O08715,0.31385
O08739,0.0700625
O08746,0.244
O08749,0.0311
O08756,0.0302
O08759,0.1738125
O08788,0.15115
O08795,0.182555556
O08807,0.20475
O08808,0.1675
O08810,0.20265
O08848,0.35785
O08911,0.104333333
O08915,0.1977
O08917,0.1356
O08992,0.048
O08997,0.1197
O09044,0.44825
O09061,0.1258
O09106,0.27975
O09110,0.209666667
O09111,0.0256
O09114,0.725333333
O09131,0.0861
O09159,1.561833333
O09161,0.05085
O09165,2.578
O09167,0.0873
O09172,0.14725
O09174,0.05375
O35074,0.2258
O35075,0.176666667
O35114,0.254
O35127,0.811
O35129,0.03095
O35143,0.336833333
O35206,0.0804
O35226,0.3208
O35250,0.222
O35286,0.2912
O35295,0.081
O35309,0.609333333
O35326,0.52075
O35343,0.187444444
O35344,0.264
O35345,0.462875
O35350,0.108277778
O35379,0.350875
O35381,0.17655
O35382,0.1667
O35386,1.70685
O35435,0.06945
O35459,0.15205
O35465,0.227
O35551,0.26
O35566,0.236
O35593,0.14615
O35598,0.1655
O35604,0.915
O35609,0.12
O35639,0.1246
O35643,0.16055
O35658,0.065375
O35678,0.1931
O35682,0.12475
O35685,0.247142857
O35711,0.495666667
O35841,0.344055556
O35855,0.0352
O35857,0.0853
O35887,0.3404
O35900,0.193416667
O35943,0.0314
O35972,0.16075
O54692,0.858
O54724,0.06195
O54734,0.18435
O54754,0.11575
O54774,0.17355
O54865,1.072
O54879,0.079
O54901,0.12625
O54931,0.19475
O54946,0.1415
O54950,0.16865
O54962,0.1534
O54984,0.16745
O55013,0.2005
O55023,0.066111111
O55026,0.055833333
O55028,0.10685
O55029,0.1483
O55060,0.09425
O55101,0.564
O55111,0.0565
O55126,0.0334
O55131,0.16485
O55135,0.3134
O55137,0.093
O55142,0.11025
O55143,0.10285
O55201,0.634
O55222,0.08655
O55229,0.141
O55234,0.1071
O70133,0.26765
O70152,0.497
O70194,0.35575
O70209,0.1718
O70228,27.67577778
O70250,0.0574
O70251,0.1168
O70252,0.168055556
O70305,0.34825
O70309,0.298
O70310,0.2726
O70318,0.3385
O70373,0.2648
O70378,0.124833333
O70400,0.20475
O70423,0.077666667
O70433,0.1103
O70435,0.1605
O70439,0.31935
O70468,0.0852
O70481,0.886416667
O70492,0.338
O70493,0.0835
O70496,0.235
O70503,0.168916667
O70548,0.7162
O70571,0.6572
O70622,0.0628
O88207,0.05725
O88322,0.05245
O88342,0.07775
O88441,0.04015
O88456,0.121
O88487,0.146888889
O88492,0.1562
O88531,0.195
O88543,0.1144375
O88544,0.13275
O88545,0.1678
O88569,0.1368
O88587,0.20765
O88623,0.721875
O88653,0.2695
O88667,0.4951875
O88685,0.16375
O88696,1.8435
O88712,0.2226
O88736,0.0935
O88738,0.3178
O88746,0.24985
O88844,0.07975
O88851,0.087333333
O88935,0.073
O88947,0.1285
O88958,0.217
O88967,0.28005
O88983,0.336666667
O88986,0.0971
O89017,0.4836
O89020,0.408277778
O89023,0.0779
O89051,0.9785
O89053,0.1632
O89079,1.53
O89084,0.443666667
O89103,0.411
O89112,0.068
P00158,0.17715
P00329,0.1002
P00397,0.0547
P00405,0.03945
P00416,0.0396
P00493,0.1328
P00848,0.024
P00920,0.02
P01027,1.34275
P01029,0.5956
P01631,0.2655
P01831,0.1365
P01867,0.2435
P01872,0.3882
P01887,1.1568
P01898,0.6105
P01902,0.587
P01921,0.587
P01942,0.01945
P02088,0.01645
P02089,0.0182
P02463,0.05535
P02468,0.03915
P02469,0.04135
P02798,0.20325
P02802,0.19
P03888,0.0242
P03893,0.028
P03899,0.0332
P03911,0.031
P03921,0.03225
P03930,0.031
P03953,0.857
P04117,0.0796
P04186,1.4072
P04247,0.04995
P04919,0.131583333
P05064,0.12475
P05125,0.38895
P05132,0.17745
P05201,0.0686
P05202,0.03125
P05555,1.918
P06151,0.08775
P06683,1.057
P06728,0.22
P06745,0.0682
P06800,1.1015
P06801,0.1073
P06909,0.79725
P07091,0.15
P07310,0.06425
P07356,0.0797
P07361,1.792
P07724,0.2186
P07759,0.5312
P07901,0.13365
P08003,0.187
P08030,0.092
P08032,0.1121
P08074,0.1344
P08113,0.1612
P08121,0.0685
P08122,0.04935
P08207,0.088
P08226,1.60255
P08228,0.0579
P08249,0.03005
P08551,0.2525
P08607,0.485
P08752,0.1472
P09055,0.16725
P09103,0.18735
P09242,0.341
P09405,0.235
P09411,0.05605
P09470,0.20135
P09528,0.3897
P09541,0.15175
P09542,0.0648
P09581,1.017
P09671,0.034
P09813,0.567
P09925,0.0875
P0C0A3,0.111
P0C605,0.117857143
P0CW02,0.452
P10107,0.25225
P10126,0.1356
P10493,0.06385
P10518,0.0998
P10605,0.3069
P10630,0.31535
P10637,0.12655
P10639,0.085375
P10649,0.0825
P10833,0.13205
P10852,0.787
P10922,0.0196
P11087,0.044428571
P11103,0.732333333
P11276,0.39535
P11352,0.090444444
P11404,0.0449
P11438,0.209071429
P11499,0.16855
P11531,0.0635
P11589,1.957
P11679,0.6825
P11688,0.118
P11798,0.101625
P11859,0.2245
P11930,0.084
P11983,0.1962
P12242,0.1974
P12246,0.320666667
P12367,0.0797
P12382,0.1588
P12787,0.03715
P12970,0.10495
P13020,0.4779
P13541,0.051
P13595,0.83375
P13597,0.261
P13634,0.479
P13707,0.11235
P14094,0.07305
P14106,0.103
P14115,0.1638
P14131,0.07115
P14142,0.303
P14148,0.076
P14152,0.0595
P14206,0.07605
P14211,0.18555
P14576,0.2436
P14602,0.15565
P14685,0.17935
P14824,0.09055
P14869,0.09015
P14873,0.381857143
P15092,0.409
P15105,0.767785714
P15116,0.06915
P15327,0.0754
P15508,0.13665
P15532,0.08525
P15626,0.0961
P16015,0.16065
P16045,0.1053
P16110,0.2931
P16125,0.0861
P16254,0.152
P16330,0.27525
P16332,0.10835
P16460,0.0835
P16546,0.06365
P16858,0.07915
P17047,0.369
P17095,0.067
P17156,0.236
P17182,0.0619
P17183,0.144333333
P17225,0.1681
P17426,0.2398
P17427,0.1439
P17439,0.1425
P17563,0.08245
P17665,0.02
P17710,0.0585
P17742,0.0977
P17751,0.0602
P17809,0.134625
P17879,0.185
P18242,0.2215
P18572,0.1355
P18653,0.163333333
P18760,0.2171
P18826,0.433
P18872,0.0996
P19096,0.2873
P19123,0.12275
P19157,0.078166667
P19221,0.34815
P19253,0.160666667
P19258,0.055857143
P19324,0.3073
P19536,0.0296
P19783,0.0376
P19973,0.1464
P20029,0.15445
P20060,1.162
P20108,0.0289
P20152,0.13825
P20918,0.6405
P21107,0.2755
P21126,0.5725
P21271,0.0926
P21278,0.183
P21279,0.1575
P21300,0.047
P21460,0.6135
P21550,0.06595
P21614,1.3661
P21619,0.23455
P21812,0.0605
P21844,0.017
P21956,0.524375
P21981,0.0879
P22315,0.11415
P22599,0.47895
P22892,0.2315
P22907,0.22285
P23116,0.27535
P23198,0.179
P23242,0.1132
P23492,0.1058
P23506,0.0691
P23591,0.067
P23927,0.16455
P23953,0.49795
P24270,0.2454
P24369,0.14465
P24472,0.0501
P24527,0.08525
P24529,0.1125
P24547,0.5365
P24549,0.13485
P25444,0.07585
P25799,0.289
P26039,0.15475
P26040,0.1341
P26041,0.13945
P26043,0.16865
P26231,0.356
P26262,0.6408
P26369,0.238333333
P26443,0.04035
P26516,0.1352
P26638,0.2329
P26645,0.226
P26883,0.09975
P27546,0.16985
P27612,0.12125
