UniProt,median.K
A2A8U2,0.101636
A2AAJ9,0.085461
A2ADF7,0.3268555
A2AGT5,0.5939455
A2AIL4,0.0767945
A2AKG8,0.098096
A2AMM0,0.069852
A2AN08,0.25459
A2APY7,0.069287
A2AQ25,0.268262
A2ASQ1,0.1096315
A2ASS6,0.060986
A2AUC9,0.143994
A3KFX0,0.540234
A3KG59,0.322949
A6H584,0.090924
A6H611,0.2180905
A6H630,0.083081
A6H8H2,7.3
A6X935,1.3546875
B1AR13,0.042981
B1AY13,0.236035
B1AZI6,0.24043
B2RQC6,0.406445
B7ZMP1,0.078687
D3Z7P3,0.27168
E9Q401,0.108228
E9Q557,0.202832
E9Q634,11.3
G5E8K5,0.200879
O08528,0.154614
O08529,0.111279
O08532,15.7171145
O08547,0.1081055
O08553,0.117993
O08579,0.322461
O08582,0.13374
O08600,0.125928
O08638,0.1154295
O08677,0.809766
O08709,0.0754665
O08715,0.311841
O08739,0.068921
O08749,0.0307435
O08756,0.029721
O08759,0.1846435
O08788,0.13667
O08795,0.168408
O08807,0.172437
O08810,0.213208
O08848,0.37843
O08915,0.169141
O08917,0.136548
O08997,0.108838
O09044,0.451367
O09061,0.124402
O09110,0.160596
O09111,0.027722
O09131,0.081738
O09161,0.050488
O09167,0.093213
O09174,0.052045
O35074,0.250195
O35075,0.191357
O35127,1.370312
O35129,0.028394
O35143,0.671094
O35206,0.0799075
O35226,0.436719
O35286,0.283887
O35295,0.053174
O35343,0.210889
O35344,0.263745
O35345,0.549023
O35350,0.1048095
O35381,0.18501
O35382,0.1460695
O35386,1.760937
O35435,0.0733155
O35459,0.156445
O35566,0.235791
O35593,0.149121
O35639,0.120679
O35643,0.155774
O35658,0.042493
O35678,0.207837
O35682,0.12605
O35841,0.429883
O35855,0.035291
O35857,0.075085
O35887,0.199414
O35900,0.263379
O35943,0.030347
O35972,0.177441
O54724,0.062085
O54734,0.189038
O54774,0.171216
O54946,0.138013
O54950,0.188916
O54962,0.1483885
O54984,0.181714
O55013,0.189648
O55023,0.066724
O55028,0.102246
O55029,0.130811
O55060,0.096509
O55111,0.048962
O55126,0.0319335
O55131,0.150708
O55135,0.278516
O55142,0.102734
O55143,0.102612
O55222,0.08418
O55234,0.1045655
O70133,0.270093
O70194,0.478711
O70209,0.1875735
O70250,0.056287
O70251,0.120557
O70252,0.168164
O70310,0.254956
O70318,0.338574
O70373,0.286084
O70378,0.107861
O70400,0.128735
O70423,0.052563
O70433,0.11311
O70435,0.186261
O70439,0.246289
O70468,0.085614
O70492,0.3361325
O70548,0.7394535
O70571,0.437695
O70622,0.061871
O88207,0.05885
O88322,0.046765
O88342,0.07771
O88441,0.039746
O88456,0.116772
O88487,0.154675
O88492,0.1482055
O88531,0.187207
O88544,0.131726
O88569,0.1791505
O88587,0.204236
O88623,0.735547
O88653,0.2696045
O88667,0.543164
O88685,0.1625485
O88712,0.27876
O88736,63.6978575
O88738,0.35957
O88746,0.2103395
