UniProt,median.K
A2A432,0.7
A2A8U2,0.450111111
A2AAJ9,0.10245
A2ADF7,0.352111111
A2ADY9,0.455
A2AGT5,0.39585
A2AHC3,0.4665
A2AIL4,0.1284
A2AJ88,0.273666667
A2AJI0,0.47015
A2AKG8,0.104
A2AMM0,0.06075
A2AN08,0.2558
A2APV2,0.997
A2APY7,0.074
A2AQ25,1.0694
A2ASQ1,0.330666667
A2ASS6,0.0701
A2AUC9,0.2162
A2BDX3,0.335
A3KFX0,0.228
A3KG59,0.2315
A3KGS3,0.571333333
A3KMP2,0.0945
A6H584,0.120222222
A6H611,0.1956
A6H630,0.07625
A6H6A9,0.2509
A6H6E2,0.63255
A6H8H2,0.296375
A6X8Z5,2.145
A6X935,0.9894
A7RDN6,0.069
B1AR13,0.0435
B1AUE5,0.091
B1AY13,0.2825625
B1AZI6,1.438
B1AZP2,0.3935
B2RQC6,0.3851
B2RRE7,0.145833333
B2RSH2,0.262666667
B2RXS4,0.30045
B7ZMP1,0.1
B8ZXI1,0.1465
D3YXK2,0.165
D3Z4S3,0.219
D3Z750,0.138
D3Z7P3,0.208125
E9Q1P8,0.364571429
E9Q401,0.1347
E9Q414,0.568916667
E9Q555,0.63725
E9Q557,0.23415
E9Q634,0.450388889
E9Q8I9,0.333
F6ZDS4,0.942
G3X9K3,0.2055
G5E870,0.811583333
G5E8K5,0.205166667
O08528,0.1978
O08529,0.20375
O08532,0.1536
O08547,0.19195
O08553,0.16025
O08573,0.888
O08579,0.425333333
O08582,0.255666667
O08583,0.179
O08599,0.2434375
O08600,0.1363
O08605,0.2995
O08638,0.1278
O08648,0.4615
O08663,0.44935
O08677,0.96505
O08709,0.0774
O08715,0.37835
O08739,0.222857143
O08746,0.3785
O08749,0.035
O08756,0.12535
O08759,0.2853125
O08788,0.16855
O08795,0.29465
O08807,0.27475
O08808,0.51875
O08810,0.20265
O08848,0.304666667
O08911,0.105
O08915,0.41175
O08917,0.15435
O08992,0.165
O08997,0.18645
O08999,0.6265
O09044,0.429833333
O09061,0.12215
O09106,0.1605
O09110,0.43075
O09111,0.03475
O09131,0.0765
O09161,0.0593
O09164,0.324
O09167,0.13585
O09172,0.167857143
O09174,0.05905
O35074,0.44685
O35075,0.209714286
O35083,0.077
O35114,0.64525
O35127,1.2095
O35129,0.03125
O35143,0.088611111
O35206,0.14155
O35226,0.459
O35286,0.6815625
O35295,0.066
O35326,0.449571429
O35343,0.3203
O35344,0.20675
O35345,0.230666667
O35350,0.156833333
O35379,0.23965
O35381,0.1765
O35382,0.24375
O35386,1.6375
O35387,0.158833333
O35435,0.055916667
O35459,0.1377
O35465,0.3022
O35551,0.815
O35593,0.1479
O35598,0.34
O35604,0.4265
O35638,0.568333333
O35639,0.20565
O35643,0.19185
O35658,0.04585
O35678,0.1976
O35682,0.1448
O35683,0.2705
O35685,0.263571429
O35737,0.34005
O35744,0.128
O35841,0.27935
O35855,0.0378
O35857,0.09135
O35864,0.1366875
O35887,0.5585
O35900,0.1105
O35943,0.031333333
O35955,0.171
O35972,0.117571429
O54692,0.732875
O54724,0.08185
O54734,0.25655
O54774,0.24035
O54784,0.618
O54865,0.228444444
O54879,0.106
O54901,0.606916667
O54931,0.836722222
O54946,0.1739
O54950,0.14935
O54962,0.20955
O54984,0.20465
O54988,0.4279375
O55013,0.1929
O55023,0.10205
O55026,0.1025
O55028,0.105888889
O55029,0.3705
O55060,0.106
O55101,0.106
O55106,0.347
O55111,0.0889
O55126,0.036
O55131,0.297722222
O55135,0.4998
O55137,0.168333333
O55142,0.211666667
O55143,0.09745
O55201,0.9745
O55222,0.1346
O55234,0.1225
O70133,0.30765
O70152,0.47475
O70194,0.25285
O70209,0.23925
O70250,0.0617
O70251,0.2151
O70252,0.24515
O70305,0.286
O70310,0.23195
O70318,0.58975
O70362,0.381
O70370,1.587333333
O70373,0.5569
O70378,0.1566
O70400,0.196722222
O70404,0.173
O70423,0.0628
O70433,0.1129
O70435,0.18215
O70439,0.24
O70468,0.0955
O70475,0.679166667
O70481,0.348666667
O70492,0.3654
O70493,0.145
O70496,0.421625
O70503,0.0765
O70548,1.2225
O70566,0.3095
O70571,2.642
O70572,0.44
O70591,0.169
O70622,0.0524
O88207,0.64225
O88322,0.1770625
O88342,0.1453
O88441,0.04555
O88447,0.735
O88487,0.19165
O88492,0.18075
O88508,0.271666667
O88512,0.105
O88520,0.082333333
O88531,0.32575
O88532,0.204
O88543,0.167714286
O88544,0.1494
O88545,0.18
O88569,0.21215
O88587,0.23425
O88623,1.1045
O88653,0.4036
O88667,0.594333333
O88685,0.2183
O88696,0.0764
O88712,0.273125
O88736,0.1785
O88738,0.5445
O88746,0.26235
O88792,0.169333333
O88811,1.455
O88844,0.0826
O88851,0.130666667
O88947,0.1
O88952,0.11
O88958,0.097333333
O88967,0.2776
O88983,0.263142857
O89001,3.0655
O89017,0.74375
O89020,0.30435
O89023,0.129375
O89051,0.775666667
O89053,0.312714286
O89079,0.3495
O89084,0.1375
O89103,0.402611111
O89112,0.20375
O89114,0.324416667
P00158,0.03725
P00329,0.130916667
P00397,0.0681
P00405,0.02995
P00416,0.04265
P00493,0.21455
P00848,0.0265
P00920,0.024
P01027,1.00845
P01029,0.87785
P01831,0.2178
P01837,1.3955
P01872,0.32635
P01887,0.460722222
P01898,0.567
P01902,1.3555
P01921,0.581
P01942,0.03
P02088,0.03715
P02089,0.019
P02463,0.0835
P02468,0.0579
P02469,0.06815
P02802,0.2445
P03888,0.029
P03911,0.0258
P03921,0.135142857
P03930,0.037
P03958,0.534
P03987,0.363
P04117,0.1043
P04186,1.65635
P04247,0.04425
P04919,0.177
P05064,0.14365
P05125,0.46685
P05132,0.197
P05201,0.06965
P05202,0.0307
P05555,0.754071429
P05622,0.378083333
P05784,0.588555556
P05977,0.0855
P06151,0.12565
P06683,0.8795
P06728,0.33975
P06745,0.0882
P06800,0.431125
P06801,0.1148
P06909,0.7226
P07091,0.30875
P07214,1.6696
P07310,0.05375
P07356,0.2027
P07361,0.643
P07724,0.2208
P07742,0.251
P07759,0.63035
P07901,0.193
P07934,0.145375
P08003,0.20145
P08030,0.189285714
P08032,0.10295
P08071,0.208666667
P08074,0.20825
P08113,0.26715
P08121,0.341
P08122,0.1427
P08207,0.307
P08226,2.8286
P08228,0.0598
P08249,0.0305
P08607,0.603
P08752,0.23985
P08775,0.189666667
P09055,0.3044
P09103,0.33265
P09242,0.111
P09405,0.3592
P09411,0.08625
P09470,0.2234
P09528,0.5428125
P09541,0.1526
P09542,0.0534
P09581,2.36175
P09671,0.02615
P09813,0.46125
P09925,0.167
P0C0A3,0.1375
P0C605,0.1915
P0CW02,0.232
P10107,0.3324
P10126,0.29225
P10493,0.0956
P10518,0.1096
P10605,0.42035
P10630,0.3011
P10637,0.08
P10639,0.135555556
P10649,0.078625
P10711,0.66425
P10810,0.365
P10833,0.2514
P10852,0.3499
P10922,0.034
P11031,0.514875
P11087,0.223125
P11103,1.0511
P11152,1.37595
P11247,0.1176875
P11276,0.6515
P11352,0.15315
