UniProt,median.K
A2A8U2,0.332666667
A2AAE1,0.093
A2AAJ9,0.0949
A2ADF7,0.238
A2ADY9,0.045
A2AGT5,0.400333333
A2AIL4,0.0435
A2AJI0,0.6048
A2AMM0,0.07365
A2AN08,0.29165
A2AQ25,0.274
A2AQP0,0.195
A2ARP1,0.21275
A2ASQ1,0.047
A2ASS6,0.06775
A2AUC9,0.169
A2BDX3,0.1505
A3KFX0,0.086
A3KG59,0.2802
A3KMP2,0.08705
A6H5Y3,1.4875
A6H611,0.4725
A6H630,0.091
A6H6A9,1.9295
A6H8H2,0.406357143
A6X935,1.9955
B1AUE5,0.129
B1AY13,0.218833333
B1AZI6,0.055
B2RQC6,0.274214286
B2RRE7,0.219
B2RXR6,0.232
B2RXS4,0.5262
B7ZMP1,0.0805
D3Z7P3,0.12625
E9Q401,0.1293
E9Q414,2.8965
E9Q557,0.18085
E9Q8I9,0.4145
F6ZDS4,0.492
G3X9K3,0.188
G5E8K5,0.245857143
O08528,0.1641
O08529,0.124
O08532,0.11645
O08547,0.126
O08553,0.11395
O08573,0.701
O08579,0.239666667
O08585,0.548857143
O08599,0.075
O08600,0.11075
O08638,0.0955
O08648,0.3825
O08663,0.178333333
O08677,0.7415
O08709,0.0748
O08715,0.21705
O08739,0.043
O08749,0.03755
O08756,0.03185
O08759,7.320166667
O08788,0.2028
O08795,0.3634
O08807,0.2215
O08808,0.895333333
O08810,0.149277778
O08848,0.185
O08911,0.111
O08915,4.56
O08917,0.15475
O08992,0.14925
O08997,0.1129
O09044,0.34725
O09061,0.1403
O09110,0.385
O09111,0.035444444
O09114,2.891
O09131,0.107166667
O09159,0.890375
O09161,0.04425
O09164,0.37525
O09165,1.2728
O09172,0.172083333
O09174,0.06835
O35074,0.2661
O35075,0.1658125
O35114,0.70845
O35129,0.03
O35143,0.233
O35206,0.1058
O35226,0.409125
O35286,0.2315
O35295,0.0408
O35309,0.385
O35326,0.89525
O35343,0.273
O35344,0.22585
O35345,0.298
O35350,0.13575
O35379,0.147
O35381,0.12835
O35382,0.12625
O35386,2.2702
O35435,0.04995
O35459,0.1668
O35490,0.124333333
O35551,1.3169375
O35566,0.260722222
O35593,0.1384
O35598,1.251
O35604,0.5235
O35609,0.34855
O35639,0.10105
O35643,0.11295
O35658,0.16
O35678,0.1977
O35682,0.099
O35683,0.2655
O35685,0.3067
O35737,0.3321
O35841,0.630944444
O35855,0.04835
O35857,0.0724
O35864,0.122444444
O35887,0.4989
O35900,0.06225
O35943,0.0586
O35955,0.1378
O35972,0.102357143
O54724,0.0616
O54734,0.20575
O54754,0.290875
O54774,0.16005
O54786,0.16
O54865,0.23075
O54879,0.136
O54890,0.29275
O54901,0.107
O54916,0.168
O54931,0.404
O54950,0.273333333
O54962,0.175
O54984,0.139277778
O54988,0.515222222
O55003,0.472
O55013,0.196375
O55023,0.0628
O55026,2.167875
O55028,0.116611111
O55029,0.269583333
O55042,0.064
O55060,0.102166667
O55106,0.531
O55111,0.111111111
O55126,0.0405
O55131,0.13975
O55135,0.246
O55137,0.066285714
O55142,0.619444444
O55143,0.11995
O55186,0.6675
O55234,0.093333333
O70133,0.200875
O70152,1.394
O70172,0.227
O70194,0.256222222
O70209,0.115
O70250,0.0541
O70251,0.110888889
O70252,0.201333333
O70305,0.3335
O70310,0.319
O70318,0.239
O70362,0.3874375
O70373,0.65795
O70400,0.223
O70423,0.043285714
O70433,0.1229
O70435,0.21825
O70439,0.252
O70468,0.08045
O70475,0.783
O70492,0.6904375
O70493,0.138875
O70548,1.08
O70571,0.9465
O70572,0.078375
O70591,0.2605
O70622,0.0902
O88322,0.0605
O88342,0.08345
O88428,0.548277778
O88441,0.0438
O88447,0.317666667
O88456,0.142375
O88487,0.1205
O88492,0.1628
O88531,0.30535
O88533,0.1235
O88543,0.14625
O88544,0.12165
O88545,0.164583333
O88569,0.19365
O88587,0.20095
O88653,0.300285714
O88667,0.65235
O88685,0.2056
O88696,0.0817
O88712,0.1721875
O88738,0.917888889
O88746,0.2115
O88792,0.156666667
O88844,0.08005
O88851,0.1121875
O88947,0.6484375
O88958,0.1465
O88967,0.28735
O88983,0.5471
O88986,0.042
O89017,0.67125
O89020,0.53585
O89051,0.76595
O89079,0.2217
O89103,0.7875
O89112,0.085388889
O89114,0.929333333
P00158,0.0348
P00329,0.12465
P00397,0.0663
P00405,0.03885
P00416,0.043
P00493,0.57485
P00920,0.0344
P01027,1.54565
P01029,1.061444444
P01831,0.114
P01872,0.293
P01887,1.355
P01942,0.03935
P02088,0.02875
P02089,0.0238
P02468,0.051
P02469,0.0596
P02798,0.318
P02802,0.2485
P03888,0.156
P03899,0.040944444
P03911,0.028
P03921,0.164166667
P03930,0.08495
P03953,0.984285714
P04117,0.0792
P04186,1.04155
P04227,0.21775
P04247,0.0551
P04919,0.02815
P05064,0.12855
P05125,0.34725
P05132,0.161555556
P05201,0.0751
P05202,0.03325
P05784,0.108
P05977,0.273
P06151,0.0948
P06537,0.972
P06683,0.54305
P06728,1.338388889
P06745,0.068
P06797,0.5995
P06800,0.525
P06801,0.1047
P06909,0.87635
P07310,0.0622
P07356,0.0688
P07724,0.22545
P07759,0.5757
P07901,0.1597
