UniProt,median.K
A2A8U2,0.417188
A2AAJ9,0.090405
A2AIL4,0.042249
A2AJI0,0.583203
A2AMM0,0.0725525
A2AN08,0.32124
A2ASS6,0.0645565
A2AUC9,0.173047
A3KG59,0.2852295
A3KMP2,0.082959
A6H5Y3,0.402539
A6X935,1.9953125
B1AUE5,0.174023
B2RQC6,0.44209
B2RXS4,0.826367
B7ZMP1,0.0852175
D3Z7P3,0.115186
E9Q401,0.1276975
E9Q557,0.185376
G5E8K5,0.283887
O08528,0.160474
O08529,0.1253785
O08532,0.120557
O08547,0.125806
O08553,0.100049
O08579,0.237012
O08585,0.591992
O08600,0.1149415
O08638,0.095532
O08648,0.400586
O08677,0.647656
O08709,0.075391
O08715,0.2362795
O08749,0.03645
O08756,0.032483
O08759,0.087354
O08788,0.258008
O08795,0.368115
O08807,0.181348
O08810,0.154248
O08915,0.496289
O08917,0.1330685
O08997,0.1165895
O09044,0.349805
O09061,0.1187865
O09111,0.029156
O09131,0.1062135
O09159,1.339062
O09161,0.042828
O09164,0.3961915
O09165,1.257031
O09172,0.126172
O09174,0.069104
O35074,0.2857785
O35075,0.173291
O35114,0.647168
O35129,0.0320255
O35143,0.290723
O35206,0.0927855
O35286,0.254102
O35295,0.045117
O35343,0.227246
O35344,0.2556275
O35350,0.2610595
O35381,0.130261
O35386,2.925
O35435,0.044873
O35459,0.17915
O35551,1.117871
O35566,0.2682615
O35593,0.142773
O35609,0.4221925
O35639,0.0952575
O35643,0.175
O35678,0.202222
O35682,0.099011
O35685,0.372998
O35737,0.226758
O35841,0.467969
O35855,0.045361
O35857,0.070325
O35864,0.104077
O35887,0.590039
O35900,0.066724
O35943,0.078488
O35955,0.161328
O35972,0.1077695
O54724,0.0622375
O54734,0.282361
O54754,0.462109
O54774,0.1613285
O54984,0.126477
O54988,0.393018
O55013,0.123486
O55023,0.0545165
O55026,2.167188
O55028,0.116406
O55029,0.300488
O55111,0.0875215
O55126,0.039502
O55131,0.148816
O55135,0.269238
O55137,0.053662
O55143,0.121045
O55234,0.112988
O70133,0.195508
O70194,0.215771
O70209,0.139355
O70250,0.053693
O70251,0.117139
O70318,0.3
O70362,0.379834
O70373,0.507031
O70400,0.257275
O70433,0.12959
O70435,0.11958
O70468,0.07771
O70492,0.668164
O70493,0.112012
O70548,1.128125
O70591,0.270215
O70622,0.084897
O88342,0.081372
O88428,0.388379
O88441,0.043408
O88456,0.139844
O88487,0.131543
O88492,0.1743895
O88531,0.263379
O88543,0.15498
O88544,0.129956
O88569,0.159863
O88587,0.227368
O88653,0.268262
O88667,0.5126465
O88685,0.2070435
O88696,0.070386
O88738,0.418164
O88746,0.213818
O88792,0.125928
O88844,0.081006
O88851,0.066846
O88947,0.274121
O88967,0.308789
O88983,0.333691
O89017,0.689648
O89020,0.494336
O89051,1.0470705
O89079,0.2281005
O89103,1.138867
O89112,0.0889405
P00158,0.033459
P00329,0.09364
P00397,0.1322755
P00405,0.0441405
P00416,0.042554
P00493,0.254956
P00920,0.029141
P01027,1.784375
P01831,0.113965
P01872,0.2575195
P01887,32.3273435
P01942,0.037915
P02088,0.0288515
P02089,0.023083
P02468,0.049817
P02469,0.043988
P03899,0.037549
P03911,0.0247925
P03921,0.096631
P03930,0.075818
P04117,0.083081
P04186,1.448437
P04247,0.0548215
P04919,0.026868
P05064,0.1331905
P05125,0.355664
P05132,0.201367
P05201,0.075513
P05202,0.0323
P05977,0.2727785
P06151,0.09599
P06683,0.4484375
P06728,1.55
P06745,0.0688595
P06800,0.592969
P06801,0.1227535
P06909,1.0783205
P07310,0.0619935
P07356,0.066724
P07724,0.226758
P07759,0.6203125
P07901,0.1552855
P08003,0.211499
P08032,0.031567
P08074,0.138867
P08113,0.2270015
P08226,1.772656
P08228,0.0696225
P08249,0.033002
P08752,0.172803
P09055,0.221631
P09103,0.250928
P09242,0.163281
P09405,0.3471195
P09411,0.0559965
P09470,0.138257
P09541,0.1116455
P09542,0.075024
P09671,0.032574
