UniProt,median.K
A2A5R2,0.1705
A2A8U2,0.16925
A2AAJ9,0.0903
A2ADY9,0.749666667
A2AGT5,0.38595
A2AIL4,0.088055556
A2AJI0,0.4192
A2AMM0,0.0771
A2AN08,0.18965
A2APY7,0.044
A2ARP1,0.2945
A2ASQ1,0.450444444
A2ASS6,0.0698
A2AUC9,0.175
A2AWA9,0.1595
A3KFX0,0.197928571
A3KG59,0.114
A3KGS3,0.137
A3KMP2,0.1614
A6H584,0.040785714
A6H5Y3,0.538
A6H611,0.183444444
A6H630,0.270833333
A6H6A9,0.222
A6H6E2,0.3285
A6H8H2,0.341285714
A6X935,2.2388
B1AR13,0.054
B1AY13,0.1795
B1AZI6,0.047
B2RQC6,0.208285714
B2RRE7,0.164
B2RXS4,0.189555556
B7ZMP1,0.120333333
D3Z7P3,0.1185
E9PV87,0.189
E9Q401,0.1374
E9Q557,0.16045
E9Q8I9,0.6878
F6ZDS4,0.19225
G5E870,0.992
G5E8K5,0.1904
O08528,0.15365
O08529,0.1135
O08532,0.17155
O08547,0.152666667
O08553,0.1211
O08573,0.24
O08579,0.71925
O08582,0.262666667
O08585,0.8796
O08599,3.7185
O08600,0.12765
O08605,0.18
O08638,0.1134
O08663,0.173
O08677,0.602
O08709,0.06895
O08715,0.1295
O08749,0.0386
O08756,0.0266
O08759,0.297833333
O08788,0.1466
O08795,0.18
O08807,0.3548
O08808,0.40625
O08810,0.23175
O08848,0.288
O08911,1.54
O08915,0.284
O08917,0.16435
O08997,0.1195
O09044,0.247444444
O09061,0.122
O09110,0.296666667
O09111,0.03075
O09114,1.137
O09131,0.0708
O09159,0.4405
O09161,0.04975
O09164,0.351833333
O09165,0.6415625
O09167,0.0889
O09174,0.0576
O35071,0.631
O35074,0.339333333
O35075,0.1375
O35098,0.16925
O35099,0.463
O35114,0.1982
O35129,0.0296
O35143,0.27385
O35206,0.10595
O35226,0.2892
O35231,0.586
O35286,0.36465
O35295,0.0678
O35309,0.25475
O35343,0.182777778
O35344,0.2493
O35345,0.4915
O35350,0.349111111
O35379,0.166
O35381,0.15095
O35382,0.138357143
O35386,3.19095
O35387,0.146666667
O35435,0.04485
O35459,0.1232
O35551,0.213166667
O35593,0.1341
O35609,0.19375
O35639,0.15475
O35643,0.1503
O35658,0.05935
O35678,0.2005
O35682,0.094
O35685,0.20835
O35737,0.226555556
O35841,0.14175
O35855,0.036
O35857,0.07045
O35864,0.1665
O35887,0.37605
O35900,0.1237
O35943,0.102
O35955,0.113666667
O35972,0.117
O54724,0.0725
O54734,0.1043
O54754,0.300625
O54774,0.189722222
O54865,0.18275
O54901,1.954333333
O54931,0.47935
O54946,0.148416667
O54950,0.09595
O54962,0.161642857
O54984,0.1411
O54988,0.528166667
O55013,0.264555556
O55022,0.130333333
O55023,0.08295
O55026,0.2854
O55028,0.0952
O55029,0.155
O55060,0.121125
O55100,0.607666667
O55111,0.05675
O55126,0.0347
O55131,0.20895
O55135,0.257111111
O55137,0.074833333
O55143,0.1009
O55222,0.10035
O55229,0.1155
O55234,0.1069
O70133,0.293428571
O70152,0.692
O70194,0.397
O70209,0.199
O70250,0.0556
O70251,0.14845
O70252,0.323222222
O70305,0.176
O70310,0.164
O70318,0.152
O70362,0.271875
O70373,0.51825
O70400,0.163928571
O70423,0.06015
O70433,0.12875
O70435,0.105444444
O70439,0.1904
O70468,0.08605
O70475,1.115
O70481,0.2576
O70492,0.2326
