UniProt,median.K
A2A8U2,0.128003
A2AAJ9,0.085889
A2AGT5,0.33418
A2AIL4,0.083325
A2AJI0,0.5128905
A2AMM0,0.077222
A2AN08,0.235547
A2ASQ1,0.068616
A2ASS6,0.068555
A2AUC9,0.188794
A3KFX0,0.13374
A3KG59,0.114453
A3KMP2,0.09541
A6H584,0.048413
A6H611,0.219189
A6H8H2,0.187695
A6X935,2.4796875
B1AR13,0.052075
B2RQC6,0.178174
B2RXS4,0.280713
B7ZMP1,0.123242
E9Q401,0.1391115
E9Q557,0.161084
E9Q8I9,0.312695
O08528,0.15376
O08529,0.1144535
O08532,0.083447
O08547,0.156079
O08553,0.117749
O08600,0.121411
O08638,0.117993
O08663,0.233105
O08677,0.588574
O08709,0.067822
O08715,0.153027
O08749,0.035107
O08756,0.026257
O08759,0.3437015
O08788,0.14906
O08795,0.171582
O08807,0.294629
O08808,0.675
O08915,0.356641
O08917,0.161328
O08997,0.119519
O09044,63.7855955
O09061,0.134961
O09111,0.0301025
O09131,0.0646485
O09159,0.467969
O09161,0.05177
O09165,1.409375
O09167,0.1113405
O09174,0.057202
O35074,0.092236
O35075,0.150586
O35129,0.028882
O35143,0.289746
O35206,0.103894
O35226,0.347852
O35286,0.36543
O35295,0.060986
O35309,0.237012
O35343,0.2176025
O35344,0.3684815
O35345,0.491406
O35350,0.247266
O35381,0.159131
O35386,3.253125
O35387,0.189648
O35435,0.0438655
O35459,0.122754
O35551,0.236523
O35593,0.127271
O35609,0.24165
O35639,0.149854
O35643,0.1441165
O35658,0.0565005
O35678,0.20387
O35682,0.092725
O35685,0.230664
O35737,0.232129
O35855,0.032849
O35857,0.069684
O35864,0.120984
O35887,0.372754
O35900,0.075513
O35943,0.1019715
O35972,0.117139
O54724,0.068555
O54734,0.099255
O54754,0.213086
O54774,0.175488
O54931,0.351758
O54946,0.187939
O54950,0.092114
O54962,0.172559
O54984,0.140088
O55013,0.288525
O55023,0.0821655
O55026,0.6309935
O55029,0.163159
O55060,0.121533
O55111,0.046216
O55126,0.035352
O55131,0.191846
O55135,0.266797
O55143,0.0987975
O55222,0.103467
O55234,0.101147
O70133,0.279004
O70250,0.056683
O70251,0.160596
O70252,0.333203
O70310,0.175244
O70362,0.227246
O70373,0.608594
O70400,0.142041
O70423,0.050916
O70433,0.12489
O70435,0.0884825
O70439,0.193066
O70468,0.085767
O70492,0.207227
O70493,0.138379
O70548,3.190625
O70622,0.0456055
O88322,0.068921
O88342,0.091443
O88428,0.502637
O88441,0.0449035
O88456,0.124951
O88487,0.149121
O88492,0.1659665
O88531,0.143872
O88543,0.128613
O88544,0.119946
O88545,0.091748
O88569,0.197461
O88587,0.1346555
O88653,0.240918
O88667,0.488965
O88685,0.17085
O88696,0.06001
O88712,0.141553
O88738,0.251416
O88746,0.34126
O88844,0.074597
O88947,0.295117
O88958,0.127881
O88967,0.2741215
O88983,0.249707
O89017,0.562207
O89020,0.251904
O89023,0.072949
O89051,0.481641
O89053,0.102856
O89112,0.099805
P00158,0.023938
P00329,0.0720945
P00405,0.0346805
P00493,0.155225
P00848,0.05061
P00920,0.026379
P01027,1.155469
P01029,0.8839845
P01831,0.1498535
P01872,0.398633
P01898,0.467969
P01942,0.031598
P02088,0.029416
P02089,0.0256165
P02468,0.0431335
P02469,0.0490845
P03888,0.036206
P03893,0.037427
P03899,0.037915
P03911,0.0269895
P03921,0.0477115
P03930,0.092114
P04117,0.098096
P04186,1.448437
P04247,0.042737
P04919,0.0305295
P05064,0.122937
P05125,0.27168
P05132,0.161816
P05201,0.073621
P05202,0.030347
P05977,0.277051
P06151,0.109326
P06683,255.3
P06728,0.569531
P06745,0.068921
P06801,0.0889405
P06909,0.620313
P07146,0.031689
P07310,0.0649845
P07356,0.120557
P07724,0.213513
P07759,0.588086
P07901,0.1425905
P07934,0.232373
P08003,0.207593
P08032,0.030957
P08074,0.1649295
P08113,0.176465
P08122,0.046521
P08226,2.1046875
P08228,0.059949
P08249,0.030682
P08752,0.1796385
P09055,0.2030765
P09103,0.257031
P09242,0.170605
P09405,0.308545
P09411,0.069226
P09470,0.373242
P09541,0.106763
P09542,0.0580565
P09671,0.0322235
P10107,0.3007325
P10126,0.1950195
P10493,0.0601015
P10518,0.101758
P10605,0.2770505
P10630,0.274121
P10637,0.1273925
P10649,0.0714235
P10833,0.1584595
P10852,0.414258
P11152,0.7785155
P11276,0.654492
P11352,0.0777095
P11404,0.063855
P11438,0.135937
P11499,0.166577
P11531,0.069775
P11798,0.078809
P11930,0.111035
P11983,0.208691
P12242,0.085156
P12246,0.191113
P12367,0.08894
P12382,0.15376
P12787,0.0361755
P12970,0.098462
P13020,0.520703
P13597,0.355176
P13707,0.119092
P14069,0.173779
P14094,0.098706
P14115,0.0849425
P14131,0.0843015
P14142,0.204541
P14148,0.093579
P14152,0.061963
P14206,0.071973
P14211,0.2169925
P14602,0.1585205
P14685,0.117139
P14824,0.08772
P14869,0.107129
P14873,0.246777
P15105,0.500195
P15116,0.083997
P15508,0.1222655
P15532,0.1099365
P15626,0.0699585
P16015,0.176953
P16045,0.1010865
P16125,0.084851
P16332,0.090039
P16460,0.11543
P16546,0.0781985
P16627,0.146191
P16858,0.091626
P17047,0.397656
P17156,0.149365
P17182,0.086743
P17225,0.1497315
P17427,0.1026735
P17563,0.0670595
P17710,0.0664795
P17742,0.112988
P17751,0.069806
P18242,0.224805
P18572,0.1457035
P18654,0.197217
P18760,0.233472
P19096,0.222363
P19123,0.086499
P19157,0.070203
P19221,0.931836
P19324,0.309277
P19536,0.024182
P19783,0.03938
P20029,0.145703
P20108,0.035046
P20152,0.148145
P20918,0.8053715
P21126,0.500684
P21278,0.118359
P21279,0.16377
P21300,0.107983
P21550,0.077222
P21614,1.175
P21619,0.02522
P21956,0.116162
P21981,0.114453
P22315,0.093762
P22892,0.29292
P22907,0.160107
P23116,0.3740965
P23198,0.168896
P23242,0.096509
P23492,0.131299
P23506,0.071423
P23591,0.124585
P23927,0.149731
P23953,0.393994
P24270,0.279248
P24369,0.163525
P24452,0.414258
P24472,0.049054
P24527,0.0713625
P24547,0.2677735
P24549,0.1232425
P25444,0.0977295
P26039,0.211621
P26040,0.187939
P26041,0.211133
P26043,0.229443
P26231,0.36543
P26443,0.045331
P26516,0.146893
P26638,0.315137
P26645,0.3026855
P26883,0.0872925
P27546,0.2558105
P27612,0.116162
P27659,0.071423
P27773,0.1820805
P28063,0.148633
P28271,0.094006
P28352,0.1806765
P28474,0.0868655
P28650,0.136426
P28653,0.597852
P28654,0.209424
P28656,0.19502
P28658,0.250684
P28665,0.302441
P28798,0.319531
P29341,0.1085325
P29595,0.161084
P29699,0.921094
P29758,0.185986
P29788,1.196484
P30115,0.079175
P30416,0.151074
P30999,0.157422
P31001,0.1063355
P31230,0.145642
P31428,0.131604
P31786,0.0695925
P31938,0.241162
P32020,0.253613
P32067,0.306104
P32261,0.6842775
P32921,0.14729
P33622,1.601758
P34022,0.068066
P34884,0.0696225
P34914,0.0915035
P34928,1.854687
P35123,0.3217285
P35235,0.151562
P35278,0.23042
P35282,0.210889
P35283,0.180615
P35293,0.229199
P35385,1.620312
P35486,0.03822
P35505,0.050977
P35564,0.1370975
P35585,0.1219605
P35700,0.100873
P35979,0.1101195
P35980,0.1025515
P37040,0.154248
P37804,0.119702
P38060,0.075299
P38647,0.084119
P39054,0.100171
P39061,0.171094
P39447,0.562695
P40124,0.249097
P40142,0.091138
P40336,0.16084
P40630,0.052136
P40936,0.123975
P41105,0.096143
P41216,0.037122
P42125,0.026532
P42208,0.7726565
P42225,0.238965
P42227,0.3456545
P42232,0.174512
P42567,0.223828
P42669,0.0468565
P42932,0.181104
P43023,0.0522275
P43024,0.0467345
P43275,0.093457
P45376,0.053967
P45377,0.084058
P45591,0.102979
P45952,0.043896
P46061,0.717969
P46412,0.353711
P46460,0.053052
P46471,0.188916
P46638,0.172925
P46656,0.163281
P46735,0.372266
P46737,0.154858
P46935,0.7702145
P46938,1.0165525
P47199,0.100171
P47738,0.0996215
P47740,0.09126
P47753,0.092236
P47754,0.096387
P47757,0.0942505
P47791,0.055188
P47802,0.041821
P47811,0.220898
P47857,0.122876
P47911,0.119458
P47915,0.083325
P47934,0.0271275
P47941,0.194775
P47955,0.094678
P47962,0.07832
P47963,0.072278
P48036,0.1061525
P48410,0.128369
P48453,0.397656
P48678,0.096021
P48722,0.218335
P48758,0.0774965
P48771,0.0901
P48774,0.122021
P48787,0.1252565
P48962,0.034375
P49182,1.4875
P49222,0.0328795
P49312,0.147412
P49442,0.105664
P49443,0.117505
P49615,0.127026
P49722,0.113599
P49813,0.18916
P49817,0.072949
P50136,0.168469
P50171,0.033673
P50172,0.132764
P50247,0.056134
P50285,0.788281
P50396,0.102734
P50462,0.099011
P50516,0.1187255
P50518,0.354199
P50544,0.048108
P50580,0.160107
P50752,0.1114015
P51125,0.2559325
P51150,0.2262695
P51163,0.171582
P51174,0.0355195
P51410,0.083081
P51660,0.148755
P51667,0.047803
P51855,0.060437
P51859,0.102246
P51863,0.311719
P51881,0.038953
P51885,0.0532655
P52196,0.07356
P52293,1.8507815
P52430,0.297803
P52480,0.106702
P52503,0.0696225
P52825,0.033215
P53395,0.036633
P53612,0.141187
P53702,0.108838
P53810,0.183789
P53986,0.1411865
P53994,0.174512
P54071,0.027661
P54116,0.073193
P54227,0.377148
P54310,0.28938
P54320,0.059521
P54726,0.144238
P54728,0.246167
P54775,0.1029175
P54797,0.119885
P54822,0.099683
P54823,0.402051
P54923,0.130322
P55096,0.143506
P55258,0.07771
P55264,0.090405
P55292,0.070142
P56135,0.040173
P56213,0.02699
P56375,0.084485
P56376,0.0597355
P56380,0.0771605
P56382,0.023328
P56391,0.034009
P56392,0.062817
P56394,0.419751
P56395,0.114575
P56399,0.1256225
P56480,0.033887
P56565,0.1320925
P56812,0.168164
P56959,0.282422
P57724,0.369336
P57759,0.197949
P57776,0.20625
P57780,0.253125
P58021,0.294629
P58064,0.113477
P58137,0.166211
P58252,0.150586
P58281,0.056714
P58389,0.09126
P58771,0.091992
P58774,0.134473
P59017,0.043469
P59325,0.230176
P59999,0.0909245
P60122,0.101025
P60229,0.279004
P60335,0.25166
P60603,0.0812805
P60670,0.192334
P60766,0.186475
P60843,0.360547
P60867,0.0896115
P61014,0.125439
P61022,0.180127
P61027,0.120557
P61082,0.260938
P61087,0.144238
P61089,0.103467
P61161,0.132275
P61164,0.1474735
P61202,0.111279
P61211,0.116406
P61222,0.1173215
P61255,0.125562
P61290,0.452344
P61358,0.0968445
P61514,0.069165
P61750,0.819531
P61922,0.063672
P61924,0.225049
P61971,0.079907
P61979,0.237256
P61982,0.116528
P62071,0.069897
P62075,0.081128
P62082,0.083203
P62137,0.694531
P62141,0.675
P62192,0.136731
P62196,0.1740235
P62204,0.2454345
P62242,0.0767335
P62245,0.058789
P62259,0.114697
P62264,0.083508
P62267,0.077679
P62270,0.068799
P62281,0.083234
P62301,0.122754
P62334,0.1726805
P62627,0.3405275
P62631,0.0976075
P62702,0.0996215
P62717,0.098828
P62754,0.104321
P62814,0.186719
P62821,0.191357
P62827,0.138623
P62830,0.1116455
P62835,0.134839
P62849,0.0993165
P62852,0.125928
P62855,0.087323
P62858,0.126294
P62869,0.236035
P62874,0.171582
P62897,0.031323
P62908,0.095288
P62911,0.093945
P62932,0.981641
P62960,0.157666
P62962,0.128369
P63001,0.112134
P63005,0.245923
P63011,0.216504
P63017,0.118237
P63028,0.3605465
P63030,0.0594605
P63038,0.0303925
P63073,0.222363
P63101,0.140088
P63158,0.095044
P63242,0.156689
P63276,0.100537
P63323,0.093152
P63325,0.105908
P63330,0.2384765
P67778,0.040784
P67871,0.187695
P68037,0.111523
P68040,0.13374
P68134,0.025281
P68181,0.200879
P68254,0.238599
P68368,0.0863765
P68372,0.066113
P68433,0.044995
P68510,0.171704
P70168,0.152539
P70195,0.0913515
P70268,0.258008
P70296,0.062085
P70297,0.993359
P70336,0.217969
P70349,0.079846
P70362,0.117871
P70372,0.354688
P70398,0.191357
P70404,0.05827
P70414,0.16084
P70670,0.211377
P70695,0.055432
P70698,0.475781
P70704,0.14668
P80313,0.1357545
P80314,0.147107
P80315,0.155713
P80316,0.1900755
P80317,0.160229
P80318,0.154736
P82347,0.073682
P82348,0.079175
P82350,0.081555
P83741,0.4157225
P84084,0.123486
P84091,0.139722
P84099,0.106885
P84104,0.086499
P85094,0.042279
P97290,3.034375
P97314,0.121655
P97333,0.401563
P97351,0.0670595
P97352,0.130811
P97355,0.0852785
