ID	t	A0	m0	m1	m2	m3	m4	m5	notFoundBySE
0	4.00000	0.437941	0.437941	0.480493	0.062401	0.019165	0.000000	0.000000	
1	4.00000	0.121648	0.121648	0.448455	0.280408	0.112692	0.028018	0.008779	
2	0.00000	0.327003	0.327003	0.342623	0.162190	0.089989	0.021466	0.058565	
3	0.00000	0.365674	0.365674	0.359652	0.079247	0.024703	0.104422	0.056773	
3	1.00000	0.110104	0.110104	0.460258	0.289886	0.105248	0.029774	0.004730	
3	2.00000	0.482714	0.482714	0.342644	0.093449	0.074144	0.007049	0.000000	
3	4.00000	0.438034	0.438034	0.407788	0.086512	0.066253	0.001414	0.000000	
3	5.00000	0.352973	0.352973	0.239790	0.230414	0.134448	0.031428	0.010946	
3	6.00000	0.407550	0.407550	0.372104	0.123918	0.083633	0.012795	0.000000	
3	13.0000	0.274284	0.274284	0.175716	0.060225	0.090450	0.030282	0.366254	
4	0.00000	0.256263	0.256263	0.334101	0.234039	0.097478	0.034726	0.037555	
5	0.00000	0.743285	0.743285	0.256715	0.000000	0.000000	0.000000	0.000000	
6	0.00000	0.572567	0.572567	0.321769	0.092567	0.013096	0.000000	0.000000	
6	1.00000	0.570850	0.570850	0.204188	0.219845	0.005117	0.000000	0.000000	
6	4.00000	0.460504	0.460504	0.350687	0.156073	0.028363	0.004373	0.000000	
6	5.00000	0.538594	0.538594	0.315820	0.114471	0.030629	0.000486	0.000000	
7	6.00000	0.453844	0.453844	0.426417	0.082384	0.037355	0.000000	0.000000	
8	4.00000	0.375680	0.375680	0.349774	0.222572	0.052178	-0.000204	0.000000	
8	5.00000	0.360306	0.360306	0.341767	0.213113	0.076253	0.008560	0.000000	
8	6.00000	0.359970	0.359970	0.339135	0.213569	0.070978	0.016349	0.000000	
8	7.00000	0.329482	0.329482	0.314507	0.255535	0.067024	0.030512	0.002940	
8	8.00000	0.368731	0.368731	0.338547	0.193044	0.067425	0.032252	0.000000	
8	9.00000	0.366976	0.366976	0.312541	0.205745	0.078959	0.026161	0.009619	
8	10.0000	0.385735	0.385735	0.315294	0.212978	0.061959	0.024034	0.000000	
8	12.0000	0.340256	0.340256	0.332353	0.202859	0.070181	0.050021	0.004330	
8	13.0000	0.369902	0.369902	0.322326	0.218826	0.051640	0.037306	0.000000	
9	0.00000	0.537851	0.537851	0.334425	0.127724	0.000000	0.000000	0.000000	
10	0.00000	0.337676	0.337676	0.344010	0.201435	0.116879	0.000000	0.000000	
11	0.00000	0.452598	0.452598	0.312220	0.173268	0.049755	0.012159	0.000000	
12	0.00000	0.386675	0.386675	0.344506	0.201970	0.045734	0.021115	0.000000	
13	0.00000	0.352046	0.352046	0.315852	0.227407	0.052967	0.047025	0.004705	
13	2.00000	0.325386	0.325386	0.262107	0.324424	0.016883	0.059489	0.011712	
13	3.00000	0.288410	0.288410	0.254221	0.235507	0.048028	0.118050	0.017706	
13	5.00000	0.291776	0.291776	0.260195	0.214517	0.045276	0.122894	0.027554	
13	6.00000	0.316693	0.316693	0.293628	0.217776	0.044808	0.123948	0.003147	
