"ID"	"t"	"A0"
3	"0"	0.365674
3	"1"	0.110104
3	"2"	0.482714
3	"3"	0.307822
3	"4"	0.438034
3	"5"	0.352973
3	"6"	0.40755
3	"7"	0.365833
3	"8"	0.346935
3	"9"	0.329463
3	"10"	0.308488
3	"11"	0.329314
3	"12"	0.257688
3	"13"	0.274284
3	"14"	0.291545
6	"0"	0.572567
6	"1"	0.57085
6	"2"	0.456801
6	"3"	0.470874
6	"4"	0.460504
6	"5"	0.538594
6	"6"	0.529053
6	"7"	0.432333
6	"8"	0.483999
6	"9"	0.503027
6	"10"	0.515717
6	"11"	0.560016
6	"12"	0.488328
6	"13"	0.417438
6	"14"	0.445046
8	"0"	0.492049
8	"1"	0.297058
8	"2"	0.351421
8	"3"	0.430922
8	"4"	0.37568
8	"5"	0.360306
8	"6"	0.35997
8	"7"	0.329482
8	"8"	0.368731
8	"9"	0.366976
8	"10"	0.385735
8	"11"	0.370844
8	"12"	0.340256
8	"13"	0.369902
8	"14"	0.553075
13	"0"	0.352046
13	"1"	0.34865
13	"2"	0.325386
13	"3"	0.28841
13	"4"	0.312008
13	"5"	0.291776
13	"6"	0.316693
13	"7"	0.265437
13	"8"	0.264937
13	"9"	0.249076
13	"10"	0.259562
13	"11"	0.212332
13	"12"	0.238445
13	"13"	0.234647
13	"14"	0.240135
14	"0"	0.322391
14	"1"	0.343199
14	"2"	0.423765
14	"3"	0.328561
14	"4"	0.336653
14	"5"	0.284192
14	"6"	0.286595
14	"7"	0.286031
14	"8"	0.329791
14	"9"	0.345685
14	"10"	0.327948
14	"11"	0.477525
14	"12"	0.358831
14	"13"	0.345368
14	"14"	0.292099
17	"0"	0.579184
17	"1"	0.496203
17	"2"	0.418705
17	"3"	0.398448
17	"4"	0.314262
17	"5"	0.312231
17	"6"	0.372651
17	"7"	0.337894
17	"8"	0.451802
17	"9"	0.507183
17	"10"	0.541818
17	"11"	0.452377
17	"12"	0.468791
17	"13"	0.41849
17	"14"	0.444315
18	"0"	0.481801
18	"1"	0.491014
18	"2"	0.476272
18	"3"	0.442968
18	"4"	0.448496
18	"5"	0.454771
18	"6"	0.448977
18	"7"	0.459752
18	"8"	0.434257
18	"9"	0.474938
18	"10"	0.453134
18	"11"	0.42406
18	"12"	0.428
18	"13"	0.306853
18	"14"	0.348056
19	"0"	0.400468
19	"1"	0.436533
19	"2"	0.505031
19	"3"	0.400579
19	"4"	0.70339
19	"5"	0.514419
19	"6"	0.423161
19	"7"	0.444373
19	"8"	0.403682
19	"9"	0.370931
19	"10"	0.347497
19	"11"	0.351962
19	"12"	0.369756
19	"13"	0.328476
19	"14"	0.320124
20	"0"	0.439675
20	"1"	0.479338
20	"2"	0.479517
20	"3"	0.459692
20	"4"	0.4109
20	"5"	0.641001
20	"6"	0.436281
20	"7"	0.445254
20	"8"	0.211468
20	"9"	0.346093
20	"10"	0.434624
20	"11"	0.364309
20	"12"	0.313127
20	"13"	0.398198
20	"14"	0.357824
21	"0"	0.393104
21	"1"	0.334922
21	"2"	0.468117
21	"3"	0.351543
21	"4"	0.32298
21	"5"	0.328869
21	"6"	0.197664
21	"7"	0.416592
21	"8"	0.527589
21	"9"	0.278535
21	"10"	0.278049
21	"11"	0.282705
21	"12"	0.323512
21	"13"	0.305656
21	"14"	0.286257
22	"0"	0.476971
22	"1"	0.544725
22	"2"	0.500801
22	"3"	0.449223
22	"4"	0.49973
22	"5"	0.395962
22	"6"	0.663403
22	"7"	0.460587
22	"8"	0.458691
22	"9"	0.447869
22	"10"	0.450551
22	"11"	0.430137
22	"12"	0.448902
22	"13"	0.433341
22	"14"	0.34041
23	"0"	0.553259
23	"1"	0.465654
23	"2"	0.564633
23	"3"	0.52943
23	"4"	0.509954
23	"5"	0.499725
23	"6"	0.410709
23	"7"	0.451854
23	"8"	0.367694
23	"9"	0.424806
23	"10"	0.374073
23	"11"	0.418263
23	"12"	0.378819
23	"13"	0.367937
23	"14"	0.356483
24	"0"	0.683816
24	"1"	0.71131
24	"2"	0.595559
24	"3"	0.349301
24	"4"	0.501219
24	"5"	0.405225
24	"6"	0.475782
24	"7"	0.400874
24	"8"	0.452264
24	"9"	0.405227
24	"10"	0.342073
24	"11"	0.400795
24	"12"	0.383142
24	"13"	0.422799
24	"14"	0.310155
25	"0"	0.619768
25	"1"	0.446639
25	"2"	0.427614
25	"3"	0.494593
25	"4"	0.402472
25	"5"	0.541019
25	"6"	0.382578
25	"7"	0.143038
25	"8"	0.326096
25	"9"	0.386814
25	"10"	0.353421
25	"11"	0.355142
25	"12"	0.336612
25	"13"	0.304695
25	"14"	0.292099
29	"0"	0.46512
29	"1"	0.577264
29	"2"	0.541785
29	"3"	0.531695
29	"4"	0.528842
29	"5"	0.534945
29	"6"	0.531138
29	"7"	0.494283
29	"8"	0.505046
29	"9"	0.420687
29	"10"	0.457296
29	"11"	0.490549
29	"12"	0.473971
29	"13"	0.498708
29	"14"	0.497763
30	"0"	0.221158
30	"1"	0.224383
30	"2"	0.215205
30	"3"	0.198095
30	"4"	0.186502
30	"5"	0.179441
