"","UniProt","median.K"
"1","A0JNW5",0.576
"2","A1L4H1",0.13375
"3","A2VDF0",0.0815
"4","A4D126",0.024
"5","B1AHL2",0.076
"6","B3KW71",0.153
"7","B4DKJ3",0.0235
"8","B5MCP1",0.1145
"9","B7ZKJ8",0.311
"10","C9J7J7",0.325
"11","C9JEX1",0.199
"12","C9JPV4",0.993
"13","C9JV77",0.13375
"14","D6RAR4",0.224
"15","D6RBJ7",0.108
"16","D6RE86",0.257
"17","D6RF35",0.205
"18","E7EQT9",0.0965
"19","E7ETB4",0.249
"20","E7ETH0",0.43475
"21","E7EVA3",0.256
"22","E9PIT3",0.598
"23","F5H4T4",0.031
"24","F8W876",0.1485
"25","F8W883",0.111
"26","F8WAI1",0.088
"27","F8WDX4",0.0905
"28","G5EA03",0.076
"29","H0YAB8",0.1045
"30","H0YHY0",4026539.19
"31","H0YNM2",0.087
"32","H7C5R1",0.382
"33","I3L1I5",0.218
"34","J3KP74",0.23
"35","J3QRN2",4026532.11
"36","O00160",3.652
"37","O00187",0.23325
"38","O00299",0.29875
"39","O00391",0.176
"40","O00462",0.495
"41","O00468",2.194
"42","O00533",0.0435
"43","O00748",0.0865
"44","O14498",0.18
"45","O14793",0.502
"46","O14917",0.142
"47","O15020",0.049
"48","O15031",0.117
"49","O15204",0.574
"50","O15335",0.08675
"51","O43157",0.096
"52","O43505",0.2595
"53","O43805",0.084
"54","O43866",0.05375
"55","O43895",0.0315
"56","O60673",0.16
"57","O75326",0.1545
"58","O75339",0.194
"59","O75368",0.083
"60","O75594",0.2375
"61","O75636",0.11
"62","O75691",0.401
"63","O75829",0.039
"64","O75874",0.0555
"65","O75882",0.0625
"66","O76061",8053063.95
"67","O94769",0.2265
"68","O95445",0.2005
"69","O95479",0.0485
"70","O95497",0.116
"71","O95980",0.058
"72","P00325",0.043
"73","P00352",0.11325
"74","P00390",0.017
"75","P00450",0.11425
"76","P00451",0.333
"77","P00488",0.0145
"78","P00491",0.0205
"79","P00519",0.214
"80","P00734",0.1785
"81","P00736",0.38375
"82","P00739",0.0845
