"","UniProt","median.K"
"1","A1L4H1",0.1495
"2","A6NNZ2",0.1255
"3","A6QL64",0.2715
"4","B1AHL2",0.06875
"5","B2CW77",0.5715
"6","B4DR92",0.242
"7","B7ZKJ8",0.3065
"8","C9JEX1",0.145
"9","C9JV77",0.181
"10","D6RE86",0.0845
"11","E7EQT9",1006634.02975
"12","E9PIT3",0.0585
"13","F8W876",0.094
"14","H0YCS5",16106127.63
"15","H0YFG4",0.196
"16","H0YG09",0.477
"17","H0YHY0",0.122
"18","H0YNM2",0.06
"19","H3BSA7",1.0375
"20","H7C0L5",0.1065
"21","H7C530",0.0975
"22","H7C5H1",0.122
"23","H7C5R1",0.163
"24","I3L1I5",0.1845
"25","J3KP74",0.162
"26","J3KS28",0.235
"27","K7EIR1",0.072
"28","O00151",0.0415
"29","O00187",0.21875
"30","O00299",0.06375
"31","O00391",0.12675
"32","O00462",0.0425
"33","O00468",0.335
"34","O00533",0.035
"35","O14498",4026532.0175
"36","O14513",0.167
"37","O14793",0.183
"38","O15031",2.355
"39","O15204",0.1795
"40","O15335",0.151
"41","O43157",0.0515
"42","O43505",0.0925
"43","O43866",0.2395
"44","O60673",0.121
"45","O60844",0.314
"46","O75083",0.045
"47","O75326",0.096
"48","O75594",0.3
"49","O75636",0.1
"50","O75874",0.024
"51","O75882",0.0685
"52","O94769",0.167
"53","O95382",8053063.95
"54","O95445",0.1935
"55","O95479",0.016
"56","O95497",0.07125
"57","O95810",0.6375
"58","O95980",0.07525
"59","P00352",0.003
"60","P00390",0.139
"61","P00450",0.08775
"62","P00451",0.16475
"63","P00488",0.0355
"64","P00491",0.013
"65","P00734",0.14775
"66","P00736",0.43525
"67","P00739",0.053
"68","P00740",0.74
"69","P00742",0.2025
"70","P00747",0.17425
"71","P00748",0.15475
"72","P00918",0.074
"73","P01008",0.1365
"74","P01009",0.366
"75","P01019",0.1685
"76","P01023",0.039
"77","P01024",0.125
"78","P01031",0.163
"79","P01034",0.2695
"80","P01042",0.1555
"81","P01591",0.243
"82","P01833",0.324
"83","P01834",0.02775
"84","P01854",0.523
"85","P01857",0.032
"86","P01860",0.029
"87","P01861",0.1335
"88","P01871",0.009
"89","P01876",0.156
"90","P01880",0.111
"91","P02042",0.024
"92","P02452",0.211
"93","P02647",0.129
"94","P02649",0.41525
"95","P02652",0.104
"96","P02671",0.0975
"97","P02675",0.09
"98","P02743",0.17425
"99","P02745",0.1165
"100","P02747",0.093
"101","P02748",0.2455
"102","P02749",0.452
"103","P02750",0.124
"104","P02760",0.1695
"105","P02763",0.14225
"106","P02766",0.149
"107","P02774",0.252
"108","P02775",0.056
"109","P02776",0.0375
"110","P02787",0.104
"111","P02790",0.067
"112","P02792",0.1375
"113","P03950",0.388
"114","P03973",0.27175
"115","P04003",0.12625
"116","P04004",0.22775
"117","P04040",0.052
"118","P04066",0.102
"119","P04083",0.093
"120","P04114",0.1795
"121","P04180",0.127
"122","P04196",0.136
"123","P04217",0.151
"124","P04220",0.053
"125","P04264",0.0265
"126","P04275",0.13425
"127","P04746",251659.331
"128","P05089",0.214
"129","P05109",0.0705
"130","P05154",0.104
"131","P05160",0.224
"132","P05164",0.2455
"133","P05186",0.021
"134","P05362",0.0395
"135","P05543",0.0695
"136","P05546",0.14
"137","P05556",0.09025
"138","P06396",0.03
"139","P06702",0.1035
"140","P06727",0.148
"141","P06744",0.289
"142","P07195",0.0315
"143","P07307",0.14375
"144","P07357",0.169
"145","P07358",0.3655
"146","P07360",0.20575
"147","P07738",0.082
"148","P07858",0.14
"149","P07996",0.1305
"150","P07998",0.247
"151","P08185",0.07775
"152","P08253",8053063.95
"153","P08294",0.01425
"154","P08311",0.169
"155","P08519",0.164
"156","P08567",0.268
"157","P08571",0.279
"158","P08581",0.28
"159","P08603",0.1165
"160","P08697",0.11775
"161","P09172",0.087
"162","P09211",0.014
"163","P09382",0.1165
"164","P09603",0.095
"165","P09668",0.095
"166","P10124",0.123
"167","P10153",0.066
"168","P10451",0.06
"169","P10586",0.1
"170","P10599",0.026
