"ID"	"t"	"A0"
0	"0"	0.606273
0	"1"	0.918645
0	"2"	0.846833
0	"4"	0.634462
0	"5"	0.547469
0	"8"	0.5074145
0	"9"	0.586007
0	"10"	0.395706
0	"12"	0.423286
0	"14"	0.483628
1	"0"	0.523707
1	"1"	0.419746
1	"2"	0.410733
1	"4"	0.388215
1	"5"	0.350778
1	"8"	0.381299
1	"9"	0.271281
1	"10"	0.352412
1	"12"	0.327199333333333
1	"14"	0.300841
2	"0"	0.57621
2	"1"	0.577723
2	"2"	0.594607
2	"4"	0.468088
2	"5"	0.396054
2	"8"	0.5706615
2	"9"	0.285324
2	"10"	0.524156
2	"12"	0.579976
2	"14"	0.471217
3	"0"	0.281764
3	"1"	0.257861
3	"2"	0.588627
3	"4"	0.265448
3	"5"	0.223384
3	"8"	0.176122
3	"9"	0.19526
3	"10"	0.208278
3	"12"	0.210175
3	"14"	0.2048
4	"0"	0.584907
4	"1"	0.564484
4	"2"	0.600803
4	"4"	0.962061
4	"5"	0.619797
4	"8"	0.537616
4	"9"	0.540578
4	"10"	0.510507
4	"12"	0.5292615
4	"14"	0.522454
7	"0"	0.439486
7	"1"	0.38406425
7	"2"	0.4706804
7	"4"	0.400603833333333
7	"5"	0.4103906
7	"8"	0.378211833333333
7	"9"	0.3388245
7	"10"	0.333189571428571
7	"12"	0.3684936
7	"14"	0.371213
8	"0"	0.544708
8	"1"	0.575549
8	"2"	0.5219485
8	"4"	0.474634
8	"5"	0.296952
8	"8"	0.426923
8	"9"	0.4330935
8	"10"	0.427169
8	"12"	0.4404435
8	"14"	0.3734735
9	"0"	0.479712333333333
9	"1"	0.45700125
9	"2"	0.462395166666667
9	"4"	0.43151
9	"5"	0.4321422
9	"8"	0.406069666666667
9	"9"	0.3623132
9	"10"	0.361727333333333
9	"12"	0.37259675
9	"14"	0.3861965
10	"0"	0.277585
10	"1"	0.0925001
10	"2"	0.107217
10	"4"	0.485608
10	"5"	0.327813
10	"8"	0.292774865714286
10	"9"	0.0434562
10	"10"	0.150056
10	"12"	0.141197
10	"14"	0.0883837
11	"0"	0.575143
11	"1"	0.5596578
11	"2"	0.537352
11	"4"	0.5174375
11	"5"	0.4297905
11	"8"	0.3944105
11	"9"	0.42396575
11	"10"	0.442275
11	"12"	0.4422915
11	"14"	0.453171
14	"0"	0.288068
14	"1"	0.181917
14	"2"	0.281345
14	"4"	0.196347
14	"5"	0.24226575
14	"8"	0.1966085
14	"9"	0.228854
14	"10"	0.1796805
14	"12"	0.214816
14	"14"	0.15804
15	"0"	0.345320666666667
15	"1"	0.206851
15	"2"	0.379632
15	"4"	0.304472
15	"5"	0.6027405
15	"8"	0.355231
15	"9"	0.332537
15	"10"	0.277038
15	"12"	0.222359
15	"14"	0.331499
16	"0"	0.4515735
16	"1"	0.510183
16	"2"	0.396272
16	"4"	0.523612
16	"5"	0.439262
16	"8"	0.4261596
16	"9"	0.469443
16	"10"	0.463863
16	"12"	0.116668
16	"14"	0.313557
17	"0"	0.324077
17	"1"	0.400577
17	"2"	0.333992
17	"4"	0.225326433333333
17	"5"	0.184872
17	"8"	0.333643
17	"9"	0.284696
17	"10"	0.218587
17	"12"	0.318629
17	"14"	0.273489
18	"0"	0.611271
18	"1"	0.47181
18	"2"	0.608723
18	"4"	0.439881
18	"5"	0.459345
18	"8"	0.526756
18	"9"	0.39247
18	"10"	0.578035
18	"12"	0.48414
18	"14"	0.371745
19	"0"	0.363843666666667
19	"1"	0.416436875
19	"2"	0.329234
19	"4"	0.373531
19	"5"	0.34957
19	"8"	0.313162
19	"9"	0.322756
19	"10"	0.296517
19	"12"	0.26485
19	"14"	0.280663
20	"0"	0.397699
20	"1"	0.395488
20	"2"	0.4965525
20	"4"	0.366922
20	"5"	0.235325
20	"8"	0.436923
20	"9"	0.0971751
20	"10"	0.480741
20	"12"	0.358745
20	"14"	0.422713
22	"0"	0.4515735
22	"1"	0.396812
22	"2"	0.4680475
22	"4"	0.391714
22	"5"	0.44031
22	"8"	0.408131
22	"9"	0.3845875
22	"10"	0.544812
22	"12"	0.3844925
22	"14"	0.421172
23	"0"	0.197008
23	"1"	0.2609245
23	"2"	0.100577
23	"4"	0.144686
23	"5"	0.31537925
23	"8"	0.379916
23	"9"	0.2259855
23	"10"	0.214073
23	"12"	0.203202
23	"14"	0.214159
28	"0"	0.259827
28	"1"	0.288448
28	"2"	0.387883416666667
28	"4"	0.320924
28	"5"	0.409765
28	"8"	0.282446
28	"9"	0.368815
28	"10"	0.540234
28	"12"	0.305232
28	"14"	0.196167
29	"0"	0.2774045
29	"1"	0.27609
29	"2"	0.283541
29	"4"	0.27266
29	"5"	0.28261
29	"8"	0.254444
29	"9"	0.2775145
29	"10"	0.271074
29	"12"	0.27971
29	"14"	0.247051
31	"0"	0.467514
31	"1"	0.469121
31	"2"	0.499189
31	"4"	0.5059495
31	"5"	0.438269
31	"8"	0.384269
31	"9"	0.494284
31	"10"	0.46525
31	"12"	0.452322
31	"14"	0.443636
32	"0"	0.268111333333333
32	"1"	0.381007
32	"2"	0.343771
32	"4"	0.313667
32	"5"	0.26637636
32	"8"	0.2899446
32	"9"	0.33846
32	"10"	0.379452
32	"12"	0.3556485
32	"14"	0.306833
35	"0"	0.565166
35	"1"	0.548283
35	"2"	0.515769
35	"4"	0.4745955
35	"5"	0.503010166666667
35	"8"	0.491386
35	"9"	0.320608
35	"10"	0.44553
35	"12"	0.556945
35	"14"	0.428477333333333
37	"0"	0.193351666666667
37	"1"	0.130752
37	"2"	0.004446
37	"4"	0.198877
37	"5"	0.43915737
37	"8"	0.14435
37	"9"	0.217989
37	"10"	0.230109
37	"12"	0.179596
37	"14"	0.162408
39	"0"	0.56101
39	"1"	0.69915
39	"2"	0.604491
39	"4"	0.571117
39	"5"	0.564092
39	"8"	0.624154
39	"9"	0.675664
39	"10"	0.697717
39	"12"	0.399618
39	"14"	0.578401
40	"0"	0.380346
40	"1"	0.417919666666667
40	"2"	0.357197
40	"4"	0.540503
40	"5"	0.387336
40	"8"	0.430075
40	"9"	0.4235914
40	"10"	0.3641175
40	"12"	0.299298
40	"14"	0.292362
42	"0"	0.6944
42	"1"	0.46739
42	"2"	0.50823525
42	"4"	0.410714
42	"5"	0.515154
42	"8"	0.507639
42	"9"	0.433841
42	"10"	0.604611
42	"12"	0.490015
42	"14"	0.261383
50	"0"	0.618148
50	"1"	0.505239
50	"2"	0.562936
50	"4"	0.5544775
50	"5"	0.624313
50	"8"	0.540347333333333
50	"9"	0.491743
50	"10"	0.460447
50	"12"	0.515023
50	"14"	0.5062875
54	"0"	0.431385
54	"1"	0.498826
54	"2"	0.41615
54	"4"	0.340277
54	"5"	0.368476
54	"8"	0.321896
54	"9"	0.35142
54	"10"	0.283347
54	"12"	0.297489
54	"14"	0.341375
56	"0"	0.424084
56	"1"	0.411478333333333
56	"2"	0.3438825
56	"4"	0.3399255
56	"5"	0.3667555
56	"8"	0.338581285714286
56	"9"	0.307952
56	"10"	0.259867
56	"12"	0.313385
56	"14"	0.356496
58	"0"	0.5440006
58	"1"	0.465857
58	"2"	0.544165
58	"4"	0.4426445
58	"5"	0.47694325
58	"8"	0.494483
58	"9"	0.581279
58	"10"	0.481424
58	"12"	0.371792
58	"14"	0.410251
59	"0"	0.409677
59	"1"	0.367780166666667
59	"2"	0.365543833333333
59	"4"	0.336581
59	"5"	0.324488
59	"8"	0.247323
59	"9"	0.256478
59	"10"	0.258431
59	"12"	0.272836
59	"14"	0.2235145
63	"0"	0.4408844
63	"1"	0.402085
63	"2"	0.446392
63	"4"	0.43513575
63	"5"	0.37038225
63	"8"	0.387728
63	"9"	0.288713
63	"10"	0.377367
63	"12"	0.3606825
63	"14"	0.4064285
64	"0"	0.443123
64	"1"	0.510206
64	"2"	0.456444
64	"4"	0.514117
64	"5"	0.422082
64	"8"	0.331201
64	"9"	0.429196
64	"10"	0.345539
64	"12"	0.374494
64	"14"	0.4522425
65	"0"	0.517999666666667
65	"1"	0.64964525
65	"2"	0.4240335
65	"4"	0.4416445
65	"5"	0.380898
65	"8"	1
65	"9"	0.188499665
65	"10"	0.367346
65	"12"	0.436773666666667
65	"14"	0.36022075
66	"0"	0.864345
66	"1"	0.497876
66	"2"	0.492667
66	"4"	0.485053
66	"5"	0.465075
66	"8"	0.501888
66	"9"	0.452593
66	"10"	0.401486
66	"12"	0.457777
66	"14"	0.398422
67	"0"	0.541575
67	"1"	0.559511
67	"2"	0.567154
67	"4"	0.554915
67	"5"	0.530257
67	"8"	0.519831
67	"9"	0.522499
67	"10"	0.246481
67	"12"	0.508814
67	"14"	0.505707
68	"0"	0.5290715
68	"1"	0.532153
68	"2"	0.519428
68	"4"	0.415522
68	"5"	0.489203333333333
68	"8"	0.4305895
68	"9"	0.429308
68	"10"	0.5247595
68	"12"	0.374516
68	"14"	0.4193255
69	"0"	0.4916485
69	"1"	0.4847785
69	"2"	0.502948
69	"4"	0.489476
69	"5"	0.469823
69	"8"	0.4320864
69	"9"	0.439015
69	"10"	0.612500666666667
69	"12"	0.438897
69	"14"	0.440924
74	"0"	0.650102
74	"1"	0.59360375
74	"2"	0.549685
74	"4"	0.554567
74	"5"	0.5626545
74	"8"	0.524394
74	"9"	0.547647
74	"10"	0.563762
74	"12"	0.549092
74	"14"	0.5456435
76	"0"	0.404792
76	"1"	0.292709
76	"2"	0.244039
76	"4"	0.274972
76	"5"	0.28105
76	"8"	0.286569
76	"9"	0.245464
76	"10"	0.238772
76	"12"	0.280744
76	"14"	0.253953
77	"0"	0.412104
77	"1"	0.280042
77	"2"	0.280414
77	"4"	0.292663
77	"5"	0.343022
77	"8"	0.2600075
77	"9"	0.3904475
77	"10"	0.00373964
77	"12"	0.245704
77	"14"	0.243627
80	"0"	0.189180366666667
80	"1"	0.234807
80	"2"	0.274029666666667
80	"4"	0.3521675
80	"5"	0.24570355
80	"8"	0.28567
80	"9"	0.233692
80	"10"	0.2320765
80	"12"	0.181123
80	"14"	0.240524
81	"0"	0.863657
81	"1"	0.368972
81	"2"	0.6068565
81	"4"	0.634710333333333
81	"5"	0.778263
81	"8"	0.344567
81	"9"	0.541351
81	"10"	0.500367
81	"12"	0.420855
81	"14"	0.439037
84	"0"	0.260008
84	"1"	0.215784
84	"2"	0.219355
84	"4"	0.239385
84	"5"	0.185134
84	"8"	0.140635
84	"9"	0.172982
84	"10"	0.317969
84	"12"	0.196268
84	"14"	0.197503
85	"0"	0.4459864
85	"1"	0.4856815
85	"2"	0.464768
85	"4"	0.630719
85	"5"	0.450652285714286
85	"8"	0.339976
85	"9"	0.406952
85	"10"	0.427901
85	"12"	0.4675085
85	"14"	0.337508
86	"0"	0.524936
86	"1"	0.400193
86	"2"	0.480935
86	"4"	0.442869
86	"5"	0.431861
86	"8"	0.4491851
86	"9"	0.4222625
86	"10"	0.397964
86	"12"	0.38867
86	"14"	0.440405
87	"0"	0.506907
87	"1"	0.547126
87	"2"	0.512221
87	"4"	0.443969
87	"5"	0.434546
87	"8"	0.303943
87	"9"	0.481069
87	"10"	0.456153
87	"12"	0.439388857142857
87	"14"	0.4569515
89	"0"	0.618148
89	"1"	0.582052
89	"2"	0.50888525
89	"4"	0.525509
89	"5"	0.5254805
89	"8"	0.54122825
89	"9"	0.51127
89	"10"	0.593562
89	"12"	0.483538
89	"14"	0.498307
93	"0"	0.375105
93	"1"	0.465262
93	"2"	0.468722
93	"4"	0.462097
93	"5"	0.379265
93	"8"	0.387728
93	"9"	0.393289
93	"10"	0.345239
93	"12"	0.382323
93	"14"	0.382935
94	"0"	0.173155
94	"1"	0.0949888
94	"2"	0.117104
94	"4"	0.0942626
94	"5"	0.084601
94	"8"	0.100637
94	"9"	0.0716733
94	"10"	0.0724962
94	"12"	0.00393135
94	"14"	0.0542374
95	"0"	0.031915
95	"1"	0.3517455
95	"2"	0.316071
95	"4"	0.290839
95	"5"	0.286762
95	"8"	0.421457
95	"9"	0.328313
95	"10"	0.311663
95	"12"	0.298044
95	"14"	0.243696975
97	"0"	0.36581
97	"1"	0.3205
97	"2"	0.347458
97	"4"	0.349349
97	"5"	0.3262105
97	"8"	0.289421
97	"9"	0.120468
97	"10"	0.33303147875
97	"12"	0.289035
97	"14"	0.320143
98	"0"	0.531031
98	"1"	0.549318
98	"2"	0.589838
98	"4"	0.6398415
98	"5"	0.585698666666667
98	"8"	0.589328
98	"9"	0.585829
98	"10"	0.509397
98	"12"	0.612117
98	"14"	0.477159
99	"0"	0.465646
99	"1"	0.444729
99	"2"	0.367447
99	"4"	0.41794225
99	"5"	0.40419
99	"8"	0.3734215
99	"9"	0.448502
99	"10"	0.464147333333333
99	"12"	0.375732
99	"14"	0.324583
100	"0"	0.4966945
100	"1"	0.588667
100	"2"	0.538029
100	"4"	0.5754865
100	"5"	0.602866
100	"8"	0.455539
100	"9"	0.683617
100	"10"	0.558477
100	"12"	0.555214
100	"14"	0.344728
102	"0"	0.460878
102	"1"	0.434564666666667
102	"2"	0.447692
102	"4"	0.486402
102	"5"	0.451896
102	"8"	0.512566
102	"9"	0.402277
102	"10"	0.463892
102	"12"	0.477893
102	"14"	0.467797
103	"0"	0.1276
103	"1"	0.173342
103	"2"	0.172221
103	"4"	0.1907526
103	"5"	0.137209
103	"8"	0.132836
103	"9"	0.111944
103	"10"	0.0872186
103	"12"	0.1526527
103	"14"	0.130337
105	"0"	0.448279375
105	"1"	0.366974
105	"2"	0.434525
105	"4"	0.389247
105	"5"	0.264707
105	"8"	0.371315
105	"9"	0.311136
105	"10"	0.351466
105	"12"	0.32676
105	"14"	0.327671
106	"0"	0.3000625
106	"1"	0.227212
106	"2"	0.273902
106	"4"	0.304406
106	"5"	0.29743
106	"8"	0.308976
106	"9"	0.27883775
106	"10"	0.184424
106	"12"	0.2245565
106	"14"	0.299177
107	"0"	0.228956
107	"1"	0.273113
107	"2"	0.424318
107	"4"	0.350173
107	"5"	0.278714666666667
107	"8"	0.340496
107	"9"	0.196338
107	"10"	0.249386
107	"12"	0.201725
107	"14"	0.160707
108	"0"	0.300381
108	"1"	0.280286
108	"2"	0.270315
108	"4"	0.292568
108	"5"	0.246221
108	"8"	0.287319
108	"9"	0.246691
108	"10"	0.183162
108	"12"	0.204489
108	"14"	0.193649
109	"0"	0.3645815
109	"1"	0.33725
109	"2"	0.448813
109	"4"	0.291508
109	"5"	0.2956485
109	"8"	0.31016
109	"9"	0.142857
109	"10"	0.305814833333333
109	"12"	0.438886
109	"14"	0.110508
112	"0"	0.389022
112	"1"	0.444198
112	"2"	0.342689
112	"4"	0.367907
112	"5"	0.444382
112	"8"	0.486662
