1	Glycated hemoglobin	115	Diabetes Mellitus Type 2	Adult: >=18 yrs old	Both	Serum	>6.5 %	%	The specific age range is for 19-79 yrs old	Lee, J. M., Wu, E. L., Tarini, B., Herman, W. H. & Yoon, E. Diagnosis of diabetes using hemoglobin A1c: should recommendations in adults be extrapolated to adolescents? J Pediatr 158, 947-952.e1 (2011).	21195416
1	Glycated hemoglobin	115	Diabetes Mellitus Type 2	Adolescent:13-18 yrs old	Both	Serum	>6.5 %	%	The specific age range is for 12-18 yrs old	Lee, J. M., Wu, E. L., Tarini, B., Herman, W. H. & Yoon, E. Diagnosis of diabetes using hemoglobin A1c: should recommendations in adults be extrapolated to adolescents? J Pediatr 158, 947-952.e1 (2011).	21195416
1	Glycated hemoglobin	115	Diabetes Mellitus Type 2	Adult: >=18 yrs old	Both	blood	>6.5 %	%	NULL	Mayo clinic: A1C test	NULL
1	Glycated hemoglobin	1	Normal	Adult: >=18 yrs old	Both	blood	<5.7 %	%	NULL	Mayo clinic: A1C test	NULL
1	Glycated hemoglobin	1	Normal	Adolescent:13-18 yrs old	Both	Serum	<6.5 %	%	NULL	Lee, J. M., Wu, E. L., Tarini, B., Herman, W. H. & Yoon, E. Diagnosis of diabetes using hemoglobin A1c: should recommendations in adults be extrapolated to adolescents? J Pediatr 158, 947-952.e1 (2011).	21195416
1	Glycated hemoglobin	1	Normal	Adult: >=18 yrs old	Both	Serum	<6.5 %	%	NULL	Lee, J. M., Wu, E. L., Tarini, B., Herman, W. H. & Yoon, E. Diagnosis of diabetes using hemoglobin A1c: should recommendations in adults be extrapolated to adolescents? J Pediatr 158, 947-952.e1 (2011).	21195416
2	Angiotensin-converting enzyme	6006	Sarcoidosis	Adult: >=18 yrs old	Both	blood	>40 nmol/mL/min	nmol/mL/min	NULL	University of Rochester Medical Center: Angiotensin Converting Enzyme (Blood)	NULL
2	Angiotensin-converting enzyme	1	Normal	Adult: >=18 yrs old	Both	blood	<40 nmol/mL/min	nmol/mL/min	NULL	University of Rochester Medical Center: Angiotensin Converting Enzyme (Blood)	NULL
2	Angiotensin-converting enzyme	1	Normal	Adult: >=18 yrs old	Both	Serum	17.6 (11.6-37.4) IU/L	IU/L	NULL	Lee, J. M., Wu, E. L., Tarini, B., Herman, W. H. & Yoon, E. Diagnosis of diabetes using hemoglobin A1c: should recommendations in adults be extrapolated to adolescents? J Pediatr 158, 947-952.e1 (2011).	21195416
2	Angiotensin-converting enzyme	6220	Pulmonary Sarcoidosis	Adult: >=18 yrs old	Both	Serum	>17.95 U/L	U/L	NULL	NULL	25623898
