A0,ID,t
1.0,2,0.0
0.562698,2,1.0
0.292155,2,3.0
0.47430760000000005,2,5.0
0.256912,2,7.0
0.259773,2,10.0
0.47430760000000005,2,14.0
0.307543,6,0.0
0.27274628,6,1.0
0.0445634,6,3.0
0.38402,6,5.0
0.27274628,6,7.0
0.348854,6,10.0
0.278751,6,14.0
0.269659,9,0.0
0.343394,9,1.0
0.451865,9,3.0
0.3299828,9,5.0
0.308545,9,7.0
0.276451,9,10.0
0.3299828,9,14.0
0.379374,31,0.0
0.30896,31,1.0
0.301464,31,3.0
0.34913,31,5.0
0.31640219999999997,31,7.0
0.31640219999999997,31,10.0
0.243083,31,14.0
0.342437,33,0.0
0.2462784,33,1.0
0.308641,33,3.0
0.248245,33,5.0
0.2462784,33,7.0
0.189258,33,10.0
0.142811,33,14.0
0.34169400000000005,36,0.0
0.402736,36,1.0
0.373887,36,3.0
0.339796,36,5.0
0.315742,36,7.0
0.276309,36,10.0
0.34169400000000005,36,14.0
0.378998,38,0.0
0.326077,38,1.0
0.198762,38,3.0
0.2652092,38,5.0
0.2652092,38,7.0
0.198233,38,10.0
0.223976,38,14.0
0.568769,39,0.0
0.214245,39,1.0
0.23849599999999999,39,3.0
0.23849599999999999,39,5.0
0.167803,39,7.0
0.125508,39,10.0
0.116155,39,14.0
0.482331,40,0.0
0.3200606,40,1.0
0.3200606,40,3.0
0.31648,40,5.0
0.30663,40,7.0
0.251868,40,10.0
0.242994,40,14.0
0.526856,44,0.0
0.44624060000000004,44,1.0
0.465967,44,3.0
0.445572,44,5.0
0.408074,44,7.0
0.384734,44,10.0
0.44624060000000004,44,14.0
0.635087,48,0.0
0.210339,48,1.0
0.36730539999999995,48,3.0
0.366155,48,5.0
0.36730539999999995,48,7.0
0.317403,48,10.0
0.307543,48,14.0
0.561223,49,0.0
0.4812854,49,1.0
0.502807,49,3.0
0.502124,49,5.0
0.482268,49,7.0
0.358005,49,10.0
0.4812854,49,14.0
0.483227,50,0.0
0.419687,50,1.0
0.3898958,50,3.0
0.374543,50,5.0
0.365316,50,7.0
0.3898958,50,10.0
0.306706,50,14.0
0.412425,53,0.0
0.3428616,53,1.0
0.400044,53,3.0
0.343156,53,5.0
0.3428616,53,7.0
0.293726,53,10.0
0.264957,53,14.0
0.450324,54,0.0
0.424752,54,1.0
0.3672102,54,3.0
0.379403,54,5.0
0.30397,54,7.0
0.277602,54,10.0
0.3672102,54,14.0
0.259932,56,0.0
0.287685,56,1.0
0.206884,56,3.0
0.150661,56,5.0
0.202074,56,7.0
0.202074,56,10.0
0.105208,56,14.0
0.24799120000000002,57,0.0
0.323158,57,1.0
0.251054,57,3.0
0.206299,57,5.0
0.195018,57,7.0
0.24799120000000002,57,10.0
0.264427,57,14.0
0.3255888,58,0.0
0.436556,58,1.0
0.398262,58,3.0
0.206423,58,5.0
0.3255888,58,7.0
0.23636,58,10.0
0.350343,58,14.0
0.649811,63,0.0
0.279402,63,1.0
0.25869082000000004,63,3.0
0.190991,63,5.0
0.122219,63,7.0
0.25869082000000004,63,10.0
0.0510311,63,14.0
0.785874,66,0.0
0.4577546,66,1.0
0.456579,66,3.0
0.388086,66,5.0
0.336613,66,7.0
0.321621,66,10.0
0.4577546,66,14.0
1.0,69,0.0
0.28569892,69,1.0
0.148115,69,3.0
0.28569892,69,5.0
0.0931622,69,7.0
0.0954738,69,10.0
0.0917436,69,14.0
0.999206,70,0.0
0.493962,70,1.0
0.317695,70,3.0
0.4735596,70,5.0
0.4735596,70,7.0
0.294247,70,10.0
0.262688,70,14.0
0.579754,74,0.0
0.205912,74,1.0
0.136927,74,3.0
0.269712,74,5.0
0.26558,74,7.0
0.135595,74,10.0
0.26558,74,14.0
0.282322,77,0.0
0.1747222,77,1.0
0.178118,77,3.0
0.157635,77,5.0
0.147338,77,7.0
0.1747222,77,10.0
0.108198,77,14.0
0.400151,82,0.0
0.22485999999999998,82,1.0
0.22485999999999998,82,3.0
0.208504,82,5.0
0.200371,82,7.0
0.16884,82,10.0
0.146434,82,14.0
0.1770788,83,0.0
0.277406,83,1.0
0.196804,83,3.0
0.159598,83,5.0
0.145354,83,7.0
0.1770788,83,10.0
0.106232,83,14.0
0.374479,85,0.0
0.29224,85,1.0
0.20893240000000005,85,3.0
0.20893240000000005,85,5.0
0.1447,85,7.0
0.1184,85,10.0
0.114843,85,14.0
0.47889,87,0.0
0.557228,87,1.0
0.250584,87,3.0
0.32586499999999996,87,5.0
0.32586499999999996,87,7.0
0.209325,87,10.0
0.133298,87,14.0
0.484481,88,0.0
0.3165484,88,1.0
0.33291,88,3.0
0.287502,88,5.0
0.34068,88,7.0
0.137169,88,10.0
0.3165484,88,14.0
0.19944659999999997,89,0.0
0.19944659999999997,89,1.0
0.233487,89,3.0
0.165242,89,5.0
0.14885,89,7.0
0.356685,89,10.0
0.092969,89,14.0
0.342278,95,0.0
0.340482,95,1.0
0.216433,95,3.0
0.22712700000000002,95,5.0
0.22712700000000002,95,7.0
0.13025,95,10.0
0.106192,95,14.0
0.596328,97,0.0
0.47321179999999996,97,1.0
0.438257,97,3.0
0.512386,97,5.0
0.47321179999999996,97,7.0
0.386091,97,10.0
0.432997,97,14.0
0.13486,100,0.0
0.1654648,100,1.0
0.136116,100,3.0
0.110783,100,5.0
0.1654648,100,7.0
0.09201,100,10.0
0.353555,100,14.0
0.0471044,101,0.0
0.34074308,101,1.0
0.34074308,101,3.0
0.484778,101,5.0
0.312914,101,7.0
0.409615,101,10.0
0.449304,101,14.0
0.13254267999999997,103,0.0
0.13254267999999997,103,1.0
0.233785,103,3.0
0.145954,103,5.0
0.115489,103,7.0
0.0965995,103,10.0
0.0708859,103,14.0
0.333504,108,0.0
0.21568,108,1.0
0.115779,108,3.0
0.15533212000000002,108,5.0
0.15533212000000002,108,7.0
0.0658783,108,10.0
0.0458193,108,14.0
0.38982,121,0.0
0.326585,121,1.0
0.332568,121,3.0
0.249513,121,5.0
0.2891844,121,7.0
0.2891844,121,10.0
0.147436,121,14.0
0.724209,122,0.0
0.398794,122,1.0
0.380861,122,3.0
0.4084342,122,5.0
0.4084342,122,7.0
0.283171,122,10.0
0.255136,122,14.0
0.3620994,123,0.0
0.3620994,123,1.0
0.405458,123,3.0
0.386447,123,5.0
0.335276,123,7.0
0.436096,123,10.0
0.24722,123,14.0
0.42171,126,0.0
0.410735,126,1.0
0.3373004,126,3.0
0.321947,126,5.0
0.3373004,126,7.0
0.273809,126,10.0
0.258301,126,14.0
0.41287,127,0.0
0.392769,127,1.0
0.365662,127,3.0
0.315033,127,5.0
0.285149,127,7.0
0.35429659999999996,127,10.0
0.35429659999999996,127,14.0
0.583478,128,0.0
0.600454,128,1.0
0.546126,128,3.0
0.49907320000000005,128,5.0
0.442864,128,7.0
0.49907320000000005,128,10.0
0.322444,128,14.0
0.518719,131,0.0
0.532964,131,1.0
0.4607418000000001,131,3.0
0.475578,131,5.0
0.343056,131,7.0
0.433392,131,10.0
0.4607418000000001,131,14.0
0.447725,132,0.0
0.433882,132,1.0
0.465842,132,3.0
0.3540724,132,5.0
0.32795,132,7.0
0.3540724,132,10.0
0.094963,132,14.0
0.3885736,136,0.0
0.445584,136,1.0
0.498675,136,3.0
0.348124,136,5.0
0.334735,136,7.0
0.31575,136,10.0
0.3885736,136,14.0
0.281039,138,0.0
0.2556532,138,1.0
0.292308,138,3.0
0.2556532,138,5.0
0.255483,138,7.0
0.236211,138,10.0
0.213225,138,14.0
0.351527,139,0.0
0.316092,139,1.0
0.2900032,139,3.0
0.288831,139,5.0
0.274588,139,7.0
0.2900032,139,10.0
0.218978,139,14.0
0.649675,140,0.0
0.515656,140,1.0
0.494194,140,3.0
0.443926,140,5.0
0.32437,140,7.0
0.48556420000000006,140,10.0
0.48556420000000006,140,14.0
1.008,142,0.0
0.4437818,142,1.0
0.365638,142,3.0
0.355314,142,5.0
0.4437818,142,7.0
0.329812,142,10.0
0.160145,142,14.0
0.592821,143,0.0
0.436521,143,1.0
0.418199,143,3.0
0.37105,143,5.0
0.4375926,143,7.0
0.369372,143,10.0
0.4375926,143,14.0
0.4580062000000001,144,0.0
0.566262,144,1.0
0.318035,144,3.0
0.506987,144,5.0
0.493373,144,7.0
0.4580062000000001,144,10.0
0.405374,144,14.0
0.337398,146,0.0
0.28140139999999997,146,1.0
0.309293,146,3.0
0.274956,146,5.0
0.251906,146,7.0
0.233454,146,10.0
0.28140139999999997,146,14.0
0.419242,147,0.0
0.55432,147,1.0
0.523705,147,3.0
0.419242,147,5.0
0.484389,147,7.0
0.30884,147,10.0
0.224956,147,14.0
0.3551062,155,0.0
0.401059,155,1.0
0.338773,155,3.0
0.3551062,155,5.0
0.294338,155,7.0
0.240869,155,10.0
0.500492,155,14.0
0.458141,158,0.0
0.3321874,158,1.0
0.599913,158,3.0
0.3321874,158,5.0
0.127835,158,7.0
0.326327,158,10.0
0.148721,158,14.0
0.487624,163,0.0
0.25009359999999997,163,1.0
0.173575,163,3.0
0.259049,163,5.0
0.157302,163,7.0
0.172918,163,10.0
0.25009359999999997,163,14.0
0.822106,164,0.0
0.331032,164,1.0
0.322427,164,3.0
0.4076942,164,5.0
0.298362,164,7.0
0.264544,164,10.0
0.4076942,164,14.0
0.363455,165,0.0
0.2226048,165,1.0
0.2226048,165,3.0
0.250963,165,5.0
0.263587,165,7.0
0.106519,165,10.0
0.1285,165,14.0
0.372156,170,0.0
0.347533,170,1.0
0.310108,170,3.0
0.28701940000000004,170,5.0
0.210598,170,7.0
0.194702,170,10.0
0.28701940000000004,170,14.0
0.663539,171,0.0
