A0,ID,t
0.474879,5,0.0
0.4891295,5,1.0
0.554603,5,3.0
0.349609,5,5.0
0.4891295,5,7.0
0.577427,5,10.0
0.4891295,5,14.0
0.380083,9,0.0
0.238474,9,1.0
0.25174,9,3.0
0.264776,9,5.0
0.188807,9,7.0
0.264776,9,10.0
0.264776,9,14.0
0.404094,16,0.0
0.24221299999999998,16,1.0
0.222334,16,3.0
0.181093,16,5.0
0.24221299999999998,16,7.0
0.24221299999999998,16,10.0
0.161331,16,14.0
0.44069,18,0.0
0.3369735,18,1.0
0.361286,18,3.0
0.363378,18,5.0
0.3369735,18,7.0
0.3369735,18,10.0
0.18254,18,14.0
0.545136,20,0.0
0.281639,20,1.0
0.247035,20,3.0
0.188458,20,5.0
0.281639,20,7.0
0.281639,20,10.0
0.145927,20,14.0
0.306636,26,0.0
0.335679,26,1.0
0.306636,26,3.0
0.279414,26,5.0
0.28291,26,7.0
0.328541,26,10.0
0.306636,26,14.0
0.34638925000000004,28,0.0
0.399884,28,1.0
0.34638925000000004,28,3.0
0.411285,28,5.0
0.326032,28,7.0
0.34638925000000004,28,10.0
0.248356,28,14.0
0.218449,30,0.0
0.215707,30,1.0
0.21013099999999998,30,3.0
0.21013099999999998,30,5.0
0.148777,30,7.0
0.257591,30,10.0
0.21013099999999998,30,14.0
0.34570975,31,0.0
0.457279,31,1.0
0.373954,31,3.0
0.34570975,31,5.0
0.339256,31,7.0
0.34570975,31,10.0
0.21235,31,14.0
0.40403725,35,0.0
0.500081,35,1.0
0.40403725,35,3.0
0.375909,35,5.0
0.41385,35,7.0
0.40403725,35,10.0
0.326309,35,14.0
0.499072,39,0.0
0.549716,39,1.0
0.499072,39,3.0
0.508479,39,5.0
0.499072,39,7.0
0.470337,39,10.0
0.467756,39,14.0
0.45445500000000005,41,0.0
0.738578,41,1.0
0.364427,41,3.0
0.410395,41,5.0
0.45445500000000005,41,7.0
0.45445500000000005,41,10.0
0.30442,41,14.0
0.417691,43,0.0
0.39405349999999995,43,1.0
0.370567,43,3.0
0.307359,43,5.0
0.39405349999999995,43,7.0
0.480597,43,10.0
0.39405349999999995,43,14.0
0.148913625,45,0.0
0.148913625,45,1.0
0.148913625,45,3.0
0.144056,45,5.0
0.138173,45,7.0
