A0,ID,t
0.33164150000000003,5,0.0
0.33164150000000003,5,1.0
0.373515,5,3.0
0.350075,5,5.0
0.333914,5,7.0
0.33164150000000003,5,10.0
0.269062,5,14.0
0.237921,7,0.0
0.184979,7,1.0
0.214188,7,3.0
0.1904995,7,5.0
0.12491,7,7.0
0.1904995,7,10.0
0.1904995,7,14.0
0.227418,8,0.0
0.215065,8,1.0
0.17931075000000002,8,3.0
0.17931075000000002,8,5.0
0.17931075000000002,8,7.0
0.146113,8,10.0
0.128647,8,14.0
0.29639499999999996,15,0.0
0.29639499999999996,15,1.0
0.36651,15,3.0
0.303522,15,5.0
0.283402,15,7.0
0.232146,15,10.0
0.29639499999999996,15,14.0
0.4047365,17,0.0
0.4047365,17,1.0
0.4047365,17,3.0
0.401943,17,5.0
0.433527,17,7.0
0.410047,17,10.0
0.373429,17,14.0
0.39405199999999996,18,0.0
0.145373,18,1.0
0.571024,18,3.0
0.538196,18,5.0
0.39405199999999996,18,7.0
0.39405199999999996,18,10.0
0.321615,18,14.0
0.525339,21,0.0
0.503673,21,1.0
0.43864825,21,3.0
0.43864825,21,5.0
0.43864825,21,7.0
0.390967,21,10.0
0.334614,21,14.0
0.40771475,22,0.0
0.253899,22,1.0
0.490257,22,3.0
0.40771475,22,5.0
0.455566,22,7.0
0.431137,22,10.0
0.40771475,22,14.0
0.371361,29,0.0
0.299752,29,1.0
0.30758,29,3.0
0.278734,29,5.0
0.299752,29,7.0
0.241333,29,10.0
0.299752,29,14.0
0.335306,34,0.0
0.2613525,34,1.0
0.272783,34,3.0
0.2613525,34,5.0
0.235257,34,7.0
0.202064,34,10.0
0.2613525,34,14.0
0.560796,36,0.0
0.51917475,36,1.0
0.516064,36,3.0
0.506067,36,5.0
0.493772,36,7.0
0.51917475,36,10.0
0.51917475,36,14.0
0.342439,37,0.0
0.320515,37,1.0
0.277696,37,3.0
0.246675,37,5.0
0.277696,37,7.0
0.201155,37,10.0
0.277696,37,14.0
0.58187475,39,0.0
0.997027,39,1.0
0.470571,39,3.0
0.443481,39,5.0
0.58187475,39,7.0
0.41642,39,10.0
0.58187475,39,14.0
0.501747,45,0.0
0.3897155,45,1.0
0.3897155,45,3.0
0.398151,45,5.0
0.3897155,45,7.0
0.354086,45,10.0
0.304878,45,14.0
0.446387,47,0.0
0.40536174999999997,47,1.0
0.412977,47,3.0
0.385676,47,5.0
0.40536174999999997,47,7.0
0.376407,47,10.0
0.40536174999999997,47,14.0
0.425699,49,0.0
0.29300825,49,1.0
0.331057,49,3.0
0.29300825,49,5.0
0.29300825,49,7.0
0.177343,49,10.0
0.237934,49,14.0
0.653827,50,0.0
0.644118,50,1.0
0.57153,50,3.0
0.57153,50,5.0
0.491147,50,7.0
0.497028,50,10.0
0.57153,50,14.0
0.32096975,52,0.0
0.32096975,52,1.0
0.401471,52,3.0
0.32096975,52,5.0
0.334924,52,7.0
0.293943,52,10.0
0.253541,52,14.0
0.314752,53,0.0
0.29128,53,1.0
0.26106124999999997,53,3.0
0.222808,53,5.0
0.215405,53,7.0
0.26106124999999997,53,10.0
0.26106124999999997,53,14.0
0.34627225,54,0.0
0.34627225,54,1.0
0.362408,54,3.0
0.334261,54,5.0
0.394457,54,7.0
0.293963,54,10.0
0.34627225,54,14.0
0.322986,55,0.0
0.307421,55,1.0
0.254993,55,3.0
0.2679895,55,5.0
0.2679895,55,7.0
0.186558,55,10.0
0.2679895,55,14.0
0.193168,57,0.0
0.212205,57,1.0
0.14683105,57,3.0
0.14683105,57,5.0
0.14683105,57,7.0
0.130629,57,10.0
0.0513222,57,14.0
0.384695,59,0.0
0.32344075,59,1.0
0.318416,59,3.0
0.296832,59,5.0
0.29382,59,7.0
0.32344075,59,10.0
0.32344075,59,14.0
0.544739,60,0.0
0.592694,60,1.0
0.5227342500000001,60,3.0
0.456362,60,5.0
0.5227342500000001,60,7.0
0.497142,60,10.0
0.5227342500000001,60,14.0
0.29227800000000004,61,0.0
0.387062,61,1.0
0.305782,61,3.0
0.29227800000000004,61,5.0
0.271089,61,7.0
0.29227800000000004,61,10.0
0.205179,61,14.0
0.471618,62,0.0
0.41452,62,1.0
0.39412325000000004,62,3.0
0.36351,62,5.0
0.39412325000000004,62,7.0
0.326845,62,10.0
0.39412325000000004,62,14.0
0.42816,63,0.0
0.35685425,63,1.0
0.363177,63,3.0
0.337613,63,5.0
0.35685425,63,7.0
0.298467,63,10.0
0.35685425,63,14.0
0.338545,68,0.0
0.304619,68,1.0
0.174304,68,3.0
0.228189175,68,5.0
0.228189175,68,7.0
0.228189175,68,10.0
0.0952887,68,14.0
0.379185,74,0.0
0.199925,74,1.0
0.195229,74,3.0
0.199925,74,5.0
0.199925,74,7.0
0.120082,74,10.0
0.105204,74,14.0
0.21889925,75,0.0
0.392955,75,1.0
0.21889925,75,3.0
0.215216,75,5.0
0.21889925,75,7.0
0.144883,75,10.0
0.122543,75,14.0
0.139235025,78,0.0
0.139235025,78,1.0
0.188372,78,3.0
0.172735,78,5.0
0.119344,78,7.0
0.139235025,78,10.0
0.0764891,78,14.0
0.372323,82,0.0
0.1914807,82,1.0
0.1914807,82,3.0
0.1914807,82,5.0
0.0982387,82,7.0
0.226127,82,10.0
0.0692341,82,14.0
0.266298,83,0.0
0.384332,83,1.0
0.264078,83,3.0
0.223292,83,5.0
0.266298,83,7.0
0.19349,83,10.0
0.266298,83,14.0
0.290540375,87,0.0
0.306714,87,1.0
0.0820385,87,3.0
0.290540375,87,5.0
0.402995,87,7.0
0.370414,87,10.0
0.290540375,87,14.0
0.32420925,98,0.0
0.32420925,98,1.0
0.399057,98,3.0
0.311947,98,5.0
0.312565,98,7.0
0.273268,98,10.0
0.32420925,98,14.0
0.463422,99,0.0
0.25738,99,1.0
0.23051,99,3.0
0.155744,99,5.0
0.179844,99,7.0
0.25738,99,10.0
0.25738,99,14.0
0.23899074999999997,101,0.0
0.256229,101,1.0
0.23899074999999997,101,3.0
0.179725,101,5.0
0.23899074999999997,101,7.0
0.265542,101,10.0
0.254467,101,14.0
0.17031025,102,0.0
0.17031025,102,1.0
0.213908,102,3.0
0.167073,102,5.0
0.176129,102,7.0
0.17031025,102,10.0
0.124131,102,14.0
0.459932,103,0.0
0.374888,103,1.0
0.288852,103,3.0
0.288852,103,5.0
0.171902,103,7.0
0.148686,103,10.0
0.288852,103,14.0
0.538666,106,0.0
0.558433,106,1.0
0.481534,106,3.0
0.710697,106,5.0
0.538666,106,7.0
0.404,106,10.0
0.538666,106,14.0
0.602807,108,0.0
0.487372,108,1.0
0.353571,108,3.0
0.290894,108,5.0
0.433661,108,7.0
0.433661,108,10.0
0.433661,108,14.0
0.401673,112,0.0
0.276490175,112,1.0
0.479262,112,3.0
0.14446,112,5.0
0.0805657,112,7.0
0.276490175,112,10.0
0.276490175,112,14.0
0.437038,118,0.0
0.35347125,118,1.0
0.423799,118,3.0
0.35347125,118,5.0
0.270203,118,7.0
0.282845,118,10.0
0.35347125,118,14.0
0.23462,124,0.0
0.290788,124,1.0
0.2067245,124,3.0
0.180782,124,5.0
0.120708,124,7.0
0.2067245,124,10.0
0.2067245,124,14.0
0.18711665,129,0.0
0.207518,129,1.0
0.18711665,129,3.0
0.13027,129,5.0
0.18711665,129,7.0
0.332738,129,10.0
0.0779406,129,14.0
0.26056650000000003,132,0.0
0.319074,132,1.0
0.258164,132,3.0
0.26056650000000003,132,5.0
0.239933,132,7.0
0.225095,132,10.0
0.26056650000000003,132,14.0
0.31576424999999997,133,0.0
0.45377,133,1.0
0.31576424999999997,133,3.0
0.363432,133,5.0
0.31576424999999997,133,7.0
0.291647,133,10.0
0.154208,133,14.0
0.303006,134,0.0
0.27895200000000003,134,1.0
0.235106,134,3.0
0.244492,134,5.0
0.333204,134,7.0
0.27895200000000003,134,10.0
0.27895200000000003,134,14.0
0.52152625,140,0.0
0.52152625,140,1.0
0.638633,140,3.0
0.570115,140,5.0
0.502293,140,7.0
0.52152625,140,10.0
0.375064,140,14.0
0.476646,147,0.0
0.36344775,147,1.0
0.224282,147,3.0
0.186031,147,5.0
0.36344775,147,7.0
0.566832,147,10.0
0.36344775,147,14.0
0.3029319875,154,0.0
0.472602,154,1.0
0.3029319875,154,3.0
0.00845095,154,5.0
0.3029319875,154,7.0
0.385333,154,10.0
0.345342,154,14.0
0.47046425000000003,157,0.0
0.574804,157,1.0
0.47046425000000003,157,3.0
0.510015,157,5.0
0.47046425000000003,157,7.0
0.373663,157,10.0
0.423375,157,14.0
0.279864,159,0.0
0.267331,159,1.0
0.243074,159,3.0
0.25119225,159,5.0
0.2145,159,7.0
0.25119225,159,10.0
0.25119225,159,14.0
0.28535725,160,0.0
0.360692,160,1.0
0.279799,160,3.0
0.28535725,160,5.0
0.285564,160,7.0
0.215374,160,10.0
0.28535725,160,14.0
0.258033,161,0.0
0.314967,161,1.0
0.258033,161,3.0
0.261025,161,5.0
0.258033,161,7.0
0.254097,161,10.0
0.202043,161,14.0
0.449581,162,0.0
0.517111,162,1.0
0.51727325,162,3.0
0.348386,162,5.0
0.754015,162,7.0
0.51727325,162,10.0
0.51727325,162,14.0
0.710013,163,0.0
0.5770602499999999,163,1.0
0.5770602499999999,163,3.0
0.544997,163,5.0
0.559293,163,7.0
0.493938,163,10.0
0.5770602499999999,163,14.0
0.517687,165,0.0
0.490659,165,1.0
0.44685275,165,3.0
0.44685275,165,5.0
0.429488,165,7.0
0.44685275,165,10.0
0.349577,165,14.0
0.274318,167,0.0
0.26083,167,1.0
0.238517,167,3.0
0.210888,167,5.0
0.26083,167,7.0
0.26083,167,10.0
0.319597,167,14.0
0.396724,168,0.0
0.327085,168,1.0
0.340617,168,3.0
0.327085,168,5.0
0.327085,168,7.0
0.310549,168,10.0
0.26045,168,14.0
0.411127,169,0.0
0.33468,169,1.0
0.34476,169,3.0
0.322889,169,5.0
0.33468,169,7.0
0.259944,169,10.0
0.33468,169,14.0
0.342063,173,0.0
0.434398,173,1.0
0.342063,173,3.0
0.342849,173,5.0
0.282933,173,7.0
0.342063,173,10.0
0.308072,173,14.0
0.451362,175,0.0
0.3771235,175,1.0
0.393352,175,3.0
0.375189,175,5.0
0.3771235,175,7.0
0.3771235,175,10.0
0.288591,175,14.0
0.512968,179,0.0
0.512968,179,1.0
0.555874,179,3.0
0.533194,179,5.0
0.52006,179,7.0
0.512968,179,10.0
0.442744,179,14.0
0.50473975,180,0.0
0.536344,180,1.0
0.50473975,180,3.0
0.50473975,180,5.0
0.537496,180,7.0
0.489295,180,10.0
0.455824,180,14.0
0.572181,186,0.0
0.557974,186,1.0
0.5103755,186,3.0
0.5103755,186,5.0
0.5103755,186,7.0
0.470811,186,10.0
0.440536,186,14.0
0.556962,190,0.0
0.495347,190,1.0
0.41997524999999997,190,3.0
0.399511,190,5.0
0.41997524999999997,190,7.0
0.228081,190,10.0
0.41997524999999997,190,14.0
0.471732,193,0.0
0.61574125,193,1.0
0.668497,193,3.0
0.61574125,193,5.0
0.958284,193,7.0
0.364452,193,10.0
0.61574125,193,14.0
0.198762,202,0.0
0.263878,202,1.0
0.216094,202,3.0
0.193957,202,5.0
