"","x"
"1",1
"2",2
"3",5
"4",7
"5",13
"6",21
"7",22
"8",23
"9",24
"10",26
"11",29
"12",30
"13",31
"14",32
"15",34
"16",35
"17",36
"18",38
"19",54
"20",55
"21",60
"22",63
"23",65
"24",66
"25",67
"26",72
"27",74
"28",88
"29",93
"30",94
"31",95
"32",98
"33",99
"34",100
"35",101
"36",102
"37",103
"38",104
"39",105
"40",106
"41",107
"42",110
"43",111
"44",112
"45",115
"46",117
"47",119
"48",121
"49",126
"50",131
"51",132
"52",135
"53",136
"54",145
"55",147
"56",152
"57",153
"58",154
"59",155
"60",157
"61",159
"62",162
"63",163
"64",165
"65",166
"66",167
"67",168
"68",172
"69",173
"70",176
"71",178
"72",185
"73",186
"74",188
"75",193
"76",196
"77",199
"78",202
"79",204
"80",205
"81",211
"82",216
"83",217
"84",218
"85",221
"86",222
"87",224
"88",226
"89",229
"90",232
"91",234
"92",237
"93",238
"94",245
"95",247
"96",253
"97",254
"98",257
"99",263
"100",264
"101",265
"102",269
"103",271
"104",274
"105",276
"106",285
"107",288
"108",293
"109",295
"110",297
"111",304
"112",309
"113",312
"114",314
"115",315
"116",319
"117",320
"118",322
"119",328
"120",329
"121",331
"122",334
"123",335
"124",336
"125",338
"126",342
"127",343
"128",349
"129",350
"130",351
"131",353
"132",355
"133",359
"134",371
"135",377
"136",379
"137",380
"138",382
"139",383
"140",384
"141",386
"142",387
"143",389
"144",394
"145",397
"146",399
"147",401
"148",404
"149",405
"150",406
"151",408
"152",409
"153",411
"154",413
"155",414
"156",418
"157",419
"158",422
"159",423
"160",424
"161",427
"162",429
"163",431
"164",433
"165",434
"166",437
"167",441
"168",445
"169",446
"170",447
"171",448
"172",454
"173",456
"174",458
"175",459
"176",460
"177",462
"178",463
"179",464
"180",465
"181",471
"182",477
"183",478
"184",479
"185",480
"186",481
"187",482
"188",488
"189",490
"190",491
"191",493
"192",494
"193",497
"194",498
"195",501
"196",502
"197",504
"198",506
"199",508
"200",510
"201",511
"202",526
"203",527
"204",528
"205",530
"206",536
"207",538
"208",548
"209",561
"210",566
"211",568
"212",575
"213",577
"214",579
"215",580
"216",581
"217",585
"218",586
"219",588
"220",592
"221",593
"222",594
"223",598
"224",602
"225",603
"226",604
"227",607
"228",610
"229",611
"230",613
"231",614
"232",615
"233",616
"234",617
"235",618
"236",624
"237",626
"238",627
"239",631
"240",634
"241",648
"242",650
"243",652
"244",658
"245",662
"246",663
"247",664
"248",672
"249",674
"250",676
"251",680
"252",681
"253",687
"254",691
"255",694
"256",701
"257",718
"258",720
"259",722
"260",732
"261",748
"262",749
"263",756
"264",757
"265",761
"266",762
"267",764
"268",765
"269",766
"270",768
"271",772
"272",775
"273",778
"274",782
"275",789
"276",796
"277",803
"278",811
"279",819
"280",823
"281",826
"282",827
"283",828
"284",832
"285",836
"286",837
"287",845
"288",846
"289",847
"290",849
"291",850
"292",851
"293",852
"294",854
"295",859
"296",860
"297",878
"298",879
"299",880
"300",882
"301",883
"302",885
"303",895
"304",898
"305",900
"306",902
"307",904
"308",907
"309",908
"310",912
"311",913
"312",915
"313",922
"314",923
"315",927
"316",930
"317",932
"318",936
"319",937
"320",938
"321",939
"322",941
"323",954
"324",956
"325",970
"326",973
"327",979
"328",981
"329",989
"330",992
"331",994
"332",1001
"333",1014
"334",1016
"335",1020
"336",1022
"337",1023
"338",1028
"339",1030
"340",1031
"341",1034
"342",1050
"343",1055
"344",1056
"345",1058
"346",1059
"347",1062
"348",1064
"349",1066
"350",1068
"351",1069
"352",1070
"353",1072
"354",1074
"355",1075
"356",1077
"357",1080
"358",1087
"359",1088
"360",1089
"361",1096
"362",1097
"363",1102
"364",1106
"365",1107
"366",1109
"367",1110
"368",1112
"369",1115
"370",1116
"371",1120
"372",1122
"373",1135
"374",1136
"375",1140
"376",1142
"377",1148
"378",1149
"379",1150
"380",1151
"381",1157
"382",1158
"383",1160
"384",1161
"385",1169
"386",1172
"387",1173
"388",1177
"389",1181
"390",1182
"391",1184
"392",1186
"393",1189
"394",1191
"395",1194
"396",1195
"397",1197
"398",1199
"399",1200
"400",1214
"401",1215
"402",1216
"403",1218
"404",1222
"405",1224
"406",1226
"407",1228
"408",1230
"409",1236
"410",1241
"411",1242
"412",1244
"413",1247
"414",1250
"415",1256
"416",1261
"417",1262
"418",1266
"419",1267
"420",1268
"421",1278
"422",1280
"423",1282
"424",1284
"425",1286
"426",1293
"427",1294
"428",1295
"429",1296
"430",1297
"431",1305
