ID	t	A0	notFoundBySE
0	0.00000	0.305724	
0	1.00000	0.304664	
0	3.00000	0.296423	
0	5.00000	0.299247	
0	14.0000	0.0873197	
1	0.00000	0.730538	
1	1.00000	0.468100	
1	3.00000	0.0980684	
1	5.00000	0.311956	
1	7.00000	0.270200	
1	10.0000	0.295645	
1	14.0000	0.296602	
2	0.00000	0.307543	
2	1.00000	0.490851	
2	3.00000	0.570920	
2	5.00000	0.321674	
2	7.00000	0.515391	
2	10.0000	0.278241	
2	14.0000	0.371913	
3	0.00000	0.369967	
3	1.00000	0.406467	
3	3.00000	0.339162	
3	7.00000	0.339612	
3	10.0000	0.309056	
3	14.0000	0.240173	
4	0.00000	0.388996	
4	7.00000	0.326870	
4	10.0000	0.618552	
4	14.0000	0.189388	
5	0.00000	0.269659	
5	1.00000	0.349832	
5	3.00000	0.421600	
5	5.00000	0.354007	
5	7.00000	0.332771	
5	10.0000	0.608349	
5	14.0000	0.282586	
6	0.00000	0.599118	
6	3.00000	0.218713	
6	5.00000	0.383677	
6	7.00000	0.265579	
6	10.0000	0.741934	
7	0.00000	0.255194	
7	1.00000	0.0886620	
7	3.00000	0.197141	
7	5.00000	0.139278	
7	7.00000	0.229951	
7	10.0000	0.105247	
7	14.0000	0.240492	
8	0.00000	0.414266	
8	1.00000	0.363892	
8	3.00000	0.312194	
8	7.00000	0.137431	
8	10.0000	0.186498	
8	14.0000	0.0905337	
9	0.00000	0.420836	
9	1.00000	0.311789	
9	3.00000	0.191889	
9	7.00000	0.167848	
9	10.0000	0.194847	
9	14.0000	0.148518	
10	0.00000	0.666377	
10	5.00000	0.159541	
10	7.00000	0.326087	
10	14.0000	0.259450	
11	1.00000	0.248253	
11	3.00000	0.190687	
11	5.00000	0.155574	
11	7.00000	0.136528	
11	10.0000	0.164904	
11	14.0000	0.558630	
12	3.00000	0.285390	
12	5.00000	0.409649	
12	7.00000	0.347601	
12	10.0000	0.262892	
13	0.00000	0.578005	
13	1.00000	0.445579	
13	3.00000	0.366984	
13	5.00000	0.326272	
13	7.00000	0.105954	
13	10.0000	0.273405	
13	14.0000	0.225066	
14	0.00000	0.168618	
