ID,t,A0,notFoundBySE
1,0.0,,
1,1.0,,
1,3.0,,
1,5.0,,
1,7.0,0.2702,
1,10.0,0.295645,
1,14.0,,
2,0.0,,
2,1.0,,
2,3.0,,
2,5.0,,
2,7.0,,
2,10.0,0.278241,
2,14.0,0.371913,
5,0.0,,
5,1.0,,
5,3.0,0.4216,
5,5.0,,
5,7.0,0.332771,
5,10.0,,
5,14.0,,
7,0.0,,
7,1.0,,
7,3.0,0.197141,
7,5.0,0.139278,
7,7.0,,
7,10.0,,
7,14.0,,
13,0.0,,
13,1.0,0.445579,
13,3.0,,
13,5.0,,
13,7.0,,
13,10.0,,
13,14.0,0.225066,
21,0.0,,
21,1.0,,
21,3.0,,
21,5.0,0.266713,
21,7.0,0.242988,
21,10.0,,
21,14.0,,
22,0.0,,
22,1.0,0.2793,
22,3.0,,
22,5.0,,
22,7.0,,
22,10.0,,
22,14.0,0.158288,
23,0.0,,
23,1.0,0.20772,
23,3.0,,
23,5.0,,
23,7.0,,
23,10.0,,
23,14.0,0.124199,
24,0.0,,
24,1.0,,
24,3.0,,
24,5.0,0.36264,
24,7.0,0.359931,
24,10.0,,
24,14.0,,
26,0.0,,
26,1.0,,
26,3.0,0.760895,
26,5.0,,
26,7.0,0.419088,
26,10.0,,
26,14.0,,
29,0.0,,
29,1.0,0.371307,
29,3.0,0.313573,
29,5.0,,
29,7.0,,
29,10.0,,
29,14.0,,
30,0.0,,
30,1.0,0.532531,
30,3.0,,
30,5.0,0.527168,
30,7.0,,
30,10.0,,
30,14.0,,
31,0.0,0.483227,
31,1.0,,
31,3.0,,
31,5.0,,
31,7.0,,
31,10.0,,
31,14.0,0.304766,
32,0.0,,
32,1.0,0.475176,
32,3.0,,
32,5.0,0.416163,
32,7.0,,
32,10.0,,
32,14.0,,
34,0.0,,
34,1.0,,
34,3.0,,
34,5.0,0.360168,
34,7.0,,
34,10.0,0.322252,
34,14.0,,
35,0.0,,
35,1.0,,
35,3.0,0.384864,
35,5.0,0.37298,
35,7.0,,
35,10.0,,
35,14.0,,
36,0.0,0.259932,
36,1.0,,
36,3.0,,
36,5.0,0.235595,
36,7.0,,
36,10.0,,
36,14.0,,
38,0.0,0.389577,
38,1.0,,
38,3.0,,
38,5.0,,
38,7.0,,
38,10.0,0.212471,
38,14.0,,
54,0.0,0.579754,
54,1.0,,
54,3.0,0.195582,
54,5.0,,
54,7.0,,
54,10.0,,
54,14.0,,
55,0.0,,
55,1.0,,
55,3.0,,
55,5.0,,
55,7.0,0.524104,
55,10.0,0.245242,
55,14.0,,
60,0.0,,
60,1.0,,
60,3.0,0.313668,
60,5.0,0.28253,
60,7.0,,
60,10.0,,
60,14.0,,
63,0.0,0.374479,
63,1.0,,
63,3.0,,
63,5.0,,
63,7.0,0.165176,
63,10.0,,
63,14.0,,
65,0.0,,
65,1.0,,
65,3.0,,
65,5.0,,
65,7.0,0.161769,
