"","d0","d1","d3","d5","d7","d10","d14"
"1",0.307543,0.4681,0.0980684,0.311956,0.2702,0.295645,0.296602
"2",0.307543,0.490851,0.57092,0.311956,0.515391,0.278241,0.371913
"3",0.269659,0.4681,0.4216,0.354007,0.332771,0.608349,0.282586
"4",0.255194,0.088662,0.0980684,0.139278,0.229951,0.105247,0.240492
"5",0.578005,0.445579,0.366984,0.326272,0.105954,0.295645,0.225066
"6",0.342437,0.995839,0.308115,0.266713,0.242988,0.234893,0.296602
"7",0.378998,0.2793,0.21193,0.386404,0.17027,0.314194,0.158288
"8",0.307543,0.20772,0.202556,0.197448,0.180197,0.149313,0.124199
"9",0.307543,0.431532,0.37373,0.36264,0.359931,0.290198,0.244344
"10",0.307543,0.505058,0.760895,0.47415,0.419088,0.407406,0.0462509
"11",0.635087,0.371307,0.313573,0.298077,0.2702,0.384155,0.209527
"12",0.561223,0.532531,0.207898,0.311956,0.509725,0.490015,0.250831
"13",0.307543,0.407932,0.372078,0.409075,0.334487,0.332967,0.304766
"14",0.561256,0.475176,0.398455,0.311956,0.374273,0.362078,0.257521
"15",0.412425,0.4681,0.386012,0.360168,0.336477,0.322252,0.268541
"16",0.450324,0.398063,0.384864,0.37298,0.34007,0.301654,0.296602
"17",0.307543,0.280502,0.251797,0.235595,0.163301,0.153849,0.506141
"18",0.389577,0.32123,0.334758,0.282796,0.227683,0.212471,0.162903
"19",0.579754,0.226716,0.195582,0.109927,0.2702,0.113651,0.0804638
"20",0.686875,0.643483,0.610733,0.567306,0.524104,0.295645,0.468666
"21",0.307543,0.364962,0.313668,0.28253,0.231001,0.19469,0.145138
"22",0.374479,0.28364,0.269435,0.228256,0.165176,0.295645,0.459297
"23",0.47889,0.396319,0.187757,0.34305,0.253395,1,0.0441008
"24",0.484481,0.384745,0.316924,0.311956,0.161633,0.209238,0.0968841
"25",0.398695,0.751974,0.220378,0.267696,0.177014,0.295645,0.1602
"26",0.337774,0.282047,0.263921,0.17068,0.144658,0.295645,0.418224
"27",0.307543,0.362881,0.384811,0.237449,0.215618,0.175723,0.59903
"28",0.0121168,0.211888,0.166788,0.127113,0.2702,0.177276,0.0498175
