"","d0","d1","d3","d5","d7","d10","d14"
"1",0.483227,0.445579,0.4216,0.139278,0.2702,0.295645,0.371913
"2",0.483227,0.445579,0.4216,0.139278,0.2702,0.278241,0.371913
"3",0.483227,0.445579,0.4216,0.139278,0.332771,0.295645,0.371913
"4",0.483227,0.445579,0.197141,0.139278,0.2702,0.295645,0.371913
"5",0.483227,0.445579,0.4216,0.139278,0.2702,0.295645,0.225066
"6",0.483227,0.445579,0.4216,0.266713,0.242988,0.295645,0.371913
"7",0.483227,0.2793,0.4216,0.139278,0.2702,0.295645,0.158288
"8",0.483227,0.20772,0.4216,0.139278,0.2702,0.295645,0.124199
"9",0.483227,0.445579,0.4216,0.36264,0.359931,0.295645,0.371913
"10",0.483227,0.445579,0.760895,0.139278,0.419088,0.295645,0.371913
"11",0.483227,0.371307,0.313573,0.139278,0.2702,0.295645,0.371913
"12",0.483227,0.532531,0.4216,0.527168,0.2702,0.295645,0.371913
"13",0.483227,0.445579,0.4216,0.139278,0.2702,0.295645,0.304766
"14",0.483227,0.475176,0.4216,0.416163,0.2702,0.295645,0.371913
"15",0.483227,0.445579,0.4216,0.360168,0.2702,0.322252,0.371913
"16",0.483227,0.445579,0.384864,0.37298,0.2702,0.295645,0.371913
"17",0.259932,0.445579,0.4216,0.235595,0.2702,0.295645,0.371913
"18",0.389577,0.445579,0.4216,0.139278,0.2702,0.212471,0.371913
"19",0.579754,0.445579,0.195582,0.139278,0.2702,0.295645,0.371913
"20",0.483227,0.445579,0.4216,0.139278,0.524104,0.245242,0.371913
"21",0.483227,0.445579,0.313668,0.28253,0.2702,0.295645,0.371913
"22",0.374479,0.445579,0.4216,0.139278,0.165176,0.295645,0.371913
"23",0.483227,0.445579,0.4216,0.139278,0.161769,0.295645,0.0441008
"24",0.483227,0.445579,0.4216,0.270027,0.2702,0.295645,0.0968841
"25",0.398695,0.751974,0.4216,0.139278,0.2702,0.295645,0.371913
"26",0.483227,0.445579,0.263921,0.139278,0.2702,0.114678,0.371913
"27",0.483227,0.445579,0.4216,0.237449,0.2702,0.295645,0.59903
"28",0.483227,0.445579,0.4216,0.127113,0.0843281,0.295645,0.371913
"29",0.483227,0.445579,0.4216,0.270097,0.2702,0.295645,0.130504
"30",0.724209,0.445579,0.4216,0.349386,0.2702,0.295645,0.371913
"31",0.483227,0.445579,0.4216,0.400922,0.2702,0.370044,0.371913
"32",0.483227,0.473048,0.4216,0.333185,0.2702,0.295645,0.371913
"33",0.41287,0.445579,0.4216,0.139278,0.293099,0.295645,0.371913
"34",0.483227,0.573712,0.780261,0.139278,0.2702,0.295645,0.371913
"35",0.483227,0.34848,0.4216,0.139278,0.2702,0.278636,0.371913
"36",0.483227,0.445579,0.535913,0.139278,0.369975,0.295645,0.371913
"37",0.483227,0.445579,0.4216,0.286915,0.424785,0.295645,0.371913
"38",0.483227,0.445579,0.4216,0.383972,0.2702,0.341252,0.371913
"39",0.483227,0.445579,0.4216,0.29503,0.265866,0.295645,0.371913
"40",0.351527,0.445579,0.4216,0.139278,0.2702,0.260582,0.371913
"41",0.483227,0.445579,0.4216,0.139278,0.463149,0.295645,0.43914
"42",0.483227,0.406183,0.4216,0.377949,0.2702,0.295645,0.371913
"43",0.483227,0.445579,0.484265,0.139278,0.2702,0.463923,0.371913
"44",0.483227,0.445579,0.4216,0.531164,0.18763,0.295645,0.371913
"45",0.483227,0.18715,0.4216,0.139278,0.352554,0.295645,0.371913
"46",0.144495,0.587373,0.4216,0.139278,0.2702,0.295645,0.371913
"47",0.483227,0.366989,0.4216,0.139278,0.2702,0.36101,0.371913
"48",0.458141,0.445579,0.365309,0.139278,0.2702,0.295645,0.371913
"49",0.483227,0.291983,0.4216,0.139278,0.395853,0.295645,0.371913
"50",0.372156,0.341168,0.4216,0.139278,0.2702,0.295645,0.371913
"51",0.483227,0.445579,0.4216,0.288853,0.2702,0.226259,0.371913
"52",0.483227,0.445579,0.4216,0.139278,0.372734,0.295645,0.30234
"53",0.483227,0.445579,0.4216,0.139278,0.2702,0.131268,0.133765
