"","x"
"1",2
"2",6
"3",9
"4",31
"5",33
"6",36
"7",38
"8",39
"9",40
"10",44
"11",48
"12",49
"13",50
"14",53
"15",54
"16",56
"17",57
"18",58
"19",63
"20",66
"21",69
"22",70
"23",74
"24",77
"25",82
"26",83
"27",85
"28",87
"29",88
"30",89
"31",95
"32",97
"33",100
"34",101
"35",103
"36",108
"37",121
"38",122
"39",123
"40",126
"41",127
"42",128
"43",131
"44",132
"45",136
"46",138
"47",139
"48",140
"49",142
"50",143
"51",144
"52",146
"53",147
"54",155
"55",158
"56",163
"57",164
"58",165
"59",170
"60",171
"61",174
"62",177
"63",179
"64",182
"65",185
"66",186
"67",188
"68",189
"69",191
"70",192
"71",193
"72",194
"73",195
"74",201
"75",203
"76",206
"77",209
"78",210
"79",212
"80",213
"81",215
"82",219
"83",220
"84",221
"85",222
"86",224
"87",226
"88",231
"89",233
"90",239
"91",245
"92",249
"93",251
"94",252
"95",253
"96",259
"97",260
"98",261
"99",264
"100",266
"101",269
"102",271
"103",275
"104",276
"105",277
"106",281
"107",282
"108",284
"109",287
"110",289
"111",291
"112",295
"113",298
"114",308
"115",311
"116",318
"117",324
"118",327
"119",333
"120",334
"121",336
"122",337
"123",339
"124",342
"125",345
"126",347
"127",354
"128",356
"129",357
"130",360
"131",366
"132",367
"133",368
"134",372
"135",376
"136",377
"137",384
"138",385
"139",387
"140",388
"141",391
"142",392
"143",397
"144",398
"145",399
"146",402
"147",403
"148",404
"149",405
"150",408
"151",409
"152",410
"153",412
"154",415
"155",416
"156",417
"157",418
"158",419
"159",422
"160",423
"161",424
"162",425
"163",426
"164",428
"165",430
"166",432
"167",433
"168",434
"169",435
"170",436
"171",439
"172",440
"173",446
"174",449
"175",452
"176",455
"177",456
"178",457
"179",465
"180",467
"181",469
"182",470
"183",471
"184",473
"185",476
"186",479
"187",481
"188",482
"189",485
"190",489
"191",490
"192",493
"193",501
"194",503
"195",507
"196",508
"197",510
"198",512
"199",513
"200",515
"201",516
"202",518
"203",519
"204",520
"205",522
"206",525
"207",527
"208",528
"209",532
"210",536
"211",537
"212",538
"213",539
"214",541
"215",542
"216",550
"217",551
"218",553
"219",555
"220",556
"221",557
"222",558
"223",560
"224",562
"225",563
"226",564
"227",565
"228",566
"229",568
"230",570
"231",576
"232",579
"233",582
"234",583
"235",584
"236",591
"237",592
"238",594
"239",595
"240",596
"241",599
"242",600
"243",602
"244",603
"245",605
"246",607
"247",609
"248",613
"249",614
"250",617
"251",618
"252",622
"253",631
"254",632
"255",633
"256",634
"257",636
"258",640
"259",644
"260",645
"261",646
"262",647
"263",650
"264",651
"265",653
"266",663
"267",671
"268",672
"269",675
"270",680
"271",683
"272",684
"273",685
"274",686
"275",691
"276",693
"277",694
"278",696
"279",698
"280",699
"281",700
"282",703
"283",707
"284",710
"285",711
"286",712
"287",719
