ID,t,A0,notFoundBySE
2,0.0,,
2,1.0,0.562698,
2,3.0,0.292155,
2,5.0,0.266173,
2,7.0,0.256912,
2,10.0,,
2,14.0,,
6,0.0,,
6,1.0,0.0573001,
6,3.0,,
6,5.0,0.38402,
6,7.0,0.247278,
6,10.0,0.348854,
6,14.0,,
9,0.0,0.269659,
9,1.0,0.343394,
9,3.0,,
9,5.0,,
9,7.0,0.308545,
9,10.0,0.276451,
9,14.0,,
31,0.0,,
31,1.0,,
31,3.0,,
31,5.0,0.34913,
31,7.0,0.290923,
31,10.0,0.283912,
31,14.0,0.243083,
33,0.0,0.342437,
33,1.0,0.292749,
33,3.0,,
33,5.0,,
33,7.0,0.227189,
33,10.0,0.189258,
33,14.0,,
36,0.0,0.567066,
36,1.0,,
36,3.0,0.373887,
36,5.0,0.339796,
36,7.0,,
36,10.0,0.276309,
36,14.0,,
38,0.0,0.378998,
38,1.0,,
38,3.0,0.198762,
38,5.0,,
38,7.0,,
38,10.0,0.198233,
38,14.0,0.223976,
39,0.0,0.568769,
39,1.0,0.214245,
39,3.0,0.212427,
39,5.0,0.161971,
39,7.0,,
39,10.0,,
39,14.0,,
40,0.0,0.482331,
40,1.0,0.440334,
40,3.0,,
40,5.0,,
40,7.0,0.30663,
40,10.0,0.251868,
40,14.0,,
44,0.0,0.526856,
44,1.0,0.501053,
44,3.0,,
44,5.0,0.445572,
44,7.0,,
44,10.0,,
44,14.0,0.380575,
48,0.0,0.635087,
48,1.0,0.210339,
48,3.0,0.338966,
48,5.0,,
48,7.0,,
48,10.0,0.317403,
48,14.0,,
49,0.0,,
49,1.0,,
49,3.0,,
49,5.0,0.502124,
49,7.0,0.482268,
49,10.0,0.358005,
49,14.0,0.431694,
50,0.0,0.483227,
50,1.0,,
50,3.0,0.432825,
50,5.0,0.374543,
50,7.0,,
50,10.0,,
50,14.0,0.306706,
53,0.0,,
53,1.0,0.377522,
53,3.0,0.400044,
53,5.0,0.343156,
53,7.0,,
53,10.0,0.293726,
53,14.0,,
54,0.0,,
54,1.0,0.424752,
54,3.0,,
54,5.0,0.379403,
54,7.0,0.30397,
54,10.0,,
54,14.0,0.278247,
56,0.0,,
56,1.0,,
56,3.0,0.206884,
56,5.0,0.150661,
56,7.0,,
56,10.0,0.126126,
56,14.0,0.105208,
57,0.0,,
57,1.0,0.323158,
57,3.0,,
57,5.0,,
57,7.0,0.195018,
57,10.0,0.173148,
57,14.0,0.264427,
58,0.0,,
58,1.0,0.436556,
58,3.0,0.398262,
58,5.0,,
58,7.0,,
58,10.0,0.23636,
58,14.0,0.350343,
63,0.0,,
63,1.0,,
63,3.0,,
63,5.0,0.190991,
63,7.0,0.122219,
63,10.0,0.141167,
63,14.0,0.0510311,
66,0.0,,
66,1.0,0.498811,
66,3.0,,
66,5.0,,
66,7.0,0.336613,
66,10.0,0.321621,
66,14.0,0.225451,
69,0.0,,
69,1.0,0.224689,
69,3.0,0.148115,
69,5.0,0.125708,
69,7.0,,
69,10.0,0.0954738,
69,14.0,,
70,0.0,0.999206,
70,1.0,0.493962,
70,3.0,0.317695,
70,5.0,,
70,7.0,,
70,10.0,0.294247,
70,14.0,,
74,0.0,0.579754,
74,1.0,,
74,3.0,0.136927,
74,5.0,0.269712,
74,7.0,,
74,10.0,,
74,14.0,0.200058,
77,0.0,0.282322,
77,1.0,0.243003,
77,3.0,0.178118,
77,5.0,,
77,7.0,,
77,10.0,0.126468,
77,14.0,,
82,0.0,0.400151,
82,1.0,,
82,3.0,,
82,5.0,,
82,7.0,0.200371,
82,10.0,0.16884,
82,14.0,0.146434,
83,0.0,0.338807,
83,1.0,,
83,3.0,,
83,5.0,0.159598,
83,7.0,0.145354,
83,10.0,0.147154,
83,14.0,,
85,0.0,0.374479,
85,1.0,0.29224,
85,3.0,,
85,5.0,0.141934,
85,7.0,0.1447,
85,10.0,,
85,14.0,,
87,0.0,0.47889,
87,1.0,,
87,3.0,0.250584,
87,5.0,0.192833,
87,7.0,,
