"","d0","d1","d3","d5","d7","d10","d14"
"1",1,0.224689,0.292155,0.266173,0.256912,0.259773,0.236577
"2",0.307543,0.0573001,0.0445634,0.38402,0.256912,0.348854,0.278751
"3",1,0.343394,0.451865,0.303783,0.308545,0.276451,0.386082
"4",0.379374,0.0573001,0.301464,0.34913,0.290923,0.283912,0.243083
"5",0.342437,0.292749,0.292155,0.248245,0.227189,0.189258,0.142811
"6",1,0.402736,0.373887,0.339796,0.315742,0.276309,0.211306
"7",0.378998,0.326077,0.198762,0.275462,0.204935,0.198233,0.236577
"8",0.568769,0.214245,0.212427,0.161971,0.256912,0.125508,0.116155
"9",0.482331,0.440334,0.401809,0.31648,0.30663,0.259773,0.242994
"10",1,0.501053,0.465967,0.445572,0.408074,0.384734,0.380575
"11",0.635087,0.210339,0.292155,0.366155,0.410596,0.317403,0.307543
"12",0.561223,0.0573001,0.502807,0.502124,0.482268,0.358005,0.431694
"13",0.483227,0.419687,0.432825,0.374543,0.365316,0.259773,0.306706
"14",0.412425,0.377522,0.400044,0.343156,0.315137,0.293726,0.236577
"15",0.450324,0.424752,0.400645,0.379403,0.30397,0.259773,0.278247
"16",0.259932,0.287685,0.206884,0.150661,0.256912,0.126126,0.105208
"17",1,0.323158,0.251054,0.206299,0.195018,0.173148,0.264427
"18",0.328569,0.436556,0.398262,0.206423,0.294178,0.23636,0.236577
"19",0.649811,0.279402,0.300471,0.190991,0.122219,0.141167,0.236577
"20",0.785874,0.498811,0.292155,0.388086,0.336613,0.321621,0.225451
"21",1,0.224689,0.292155,0.125708,0.0931622,0.0954738,0.0917436
"22",0.999206,0.493962,0.317695,0.266173,0.318327,0.294247,0.262688
"23",0.579754,0.205912,0.136927,0.269712,0.133729,0.135595,0.236577
"24",0.282322,0.243003,0.178118,0.157635,0.256912,0.126468,0.108198
"25",0.400151,0.336709,0.264145,0.208504,0.256912,0.16884,0.146434
"26",0.338807,0.277406,0.196804,0.159598,0.256912,0.147154,0.106232
"27",0.374479,0.29224,0.292155,0.141934,0.1447,0.1184,0.114843
"28",0.47889,0.557228,0.250584,0.266173,0.199191,0.209325,0.133298
"29",0.484481,0.370159,0.33291,0.287502,0.34068,0.259773,0.169477
"30",0.398695,0.317812,0.233487,0.165242,0.14885,0.259773,0.092969
"31",1,0.340482,0.216433,0.175886,0.132212,0.13025,0.106192
"32",0.596328,0.532473,0.438257,0.266173,0.48837,0.386091,0.432997
"33",0.13486,0.241835,0.136116,0.110783,0.125723,0.403242,0.353555
"34",0.0471044,0.0573001,0.515641,0.484778,0.312914,0.409615,0.449304
"35",1,0.253348,0.233785,0.266173,0.115489,0.0965995,0.0708859
"36",0.333504,0.21568,0.292155,0.0989375,0.0738385,0.0658783,0.0458193
"37",0.38982,0.326585,0.332568,0.266173,0.235675,0.0661265,0.147436
"38",0.724209,0.398794,0.380861,0.35866,0.302982,0.259773,0.255136
"39",0.283612,0.236402,0.292155,0.386447,0.335276,0.436096,0.24722
"40",1,0.410735,0.371085,0.321947,0.294702,0.273809,0.258301
"41",0.41287,0.392769,0.292155,0.315033,0.285149,0.267287,0.236124
"42",0.583478,0.600454,0.546126,0.996702,0.256912,0.821362,0.322444
"43",0.518719,0.532964,0.525309,0.475578,0.343056,0.433392,0.236577
"44",0.447725,0.433882,0.465842,0.106178,0.32795,0.259773,0.094963
"45",0.729427,0.445584,0.498675,0.348124,0.334735,0.259773,0.279993
"46",0.281039,0.0573001,0.292308,0.265931,0.255483,0.236211,0.213225
"47",0.351527,0.316092,0.349275,0.288831,0.274588,0.259773,0.218978
"48",0.649675,0.515656,0.494194,0.443926,0.32437,0.259773,0.430459
"49",0.592918,0.397027,0.365638,0.355314,0.367924,0.329812,0.160145
"50",0.592821,0.436521,0.418199,0.37105,0.362993,0.259773,0.336348
"51",0.57073,0.566262,0.292155,0.506987,0.493373,0.473245,0.405374
"52",0.337398,0.31754,0.309293,0.274956,0.256912,0.233454,0.211406
"53",0.561578,0.55432,0.397083,0.519101,0.484389,0.30884,0.224956
"54",1,0.401059,0.338773,0.302028,0.294338,0.240869,0.500492
"55",0.458141,0.448277,0.599913,0.355167,0.256912,0.326327,0.148721
"56",0.487624,0.278825,0.173575,0.259049,0.668241,0.172918,0.0538924
"57",0.822106,0.331032,0.292155,0.27675,0.298362,0.264544,0.265968
"58",0.363455,0.324554,0.22208,0.210998,0.263587,0.106519,0.1285
"59",0.372156,0.347533,0.310108,0.246478,0.256912,0.194702,0.140612
"60",0.663539,0.404465,0.302848,0.287406,0.229412,0.259773,0.230474
"61",0.33688,0.321346,0.235408,0.155748,0.310074,0.259773,0.116619
"62",0.0109927,0.458161,0.478044,0.266173,0.297107,0.27894,0.259083
"63",0.00262113,0.347754,0.336932,0.266173,0.232872,0.19908,0.136496
"64",0.288889,0.307055,0.42776,0.275729,0.257232,0.197106,0.236577
"65",1,0.408263,0.25411,0.171704,0.268717,0.265255,0.662175
"66",1,0.252027,0.211652,0.147349,0.146588,0.15913,0.079153
"67",1,0.16673,0.328673,0.277295,0.0905054,0.153231,0.0685861
"68",1,0.392027,0.372765,0.292846,0.242712,0.225799,0.14947
"69",0.639692,0.65012,0.59971,0.266173,0.484827,0.509933,0.420131
"70",0.512465,0.489371,0.420871,0.4022,0.431932,0.343422,0.236577
"71",1,0.413553,0.371078,0.266173,0.216666,0.247599,0.22266
"72",0.24926,0.225968,0.226722,0.159985,0.142722,0.116801,0.236577
"73",0.755883,0.320624,0.433059,0.360404,0.335961,0.305959,0.236577
"74",0.511263,0.475322,0.418761,0.266173,0.374132,0.335248,0.31013
"75",0.631378,0.608483,0.585752,0.266173,0.483946,0.448052,0.405292
"76",0.392089,0.439671,0.292155,0.236529,0.220564,0.211455,0.166939
"77",0.457085,0.378331,0.405002,0.350889,0.313113,0.259773,0.204722
"78",0.374293,0.318926,0.292155,0.288951,0.258157,0.260714,0.203282
"79",0.364879,0.346982,0.322499,0.273663,0.256912,0.23454,0.218196
"80",0.375509,0.353383,0.325518,0.280514,0.259788,0.24138,0.219442
"81",0.59934,0.380861,0.344144,0.285697,0.256912,0.248332,0.219766
"82",0.466694,0.248824,0.22685,0.347291,0.210936,0.30273,0.265401
"83",0.185798,0.491082,0.292155,0.389069,0.350265,0.319586,0.288758
"84",0.453376,0.0573001,0.406816,0.359,0.32396,0.290039,0.270999
"85",0.572521,0.543145,0.489657,0.464735,0.409533,0.381628,0.349055
"86",0.449088,0.4279,0.395322,0.342817,0.31896,0.259773,0.289893
"87",0.581566,0.551622,0.487239,0.451142,0.426153,0.259773,0.353887
"88",0.488088,0.472242,0.292155,0.379432,0.362068,0.333344,0.295037
"89",0.574568,0.0573001,0.537907,0.512742,0.466514,0.454885,0.422993
"90",0.255975,0.256891,0.232263,0.192537,0.172215,0.151036,0.129104
"91",1,0.429326,0.324859,0.348268,0.317313,0.293733,0.254253
"92",1,0.308936,0.286411,0.247624,0.222775,0.196882,0.190433
"93",0.270334,0.245008,0.404479,0.347291,0.210936,0.30273,0.128254
"94",0.33675,0.338745,0.311902,0.259144,0.256912,0.213086,0.179279
"95",0.367254,0.346468,0.292155,0.262913,0.228997,0.216907,0.182283
