"","d0","d1","d3","d5","d7","d10","d14"
"1",1,0.359925,0.292529,0.241018,0.472085,0.191459,0.236577
"2",1,0.343394,0.0445634,0.303783,0.315742,0.277602,0.278751
"3",1,0.343394,0.0445634,0.303783,0.315742,0.277602,0.236577
"4",1,0.30896,0.0445634,0.34913,0.315742,0.277602,0.236577
"5",1,0.292749,0.0445634,0.303783,0.315742,0.277602,0.142811
"6",1,0.343394,0.0445634,0.303783,0.315742,0.277602,0.211306
"7",1,0.343394,0.0445634,0.303783,0.204935,0.277602,0.223976
"8",1,0.214245,0.0445634,0.303783,0.315742,0.277602,0.116155
"9",1,0.440334,0.0445634,0.303783,0.30663,0.277602,0.236577
"10",1,0.501053,0.465967,0.303783,0.315742,0.277602,0.236577
"11",1,0.343394,0.0445634,0.303783,0.410596,0.277602,0.307543
"12",0.561223,0.343394,0.0445634,0.303783,0.315742,0.277602,0.431694
"13",1,0.343394,0.0445634,0.374543,0.365316,0.277602,0.236577
"14",1,0.343394,0.0445634,0.303783,0.315137,0.277602,0.264957
"15",1,0.343394,0.0445634,0.303783,0.315742,0.277602,0.278247
"16",1,0.343394,0.0445634,0.303783,0.141743,0.277602,0.105208
"17",0.389577,0.343394,0.0445634,0.206299,0.315742,0.277602,0.236577
"18",1,0.343394,0.0445634,0.206423,0.294178,0.277602,0.236577
"19",0.649811,0.343394,0.0445634,0.190991,0.315742,0.277602,0.236577
"20",1,0.498811,0.0445634,0.303783,0.315742,0.321621,0.236577
"21",1,0.224689,0.0445634,0.303783,0.315742,0.277602,0.0917436
"22",1,0.343394,0.0445634,0.303783,0.318327,0.294247,0.236577
"23",1,0.343394,0.136927,0.303783,0.315742,0.277602,0.200058
"24",1,0.243003,0.178118,0.303783,0.315742,0.277602,0.236577
"25",1,0.343394,0.0445634,0.208504,0.200371,0.277602,0.236577
"26",1,0.343394,0.0445634,0.303783,0.315742,0.147154,0.106232
"27",1,0.343394,0.198246,0.141934,0.315742,0.277602,0.236577
"28",1,0.343394,0.250584,0.303783,0.315742,0.277602,0.133298
"29",1,0.343394,0.33291,0.303783,0.315742,0.277602,0.169477
"30",0.398695,0.343394,0.0445634,0.303783,0.14885,0.277602,0.236577
"31",1,0.343394,0.0445634,0.303783,0.315742,0.13025,0.106192
"32",1,0.343394,0.438257,0.512386,0.315742,0.277602,0.236577
"33",1,0.241835,0.0445634,0.303783,0.315742,0.09201,0.236577
"34",0.0471044,0.343394,0.515641,0.303783,0.315742,0.277602,0.236577
"35",1,0.343394,0.0445634,0.145954,0.115489,0.277602,0.236577
"36",1,0.21568,0.0445634,0.303783,0.0738385,0.277602,0.236577
"37",1,0.343394,0.0445634,0.303783,0.235675,0.277602,0.147436
"38",0.724209,0.343394,0.0445634,0.303783,0.302982,0.277602,0.236577
"39",0.283612,0.343394,0.0445634,0.303783,0.315742,0.277602,0.24722
"40",1,0.343394,0.371085,0.321947,0.315742,0.277602,0.236577
"41",0.41287,0.343394,0.0445634,0.315033,0.315742,0.277602,0.236577
"42",1,0.343394,0.0445634,0.303783,0.442864,0.821362,0.236577
"43",1,0.343394,0.525309,0.475578,0.315742,0.277602,0.236577
"44",0.447725,0.343394,0.0445634,0.303783,0.315742,0.277602,0.094963
"45",1,0.343394,0.0445634,0.348124,0.334735,0.277602,0.236577
"46",1,0.343394,0.292308,0.303783,0.315742,0.277602,0.213225
"47",0.351527,0.343394,0.0445634,0.288831,0.315742,0.277602,0.236577
"48",0.649675,0.343394,0.0445634,0.303783,0.315742,0.449244,0.236577
"49",1.008,0.343394,0.0445634,0.303783,0.315742,0.277602,0.160145
"50",0.592821,0.343394,0.0445634,0.303783,0.362993,0.277602,0.236577
"51",1,0.343394,0.318035,0.506987,0.315742,0.277602,0.236577
"52",1,0.343394,0.0445634,0.274956,0.251906,0.277602,0.236577
"53",1,0.343394,0.0445634,0.519101,0.315742,0.277602,0.224956
"54",1,0.343394,0.338773,0.302028,0.315742,0.277602,0.236577
"55",1,0.343394,0.599913,0.303783,0.315742,0.326327,0.236577
"56",1,0.343394,0.0445634,0.259049,0.668241,0.172918,0.236577
"57",1,0.343394,0.322427,0.303783,0.315742,0.264544,0.236577
"58",1,0.324554,0.0445634,0.303783,0.315742,0.142575,0.1285
"59",1,0.343394,0.0445634,0.246478,0.315742,0.277602,0.140612
"60",1,0.404465,0.0445634,0.287406,0.315742,0.277602,0.236577
"61",1,0.321346,0.0445634,0.303783,0.315742,0.277602,0.116619
"62",1,0.343394,0.0445634,0.273693,0.315742,0.277602,0.259083
"63",1,0.343394,0.0445634,0.181746,0.232872,0.277602,0.236577
"64",1,0.307055,0.42776,0.303783,0.315742,0.277602,0.236577
"65",1,0.343394,0.25411,0.171704,0.315742,0.277602,0.236577
"66",1,0.343394,0.211652,0.303783,0.315742,0.15913,0.236577
"67",1,0.16673,0.0445634,0.303783,0.315742,0.153231,0.236577
"68",1,0.343394,0.0445634,0.303783,0.242712,0.225799,0.236577
"69",1,0.65012,0.0445634,0.303783,0.315742,0.509933,0.236577
"70",1,0.489371,0.420871,0.303783,0.315742,0.277602,0.236577
"71",1,0.343394,0.371078,0.27152,0.315742,0.277602,0.236577
"72",1,0.225968,0.0445634,0.303783,0.315742,0.277602,0.0970382
"73",1,0.343394,0.0445634,0.303783,0.335961,0.305959,0.236577
"74",0.511263,0.343394,0.0445634,0.303783,0.315742,0.277602,0.31013
"75",1,0.343394,0.0445634,0.510265,0.483946,0.277602,0.236577
"76",1,0.343394,0.417078,0.303783,0.315742,0.211455,0.236577
"77",1,0.343394,0.0445634,0.350889,0.315742,0.493265,0.236577
"78",1,0.343394,0.0445634,0.288951,0.315742,0.260714,0.236577
"79",1,0.346982,0.0445634,0.303783,0.250943,0.277602,0.236577
"80",1,0.343394,0.325518,0.303783,0.315742,0.277602,0.379821
"81",1,0.380861,0.0445634,0.303783,0.252086,0.277602,0.236577
"82",1,0.343394,0.22685,0.303783,0.210936,0.277602,0.236577
"83",0.185798,0.343394,0.0445634,0.303783,0.315742,0.319586,0.236577
"84",1,0.343394,0.0445634,0.303783,0.315742,0.290039,0.270999
"85",1,0.343394,0.0445634,0.303783,0.315742,0.381628,0.349055
"86",1,0.343394,0.395322,0.303783,0.31896,0.277602,0.236577
"87",1,0.343394,0.487239,0.303783,0.315742,0.394795,0.236577
"88",1,0.343394,0.0445634,0.379432,0.362068,0.277602,0.236577
"89",1,0.343394,0.537907,0.303783,0.315742,0.277602,0.422993
"90",1,0.343394,0.0445634,0.192537,0.315742,0.277602,0.129104
"91",1,0.343394,0.324859,0.348268,0.315742,0.277602,0.236577
"92",0.314097,0.308936,0.0445634,0.303783,0.315742,0.277602,0.236577
"93",0.270334,0.343394,0.0445634,0.303783,0.315742,0.30273,0.236577
"94",1,0.338745,0.311902,0.303783,0.315742,0.277602,0.236577
"95",1,0.346468,0.313395,0.303783,0.315742,0.277602,0.236577
"96",1,0.343394,0.475068,0.303783,0.315742,0.341117,0.236577
"97",1,0.42187,0.378226,0.303783,0.315742,0.277602,0.236577
"98",1,0.522344,0.0445634,0.303783,0.315742,0.386227,0.236577
"99",1,0.343394,0.0445634,0.24564,0.315742,0.240034,0.236577
"100",0.586116,0.343394,0.0445634,0.303783,0.315742,0.277602,0.541124
"101",1,0.469342,0.0445634,0.303783,0.315742,0.277602,0.305151
"102",1,0.343394,0.368729,0.303783,0.345806,0.277602,0.236577
"103",1,0.343394,0.435323,0.303783,0.315742,0.249389,0.236577
"104",1,0.343394,0.378754,0.263914,0.315742,0.277602,0.236577
"105",0.602379,0.343394,0.0445634,0.303783,0.315742,0.489431,0.236577
"106",1,0.318322,0.261783,0.303783,0.315742,0.277602,0.236577
"107",1,0.310522,0.0445634,0.303783,0.315742,0.164822,0.236577
"108",1,0.425537,0.533038,0.303783,0.315742,0.277602,0.236577
"109",1,0.343394,0.0445634,0.303783,0.315742,0.164674,0.293194
"110",1,0.343394,0.339297,0.264672,0.315742,0.277602,0.236577
"111",1,0.343394,0.341433,0.303783,0.336564,0.277602,0.236577
"112",1,0.343394,0.0445634,0.161893,0.315742,0.0737971,0.236577
"113",1,0.343394,0.0445634,0.409446,0.315742,0.277602,0.346916
"114",0.344103,0.343394,0.0445634,0.147183,0.315742,0.277602,0.236577
"115",0.469632,0.999291,0.0445634,0.303783,0.315742,0.277602,0.236577
"116",1,0.386913,0.0445634,0.213449,0.315742,0.277602,0.236577
"117",1,0.343394,0.0445634,0.303783,0.323183,0.277602,0.228908
"118",0.585027,0.343394,0.0445634,0.303783,0.451879,0.277602,0.236577
"119",1,0.343394,0.411441,0.303783,0.34036,0.277602,0.236577
"120",1,0.359925,0.292529,0.241018,0.472085,0.191459,0.236577
"121",1,0.369423,0.0445634,0.306282,0.315742,0.277602,0.236577
"122",1,0.380276,0.0445634,0.303783,0.315742,0.277602,0.24636
"123",1,0.343394,0.507896,0.458524,0.315742,0.277602,0.236577
"124",1,0.343394,0.468921,0.410042,0.315742,0.277602,0.236577
"125",0.322095,0.343394,0.0445634,0.303783,0.140181,0.277602,0.236577
"126",0.515216,0.343394,0.0445634,0.303783,0.315742,0.234986,0.236577
"127",0.624502,0.343394,0.0445634,0.576377,0.315742,0.277602,0.236577
"128",1,0.343394,0.454001,0.303783,0.315742,0.342478,0.236577
"129",1,0.343394,0.0445634,0.354332,0.315742,0.277602,0.275449
"130",1,0.343394,0.483621,0.405823,0.315742,0.277602,0.236577
"131",1,0.343394,0.0445634,0.344451,0.315742,0.277602,0.284873
"132",1,0.495261,0.0445634,0.303783,0.376591,0.277602,0.236577
"133",0.497042,0.227315,0.0445634,0.303783,0.315742,0.277602,0.236577
"134",1,0.593279,0.0445634,0.483865,0.315742,0.277602,0.236577
"135",1,0.343394,0.238916,0.303783,0.145253,0.277602,0.236577
"136",0.35363,0.343394,0.0445634,0.303783,0.315742,0.277602,0.160312
"137",0.503067,0.343394,0.0445634,0.303783,0.315742,0.277602,0.214419
"138",0.0977391,0.343394,0.0445634,0.303783,0.390252,0.277602,0.236577
"139",1,0.224866,0.0445634,0.303783,0.170352,0.277602,0.236577
"140",1,0.343394,0.509579,0.417602,0.315742,0.277602,0.236577
"141",0.481722,0.343394,0.389283,0.303783,0.315742,0.277602,0.236577
"142",1,0.343394,0.0445634,0.372529,0.348433,0.277602,0.236577
"143",0.414685,0.343394,0.0445634,0.303783,0.315742,0.270782,0.236577
"144",1,0.343394,0.0445634,0.485448,0.315742,0.432516,0.236577
"145",1,0.343394,0.0445634,0.303783,0.315742,0.213418,0.177082
"146",1,0.492857,0.0445634,0.303783,0.315742,0.277602,0.360705
"147",1,0.343394,0.196695,0.191475,0.315742,0.277602,0.236577
"148",1,0.575638,0.0445634,0.303783,0.315742,0.277602,0.426385
"149",1,0.238122,0.237824,0.303783,0.315742,0.277602,0.236577
"150",1,0.343394,0.0445634,0.496118,0.469087,0.277602,0.236577
"151",1,0.343394,0.0445634,0.563917,0.315742,0.53093,0.236577
"152",0.619898,0.343394,0.602571,0.303783,0.315742,0.277602,0.236577
"153",1,0.343394,0.351713,0.303783,0.315742,0.277602,0.216494
"154",1,0.343394,0.446515,0.380965,0.315742,0.277602,0.236577
"155",1,0.343394,0.0445634,0.303783,0.315742,0.177754,0.158807
"156",0.528329,0.343394,0.0445634,0.501342,0.315742,0.277602,0.236577
"157",1,0.479058,0.0445634,0.303783,0.315742,0.450295,0.236577
"158",1,0.298214,0.0445634,0.303783,0.315742,0.180335,0.236577
"159",0.98196,0.343394,0.0445634,0.303783,0.214159,0.277602,0.236577
"160",0.296127,0.343394,0.0445634,0.303783,0.210878,0.277602,0.236577
"161",1,0.397249,0.0445634,0.303783,0.334777,0.277602,0.236577
"162",0.29573,0.343394,0.0445634,0.303783,0.315742,0.277602,0.180043
"163",0.447576,0.343394,0.0445634,0.303783,0.378287,0.277602,0.236577
"164",1,0.18609,0.0445634,0.303783,0.308202,0.277602,0.191899
"165",1,0.343394,0.539362,0.495422,0.315742,0.277602,0.236577
"166",0.574477,0.343394,0.0445634,0.303783,0.47686,0.277602,0.236577
"167",1,0.285295,0.0445634,0.273899,0.315742,0.277602,0.236577
"168",0.628908,0.343394,0.0445634,0.303783,0.315742,0.277602,0.497949
"169",1,0.687428,0.597059,0.303783,0.315742,0.277602,0.236577
"170",1,0.343394,0.0445634,0.303783,0.315742,0.318032,0.229974
"171",1,0.343394,0.0445634,0.303783,0.362048,0.186263,0.236577
"172",0.484926,0.343394,0.0445634,0.303783,0.409326,0.277602,0.236577
"173",0.103856,0.343394,0.40156,0.303783,0.315742,0.277602,0.236577
"174",1,0.343394,0.0445634,0.519028,0.315742,0.277602,0.28958
"175",1,0.343394,0.503051,0.466193,0.315742,0.277602,0.236577
"176",1,0.874534,0.0445634,0.235983,0.315742,0.277602,0.236577
"177",1,0.343394,0.402856,0.303783,0.315643,0.277602,0.236577
"178",1,0.306604,0.0445634,0.303783,0.315742,0.19837,0.236577
"179",1,0.343394,0.0445634,0.303783,0.344184,0.456498,0.236577
"180",1,0.343394,0.0445634,0.303783,0.186341,0.341037,0.236577
"181",1,0.52347,0.0445634,0.451768,0.315742,0.277602,0.236577
"182",0.481359,0.453581,0.0445634,0.303783,0.315742,0.277602,0.236577
"183",0.329555,0.343394,0.0445634,0.303783,0.315742,0.277602,0.282511
"184",1,0.343394,0.0445634,0.279064,0.251462,0.277602,0.236577
"185",1,0.406804,0.0445634,0.303783,0.315742,0.287228,0.236577
"186",0.587341,0.343394,0.0445634,0.303783,0.333756,0.277602,0.236577
"187",1,0.359925,0.292529,0.241018,0.472085,0.191459,0.179707
"188",1,0.343394,0.295363,0.303783,0.315742,0.117271,0.236577
"189",1,0.343394,0.0445634,0.0671192,0.0630927,0.277602,0.236577
"190",0.475523,0.343394,0.0445634,0.30892,0.315742,0.277602,0.236577
