"","x"
"1",2
"2",4
"3",5
"4",6
"5",13
"6",20
"7",24
"8",31
"9",37
"10",39
"11",40
"12",44
"13",46
"14",48
"15",50
"16",52
"17",55
"18",57
"19",60
"20",62
"21",68
"22",69
"23",70
"24",72
"25",75
"26",76
"27",79
"28",82
"29",85
"30",86
"31",87
"32",90
"33",98
"34",99
"35",100
"36",101
"37",102
"38",104
"39",105
"40",106
"41",116
"42",130
"43",131
"44",133
"45",136
"46",137
"47",138
"48",151
"49",153
"50",155
"51",160
"52",162
"53",163
"54",164
"55",166
"56",167
"57",169
"58",170
"59",172
"60",173
"61",177
"62",178
"63",183
"64",185
"65",186
"66",187
"67",189
"68",194
"69",198
"70",200
"71",206
"72",211
"73",213
"74",216
"75",219
"76",220
"77",221
"78",227
"79",229
"80",230
"81",236
"82",239
"83",244
"84",247
"85",251
"86",253
"87",255
"88",256
"89",257
"90",258
"91",259
"92",260
"93",262
"94",263
"95",264
"96",266
"97",268
"98",273
"99",275
"100",278
"101",286
"102",290
"103",292
"104",293
"105",297
"106",306
"107",308
"108",310
"109",315
"110",321
"111",322
"112",328
"113",332
"114",333
"115",342
"116",343
"117",344
"118",346
"119",347
"120",350
"121",355
"122",357
"123",358
"124",361
"125",365
"126",367
"127",368
"128",369
"129",370
"130",372
"131",374
"132",376
"133",377
"134",378
"135",380
"136",381
"137",383
"138",387
"139",388
"140",389
"141",395
"142",407
"143",409
"144",414
"145",418
"146",426
"147",428
"148",429
"149",431
"150",432
"151",434
"152",437
"153",439
"154",441
"155",442
"156",443
"157",444
"158",445
"159",448
"160",453
"161",456
"162",457
"163",459
"164",465
"165",466
"166",470
"167",476
"168",477
"169",478
"170",482
"171",483
"172",487
"173",488
"174",489
"175",495
"176",497
"177",499
"178",500
"179",502
"180",506
"181",508
"182",509
"183",511
"184",516
"185",517
"186",518
"187",519
"188",521
"189",523
"190",530
"191",532
"192",533
"193",534
"194",536
"195",537
"196",538
"197",541
"198",547
"199",549
"200",556
"201",558
"202",561
"203",563
"204",564
"205",566
"206",568
"207",569
"208",570
"209",573
"210",575
"211",580
"212",582
"213",583
"214",590
"215",591
"216",592
"217",593
"218",595
"219",601
"220",603
"221",606
"222",610
"223",613
"224",614
"225",616
"226",620
"227",621
"228",623
"229",625
"230",636
"231",644
"232",647
"233",652
"234",655
"235",657
"236",658
"237",665
"238",666
"239",669
"240",673
"241",674
"242",676
"243",685
"244",686
"245",702
"246",703
"247",704
"248",707
"249",715
"250",716
"251",720
"252",733
"253",737
"254",739
"255",742
"256",744
"257",749
"258",750
"259",752
"260",753
"261",754
"262",759
"263",760
"264",763
"265",765
"266",767
"267",768
"268",769
"269",770
"270",773
"271",774
"272",777
"273",781
"274",782
"275",783
"276",785
"277",793
"278",804
"279",805
"280",806
"281",807
"282",808
"283",809
"284",811
"285",812
"286",817
"287",818
"288",820
"289",826
"290",831
"291",832
"292",833
"293",834
"294",835
"295",836
"296",837
"297",838
"298",839
"299",841
"300",843
"301",845
"302",846
"303",847
"304",849
"305",850
"306",855
"307",857
"308",858
"309",862
"310",866
"311",867
"312",869
"313",877
"314",887
"315",897
"316",898
"317",903
"318",906
"319",908
"320",912
"321",913
"322",914
"323",915
"324",916
"325",917
"326",918
"327",919
"328",921
"329",923
"330",929
"331",930
"332",938
"333",939
"334",942
"335",946
"336",947
"337",948
"338",950
"339",952
"340",953
"341",955
"342",956
"343",959
"344",960
"345",964
"346",965
"347",968
"348",969
"349",970
"350",971
"351",974
"352",979
"353",980
"354",981
"355",986
"356",987
"357",988
"358",989
"359",991
"360",993
"361",995
"362",996
"363",998
"364",999
"365",1000
"366",1001
"367",1003
"368",1004
"369",1008
"370",1010
"371",1013
"372",1019
"373",1020
"374",1021
"375",1026
"376",1029
"377",1031
"378",1032
"379",1033
"380",1035
"381",1036
"382",1040
"383",1042
"384",1048
"385",1051
"386",1053
"387",1054
"388",1055
"389",1056
"390",1059
"391",1060
"392",1062
"393",1063
"394",1064
"395",1070
"396",1071
"397",1073
"398",1074
"399",1075
"400",1078
"401",1080
"402",1083
"403",1084
"404",1085
"405",1093
"406",1094
"407",1097
"408",1101
"409",1103
"410",1104
"411",1110
"412",1114
"413",1115
"414",1116
"415",1127
"416",1156
"417",1180
"418",1186
"419",1188
"420",1189
"421",1191
"422",1194
"423",1195
"424",1202
"425",1214
"426",1215
"427",1226
"428",1227
"429",1228
"430",1229
"431",1230
"432",1231
"433",1237
"434",1239
"435",1241
"436",1243
"437",1244
"438",1248
"439",1250
"440",1251
"441",1252
"442",1254
"443",1258
"444",1259
"445",1260
"446",1261
"447",1263
"448",1268
"449",1272
"450",1282
"451",1284
"452",1287
"453",1289
"454",1290
"455",1291
"456",1293
"457",1294
"458",1297
"459",1301
"460",1302
"461",1304
"462",1307
"463",1313
"464",1314
"465",1316
"466",1317
"467",1318
"468",1319
"469",1324
"470",1325
"471",1327
"472",1329
"473",1330
"474",1338
"475",1341
"476",1342
"477",1344
"478",1346
"479",1348
"480",1359
"481",1360
"482",1361
"483",1365
"484",1367
"485",1369
"486",1379
"487",1382
"488",1395
"489",1403
"490",1406
"491",1412
"492",1415
"493",1431
"494",1437
"495",1439
"496",1444
"497",1446
"498",1448
"499",1453
"500",1454
"501",1456
"502",1457
"503",1460
"504",1464
"505",1465
"506",1467
"507",1468
"508",1470
"509",1472
"510",1477
"511",1478
"512",1479
"513",1480
"514",1483
"515",1485
"516",1490
"517",1493
"518",1495
"519",1496
"520",1497
"521",1501
"522",1506
"523",1507
"524",1510
"525",1512
"526",1514
"527",1518
"528",1519
"529",1520
"530",1524
"531",1527
"532",1530
"533",1535
"534",1536
"535",1541
"536",1543
"537",1544
"538",1545
"539",1546
"540",1558
"541",1563
"542",1564
"543",1565
"544",1574
"545",1579
"546",1581
"547",1583
"548",1584
"549",1585
"550",1593
"551",1594
"552",1596
"553",1601
"554",1602
"555",1604
"556",1608
"557",1613
"558",1616
"559",1617
"560",1620
"561",1621
"562",1622
"563",1623
"564",1626
"565",1627
"566",1629
"567",1630
"568",1631
"569",1632
"570",1635
"571",1639
"572",1640
"573",1647
"574",1657
"575",1658
"576",1662
"577",1668
"578",1670
"579",1671
"580",1673
"581",1677
"582",1681
"583",1682
"584",1684
"585",1685
"586",1689
"587",1690
"588",1691
"589",1692
"590",1693
"591",1696
"592",1698
"593",1699
"594",1704
"595",1705
"596",1706
"597",1707
"598",1708
"599",1709
"600",1710
"601",1711
"602",1712
"603",1713
"604",1714
"605",1715
"606",1718
"607",1720
"608",1731
"609",1732
"610",1738
"611",1740
"612",1741
"613",1742
"614",1744
"615",1746
"616",1747
"617",1748
"618",1751
"619",1752
"620",1755
"621",1758
"622",1760
"623",1762
"624",1765
"625",1766
"626",1767
"627",1769
"628",1772
"629",1773
"630",1774
"631",1775
"632",1778
"633",1779
"634",1780
"635",1781
"636",1783
"637",1784
"638",1785
"639",1787
"640",1792
"641",1795
"642",1797
"643",1798
"644",1799
"645",1801
"646",1802
"647",1803
"648",1804
"649",1805
"650",1806
"651",1807
"652",1812
"653",1813
"654",1814
"655",1817
"656",1818
"657",1820
"658",1826
"659",1827
"660",1828
"661",1829
"662",1830
"663",1833
"664",1835
"665",1837
"666",1841
"667",1856
"668",1857
"669",1860
"670",1870
"671",1874
"672",1876
"673",1882
"674",1883
"675",1887
"676",1899
"677",1900
"678",1904
"679",1905
"680",1912
"681",1918
"682",1919
"683",1920
"684",1923
"685",1926
"686",1930
"687",1933
"688",1934
"689",1936
"690",1937
