ID	t	A0	notFoundBySE
0	0.00000	0.455099	
0	1.00000	0.425913	
0	3.00000	0.399417	
0	5.00000	0.317855	
0	7.00000	0.325544	
1	1.00000	0.355331	
1	3.00000	0.175214	
1	5.00000	0.279328	
1	7.00000	0.148291	
1	10.0000	0.171161	
2	0.00000	0.413449	
2	1.00000	0.456761	
2	3.00000	0.351234	
2	5.00000	0.336562	
2	7.00000	0.340331	
2	10.0000	0.323681	
2	14.0000	0.276259	
3	0.00000	0.435206	
3	1.00000	0.283599	
3	3.00000	0.776158	
3	5.00000	0.362138	
3	10.0000	0.179982	
3	14.0000	0.491249	
4	0.00000	0.405369	
4	1.00000	0.395288	
4	3.00000	0.380227	
4	5.00000	0.351434	
4	7.00000	0.326739	
4	10.0000	0.298391	
4	14.0000	0.263974	
5	0.00000	0.323816	
5	1.00000	0.388629	
5	3.00000	0.218513	
5	5.00000	0.152998	
5	7.00000	0.122194	
5	10.0000	0.107418	
5	14.0000	0.0667194	
6	0.00000	0.231308	
6	1.00000	0.205346	
6	3.00000	0.195736	
6	5.00000	0.184931	
6	7.00000	0.165664	
6	10.0000	0.142536	
6	14.0000	0.102555	
7	0.00000	0.398251	
7	3.00000	0.386337	
7	7.00000	0.274722	
7	10.0000	0.253489	
7	14.0000	0.229884	
8	0.00000	0.450591	
8	3.00000	0.533736	
8	5.00000	0.434073	
8	7.00000	0.335903	
8	10.0000	0.345189	
9	1.00000	0.520554	
9	3.00000	0.481951	
9	5.00000	0.254639	
9	7.00000	0.432413	
9	10.0000	0.413714	
10	0.00000	0.286298	
10	1.00000	0.290584	
10	3.00000	0.225868	
10	5.00000	0.249218	
10	7.00000	0.204740	
11	0.00000	0.304963	
11	1.00000	0.298099	
11	3.00000	0.298544	
11	5.00000	0.272432	
11	7.00000	0.252761	
12	0.00000	0.464190	
12	1.00000	0.387318	
12	3.00000	0.354987	
12	5.00000	0.292478	
12	7.00000	0.247955	
12	10.0000	0.205972	
13	0.00000	0.514141	
13	1.00000	0.491302	
13	3.00000	0.492241	
13	5.00000	0.458251	
13	7.00000	0.431429	
13	10.0000	0.404035	
13	14.0000	0.361910	
14	0.00000	0.704908	
14	1.00000	0.522075	
14	3.00000	0.561355	
14	5.00000	0.0384678	
14	10.0000	0.478268	
14	14.0000	0.533893	
15	1.00000	0.329151	
15	3.00000	0.275015	
15	5.00000	0.224359	
15	10.0000	0.168934	
16	0.00000	1.00118	
16	5.00000	0.410202	
16	7.00000	0.341057	
16	10.0000	0.143872	
17	0.00000	0.279067	
17	1.00000	0.559134	
17	5.00000	0.402530	
17	10.0000	0.402852	
18	1.00000	0.413130	
18	3.00000	0.544105	
18	5.00000	0.294199	
18	7.00000	0.168276	
19	1.00000	0.214047	
19	3.00000	0.125714	
19	5.00000	0.152806	
19	10.0000	0.0942430	
20	0.00000	0.594175	
20	1.00000	0.573417	
20	3.00000	0.536916	
20	5.00000	0.537304	
20	7.00000	0.493819	
20	10.0000	0.452902	
20	14.0000	0.416965	
21	1.00000	0.334767	
21	5.00000	0.259076	
21	7.00000	0.251274	
21	14.0000	0.140664	
22	0.00000	0.527375	
22	1.00000	0.544391	
22	5.00000	0.442393	
22	7.00000	0.414100	
22	10.0000	0.376475	
23	0.00000	0.532739	
23	3.00000	0.330775	
23	7.00000	0.257211	
23	14.0000	0.169648	
24	0.00000	0.545355	
24	1.00000	0.528453	
24	3.00000	0.500906	
24	5.00000	0.486536	
24	7.00000	0.445013	
24	10.0000	0.412966	
24	14.0000	0.371045	
25	1.00000	0.277422	
25	3.00000	0.291684	
25	5.00000	0.337351	
25	7.00000	0.425856	
25	10.0000	0.550709	
25	14.0000	0.203949	
26	0.00000	0.332305	
26	7.00000	0.279797	
26	10.0000	0.253036	
26	14.0000	0.227890	
27	0.00000	0.254446	
27	1.00000	0.236156	
27	3.00000	0.211518	
27	5.00000	0.189008	
28	0.00000	0.360410	
28	1.00000	0.330981	
28	3.00000	0.348039	
28	5.00000	0.275877	
29	0.00000	0.307142	
29	3.00000	0.275234	
29	5.00000	0.236573	
29	7.00000	0.218383	
29	10.0000	0.192474	
29	14.0000	0.153876	
30	0.00000	0.447307	
30	3.00000	0.286237	
30	10.0000	0.191963	
30	14.0000	0.183272	
31	0.00000	0.373681	
31	1.00000	0.347451	
31	3.00000	0.315940	
31	5.00000	0.281795	
31	7.00000	0.254199	
31	10.0000	0.212181	
31	14.0000	0.166922	
32	0.00000	0.374081	
32	1.00000	0.351077	
32	5.00000	0.284979	
32	7.00000	0.253860	
32	10.0000	0.216543	
32	14.0000	0.170577	
33	0.00000	0.570508	
33	3.00000	0.421528	
33	5.00000	0.517806	
33	7.00000	0.330293	
33	10.0000	0.366474	
33	14.0000	0.459437	
34	1.00000	0.448615	
34	3.00000	0.243902	
34	5.00000	0.379394	
34	7.00000	0.193953	
35	0.00000	0.600153	
35	1.00000	0.595635	
35	3.00000	0.581215	
35	10.0000	0.413082	
36	0.00000	0.183946	
36	1.00000	0.191917	
36	3.00000	0.185591	
36	5.00000	0.144814	
36	10.0000	0.109554	
37	0.00000	0.334377	
37	1.00000	0.320547	
37	3.00000	0.281983	
37	5.00000	0.238480	
37	7.00000	0.226101	
37	10.0000	0.190610	
37	14.0000	0.147326	
38	0.00000	0.265445	
38	1.00000	0.00938914	
38	3.00000	0.00795045	
38	5.00000	0.0201679	
39	0.00000	0.561283	
39	1.00000	0.549447	
39	3.00000	0.516157	
39	5.00000	0.519712	
39	7.00000	0.453643	
39	10.0000	0.424130	
39	14.0000	0.412850	
40	0.00000	0.341482	
40	1.00000	0.322002	
40	3.00000	0.274948	
40	5.00000	0.253171	
40	7.00000	0.229296	
40	10.0000	0.188796	
40	14.0000	0.150003	
41	0.00000	0.605500	
41	3.00000	0.534934	
41	5.00000	0.512898	
41	7.00000	0.543674	
41	10.0000	0.529791	
41	14.0000	0.322703	
42	0.00000	0.349844	
42	1.00000	0.227366	
42	3.00000	0.187851	
42	5.00000	0.254385	
43	0.00000	0.507083	
43	1.00000	0.402726	
43	3.00000	0.617061	
43	5.00000	0.202486	
43	10.0000	0.441966	
43	14.0000	0.406447	
44	0.00000	0.484880	
44	1.00000	0.495974	
44	3.00000	0.467005	
44	5.00000	0.473883	
44	7.00000	0.427400	
44	10.0000	0.400308	
44	14.0000	0.218896	
45	1.00000	0.389692	
45	5.00000	0.302672	
45	10.0000	0.200501	
45	14.0000	0.206775	
46	0.00000	0.384323	
46	1.00000	0.385218	
46	3.00000	0.347334	
46	5.00000	0.337502	
46	7.00000	0.220043	
46	10.0000	0.258357	
46	14.0000	0.228374	
47	0.00000	0.483477	
47	1.00000	0.461085	
47	3.00000	0.162965	
47	7.00000	0.260585	
47	10.0000	0.343910	
47	14.0000	0.313447	
48	0.00000	0.499552	
48	1.00000	0.480084	
48	3.00000	0.441159	
48	5.00000	0.400660	
48	7.00000	0.368787	
48	10.0000	0.336255	
48	14.0000	0.290445	
49	0.00000	0.490814	
49	1.00000	0.608454	
49	3.00000	0.472686	
49	10.0000	0.367974	
49	14.0000	0.310189	
50	0.00000	0.450690	
50	1.00000	0.462846	
50	3.00000	0.394779	
50	5.00000	0.392032	
50	7.00000	0.356010	
50	10.0000	0.345631	
50	14.0000	0.358224	
51	0.00000	0.267803	
51	1.00000	0.368993	
51	3.00000	0.421773	
51	7.00000	0.352731	
51	10.0000	0.316943	
51	14.0000	0.263543	
52	0.00000	0.285381	
52	1.00000	0.413610	
52	3.00000	0.309515	
52	5.00000	0.393913	
52	7.00000	0.384082	
52	10.0000	0.310933	
52	14.0000	0.148353	
53	0.00000	0.298086	
53	3.00000	0.315165	
53	7.00000	0.173783	
53	10.0000	0.262003	
53	14.0000	0.108087	
54	0.00000	0.374452	
54	1.00000	0.350075	
54	3.00000	0.331544	
54	5.00000	0.307339	
54	10.0000	0.233451	
55	0.00000	0.370949	
55	1.00000	0.349851	
55	3.00000	0.473675	
55	5.00000	0.288093	
55	7.00000	0.257634	
55	10.0000	0.251283	
55	14.0000	0.0363314	
56	0.00000	0.404328	
56	1.00000	0.402478	
56	3.00000	0.363330	
56	5.00000	0.328028	
56	7.00000	0.269398	
56	14.0000	0.225172	
57	0.00000	0.711118	
57	1.00000	0.580360	
57	3.00000	0.549117	
57	5.00000	0.521749	
57	7.00000	0.474799	
57	10.0000	0.454090	
57	14.0000	0.388475	
58	1.00000	0.224061	
58	3.00000	0.142952	
58	5.00000	0.133546	
58	10.0000	0.0975801	
59	0.00000	0.452099	
59	1.00000	0.397753	
59	3.00000	0.397672	
59	5.00000	0.351841	
59	10.0000	0.292049	
59	14.0000	0.230746	
60	0.00000	0.307568	
60	1.00000	0.291431	
