ID,t,A0,notFoundBySE
2,0.0,,
2,1.0,,
2,3.0,0.351234,
2,5.0,0.336562,
2,7.0,0.340331,
2,10.0,0.323681,
2,14.0,,
4,0.0,,
4,1.0,,
4,3.0,0.380227,
4,5.0,,
4,7.0,0.326739,
4,10.0,0.298391,
4,14.0,0.263974,
5,0.0,0.323816,
5,1.0,0.388629,
5,3.0,0.218513,
5,5.0,0.152998,
5,7.0,,
5,10.0,,
5,14.0,,
6,0.0,0.231308,
6,1.0,,
6,3.0,0.195736,
6,5.0,,
6,7.0,,
6,10.0,0.142536,
6,14.0,0.102555,
13,0.0,0.514141,
13,1.0,,
13,3.0,0.492241,
13,5.0,0.458251,
13,7.0,,
13,10.0,,
13,14.0,0.36191,
20,0.0,,
20,1.0,0.573417,
20,3.0,0.536916,
20,5.0,0.537304,
20,7.0,,
20,10.0,0.452902,
20,14.0,,
24,0.0,0.545355,
24,1.0,0.528453,
24,3.0,,
24,5.0,0.486536,
24,7.0,,
24,10.0,,
24,14.0,0.371045,
31,0.0,,
31,1.0,,
31,3.0,0.31594,
31,5.0,0.281795,
31,7.0,,
31,10.0,0.212181,
31,14.0,0.166922,
37,0.0,,
37,1.0,0.320547,
37,3.0,,
37,5.0,,
37,7.0,0.226101,
37,10.0,0.19061,
37,14.0,0.147326,
39,0.0,,
39,1.0,,
39,3.0,0.516157,
39,5.0,0.519712,
39,7.0,0.453643,
39,10.0,,
39,14.0,0.41285,
40,0.0,,
40,1.0,0.322002,
40,3.0,0.274948,
40,5.0,0.253171,
40,7.0,0.229296,
40,10.0,,
40,14.0,,
44,0.0,0.48488,
44,1.0,,
44,3.0,,
44,5.0,0.473883,
44,7.0,0.4274,
44,10.0,0.400308,
44,14.0,,
46,0.0,0.384323,
46,1.0,,
46,3.0,0.347334,
46,5.0,,
46,7.0,0.220043,
46,10.0,,
46,14.0,0.228374,
48,0.0,,
48,1.0,0.480084,
48,3.0,0.441159,
48,5.0,,
48,7.0,0.368787,
48,10.0,,
48,14.0,0.290445,
50,0.0,0.45069,
50,1.0,0.462846,
50,3.0,0.394779,
50,5.0,,
50,7.0,0.35601,
50,10.0,,
50,14.0,,
52,0.0,0.285381,
52,1.0,,
52,3.0,0.309515,
52,5.0,,
52,7.0,0.384082,
52,10.0,,
52,14.0,0.148353,
55,0.0,0.370949,
55,1.0,0.349851,
55,3.0,0.473675,
55,5.0,,
55,7.0,,
55,10.0,0.251283,
55,14.0,,
57,0.0,0.711118,
57,1.0,0.58036,
57,3.0,,
57,5.0,,
57,7.0,,
57,10.0,0.45409,
57,14.0,0.388475,
60,0.0,0.307568,
60,1.0,,
60,3.0,,
60,5.0,0.229243,
60,7.0,0.196973,
60,10.0,0.17803,
60,14.0,,
62,0.0,,
62,1.0,0.312086,
62,3.0,0.256934,
62,5.0,,
62,7.0,0.254914,
62,10.0,0.177799,
62,14.0,,
68,0.0,0.369212,
68,1.0,0.355028,
68,3.0,,
68,5.0,,
68,7.0,,
68,10.0,0.231849,
68,14.0,0.214677,
69,0.0,,
69,1.0,,
69,3.0,0.56942,
69,5.0,0.506076,
69,7.0,0.520803,
69,10.0,0.483694,
69,14.0,,
70,0.0,0.479507,
70,1.0,0.453838,
70,3.0,0.349663,
70,5.0,0.335483,
70,7.0,,
70,10.0,,
70,14.0,,
72,0.0,,
72,1.0,0.444761,
72,3.0,,
72,5.0,0.348086,
72,7.0,0.311805,
72,10.0,0.417985,
72,14.0,,
75,0.0,0.321763,
75,1.0,,
75,3.0,,
75,5.0,0.376065,
75,7.0,0.26331,
75,10.0,0.229859,
75,14.0,,
76,0.0,,
76,1.0,0.13183,
76,3.0,,
76,5.0,0.131864,
76,7.0,0.163295,
76,10.0,,
76,14.0,0.105805,
79,0.0,,
79,1.0,0.293461,
79,3.0,0.232322,
79,5.0,,
79,7.0,0.134168,
79,10.0,,
79,14.0,0.113786,
82,0.0,,
82,1.0,0.343506,
82,3.0,0.321993,
82,5.0,0.14341,
82,7.0,0.114772,
82,10.0,,
82,14.0,,
85,0.0,0.364948,
85,1.0,0.267975,
85,3.0,0.160388,
85,5.0,,
85,7.0,,
85,10.0,0.225305,
85,14.0,,
86,0.0,0.501465,
86,1.0,0.382609,
86,3.0,,
86,5.0,,
86,7.0,0.211335,
86,10.0,,
86,14.0,0.141262,
87,0.0,,
87,1.0,0.300682,
87,3.0,,
87,5.0,0.188204,
87,7.0,0.132856,
87,10.0,,
87,14.0,0.0912886,
90,0.0,,
90,1.0,,
90,3.0,0.321912,
90,5.0,,
90,7.0,0.235601,
90,10.0,0.633479,
90,14.0,0.250651,
98,0.0,,
98,1.0,0.440195,
98,3.0,,
98,5.0,0.360581,
98,7.0,,
98,10.0,0.278933,
98,14.0,0.281153,
99,0.0,0.40941,
99,1.0,,
99,3.0,0.256963,
99,5.0,,
99,7.0,0.338931,
99,10.0,0.371682,
99,14.0,,
100,0.0,0.343133,
100,1.0,,
100,3.0,,
100,5.0,,
100,7.0,0.141789,
100,10.0,0.18565,
100,14.0,0.238707,
101,0.0,0.342722,
101,1.0,,
101,3.0,0.213261,
101,5.0,,
101,7.0,0.191611,
101,10.0,,
101,14.0,0.169783,
102,0.0,,
102,1.0,,
102,3.0,0.208819,
102,5.0,0.197397,
102,7.0,,
102,10.0,0.194458,
102,14.0,0.197121,
104,0.0,,
104,1.0,,
104,3.0,0.230002,
104,5.0,0.225606,
104,7.0,0.147839,
104,10.0,0.173177,
104,14.0,,
105,0.0,0.626999,
105,1.0,,
105,3.0,,
105,5.0,,
105,7.0,0.73154,
105,10.0,0.278384,
105,14.0,0.687524,
106,0.0,0.582147,
106,1.0,0.525779,
106,3.0,0.346911,
106,5.0,,
106,7.0,,
106,10.0,0.298346,
106,14.0,,
116,0.0,,
116,1.0,0.485076,
116,3.0,0.40234,
116,5.0,,
116,7.0,0.30075,
116,10.0,0.257618,
116,14.0,,
130,0.0,0.486555,
130,1.0,0.28332,
130,3.0,0.270301,
130,5.0,,
130,7.0,0.229383,
130,10.0,,
130,14.0,,
131,0.0,,
131,1.0,0.513399,
131,3.0,0.451388,
131,5.0,,
131,7.0,0.339685,
131,10.0,0.548607,
131,14.0,,
133,0.0,,
133,1.0,0.473075,
133,3.0,,
133,5.0,,
133,7.0,0.270416,
133,10.0,0.35894,
133,14.0,0.24546,
136,0.0,0.545237,
136,1.0,,
136,3.0,0.202579,
136,5.0,,
136,7.0,,
136,10.0,0.171759,
136,14.0,0.144133,
137,0.0,0.352716,
137,1.0,0.212833,
137,3.0,,
137,5.0,,
137,7.0,0.107937,
137,10.0,,
137,14.0,0.0797416,
138,0.0,0.608565,
138,1.0,0.500337,
138,3.0,0.585211,
138,5.0,,
138,7.0,,
138,10.0,0.351078,
138,14.0,,
151,0.0,,
151,1.0,0.508878,
151,3.0,,
151,5.0,0.505047,
151,7.0,0.498613,
151,10.0,,
151,14.0,0.454801,
153,0.0,,
153,1.0,0.177545,
153,3.0,0.0106218,
153,5.0,0.424936,
153,7.0,,
153,10.0,,
153,14.0,0.349127,
155,0.0,,
155,1.0,0.39184,
155,3.0,0.416333,
155,5.0,0.310439,
155,7.0,0.613957,
155,10.0,,
155,14.0,,
160,0.0,,
160,1.0,0.25726,
160,3.0,0.429455,
160,5.0,,
160,7.0,0.198968,
160,10.0,0.181878,
160,14.0,,
162,0.0,,
162,1.0,0.316375,
162,3.0,,
162,5.0,0.295455,
162,7.0,,
162,10.0,0.231102,
162,14.0,0.183156,
163,0.0,0.491598,
163,1.0,,
163,3.0,,
163,5.0,0.45678,
163,7.0,0.429671,
163,10.0,,
163,14.0,0.360295,
164,0.0,0.583996,
164,1.0,0.573422,
164,3.0,,
164,5.0,,
164,7.0,0.54883,
164,10.0,,
164,14.0,0.477496,
166,0.0,,
166,1.0,,
166,3.0,,
166,5.0,0.256084,
166,7.0,0.420609,
166,10.0,0.645821,
166,14.0,0.351034,
167,0.0,0.418375,
167,1.0,,
167,3.0,,
167,5.0,0.331156,
167,7.0,0.290492,
167,10.0,,
167,14.0,0.250094,
169,0.0,0.389436,
169,1.0,,
169,3.0,0.337901,
169,5.0,,
169,7.0,0.296172,
169,10.0,,
169,14.0,0.207356,
170,0.0,,
170,1.0,0.395853,
170,3.0,0.366052,
170,5.0,0.0522022,
170,7.0,,
170,10.0,0.28352,
170,14.0,,
172,0.0,0.417884,
172,1.0,,
172,3.0,0.270627,
172,5.0,,
172,7.0,,
172,10.0,0.211894,
172,14.0,0.195742,
173,0.0,0.247601,
173,1.0,,
173,3.0,,
173,5.0,0.185478,
173,7.0,0.192549,
173,10.0,0.156237,
173,14.0,,
177,0.0,0.45029,
177,1.0,,
177,3.0,0.405111,
177,5.0,0.401732,
177,7.0,,
177,10.0,,
177,14.0,0.294602,
178,0.0,0.580626,
178,1.0,,
178,3.0,0.567523,
178,5.0,0.552853,
178,7.0,,
178,10.0,,
178,14.0,0.451672,
183,0.0,0.568962,
183,1.0,,
183,3.0,0.546448,
183,5.0,0.52648,
183,7.0,,
183,10.0,,
183,14.0,0.447751,
185,0.0,0.407087,
185,1.0,,
185,3.0,,
185,5.0,,
185,7.0,0.0974591,
185,10.0,0.0975199,
185,14.0,0.0311914,
186,0.0,,
186,1.0,0.350055,
186,3.0,0.298152,
186,5.0,,
186,7.0,,
186,10.0,0.315757,
186,14.0,0.148468,
187,0.0,0.576651,
187,1.0,,
187,3.0,0.355557,
187,5.0,,
187,7.0,0.277052,
187,10.0,0.304652,
187,14.0,,
189,0.0,0.470042,
189,1.0,,
189,3.0,0.283859,
189,5.0,0.249926,
189,7.0,0.1692,
189,10.0,,
189,14.0,,
194,0.0,,
194,1.0,,
194,3.0,,
194,5.0,0.178236,
194,7.0,0.11054,
194,10.0,0.0985708,
194,14.0,0.0823377,
198,0.0,0.30337,
198,1.0,,
198,3.0,0.233415,
198,5.0,,
198,7.0,0.177993,
198,10.0,,
198,14.0,0.117552,
200,0.0,,
200,1.0,0.369243,
200,3.0,0.357428,
200,5.0,0.320074,
200,7.0,,
