ID,t,A0,notFoundBySE
2,0.0,,
2,1.0,0.456761,
2,3.0,0.351234,
2,5.0,0.336562,
2,7.0,,
2,10.0,,
2,14.0,,
4,0.0,0.405369,
4,1.0,0.395288,
4,3.0,,
4,5.0,,
4,7.0,0.326739,
4,10.0,,
4,14.0,,
5,0.0,,
5,1.0,0.388629,
5,3.0,,
5,5.0,0.152998,
5,7.0,,
5,10.0,,
5,14.0,0.0667194,
6,0.0,0.231308,
6,1.0,0.205346,
6,3.0,,
6,5.0,,
6,7.0,0.165664,
6,10.0,,
6,14.0,,
13,0.0,0.514141,
13,1.0,,
13,3.0,0.492241,
13,5.0,,
13,7.0,,
13,10.0,,
13,14.0,0.36191,
20,0.0,0.594175,
20,1.0,,
20,3.0,,
20,5.0,0.537304,
20,7.0,,
20,10.0,0.452902,
20,14.0,,
24,0.0,0.545355,
24,1.0,,
24,3.0,,
24,5.0,0.486536,
24,7.0,,
24,10.0,0.412966,
24,14.0,,
31,0.0,,
31,1.0,0.347451,
31,3.0,,
31,5.0,,
31,7.0,0.254199,
31,10.0,,
31,14.0,0.166922,
37,0.0,0.334377,
37,1.0,,
37,3.0,,
37,5.0,0.23848,
37,7.0,,
37,10.0,,
37,14.0,0.147326,
39,0.0,,
39,1.0,0.549447,
39,3.0,,
39,5.0,,
39,7.0,,
39,10.0,0.42413,
39,14.0,0.41285,
40,0.0,,
40,1.0,,
40,3.0,0.274948,
40,5.0,,
40,7.0,0.229296,
40,10.0,,
40,14.0,0.150003,
44,0.0,,
44,1.0,0.495974,
44,3.0,0.467005,
44,5.0,,
44,7.0,0.4274,
44,10.0,,
44,14.0,,
46,0.0,,
46,1.0,0.385218,
46,3.0,0.347334,
46,5.0,,
46,7.0,,
46,10.0,0.258357,
46,14.0,,
48,0.0,,
48,1.0,0.480084,
48,3.0,0.441159,
48,5.0,,
48,7.0,,
48,10.0,0.336255,
48,14.0,,
50,0.0,,
50,1.0,0.462846,
50,3.0,,
50,5.0,0.392032,
50,7.0,,
50,10.0,,
50,14.0,0.358224,
52,0.0,0.285381,
52,1.0,,
52,3.0,0.309515,
52,5.0,,
52,7.0,,
52,10.0,0.310933,
52,14.0,,
55,0.0,,
55,1.0,,
55,3.0,,
55,5.0,0.288093,
55,7.0,0.257634,
55,10.0,0.251283,
55,14.0,,
57,0.0,,
57,1.0,0.58036,
57,3.0,,
57,5.0,0.521749,
57,7.0,0.474799,
57,10.0,,
57,14.0,,
60,0.0,0.307568,
60,1.0,,
60,3.0,,
60,5.0,,
60,7.0,,
60,10.0,0.17803,
60,14.0,0.137375,
62,0.0,,
62,1.0,,
62,3.0,0.256934,
62,5.0,,
62,7.0,0.254914,
62,10.0,0.177799,
62,14.0,,
68,0.0,0.369212,
68,1.0,,
68,3.0,,
68,5.0,,
68,7.0,0.262999,
68,10.0,0.231849,
68,14.0,,
69,0.0,,
69,1.0,,
69,3.0,0.56942,
69,5.0,0.506076,
69,7.0,,
69,10.0,,
69,14.0,0.467507,
70,0.0,0.479507,
70,1.0,,
70,3.0,,
70,5.0,,
70,7.0,0.284733,
70,10.0,,
70,14.0,0.194922,
72,0.0,,
72,1.0,,
72,3.0,,
72,5.0,,
72,7.0,0.311805,
72,10.0,0.417985,
72,14.0,0.229012,
75,0.0,,
75,1.0,0.38036,
75,3.0,0.513866,
75,5.0,,
75,7.0,0.26331,
75,10.0,,
75,14.0,,
76,0.0,,
76,1.0,,
76,3.0,,
76,5.0,0.131864,
76,7.0,0.163295,
76,10.0,0.118972,
76,14.0,,
79,0.0,,
79,1.0,0.293461,
79,3.0,0.232322,
79,5.0,0.187755,
79,7.0,,
79,10.0,,
79,14.0,,
82,0.0,0.38217,
82,1.0,,
82,3.0,0.321993,
82,5.0,,
82,7.0,,
82,10.0,,
82,14.0,0.126409,
85,0.0,,
85,1.0,,
85,3.0,,
85,5.0,0.494708,
85,7.0,0.0968878,
85,10.0,0.225305,
85,14.0,,
86,0.0,0.501465,
86,1.0,,
86,3.0,0.267952,
86,5.0,,
86,7.0,,
86,10.0,0.639735,
86,14.0,,
87,0.0,,
87,1.0,0.300682,
87,3.0,,
87,5.0,,
87,7.0,,
87,10.0,0.0941898,
87,14.0,0.0912886,
90,0.0,0.233397,
90,1.0,,
90,3.0,,
90,5.0,0.0923892,
90,7.0,,
90,10.0,,
90,14.0,0.250651,
98,0.0,,
98,1.0,0.440195,
98,3.0,,
98,5.0,,
98,7.0,0.320789,
98,10.0,,
98,14.0,0.281153,
99,0.0,0.40941,
99,1.0,0.244363,
99,3.0,,
99,5.0,,
99,7.0,0.338931,
99,10.0,,
99,14.0,,
100,0.0,0.343133,
100,1.0,,
100,3.0,,
100,5.0,,
100,7.0,0.141789,
100,10.0,0.18565,
100,14.0,,
101,0.0,,
101,1.0,,
101,3.0,,
101,5.0,,
101,7.0,0.191611,
101,10.0,0.171368,
101,14.0,0.169783,
102,0.0,0.377082,
102,1.0,,
102,3.0,,
102,5.0,0.197397,
102,7.0,,
102,10.0,,
102,14.0,0.197121,
104,0.0,0.441908,
104,1.0,,
104,3.0,,
104,5.0,0.225606,
104,7.0,0.147839,
104,10.0,,
104,14.0,,
105,0.0,,
105,1.0,,
105,3.0,0.396882,
105,5.0,0.734457,
105,7.0,,
105,10.0,0.278384,
105,14.0,,
106,0.0,,
106,1.0,0.525779,
106,3.0,,
106,5.0,,
106,7.0,0.271462,
106,10.0,0.298346,
106,14.0,,
116,0.0,,
116,1.0,,
116,3.0,,
116,5.0,0.361778,
116,7.0,0.30075,
116,10.0,,
116,14.0,0.306386,
130,0.0,0.486555,
130,1.0,,
130,3.0,0.270301,
130,5.0,,
130,7.0,0.229383,
130,10.0,,
130,14.0,,
131,0.0,0.504845,
131,1.0,,
131,3.0,,
131,5.0,0.410508,
131,7.0,0.339685,
131,10.0,,
131,14.0,,
133,0.0,0.403838,
133,1.0,0.473075,
133,3.0,,
133,5.0,,
133,7.0,0.270416,
133,10.0,,
133,14.0,,
136,0.0,0.545237,
136,1.0,,
136,3.0,,
136,5.0,,
136,7.0,,
136,10.0,0.171759,
136,14.0,0.144133,
137,0.0,0.352716,
137,1.0,,
137,3.0,,
137,5.0,0.101812,
137,7.0,0.107937,
137,10.0,,
137,14.0,,
138,0.0,,
138,1.0,0.500337,
138,3.0,0.585211,
138,5.0,,
138,7.0,,
138,10.0,0.351078,
138,14.0,,
151,0.0,,
151,1.0,,
151,3.0,0.455519,
151,5.0,,
151,7.0,0.498613,
151,10.0,0.442745,
151,14.0,,
153,0.0,,
153,1.0,0.177545,
153,3.0,,
153,5.0,,
153,7.0,0.402287,
153,10.0,0.311906,
153,14.0,,
155,0.0,,
155,1.0,0.39184,
155,3.0,,
155,5.0,,
155,7.0,,
155,10.0,0.226246,
155,14.0,0.256644,
160,0.0,0.268406,
160,1.0,0.25726,
160,3.0,,
160,5.0,,
160,7.0,,
160,10.0,,
160,14.0,0.160411,
162,0.0,0.315008,
162,1.0,,
162,3.0,,
162,5.0,,
162,7.0,0.244532,
162,10.0,0.231102,
162,14.0,,
163,0.0,,
163,1.0,,
163,3.0,,
163,5.0,0.45678,
163,7.0,0.429671,
163,10.0,,
163,14.0,0.360295,
164,0.0,,
164,1.0,0.573422,
164,3.0,0.570752,
164,5.0,0.545872,
164,7.0,,
164,10.0,,
164,14.0,,
166,0.0,,
166,1.0,,
166,3.0,0.459294,
166,5.0,,
166,7.0,,
166,10.0,0.645821,
166,14.0,0.351034,
167,0.0,0.418375,
167,1.0,,
167,3.0,,
167,5.0,0.331156,
167,7.0,0.290492,
167,10.0,,
167,14.0,,
169,0.0,,
169,1.0,0.362354,
169,3.0,0.337901,
169,5.0,0.318071,
169,7.0,,
169,10.0,,
169,14.0,,
170,0.0,,
170,1.0,,
170,3.0,0.366052,
170,5.0,0.0522022,
170,7.0,0.298377,
170,10.0,,
170,14.0,,
172,0.0,,
172,1.0,0.287054,
172,3.0,0.270627,
172,5.0,,
172,7.0,,
172,10.0,,
172,14.0,0.195742,
173,0.0,0.247601,
173,1.0,,
173,3.0,0.20007,
173,5.0,0.185478,
173,7.0,,
173,10.0,,
173,14.0,,
177,0.0,,
177,1.0,0.434085,
177,3.0,,
177,5.0,0.401732,
177,7.0,,
177,10.0,,
177,14.0,0.294602,
178,0.0,,
178,1.0,,
178,3.0,0.567523,
178,5.0,0.552853,
178,7.0,0.743892,
178,10.0,,
178,14.0,,
183,0.0,,
183,1.0,,
183,3.0,0.546448,
183,5.0,0.52648,
183,7.0,0.48873,
183,10.0,,
