"","d0","d1","d3","d5","d7","d10","d14"
"1",0.413449,0.205346,0.500906,0.152998,0.340331,0.298391,0.228374
"2",0.405369,0.205346,0.500906,0.152998,0.340331,0.298391,0.228374
"3",0.323816,0.205346,0.500906,0.152998,0.340331,0.298391,0.228374
"4",0.231308,0.205346,0.500906,0.152998,0.340331,0.298391,0.228374
"5",0.413449,0.491302,0.500906,0.458251,0.340331,0.298391,0.228374
"6",0.413449,0.205346,0.500906,0.152998,0.493819,0.452902,0.228374
"7",0.413449,0.205346,0.500906,0.152998,0.445013,0.298391,0.228374
"8",0.373681,0.347451,0.500906,0.152998,0.340331,0.298391,0.228374
"9",0.334377,0.320547,0.500906,0.152998,0.340331,0.298391,0.228374
"10",0.413449,0.205346,0.500906,0.152998,0.453643,0.42413,0.228374
"11",0.341482,0.205346,0.500906,0.152998,0.229296,0.298391,0.228374
"12",0.48488,0.205346,0.500906,0.152998,0.4274,0.298391,0.228374
"13",0.413449,0.385218,0.500906,0.152998,0.340331,0.298391,0.228374
"14",0.413449,0.480084,0.500906,0.152998,0.340331,0.336255,0.228374
"15",0.413449,0.205346,0.500906,0.152998,0.340331,0.345631,0.358224
"16",0.413449,0.205346,0.309515,0.152998,0.384082,0.298391,0.228374
"17",0.413449,0.349851,0.500906,0.152998,0.257634,0.298391,0.228374
"18",0.711118,0.205346,0.500906,0.152998,0.474799,0.298391,0.228374
"19",0.413449,0.205346,0.500906,0.229243,0.196973,0.298391,0.228374
"20",0.31803,0.205346,0.500906,0.152998,0.340331,0.298391,0.141728
"21",0.369212,0.205346,0.500906,0.152998,0.262999,0.298391,0.228374
"22",0.413449,0.545695,0.500906,0.152998,0.340331,0.298391,0.467507
"23",0.413449,0.205346,0.500906,0.335483,0.340331,0.229804,0.228374
"24",0.413449,0.444761,0.378059,0.152998,0.340331,0.298391,0.228374
"25",0.413449,0.205346,0.500906,0.376065,0.340331,0.298391,0.513661
"26",0.413449,0.205346,0.500906,0.131864,0.340331,0.118972,0.228374
"27",0.379881,0.205346,0.232322,0.152998,0.340331,0.298391,0.228374
"28",0.413449,0.205346,0.500906,0.152998,0.114772,0.109314,0.228374
"29",0.364948,0.205346,0.500906,0.152998,0.0968878,0.298391,0.228374
"30",0.413449,0.205346,0.267952,0.290727,0.340331,0.298391,0.228374
"31",0.413449,0.205346,0.500906,0.152998,0.132856,0.0941898,0.228374
"32",0.413449,0.205346,0.500906,0.152998,0.235601,0.298391,0.250651
"33",0.413449,0.205346,0.500906,0.360581,0.340331,0.278933,0.228374
"34",0.413449,0.244363,0.256963,0.152998,0.340331,0.298391,0.228374
"35",0.413449,0.205346,0.500906,0.159336,0.141789,0.298391,0.228374
"36",0.413449,0.284998,0.213261,0.152998,0.340331,0.298391,0.228374
"37",0.413449,0.205346,0.500906,0.197397,0.340331,0.194458,0.228374
"38",0.413449,0.205346,0.500906,0.225606,0.340331,0.298391,0.128566
"39",0.413449,0.205346,0.500906,0.152998,0.73154,0.298391,0.687524
"40",0.582147,0.205346,0.500906,0.152998,0.340331,0.298391,0.351214
"41",0.413449,0.485076,0.500906,0.152998,0.340331,0.298391,0.306386
"42",0.486555,0.205346,0.500906,0.152998,0.340331,0.225295,0.228374
"43",0.413449,0.513399,0.500906,0.152998,0.339685,0.298391,0.228374
"44",0.413449,0.205346,0.341078,0.338644,0.340331,0.298391,0.228374
"45",0.413449,0.205346,0.202579,0.152998,0.340331,0.298391,0.144133
"46",0.413449,0.205346,0.131433,0.152998,0.340331,0.298391,0.0797416
"47",0.608565,0.205346,0.500906,0.152998,0.340331,0.351078,0.228374
"48",0.518099,0.508878,0.500906,0.152998,0.340331,0.298391,0.228374
"49",0.413449,0.177545,0.0106218,0.152998,0.340331,0.298391,0.228374
"50",0.413449,0.205346,0.416333,0.310439,0.340331,0.298391,0.228374
"51",0.268406,0.205346,0.500906,0.152998,0.340331,0.298391,0.160411
"52",0.413449,0.205346,0.500906,0.152998,0.244532,0.298391,0.183156
"53",0.491598,0.205346,0.500906,0.152998,0.340331,0.298391,0.360295
"54",0.583996,0.573422,0.500906,0.152998,0.340331,0.298391,0.228374
"55",0.413449,0.205346,0.500906,0.256084,0.340331,0.298391,0.351034
"56",0.418375,0.205346,0.359762,0.152998,0.340331,0.298391,0.228374
"57",0.413449,0.205346,0.500906,0.152998,0.296172,0.271518,0.228374
"58",0.413449,0.205346,0.366052,0.0522022,0.340331,0.298391,0.228374
"59",0.417884,0.205346,0.500906,0.152998,0.340331,0.298391,0.195742
"60",0.413449,0.205346,0.500906,0.185478,0.340331,0.156237,0.228374
"61",0.413449,0.434085,0.500906,0.152998,0.340331,0.298391,0.294602
"62",0.580626,0.205346,0.500906,0.152998,0.340331,0.503329,0.228374
"63",0.413449,0.205346,0.546448,0.152998,0.48873,0.298391,0.228374
"64",0.407087,0.205346,0.500906,0.128406,0.340331,0.298391,0.228374
"65",0.413449,0.350055,0.500906,0.152998,0.340331,0.298391,0.148468
"66",0.413449,0.205346,0.355557,0.152998,0.340331,0.304652,0.228374
"67",0.413449,0.205346,0.500906,0.152998,0.1692,0.169976,0.228374
"68",0.413449,0.205346,0.500906,0.152998,0.340331,0.0985708,0.0823377
"69",0.413449,0.205346,0.500906,0.152998,0.177993,0.143038,0.228374
"70",0.39917,0.205346,0.500906,0.152998,0.340331,0.298391,0.19382
"71",0.413449,0.205346,0.500906,0.305333,0.340331,0.23915,0.228374
"72",0.219924,0.205346,0.368179,0.152998,0.340331,0.298391,0.228374
"73",0.413449,0.205346,0.500906,0.479114,0.340331,0.430222,0.228374
"74",0.413449,0.511902,0.478885,0.152998,0.340331,0.298391,0.228374
"75",0.413449,0.603919,0.500906,0.572732,0.340331,0.298391,0.228374
