"","x"
"1",11
"2",18
"3",23
"4",29
"5",46
"6",68
"7",69
"8",70
"9",74
"10",75
"11",98
"12",100
"13",102
"14",103
"15",104
"16",108
"17",112
"18",114
"19",115
"20",119
"21",121
"22",126
"23",137
"24",142
"25",145
"26",157
"27",161
"28",165
"29",168
"30",183
"31",189
"32",206
"33",216
"34",221
"35",248
"36",251
"37",253
"38",255
"39",264
"40",269
"41",270
"42",276
"43",277
"44",280
"45",282
"46",283
"47",292
"48",293
"49",296
"50",297
"51",301
"52",302
"53",304
"54",310
"55",312
"56",313
"57",320
"58",324
"59",326
"60",331
"61",332
"62",334
"63",335
"64",338
"65",339
"66",341
"67",350
"68",358
"69",359
"70",363
"71",370
"72",372
"73",373
"74",375
"75",390
"76",393
"77",394
"78",395
"79",396
"80",398
"81",400
"82",401
"83",413
"84",414
"85",416
"86",417
"87",422
"88",425
"89",432
"90",435
"91",437
"92",440
"93",442
"94",443
"95",444
"96",448
"97",449
"98",451
"99",458
"100",471
"101",473
"102",474
"103",479
"104",483
"105",484
"106",505
"107",506
"108",510
"109",514
"110",515
"111",516
"112",522
"113",523
"114",524
"115",527
"116",529
"117",537
"118",538
"119",543
"120",546
"121",564
"122",565
"123",569
"124",576
"125",579
"126",581
"127",598
"128",615
"129",630
"130",657
"131",660
"132",663
"133",667
"134",668
"135",671
"136",673
"137",675
"138",680
"139",706
"140",727
"141",737
"142",779
"143",781
"144",782
"145",784
"146",789
"147",790
"148",794
"149",800
"150",804
"151",808
"152",811
"153",817
"154",819
"155",820
"156",824
"157",827
"158",828
"159",831
"160",833
"161",837
"162",839
"163",842
"164",844
"165",852
"166",865
"167",866
"168",869
"169",902
"170",907
"171",909
"172",911
"173",921
"174",935
"175",936
"176",939
"177",942
"178",950
"179",951
"180",952
"181",953
"182",955
"183",956
"184",959
"185",962
"186",967
"187",970
"188",971
"189",973
"190",974
"191",978
"192",980
"193",987
"194",988
"195",1014
"196",1019
"197",1021
"198",1022
"199",1023
"200",1024
"201",1026
"202",1027
"203",1033
"204",1034
"205",1036
"206",1042
"207",1046
"208",1048
"209",1050
"210",1053
"211",1066
"212",1067
"213",1073
"214",1077
"215",1078
"216",1105
"217",1107
"218",1111
"219",1113
"220",1120
"221",1133
"222",1181
"223",1183
"224",1184
"225",1193
"226",1196
"227",1201
"228",1221
"229",1225
"230",1228
"231",1230
"232",1236
"233",1270
"234",1271
"235",1275
"236",1289
"237",1297
"238",1299
"239",1300
"240",1301
"241",1307
"242",1314
"243",1365
"244",1386
"245",1411
"246",1412
"247",1413
"248",1414
"249",1415
"250",1416
"251",1418
"252",1423
"253",1460
"254",1482
"255",1484
"256",1499
"257",1529
"258",1534
"259",1540
"260",1543
"261",1553
"262",1562
"263",1565
"264",1571
"265",1574
"266",1578
"267",1579
"268",1581
"269",1582
"270",1583
"271",1588
"272",1592
"273",1596
"274",1600
"275",1611
"276",1613
"277",1618
"278",1625
"279",1650
"280",1654
"281",1661
"282",1671
"283",1694
"284",1697
"285",1699
"286",1724
"287",1731
"288",1741
"289",1746
"290",1748
"291",1750
"292",1755
"293",1773
"294",1784
"295",1794
"296",1795
"297",1798
"298",1802
"299",1807
"300",1813
"301",1816
"302",1821
"303",1852
"304",1853
"305",1857
"306",1860
"307",1862
"308",1863
"309",1865
"310",1868
"311",1872
"312",1874
"313",1878
"314",1879
"315",1887
"316",1897
"317",1900
"318",1913
"319",1931
"320",1932
"321",1935
"322",1939
"323",1941
"324",1944
"325",1946
"326",1947
"327",1950
"328",1953
"329",1954
"330",1958
"331",1961
"332",1962
"333",1963
"334",1986
"335",1987
"336",1991
"337",1995
"338",1998
"339",2005
"340",2008
"341",2014
"342",2019
"343",2033
"344",2034
"345",2053
"346",2054
"347",2060
"348",2079
"349",2081
"350",2101
"351",2106
"352",2121
"353",2134
"354",2136
"355",2147
"356",2151
"357",2153
"358",2184
"359",2185
"360",2189
"361",2218
"362",2219
"363",2220
"364",2224
"365",2232
"366",2237
"367",2239
"368",2240
"369",2241
"370",2242
"371",2243
"372",2260
"373",2270
"374",2271
"375",2284
"376",2307
"377",2308
"378",2310
"379",2311
"380",2312
"381",2320
"382",2331
"383",2342
"384",2348
"385",2355
"386",2357
"387",2371
"388",2383
"389",2386
"390",2395
"391",2404
"392",2410
"393",2415
"394",2416
"395",2417
"396",2420
"397",2428
"398",2430
"399",2432
"400",2436
"401",2440
"402",2442
"403",2443
"404",2451
"405",2456
"406",2457
"407",2460
"408",2463
"409",2470
"410",2474
"411",2476
"412",2480
"413",2481
"414",2482
"415",2486
"416",2503
"417",2512
"418",2523
"419",2529
"420",2530
"421",2531
"422",2538
"423",2571
"424",2576
"425",2578
"426",2587
"427",2605
"428",2647
"429",2652
"430",2655
"431",2656
"432",2657
"433",2677
"434",2681
"435",2691
"436",2696
"437",2711
"438",2729
"439",2730
"440",2733
"441",2745
"442",2748
"443",2759
"444",2763
"445",2782
"446",2784
"447",2807
"448",2809
"449",2810
"450",2811
"451",2818
"452",2819
"453",2829
"454",2837
"455",2839
"456",2843
"457",2845
"458",2846
"459",2849
"460",2858
"461",2862
"462",2873
"463",2882
"464",2891
"465",2917
"466",2922
"467",2924
"468",2936
"469",2961
"470",2986
"471",2987
"472",2998
"473",2999
"474",3004
"475",3008
"476",3017
"477",3018
"478",3033
"479",3038
"480",3065
"481",3069
"482",3076
"483",3083
"484",3084
"485",3090
"486",3094
"487",3096
"488",3097
"489",3100
"490",3101
"491",3102
"492",3103
"493",3105
"494",3106
"495",3109
"496",3110
"497",3111
"498",3120
"499",3121
"500",3128
"501",3130
"502",3133
"503",3136
"504",3160
"505",3164
"506",3170
"507",3171
"508",3201
"509",3211
"510",3213
"511",3220
"512",3241
"513",3264
"514",3267
"515",3268
"516",3271
"517",3274
"518",3277
"519",3279
"520",3311
"521",3312
"522",3316
"523",3317
"524",3318
"525",3319
"526",3325
"527",3327
"528",3383
"529",3396
"530",3484
"531",3490
"532",3492
"533",3493
"534",3504
"535",3531
"536",3532
"537",3534
"538",3535
"539",3543
"540",3545
"541",3587
"542",3588
"543",3589
"544",3595
"545",3609
"546",3615
"547",3617
"548",3621
"549",3625
"550",3626
"551",3628
"552",3630
"553",3633
"554",3634
"555",3646
"556",3650
"557",3651
"558",3655
"559",3656
"560",3659
"561",3662
"562",3677
"563",3681
"564",3684
"565",3687
"566",3696
"567",3698
"568",3719
"569",3723
"570",3730
"571",3731
"572",3737
"573",3774
"574",3775
"575",3786
"576",3799
"577",3802
"578",3807
"579",3814
"580",3829
"581",3830
"582",3836
"583",3846
"584",3859
"585",3861
"586",3863
"587",3868
"588",3884
"589",3887
"590",3906
"591",3909
"592",3910
"593",3911
"594",3915
"595",3916
"596",3917
"597",3919
"598",3924
"599",3925
"600",3927
"601",3928
"602",3930
"603",3931
"604",3943
"605",3944
"606",3953
"607",3959
"608",3966
"609",3979
"610",3997
"611",4003
"612",4010
"613",4016
"614",4042
"615",4043
"616",4048
"617",4051
"618",4070
"619",4084
"620",4089
"621",4093
"622",4104
"623",4119
"624",4123
"625",4127
"626",4129
"627",4130
"628",4140
"629",4141
"630",4154
"631",4155
"632",4159
"633",4163
"634",4164
"635",4165
"636",4166
"637",4167
"638",4173
"639",4190
"640",4203
"641",4208
"642",4211
"643",4221
"644",4226
"645",4239
"646",4248
"647",4282
"648",4284
"649",4285
"650",4286
"651",4292
"652",4299
"653",4303
"654",4313
"655",4324
"656",4325
"657",4332
"658",4335
"659",4336
"660",4345
"661",4347
"662",4349
"663",4353
"664",4356
"665",4359
"666",4362
"667",4365
"668",4369
"669",4403
"670",4407
"671",4426
"672",4449
"673",4450
"674",4458
"675",4459
"676",4461
"677",4464
"678",4469
"679",4471
"680",4478
"681",4482
"682",4485
"683",4488
"684",4490
"685",4494
"686",4495
"687",4498
"688",4499
"689",4502
"690",4505
"691",4520
"692",4524
"693",4542
"694",4547
"695",4551
"696",4554
"697",4557
"698",4562
"699",4564
"700",4573
"701",4574
"702",4579
"703",4589
"704",4605
"705",4612
"706",4636
"707",4637
"708",4638
"709",4642
"710",4643
"711",4646
"712",4647
"713",4650
"714",4652
"715",4667
"716",4676
"717",4700
"718",4708
"719",4710
"720",4711
"721",4713
"722",4714
"723",4719
"724",4723
"725",4726
"726",4729
"727",4731
"728",4743
"729",4744
"730",4752
"731",4754
"732",4758
"733",4772
"734",4777
"735",4780
"736",4782
"737",4789
"738",4790
"739",4799
"740",4803
"741",4808
"742",4838
"743",4849
"744",4857
"745",4861
"746",4862
"747",4865
"748",4869
"749",4886
"750",4893
"751",4895
"752",4907
"753",4914
"754",4915
"755",4918
"756",4938
"757",4951
"758",4953
"759",4968
"760",4984
"761",4991
"762",4997
"763",4998
"764",5006
"765",5014
"766",5024
"767",5025
"768",5028
"769",5030
"770",5031
"771",5038
"772",5040
"773",5043
"774",5044
"775",5045
"776",5051
"777",5056
"778",5059
"779",5068
"780",5076
"781",5078
"782",5081
"783",5082
"784",5083
"785",5084
"786",5086
"787",5087
"788",5091
"789",5092
"790",5094
"791",5095
"792",5101
"793",5103
"794",5108
"795",5115
"796",5116
"797",5117
"798",5118
"799",5120
"800",5121
"801",5122
"802",5125
"803",5126
"804",5130
"805",5131
"806",5139
"807",5141
"808",5152
"809",5153
"810",5155
"811",5156
"812",5158
"813",5162
"814",5164
"815",5167
"816",5168
"817",5173
"818",5175
"819",5176
"820",5177
"821",5181
"822",5182
"823",5184
"824",5191
"825",5192
"826",5195
"827",5196
"828",5198
"829",5200
"830",5204
"831",5209
"832",5213
"833",5236
"834",5237
"835",5239
"836",5244
"837",5248
"838",5255
"839",5268
"840",5269
"841",5271
"842",5280
"843",5281
"844",5282
"845",5283
"846",5284
"847",5303
"848",5333
"849",5337
"850",5354
"851",5359
"852",5379
"853",5390
"854",5436
"855",5441
"856",5474
"857",5485
"858",5490
"859",5493
"860",5500
"861",5505
"862",5514
"863",5523
"864",5536
"865",5540
"866",5546
"867",5561
"868",5640
"869",5642
"870",5644
"871",5650
"872",5652
"873",5654
"874",5661
"875",5674
"876",5698
"877",5706
"878",5708
"879",5711
"880",5744
"881",5761
"882",5773
"883",5780
"884",5793
"885",5805
"886",5807
"887",5827
"888",5830
"889",5841
"890",5884
"891",5887
"892",5889
"893",5911
"894",5916
"895",5920
"896",5923
"897",5927
"898",5933
"899",5938
"900",5948
"901",5960
"902",5970
"903",5972
"904",5975
"905",5982
"906",6008
"907",6025
"908",6043
"909",6071
"910",6077
"911",6078
"912",6099
"913",6109
"914",6118
"915",6135
"916",6144
"917",6149
"918",6169
"919",6174
"920",6175
"921",6178
"922",6190
"923",6193
"924",6194
"925",6195
"926",6200
"927",6204
"928",6213
"929",6240
"930",6252
"931",6254
"932",6256
"933",6258
"934",6272
"935",6274
"936",6277
"937",6281
"938",6282
"939",6287
"940",6292
"941",6297
"942",6298
"943",6302
"944",6315
"945",6316
"946",6321
"947",6324
"948",6329
"949",6360
"950",6363
"951",6367
"952",6369
"953",6382
"954",6398
"955",6409
"956",6425
"957",6426
"958",6430
"959",6448
"960",6450
"961",6453
"962",6465
"963",6476
"964",6479
"965",6488
"966",6500
"967",6501
"968",6507
"969",6520
"970",6529
"971",6539
"972",6542
"973",6570
"974",6582
"975",6606
"976",6608
"977",6613
"978",6621
"979",6625
"980",6638
"981",6639
"982",6645
"983",6658
"984",6662
"985",6667
"986",6682
"987",6692
"988",6695
"989",6700
"990",6714
"991",6725
"992",6753
"993",6756
"994",6760
"995",6763
"996",6764
"997",6765
"998",6782
"999",6798
"1000",6805
"1001",6816
"1002",6824
"1003",6838
"1004",6854
"1005",6862
"1006",6866
"1007",6877
"1008",6880
"1009",6884
"1010",6889
"1011",6898
"1012",6907
"1013",6909
"1014",6912
"1015",6914
"1016",6917
"1017",6927
"1018",6932
"1019",6939
"1020",6949
"1021",6965
"1022",6981
"1023",6984
"1024",6991
"1025",6998
"1026",7007
"1027",7016
"1028",7039
"1029",7041
"1030",7046
"1031",7059
"1032",7067
"1033",7072
"1034",7080
"1035",7092
"1036",7118
"1037",7157
"1038",7160
"1039",7169
"1040",7174
"1041",7176
"1042",7193
"1043",7231
"1044",7262
"1045",7263
"1046",7265
"1047",7266
"1048",7268
"1049",7271
"1050",7277
"1051",7292
"1052",7300
"1053",7301
"1054",7329
"1055",7386
"1056",7387
"1057",7388
"1058",7390
"1059",7391
"1060",7392
"1061",7401
"1062",7411
"1063",7415
"1064",7418
"1065",7420
"1066",7421
"1067",7426
"1068",7443
"1069",7444
"1070",7462
"1071",7466
"1072",7467
"1073",7469
"1074",7473
"1075",7483
"1076",7484
"1077",7490
