ID	t	A0	notFoundBySE
0	1.00000	0.320034	
0	3.00000	0.300376	
0	5.00000	0.285360	
0	7.00000	0.255031	
0	10.0000	0.261269	
0	14.0000	0.241056	
1	5.00000	0.313986	
1	7.00000	0.272120	
1	10.0000	0.257786	
1	14.0000	0.234009	
2	0.00000	0.529441	
2	1.00000	0.478927	
2	3.00000	0.300848	
2	5.00000	0.315410	
2	7.00000	0.299805	
2	14.0000	0.173585	
3	3.00000	0.173375	
3	5.00000	0.168433	
3	7.00000	0.0984147	
3	10.0000	0.274475	
3	14.0000	0.271998	
4	0.00000	0.594952	
4	5.00000	0.553200	
4	10.0000	0.0997972	
4	14.0000	0.387810	
5	0.00000	0.354328	
5	1.00000	0.348009	
5	5.00000	0.320826	
5	7.00000	0.219372	
5	14.0000	0.449081	
6	0.00000	0.617058	
6	1.00000	0.380840	
6	3.00000	0.285168	
6	5.00000	0.323437	
6	7.00000	0.331186	
6	14.0000	0.229643	
7	0.00000	0.446040	
7	1.00000	0.400845	
7	5.00000	0.229827	
7	7.00000	0.228881	
7	14.0000	0.149664	
8	0.00000	0.320184	
8	1.00000	0.295215	
8	3.00000	0.266481	
8	5.00000	0.193299	
8	7.00000	0.112785	
8	14.0000	0.144735	
9	0.00000	0.400931	
9	5.00000	0.281957	
9	7.00000	0.261018	
9	10.0000	0.358020	
9	14.0000	0.161281	
10	0.00000	0.413986	
10	5.00000	0.209167	
10	7.00000	0.140943	
10	10.0000	0.128858	
10	14.0000	0.152617	
11	0.00000	0.395735	
11	1.00000	0.383795	
11	3.00000	0.216574	
11	5.00000	0.187129	
11	7.00000	0.146740	
11	10.0000	0.149916	
11	14.0000	0.0945716	
12	3.00000	0.405784	
12	5.00000	0.436384	
12	10.0000	0.203981	
12	14.0000	0.405075	
13	0.00000	0.467710	
13	3.00000	0.367941	
13	7.00000	0.296002	
13	14.0000	0.222535	
14	0.00000	0.572587	
14	5.00000	0.400331	
14	7.00000	0.324811	
14	10.0000	0.324037	
14	14.0000	0.280760	
15	0.00000	0.329967	
15	1.00000	0.393177	
15	3.00000	0.253285	
15	5.00000	0.249835	
15	7.00000	0.190781	
15	14.0000	0.159321	
16	0.00000	0.219573	
16	1.00000	0.186987	
16	3.00000	0.151551	
16	10.0000	0.107931	
17	0.00000	0.455099	
17	3.00000	0.411595	
17	5.00000	0.290528	
17	7.00000	0.267504	
17	14.0000	0.289894	
18	0.00000	0.413449	
18	1.00000	0.463093	
18	3.00000	0.401294	
18	5.00000	0.321373	
18	7.00000	0.317251	
18	10.0000	0.317083	
18	14.0000	0.268750	
19	0.00000	0.435206	
19	5.00000	0.362654	
19	7.00000	0.395694	
19	14.0000	0.313925	
20	0.00000	0.405369	
20	1.00000	0.403022	
20	3.00000	0.371387	
20	5.00000	0.355413	
