ID,t,A0,notFoundBySE
11,0.0,,
11,1.0,,
11,3.0,0.216574,
11,5.0,,
11,7.0,0.14674,
11,10.0,0.149916,
11,14.0,0.0945716,
18,0.0,0.413449,
18,1.0,0.463093,
18,3.0,0.401294,
18,5.0,,
18,7.0,,
18,10.0,,
18,14.0,0.26875,
23,0.0,0.398251,
23,1.0,,
23,3.0,,
23,5.0,0.35551,
23,7.0,0.295074,
23,10.0,0.28684,
23,14.0,,
29,0.0,0.503811,
29,1.0,,
29,3.0,0.519108,
29,5.0,0.532946,
29,7.0,0.461138,
29,10.0,,
29,14.0,,
46,0.0,0.429433,
46,1.0,,
46,3.0,0.429421,
46,5.0,0.315415,
46,7.0,0.307913,
46,10.0,,
46,14.0,,
68,0.0,,
68,1.0,0.376642,
68,3.0,,
68,5.0,0.230359,
68,7.0,0.191566,
68,10.0,,
68,14.0,0.149447,
69,0.0,,
69,1.0,0.325939,
69,3.0,,
69,5.0,0.158059,
69,7.0,0.15016,
69,10.0,,
69,14.0,0.104277,
70,0.0,,
70,1.0,0.312824,
70,3.0,,
70,5.0,,
70,7.0,0.249934,
70,10.0,0.610759,
70,14.0,0.241302,
74,0.0,,
74,1.0,0.280128,
74,3.0,,
74,5.0,0.184388,
74,7.0,0.158743,
74,10.0,0.121282,
74,14.0,,
75,0.0,0.409868,
75,1.0,,
75,3.0,0.196965,
75,5.0,0.224991,
75,7.0,0.196803,
75,10.0,,
75,14.0,,
98,0.0,0.365858,
98,1.0,0.35141,
98,3.0,,
98,5.0,,
98,7.0,0.135203,
98,10.0,,
98,14.0,0.195645,
100,0.0,,
100,1.0,0.433555,
100,3.0,0.41788,
100,5.0,,
100,7.0,0.370555,
100,10.0,,
100,14.0,0.301115,
102,0.0,,
102,1.0,,
102,3.0,0.350592,
102,5.0,,
102,7.0,0.285535,
102,10.0,0.340075,
102,14.0,0.257167,
103,0.0,0.339881,
103,1.0,0.367068,
103,3.0,,
103,5.0,0.307041,
103,7.0,,
103,10.0,0.351506,
103,14.0,,
104,0.0,,
104,1.0,,
104,3.0,0.326209,
104,5.0,0.324507,
104,7.0,,
104,10.0,0.283933,
104,14.0,0.234235,
108,0.0,0.429982,
108,1.0,,
108,3.0,0.483953,
108,5.0,0.351999,
108,7.0,0.343948,
108,10.0,,
108,14.0,,
112,0.0,0.465055,
112,1.0,0.43994,
112,3.0,0.375774,
112,5.0,,
112,7.0,0.261581,
112,10.0,,
112,14.0,,
114,0.0,,
114,1.0,0.30865,
114,3.0,,
114,5.0,0.278692,
114,7.0,0.260574,
114,10.0,,
114,14.0,0.211098,
115,0.0,0.520137,
115,1.0,,
115,3.0,0.493204,
115,5.0,,
115,7.0,0.488125,
115,10.0,,
115,14.0,0.441874,
119,0.0,0.645503,
119,1.0,,
119,3.0,,
119,5.0,0.566345,
119,7.0,0.648195,
119,10.0,,
119,14.0,0.446731,
121,0.0,0.580871,
121,1.0,,
121,3.0,0.492966,
121,5.0,,
121,7.0,0.498451,
121,10.0,0.483768,
121,14.0,,
126,0.0,0.371342,
126,1.0,,
126,3.0,,
126,5.0,0.134015,
