ID,t,A0,notFoundBySE
11,0.0,,
11,1.0,,
11,3.0,,
11,5.0,,
11,7.0,0.14674,
11,10.0,,
11,14.0,,
18,0.0,,
18,1.0,,
18,3.0,,
18,5.0,,
18,7.0,,
18,10.0,0.317083,
18,14.0,,
23,0.0,,
23,1.0,,
23,3.0,0.431914,
23,5.0,,
23,7.0,,
23,10.0,,
23,14.0,,
29,0.0,,
29,1.0,,
29,3.0,,
29,5.0,0.532946,
29,7.0,,
29,10.0,,
29,14.0,,
46,0.0,,
46,1.0,0.422275,
46,3.0,,
46,5.0,,
46,7.0,,
46,10.0,,
46,14.0,,
68,0.0,,
68,1.0,0.376642,
68,3.0,,
68,5.0,,
68,7.0,,
68,10.0,,
68,14.0,,
69,0.0,,
69,1.0,,
69,3.0,,
69,5.0,,
69,7.0,,
69,10.0,,
69,14.0,0.104277,
70,0.0,,
70,1.0,,
70,3.0,,
70,5.0,,
70,7.0,,
70,10.0,,
70,14.0,0.241302,
74,0.0,,
74,1.0,,
74,3.0,,
74,5.0,,
74,7.0,,
74,10.0,,
74,14.0,0.10502,
75,0.0,,
75,1.0,,
75,3.0,,
75,5.0,,
75,7.0,0.196803,
75,10.0,,
75,14.0,,
98,0.0,,
98,1.0,,
98,3.0,,
98,5.0,0.159595,
98,7.0,,
98,10.0,,
98,14.0,,
100,0.0,,
100,1.0,,
100,3.0,,
100,5.0,,
100,7.0,0.370555,
100,10.0,,
100,14.0,,
102,0.0,,
102,1.0,,
102,3.0,,
102,5.0,,
102,7.0,,
102,10.0,0.340075,
102,14.0,,
103,0.0,,
103,1.0,,
103,3.0,,
103,5.0,0.307041,
103,7.0,,
103,10.0,,
103,14.0,,
104,0.0,,
104,1.0,,
104,3.0,,
104,5.0,,
104,7.0,,
104,10.0,,
104,14.0,0.234235,
108,0.0,,
108,1.0,,
108,3.0,,
108,5.0,0.351999,
108,7.0,,
108,10.0,,
108,14.0,,
112,0.0,,
112,1.0,,
112,3.0,,
112,5.0,0.349606,
112,7.0,,
112,10.0,,
112,14.0,,
114,0.0,,
114,1.0,0.30865,
114,3.0,,
114,5.0,,
114,7.0,,
114,10.0,,
114,14.0,,
115,0.0,,
115,1.0,,
115,3.0,,
115,5.0,0.438769,
115,7.0,,
115,10.0,,
115,14.0,,
119,0.0,,
119,1.0,,
119,3.0,0.570606,
119,5.0,,
119,7.0,,
119,10.0,,
119,14.0,,
121,0.0,,
121,1.0,,
121,3.0,,
121,5.0,0.514703,
121,7.0,,
121,10.0,,
121,14.0,,
126,0.0,0.371342,
126,1.0,,
126,3.0,,
126,5.0,,
126,7.0,,
126,10.0,,
126,14.0,,
137,0.0,,
137,1.0,0.313778,
137,3.0,,
137,5.0,,
137,7.0,,
137,10.0,,
137,14.0,,
142,0.0,,
142,1.0,,
142,3.0,0.355792,
142,5.0,,
142,7.0,,
142,10.0,,
142,14.0,,
145,0.0,,
145,1.0,,
145,3.0,,
145,5.0,,
145,7.0,,
145,10.0,,
145,14.0,0.333656,
157,0.0,,
157,1.0,,
157,3.0,0.340905,
157,5.0,,
157,7.0,,
157,10.0,,
