"","d0","d1","d3","d5","d7","d10","d14"
"1",0.395735,0.383795,0.216574,0.187129,0.14674,0.149916,0.209207
"2",0.413449,0.463093,0.401294,0.321373,0.317251,0.317083,0.209207
"3",0.398251,0.45653,0.431914,0.35551,0.14674,0.28684,0.209207
"4",0.503811,0.504522,0.216574,0.532946,0.461138,0.467472,0.284675
"5",0.395735,0.422275,0.429421,0.315415,0.307913,0.847989,0.107109
"6",0.421985,0.376642,0.216574,0.230359,0.191566,0.177722,0.149447
"7",0.40172,0.325939,0.211257,0.187129,0.15016,0.138727,0.104277
"8",0.450607,0.312824,0.283545,0.277383,0.249934,0.149916,0.241302
"9",0.336276,0.383795,0.197288,0.184388,0.158743,0.121282,0.10502
"10",0.409868,0.364211,0.196965,0.187129,0.196803,0.59361,0.150423
"11",0.365858,0.35141,0.302773,0.159595,0.135203,0.149916,0.195645
"12",0.438508,0.433555,0.41788,0.377521,0.14674,0.378856,0.301115
"13",0.389394,0.413627,0.350592,0.328791,0.285535,0.340075,0.209207
"14",0.339881,0.367068,0.35458,0.307041,0.259561,0.149916,0.231454
"15",0.367641,0.358735,0.326209,0.324507,0.14674,0.283933,0.234235
"16",0.429982,0.502401,0.483953,0.351999,0.14674,0.353752,0.288311
"17",0.465055,0.43994,0.375774,0.349606,0.14674,0.276263,0.247018
"18",0.32199,0.30865,0.297258,0.187129,0.260574,0.250947,0.211098
"19",0.520137,0.512614,0.493204,0.438769,0.488125,0.368425,0.209207
"20",0.645503,0.383795,0.570606,0.566345,0.648195,0.414254,0.446731
"21",0.580871,0.565402,0.492966,0.514703,0.498451,0.149916,0.436973
"22",0.395735,0.160598,0.130706,0.134015,0.42335,0.0782488,0.0466632
"23",0.346575,0.313778,0.239482,0.256171,0.188179,0.22161,0.209207
"24",0.436359,0.413752,0.355792,0.316164,0.275503,0.149916,0.194569
"25",0.498765,0.49471,0.481646,0.443407,0.401827,0.149916,0.333656
"26",0.410313,0.432823,0.340905,0.187129,0.235629,0.724845,0.176222
"27",0.522835,0.501199,0.484527,0.446613,0.14674,0.371819,0.381599
"28",0.483033,0.507683,0.216574,0.384087,0.381129,0.587175,0.260555
"29",0.522208,0.355412,0.461678,0.421428,0.14674,0.369762,0.318088
"30",0.347018,0.43243,0.396989,0.366923,0.337819,0.149916,0.284184
"31",0.562118,0.550401,0.522253,0.493616,0.14674,0.484242,0.420231
"32",0.49089,0.363285,0.320353,0.187129,0.294372,0.199474,0.366537
"33",0.39453,0.426839,0.216574,0.37656,0.31013,0.420001,0.324138
"34",0.582887,0.515623,0.524912,0.537928,0.503306,0.253113,0.209207
"35",0.57399,0.383795,0.483773,0.490777,0.459735,0.450516,0.415339
"36",0.395735,0.365191,0.359112,0.340981,0.362854,0.303283,0.149666
"37",0.526436,0.438177,0.364912,0.389597,0.14674,0.34806,0.459169
"38",0.375355,0.373845,0.339474,0.327392,0.14674,0.263715,0.242408
"39",0.535407,0.468785,0.391954,0.339929,0.14674,0.278356,0.216225
"40",0.679486,0.460909,0.433045,0.377915,0.318229,0.391861,0.365861
"41",0.440816,0.403861,0.38723,0.237357,0.34978,0.371822,0.209207
"42",0.538151,0.383795,0.325561,0.398714,0.363634,0.230135,0.352986
"43",0.523679,0.459691,0.413319,0.418201,0.392734,0.381474,0.209207
"44",0.626567,0.562277,0.533458,0.544291,0.14674,0.505631,0.458753
"45",0.526024,0.383795,0.430913,0.374925,0.39406,0.388416,0.403573
"46",0.35818,0.307295,0.230968,0.1804,0.494563,0.156503,0.209207
"47",0.376139,0.320222,0.216574,0.274733,0.237678,0.225815,0.212604
"48",0.54607,0.55023,0.514769,0.424898,0.14674,0.43218,0.405221
"49",0.523896,0.464599,0.474717,0.479544,0.444792,0.149916,0.403306
"50",0.442748,0.434663,0.416145,0.387394,0.35677,0.385027,0.209207
