"","x"
"1",8
"2",27
"3",30
"4",31
"5",32
"6",33
"7",38
"8",43
"9",44
"10",49
"11",50
"12",59
"13",61
"14",62
"15",68
"16",71
"17",74
"18",78
"19",82
"20",83
"21",86
"22",88
"23",92
"24",93
"25",101
"26",103
"27",104
"28",105
"29",106
"30",108
"31",109
"32",110
"33",112
"34",114
"35",115
"36",118
"37",119
"38",120
"39",121
"40",122
"41",124
"42",126
"43",127
"44",128
"45",129
"46",131
"47",134
"48",138
"49",141
"50",145
"51",147
"52",154
"53",155
"54",156
"55",159
"56",160
"57",163
"58",164
"59",170
"60",171
"61",173
"62",174
"63",177
"64",179
"65",180
"66",181
"67",185
"68",187
"69",192
"70",193
"71",195
"72",196
"73",200
"74",201
"75",204
"76",205
"77",206
"78",212
"79",216
"80",217
"81",219
"82",222
"83",225
"84",226
"85",229
"86",232
"87",233
"88",234
"89",236
"90",240
"91",243
"92",245
"93",247
"94",253
"95",254
"96",256
"97",257
"98",261
"99",263
"100",268
"101",270
"102",283
"103",285
"104",288
"105",289
"106",290
"107",292
"108",293
"109",301
"110",302
"111",304
"112",305
"113",306
"114",309
"115",310
"116",311
"117",312
"118",313
"119",315
"120",317
"121",318
"122",321
"123",323
"124",324
"125",335
"126",336
"127",339
"128",341
"129",356
"130",357
"131",359
"132",360
"133",361
"134",362
"135",363
"136",364
"137",365
"138",366
"139",368
"140",371
"141",372
"142",376
"143",377
"144",378
"145",380
"146",382
"147",383
"148",386
"149",387
"150",388
"151",389
"152",390
"153",391
"154",392
"155",393
"156",395
"157",396
"158",398
"159",400
"160",401
"161",402
"162",403
"163",404
"164",405
"165",406
"166",407
"167",410
"168",411
"169",413
"170",416
"171",418
"172",419
"173",420
"174",421
"175",422
"176",423
"177",425
"178",426
"179",431
"180",435
"181",437
"182",439
"183",440
"184",441
"185",442
"186",446
"187",449
"188",450
"189",452
"190",454
"191",458
"192",460
"193",461
"194",462
"195",466
"196",467
"197",471
"198",473
"199",475
"200",476
"201",477
"202",478
"203",480
"204",481
"205",487
"206",492
"207",495
"208",496
"209",500
"210",503
"211",504
"212",506
"213",511
"214",513
"215",514
"216",519
"217",523
"218",525
"219",527
"220",530
"221",531
"222",532
"223",535
"224",537
"225",542
"226",543
"227",548
"228",549
"229",550
"230",551
"231",553
"232",555
"233",556
"234",557
"235",560
"236",561
"237",565
"238",566
"239",569
"240",570
"241",572
"242",573
"243",577
"244",578
"245",582
"246",583
"247",584
"248",585
"249",588
"250",589
"251",591
"252",592
"253",593
"254",594
"255",595
"256",597
"257",601
"258",602
"259",606
"260",608
"261",609
"262",617
"263",619
"264",620
"265",621
"266",626
"267",633
"268",634
"269",635
"270",636
"271",646
"272",650
"273",665
"274",666
"275",667
"276",668
"277",670
"278",671
"279",672
"280",677
"281",678
"282",679
"283",680
"284",681
"285",682
"286",685
"287",686
"288",688
"289",694
"290",701
"291",702
"292",703
"293",704
"294",705
"295",711
"296",713
"297",714
"298",720
"299",723
"300",724
"301",727
"302",728
"303",730
"304",731
"305",734
"306",735
"307",736
"308",738
"309",741
"310",742
"311",744
"312",745
"313",747
"314",749
"315",752
"316",753
"317",758
"318",759
"319",760
"320",764
"321",766
"322",768
"323",770
"324",772
"325",781
"326",788
"327",798
"328",799
"329",800
"330",803
"331",807
"332",809
"333",811
"334",814
"335",824
"336",828
"337",832
"338",836
"339",839
"340",840
"341",841
"342",844
"343",845
"344",847
"345",848
"346",850
"347",851
"348",853
"349",855
"350",857
"351",862
"352",864
"353",865
"354",881
"355",884
"356",888
"357",895
"358",896
"359",903
"360",908
"361",909
"362",914
"363",915
"364",916
"365",927
"366",928
"367",929
"368",931
"369",932
"370",935
"371",938
"372",941
"373",949
"374",951
"375",952
"376",954
"377",955
"378",957
"379",959
"380",963
"381",966
"382",967
"383",969
"384",976
"385",979
"386",980
"387",981
"388",983
"389",994
"390",995
"391",998
"392",1000
"393",1001
"394",1002
"395",1004
"396",1009
"397",1011
"398",1012
"399",1024
"400",1030
"401",1033
"402",1035
"403",1040
"404",1041
"405",1042
"406",1043
"407",1044
"408",1045
"409",1049
"410",1053
"411",1056
"412",1059
"413",1061
"414",1066
"415",1067
"416",1071
"417",1072
"418",1073
"419",1075
"420",1077
"421",1078
"422",1080
"423",1081
"424",1083
"425",1088
"426",1097
"427",1098
"428",1116
"429",1120
"430",1124
"431",1144
"432",1150
"433",1151
"434",1153
"435",1156
"436",1158
"437",1159
"438",1160
"439",1164
"440",1165
"441",1166
"442",1167
"443",1168
"444",1169
"445",1172
"446",1177
"447",1178
"448",1180
"449",1181
"450",1187
"451",1190
"452",1191
"453",1192
"454",1193
"455",1195
"456",1198
"457",1201
"458",1205
"459",1206
"460",1207
"461",1209
"462",1211
"463",1213
"464",1217
"465",1219
"466",1225
"467",1228
"468",1229
"469",1231
"470",1234
"471",1235
"472",1236
"473",1237
"474",1243
"475",1249
"476",1250
"477",1251
"478",1253
"479",1254
"480",1258
"481",1259
"482",1261
"483",1262
"484",1263
"485",1264
"486",1268
"487",1271
"488",1276
"489",1277
"490",1281
"491",1285
"492",1287
"493",1291
"494",1292
"495",1293
"496",1294
"497",1295
"498",1297
"499",1301
"500",1305
"501",1307
"502",1309
"503",1310
"504",1312
"505",1313
"506",1315
"507",1316
"508",1317
"509",1318
"510",1321
"511",1323
"512",1324
"513",1325
"514",1326
"515",1328
"516",1332
"517",1335
"518",1339
"519",1340
"520",1341
"521",1344
"522",1345
"523",1346
"524",1349
"525",1351
"526",1353
"527",1354
"528",1355
"529",1359
"530",1360
"531",1361
"532",1363
"533",1365
"534",1369
"535",1370
"536",1372
"537",1379
"538",1381
"539",1383
"540",1385
"541",1388
"542",1393
"543",1394
"544",1395
"545",1397
"546",1398
"547",1399
"548",1400
"549",1403
"550",1404
"551",1407
"552",1410
"553",1411
"554",1412
"555",1413
"556",1414
"557",1416
"558",1417
"559",1418
"560",1419
"561",1420
"562",1421
"563",1429
"564",1433
"565",1434
"566",1438
"567",1444
"568",1447
"569",1453
"570",1454
"571",1459
"572",1461
"573",1463
"574",1469
"575",1475
"576",1478
"577",1481
"578",1484
"579",1486
"580",1488
"581",1489
"582",1490
"583",1491
"584",1492
"585",1496
"586",1499
"587",1514
"588",1516
"589",1517
"590",1522
"591",1529
"592",1530
"593",1531
"594",1532
"595",1535
"596",1536
"597",1538
"598",1541
"599",1543
"600",1545
"601",1548
"602",1550
"603",1553
"604",1561
"605",1562
"606",1563
"607",1564
"608",1566
"609",1567
"610",1574
"611",1583
"612",1590
"613",1593
"614",1595
"615",1597
"616",1599
"617",1600
"618",1601
"619",1606
"620",1608
"621",1610
"622",1612
"623",1617
"624",1621
"625",1626
"626",1629
"627",1632
"628",1633
"629",1635
"630",1638
"631",1643
"632",1644
"633",1645
"634",1648
"635",1652
"636",1653
"637",1654
"638",1656
"639",1660
"640",1662
"641",1665
"642",1669
"643",1671
"644",1672
"645",1674
"646",1675
"647",1676
"648",1678
"649",1682
"650",1686
"651",1692
"652",1693
"653",1699
"654",1700
"655",1701
"656",1705
"657",1713
"658",1714
"659",1716
"660",1720
"661",1722
"662",1732
"663",1736
"664",1737
"665",1744
"666",1745
"667",1751
"668",1757
"669",1758
"670",1765
"671",1766
"672",1770
"673",1771
"674",1774
"675",1776
"676",1779
"677",1780
"678",1781
"679",1782
"680",1790
"681",1791
"682",1792
"683",1797
"684",1798
"685",1811
"686",1813
"687",1831
"688",1832
"689",1837
"690",1838
"691",1840
"692",1842
"693",1853
"694",1856
"695",1863
"696",1866
"697",1868
"698",1869
"699",1872
"700",1874
"701",1881
"702",1884
"703",1885
"704",1886
"705",1888
"706",1889
"707",1890
"708",1893
"709",1898
"710",1899
"711",1918
"712",1922
"713",1924
"714",1931
"715",1932
"716",1952
"717",1958
"718",1961
"719",1967
"720",1969
"721",1970
"722",1971
"723",1973
"724",1976
"725",1978
"726",1980
"727",1981
"728",1988
"729",1990
"730",1993
"731",1996
"732",1997
"733",1998
"734",2000
"735",2001
"736",2002
"737",2007
"738",2013
"739",2014
"740",2017
"741",2018
"742",2021
"743",2022
"744",2023
"745",2024
"746",2026
"747",2032
"748",2033
"749",2037
"750",2040
"751",2041
"752",2042
"753",2044
"754",2047
"755",2048
"756",2055
"757",2056
"758",2057
"759",2058
"760",2059
"761",2061
"762",2066
"763",2067
"764",2068
"765",2073
"766",2075
"767",2083
"768",2084
"769",2086
"770",2088
"771",2090
"772",2093
"773",2099
"774",2102
"775",2106
"776",2107
"777",2109
"778",2111
"779",2114
"780",2124
"781",2125
"782",2129
"783",2135
"784",2138
"785",2140
"786",2142
"787",2147
"788",2153
"789",2157
"790",2159
"791",2161
"792",2162
"793",2164
"794",2166
"795",2167
"796",2169
"797",2172
"798",2173
"799",2175
"800",2179
"801",2181
"802",2190
"803",2197
"804",2198
"805",2200
"806",2201
"807",2205
"808",2209
"809",2211
"810",2212
"811",2214
"812",2215
"813",2216
"814",2220
"815",2221
"816",2222
"817",2223
"818",2225
"819",2226
"820",2228
"821",2235
"822",2236
"823",2240
"824",2241
"825",2246
"826",2255
"827",2256
"828",2257
"829",2264
"830",2265
"831",2266
"832",2270
"833",2273
"834",2274
"835",2275
"836",2276
"837",2279
"838",2281
"839",2287
"840",2290
"841",2291
"842",2293
"843",2295
"844",2299
"845",2300
"846",2301
"847",2305
"848",2306
"849",2309
"850",2313
"851",2316
"852",2319
"853",2325
"854",2330
"855",2331
"856",2336
"857",2337
"858",2338
"859",2339
"860",2342
"861",2345
"862",2346
"863",2347
"864",2348
"865",2350
"866",2351
"867",2352
"868",2355
"869",2358
"870",2361
"871",2365
"872",2368
"873",2369
"874",2370
"875",2377
"876",2382
"877",2384
"878",2387
"879",2388
"880",2389
"881",2390
"882",2394
"883",2396
"884",2397
"885",2399
"886",2400
"887",2404
"888",2406
"889",2407
"890",2408
"891",2410
"892",2411
"893",2414
"894",2415
"895",2418
"896",2421
"897",2422
"898",2425
"899",2426
"900",2427
"901",2428
"902",2429
"903",2434
"904",2435
"905",2436
"906",2437
"907",2439
"908",2442
"909",2447
"910",2448
"911",2450
"912",2451
"913",2468
"914",2471
"915",2473
"916",2474
"917",2477
"918",2478
"919",2480
"920",2481
"921",2482
"922",2483
"923",2484
"924",2486
"925",2487
"926",2489
"927",2492
"928",2500
"929",2502
"930",2504
"931",2507
"932",2510
"933",2513
"934",2521
"935",2522
"936",2532
"937",2533
"938",2534
"939",2535
"940",2538
"941",2539
"942",2542
"943",2546
"944",2547
"945",2548
"946",2551
"947",2557
"948",2558
"949",2561
"950",2566
"951",2568
"952",2573
"953",2577
"954",2578
"955",2582
"956",2586
"957",2604
"958",2606
"959",2607
"960",2610
"961",2612
"962",2613
"963",2614
"964",2622
"965",2623
"966",2625
"967",2631
"968",2635
"969",2636
"970",2638
