ID,t,A0,notFoundBySE
8,0.0,,
8,1.0,,
8,3.0,0.314577,
8,5.0,,
8,7.0,0.335384,
8,10.0,0.253872,
8,14.0,,
27,0.0,0.342869,
27,1.0,0.347342,
27,3.0,,
27,5.0,,
27,7.0,0.279417,
27,10.0,,
27,14.0,,
30,0.0,0.423622,
30,1.0,,
30,3.0,0.378588,
30,5.0,,
30,7.0,,
30,10.0,,
30,14.0,0.268253,
31,0.0,0.366136,
31,1.0,,
31,3.0,,
31,5.0,,
31,7.0,,
31,10.0,0.182803,
31,14.0,0.118476,
32,0.0,0.218449,
32,1.0,,
32,3.0,,
32,5.0,,
32,7.0,0.16976,
32,10.0,0.147367,
32,14.0,,
33,0.0,,
33,1.0,0.478434,
33,3.0,,
33,5.0,0.373823,
33,7.0,0.344252,
33,10.0,,
33,14.0,,
38,0.0,,
38,1.0,,
38,3.0,0.459393,
38,5.0,0.453162,
38,7.0,0.450968,
38,10.0,,
38,14.0,,
43,0.0,0.412909,
43,1.0,0.418833,
43,3.0,,
43,5.0,,
43,7.0,0.293863,
43,10.0,,
43,14.0,,
44,0.0,,
44,1.0,,
44,3.0,,
44,5.0,0.452728,
44,7.0,,
44,10.0,0.40349,
44,14.0,0.3047,
49,0.0,0.308191,
49,1.0,0.237885,
49,3.0,0.222276,
49,5.0,,
49,7.0,,
49,10.0,,
49,14.0,,
50,0.0,,
50,1.0,,
50,3.0,0.863602,
50,5.0,,
50,7.0,,
50,10.0,0.228676,
50,14.0,0.166088,
59,0.0,0.357902,
59,1.0,,
59,3.0,0.174945,
59,5.0,,
59,7.0,0.1965,
59,10.0,,
59,14.0,,
61,0.0,,
61,1.0,0.411121,
61,3.0,,
61,5.0,,
61,7.0,,
61,10.0,0.0843124,
61,14.0,0.436645,
62,0.0,,
62,1.0,0.497763,
62,3.0,,
62,5.0,0.208374,
62,7.0,,
62,10.0,0.23324,
62,14.0,,
68,0.0,0.691682,
68,1.0,,
68,3.0,0.406124,
68,5.0,,
68,7.0,,
68,10.0,,
