"","d0","d1","d3","d5","d7","d10","d14"
"1",0.342869,0.347342,0.314577,0.373823,0.335384,0.253872,0.268253
"2",0.342869,0.347342,0.314577,0.373823,0.279417,0.253872,0.268253
"3",0.423622,0.347342,0.378588,0.373823,0.335384,0.253872,0.268253
"4",0.366136,0.347342,0.314577,0.373823,0.30551,0.182803,0.118476
"5",0.218449,0.347342,0.314577,0.373823,0.16976,0.147367,0.268253
"6",0.342869,0.478434,0.314577,0.373823,0.344252,0.253872,0.268253
"7",0.342869,0.347342,0.459393,0.453162,0.450968,0.253872,0.268253
"8",0.412909,0.418833,0.314577,0.373823,0.293863,0.253872,0.268253
"9",0.342869,0.347342,0.314577,0.452728,0.335384,0.40349,0.3047
"10",0.308191,0.237885,0.222276,0.373823,0.335384,0.253872,0.268253
"11",0.342869,0.347342,0.863602,0.373823,0.335384,0.228676,0.166088
"12",0.357902,0.347342,0.174945,0.373823,0.1965,0.253872,0.268253
"13",0.342869,0.411121,0.314577,0.373823,0.335384,0.0843124,0.436645
"14",0.342869,0.497763,0.314577,0.208374,0.335384,0.23324,0.268253
"15",0.691682,0.347342,0.406124,0.373823,0.335384,0.253872,0.454093
"16",0.285546,0.233023,0.314577,0.238106,0.335384,0.253872,0.268253
"17",0.342869,0.374083,0.314577,0.373823,0.217994,0.253872,0.144815
"18",0.342869,0.347342,0.314577,0.29772,0.275611,0.239471,0.268253
"19",0.451009,0.347342,0.314577,0.270663,0.335384,0.533291,0.127571
"20",0.342869,0.374714,0.261811,0.209947,0.335384,0.253872,0.268253
"21",0.304865,0.308946,0.244596,0.373823,0.335384,0.253872,0.268253
"22",0.294276,0.347342,0.314577,0.233544,0.335384,0.15811,0.268253
"23",0.342869,0.281968,0.314577,0.373823,0.335384,0.580174,0.0387595
"24",0.528899,0.347342,0.314577,0.491666,0.468628,0.253872,0.268253
"25",0.534555,0.347342,0.280466,0.373823,0.335384,0.253872,0.997746
"26",0.342869,0.317496,0.314577,0.331796,0.335384,0.32023,0.268253
"27",0.342869,0.363475,0.314577,0.373823,0.227052,0.253872,0.19659
"28",0.342869,0.180285,0.307507,0.378221,0.189484,0.253872,0.20887
"29",0.492658,0.463383,0.314577,0.373823,0.406184,0.253872,0.268253
"30",0.56435,0.387708,0.314577,0.373823,0.335384,0.291346,0.238979
"31",0.342869,0.381537,0.314577,0.373823,0.335384,0.283963,0.242914
"32",0.342869,0.552124,0.314577,0.373823,0.469989,0.441819,0.268253
"33",0.342869,0.347342,0.511457,0.992383,0.491085,0.253872,0.268253
"34",0.342869,0.347342,0.282974,0.373823,0.335384,0.37713,0.281829
"35",0.346667,0.347342,0.314577,0.22658,0.335384,0.239427,0.268253
"36",0.342869,0.347342,0.314577,0.369817,0.346302,0.253872,0.256178
"37",0.301487,0.347342,0.314577,0.293385,0.256885,0.253872,0.268253
"38",0.342869,0.292974,0.322947,0.373823,0.282805,0.253872,0.268253
"39",0.342869,0.577964,0.314577,0.489095,0.335384,0.253872,0.433928
"40",0.573076,0.621867,0.314577,0.373823,0.248097,0.253872,0.268253
"41",0.342869,0.417356,0.314577,0.381665,0.362986,0.253872,0.268253
"42",0.342869,0.435908,0.324801,0.373823,0.409417,0.253872,0.268253
"43",0.342869,0.347342,0.55829,0.527329,0.487099,0.253872,0.268253
"44",0.302087,0.347342,0.314577,0.53951,0.335384,0.476128,0.268253
"45",0.342869,0.347342,0.314577,0.373823,0.314381,0.262947,0.156861
"46",0.612016,0.264534,0.314577,0.373823,0.335384,0.253872,0.435029
"47",0.363923,0.347342,0.314577,0.373823,0.234512,0.253872,0.156684
"48",0.342869,0.562652,0.314577,0.360068,0.348355,0.253872,0.268253
"49",0.497071,0.347342,0.314577,0.374273,0.335384,0.284333,0.268253
"50",0.342869,0.419554,0.314577,0.235564,0.335384,0.253872,0.133533
"51",0.163851,0.171587,0.314577,0.131385,0.335384,0.253872,0.268253
"52",0.336952,0.347342,0.314577,0.259698,0.224547,0.253872,0.268253
"53",0.342869,0.343382,0.299152,0.254549,0.335384,0.253872,0.268253
"54",0.437262,0.347342,0.314577,0.287593,0.335384,0.194772,0.268253
"55",0.480195,0.347342,0.646409,0.373823,0.335384,0.359299,0.268253
"56",0.364185,0.347342,0.302015,0.373823,0.335384,0.253872,0.114805
"57",0.342869,0.347342,0.198409,0.373823,0.189527,0.166776,0.268253
"58",0.342869,0.347342,0.417319,0.373823,0.333045,0.281995,0.268253
"59",0.342869,0.373537,0.314577,0.373823,0.25094,0.253872,0.179021
