"","x"
"1",5
"2",9
"3",16
"4",18
"5",20
"6",26
"7",28
"8",30
"9",31
"10",35
"11",39
"12",41
"13",43
"14",45
"15",48
"16",58
"17",63
"18",65
"19",70
"20",76
"21",77
"22",78
"23",80
"24",83
"25",85
"26",86
"27",89
"28",91
"29",93
"30",110
"31",111
"32",112
"33",113
"34",114
"35",115
"36",116
"37",118
"38",119
"39",123
"40",124
"41",125
"42",128
"43",130
"44",131
"45",134
"46",138
"47",141
"48",145
"49",148
"50",150
"51",151
"52",156
"53",159
"54",160
"55",162
"56",168
"57",169
"58",170
"59",171
"60",172
"61",174
"62",175
"63",177
"64",178
"65",180
"66",181
"67",185
"68",186
"69",188
"70",189
"71",192
"72",197
"73",199
"74",200
"75",201
"76",202
"77",208
"78",213
"79",215
"80",216
"81",217
"82",222
"83",223
"84",225
"85",227
"86",228
"87",232
"88",233
"89",234
"90",235
"91",237
"92",240
"93",241
"94",248
"95",249
"96",252
"97",254
"98",258
"99",263
"100",266
"101",281
"102",283
"103",286
"104",287
"105",292
"106",294
"107",298
"108",300
"109",301
"110",302
"111",304
"112",307
"113",311
"114",313
"115",314
"116",317
"117",318
"118",321
"119",323
"120",329
"121",330
"122",331
"123",333
"124",334
"125",347
"126",350
"127",351
"128",352
"129",357
"130",359
"131",361
"132",363
"133",365
"134",368
"135",369
"136",371
"137",372
"138",375
"139",376
"140",377
"141",378
"142",379
"143",380
"144",381
"145",382
"146",385
"147",386
"148",387
"149",392
"150",393
"151",395
"152",397
"153",398
"154",401
"155",402
"156",403
"157",405
"158",409
"159",410
"160",413
"161",415
"162",416
"163",425
"164",427
"165",429
"166",430
"167",431
"168",433
"169",436
"170",438
"171",439
"172",446
"173",448
"174",452
"175",455
"176",460
"177",465
"178",466
"179",468
"180",469
"181",470
"182",471
"183",472
"184",478
"185",479
"186",482
"187",483
"188",485
"189",486
"190",490
"191",491
"192",494
"193",498
"194",501
"195",503
"196",505
"197",506
"198",510
"199",516
"200",517
"201",518
"202",519
"203",520
"204",522
"205",524
"206",525
"207",526
"208",529
"209",533
"210",534
"211",538
"212",540
"213",541
"214",544
"215",546
"216",548
"217",549
"218",550
"219",553
"220",554
"221",555
"222",556
"223",557
"224",561
"225",565
"226",568
"227",569
"228",580
"229",581
"230",582
"231",583
"232",584
"233",587
"234",588
"235",596
"236",609
"237",615
"238",625
"239",627
"240",628
"241",629
"242",631
"243",634
"244",637
"245",638
"246",639
"247",641
"248",642
"249",643
"250",644
"251",645
"252",646
"253",647
"254",648
"255",652
"256",653
"257",656
"258",659
"259",665
"260",667
"261",668
"262",669
"263",670
"264",671
"265",672
"266",674
"267",676
"268",677
"269",678
"270",681
"271",682
"272",684
"273",685
"274",687
"275",689
"276",692
"277",697
"278",698
"279",699
"280",700
"281",702
"282",705
"283",708
"284",710
"285",713
"286",714
"287",725
"288",728
"289",735
"290",736
"291",737
"292",739
"293",746
"294",747
"295",757
"296",768
"297",773
"298",775
"299",777
"300",778
"301",786
"302",787
"303",793
"304",796
"305",797
"306",802
"307",803
"308",805
"309",806
"310",807
"311",808
"312",809
"313",812
"314",814
"315",815
"316",817
"317",818
"318",819
"319",820
"320",822
"321",824
"322",825
"323",827
"324",840
"325",842
"326",847
"327",849
"328",853
"329",865
"330",869
"331",876
"332",877
"333",878
"334",882
"335",884
"336",885
"337",892
"338",894
"339",897
"340",901
"341",905
"342",908
"343",909
"344",914
"345",918
"346",921
"347",922
"348",923
"349",927
"350",932
"351",934
"352",937
"353",941
"354",945
"355",946
"356",947
"357",948
"358",952
"359",953
"360",954
"361",955
"362",958
"363",959
"364",961
"365",962
"366",969
"367",970
"368",983
"369",991
"370",992
"371",993
"372",994
"373",995
"374",996
"375",997
"376",999
"377",1003
"378",1004
"379",1005
"380",1006
"381",1011
"382",1012
"383",1021
"384",1024
"385",1026
"386",1029
"387",1033
"388",1034
"389",1035
"390",1039
"391",1040
"392",1041
"393",1042
"394",1043
"395",1044
"396",1057
"397",1058
"398",1061
"399",1072
"400",1081
"401",1083
"402",1084
"403",1087
"404",1090
"405",1097
"406",1102
"407",1104
"408",1106
"409",1110
"410",1114
"411",1115
"412",1117
"413",1118
"414",1120
"415",1122
"416",1123
"417",1126
"418",1127
"419",1130
"420",1131
"421",1138
"422",1141
"423",1142
"424",1152
"425",1156
"426",1158
"427",1159
"428",1161
"429",1162
"430",1165
"431",1167
"432",1168
"433",1169
"434",1170
"435",1171
"436",1173
"437",1174
"438",1177
"439",1178
"440",1182
"441",1185
"442",1188
"443",1191
"444",1192
"445",1193
"446",1194
"447",1197
"448",1198
"449",1199
"450",1201
"451",1203
"452",1204
"453",1206
"454",1208
"455",1210
"456",1212
"457",1215
"458",1216
