ID	t	A0	notFoundBySE
0	0.00000	0.211994	
0	1.00000	0.180540	
0	3.00000	0.202733	
0	10.0000	0.208819	
1	0.00000	0.351625	
1	1.00000	0.297794	
1	3.00000	0.299003	
1	7.00000	0.259464	
1	10.0000	0.244102	
1	14.0000	0.200829	
2	0.00000	0.313221	
2	1.00000	0.298541	
2	3.00000	0.283871	
2	10.0000	0.237224	
3	0.00000	0.336653	
3	3.00000	0.0400900	
3	5.00000	0.0518133	
3	7.00000	0.0390746	
3	10.0000	0.395776	
3	14.0000	0.0300686	
4	1.00000	0.286678	
4	5.00000	0.218213	
4	7.00000	0.261028	
4	14.0000	0.216268	
5	0.00000	0.474879	
5	1.00000	0.600499	
5	3.00000	0.554603	
5	5.00000	0.349609	
5	7.00000	0.315781	
5	10.0000	0.577427	
5	14.0000	0.231228	
6	3.00000	0.201963	
6	7.00000	0.190856	
6	10.0000	0.310343	
6	14.0000	0.146077	
7	0.00000	0.424631	
7	3.00000	0.224169	
7	10.0000	0.198203	
7	14.0000	0.107923	
8	0.00000	0.393331	
8	3.00000	0.330768	
8	5.00000	0.289148	
8	7.00000	0.272823	
9	0.00000	0.380083	
9	1.00000	0.238474	
9	3.00000	0.251740	
9	5.00000	0.153474	
9	7.00000	0.188807	
9	10.0000	0.434200	
9	14.0000	0.122084	
10	1.00000	0.225086	
10	3.00000	0.306530	
10	5.00000	0.259675	
10	7.00000	0.283445	
10	10.0000	0.192842	
10	14.0000	0.135273	
11	0.00000	0.267356	
11	3.00000	0.333137	
11	7.00000	0.216227	
11	10.0000	0.204702	
12	0.00000	0.225030	
12	1.00000	0.266345	
12	3.00000	0.233999	
12	5.00000	0.162073	
12	14.0000	0.139510	
13	0.00000	0.557026	
13	3.00000	0.531050	
13	7.00000	0.419381	
13	10.0000	0.471868	
13	14.0000	0.363543	
14	0.00000	0.286089	
14	1.00000	0.294808	
14	3.00000	0.267273	
14	5.00000	0.337982	
14	14.0000	0.0922113	
15	0.00000	0.391879	
15	1.00000	0.329538	
15	7.00000	0.171945	
15	10.0000	0.136756	
16	0.00000	0.404094	
16	1.00000	0.312126	
16	3.00000	0.222334	
16	5.00000	0.181093	
16	7.00000	0.197969	
16	10.0000	0.274631	
16	14.0000	0.161331	
17	0.00000	0.524734	
17	1.00000	0.514046	
17	10.0000	0.468466	
17	14.0000	0.279714	
18	0.00000	0.440690	
18	1.00000	0.432718	
18	3.00000	0.361286	
18	5.00000	0.363378	
18	7.00000	0.272912	
18	10.0000	0.0517931	
18	14.0000	0.182540	
19	0.00000	0.585102	
19	1.00000	0.517302	
19	3.00000	0.450816	
19	7.00000	0.349593	
20	0.00000	0.545136	
20	1.00000	0.426187	
20	3.00000	0.247035	
20	5.00000	0.188458	
20	7.00000	0.230381	
20	10.0000	0.196893	
20	14.0000	0.145927	
21	0.00000	0.521699	
21	1.00000	0.274930	
21	5.00000	0.207064	
21	10.0000	0.297831	
22	0.00000	0.339238	
22	3.00000	0.0926010	
22	7.00000	0.0855183	
22	10.0000	0.475934	
22	14.0000	0.145816	
23	1.00000	0.168942	
23	3.00000	0.167747	
23	5.00000	0.138294	
23	7.00000	0.134477	
23	10.0000	0.148957	
23	14.0000	0.0937234	
24	0.00000	0.313348	
24	1.00000	0.356812	
24	3.00000	0.264702	
24	5.00000	0.282479	
24	10.0000	0.230114	
24	14.0000	0.166254	
25	0.00000	0.468014	
25	1.00000	0.438363	
25	3.00000	0.384166	
25	5.00000	0.351169	
25	10.0000	0.298455	
25	14.0000	0.271441	
26	0.00000	0.342869	
26	1.00000	0.335679	
