ID,t,A0,notFoundBySE
5,0.0,0.474879,
5,1.0,0.600499,
5,3.0,0.554603,
5,5.0,0.349609,
5,7.0,0.315781,
5,10.0,0.577427,
5,14.0,0.231228,
9,0.0,0.380083,
9,1.0,0.238474,
9,3.0,0.25174,
9,5.0,0.153474,
9,7.0,0.188807,
9,10.0,0.4342,
9,14.0,0.122084,
16,0.0,0.404094,
16,1.0,0.312126,
16,3.0,0.222334,
16,5.0,0.181093,
16,7.0,0.197969,
16,10.0,0.274631,
16,14.0,0.161331,
18,0.0,0.44069,
18,1.0,0.432718,
18,3.0,0.361286,
18,5.0,0.363378,
18,7.0,0.272912,
18,10.0,0.0517931,
18,14.0,0.18254,
20,0.0,0.545136,
20,1.0,0.426187,
20,3.0,0.247035,
20,5.0,0.188458,
20,7.0,0.230381,
20,10.0,0.196893,
20,14.0,0.145927,
26,0.0,0.342869,
26,1.0,0.335679,
26,3.0,0.288302,
26,5.0,0.279414,
26,7.0,0.28291,
26,10.0,0.328541,
26,14.0,0.197507,
28,0.0,0.423622,
28,1.0,0.399884,
28,3.0,0.376832,
28,5.0,0.411285,
28,7.0,0.326032,
28,10.0,0.284224,
28,14.0,0.248356,
30,0.0,0.218449,
30,1.0,0.215707,
30,3.0,0.208004,
30,5.0,0.170426,
30,7.0,0.148777,
30,10.0,0.257591,
30,14.0,0.112604,
31,0.0,0.491341,
31,1.0,0.457279,
31,3.0,0.373954,
31,5.0,0.309319,
31,7.0,0.339256,
31,10.0,0.270195,
31,14.0,0.21235,
35,0.0,0.502831,
35,1.0,0.500081,
35,3.0,0.362374,
35,5.0,0.375909,
35,7.0,0.41385,
35,10.0,0.339989,
35,14.0,0.326309,
39,0.0,0.367656,
39,1.0,0.549716,
39,3.0,0.529289,
39,5.0,0.508479,
39,7.0,0.493944,
39,10.0,0.470337,
39,14.0,0.467756,
41,0.0,0.515715,
41,1.0,0.738578,
41,3.0,0.364427,
41,5.0,0.410395,
41,7.0,0.360437,
41,10.0,0.432139,
41,14.0,0.30442,
43,0.0,0.417691,
43,1.0,0.395711,
43,3.0,0.370567,
43,5.0,0.307359,
43,7.0,0.32515,
43,10.0,0.480597,
43,14.0,0.256617,
45,0.0,0.308191,
45,1.0,0.158559,
45,3.0,0.162297,
45,5.0,0.144056,
45,7.0,0.138173,
45,10.0,0.229702,
45,14.0,0.0837235,
48,0.0,0.455275,
48,1.0,0.314309,
48,3.0,0.767337,
48,5.0,0.225971,
48,7.0,0.259643,
48,10.0,0.197941,
48,14.0,0.136249,
58,0.0,0.357902,
58,1.0,0.238521,
58,3.0,0.280617,
58,5.0,0.231948,
