ID,t,A0,notFoundBySE
5,0.0,0.474879,
5,1.0,,
5,3.0,0.554603,
5,5.0,0.349609,
5,7.0,,
5,10.0,0.577427,
5,14.0,,
9,0.0,0.380083,
9,1.0,0.238474,
9,3.0,0.25174,
9,5.0,,
9,7.0,0.188807,
9,10.0,,
9,14.0,,
16,0.0,0.404094,
16,1.0,,
16,3.0,0.222334,
16,5.0,0.181093,
16,7.0,,
16,10.0,,
16,14.0,0.161331,
18,0.0,0.44069,
18,1.0,,
18,3.0,0.361286,
18,5.0,0.363378,
18,7.0,,
18,10.0,,
18,14.0,0.18254,
20,0.0,0.545136,
20,1.0,,
20,3.0,0.247035,
20,5.0,0.188458,
20,7.0,,
20,10.0,,
20,14.0,0.145927,
26,0.0,,
26,1.0,0.335679,
26,3.0,,
26,5.0,0.279414,
26,7.0,0.28291,
26,10.0,0.328541,
26,14.0,,
28,0.0,,
28,1.0,0.399884,
28,3.0,,
28,5.0,0.411285,
28,7.0,0.326032,
28,10.0,,
28,14.0,0.248356,
30,0.0,0.218449,
30,1.0,0.215707,
30,3.0,,
30,5.0,,
30,7.0,0.148777,
30,10.0,0.257591,
30,14.0,,
31,0.0,,
31,1.0,0.457279,
31,3.0,0.373954,
31,5.0,,
31,7.0,0.339256,
31,10.0,,
31,14.0,0.21235,
35,0.0,,
35,1.0,0.500081,
35,3.0,,
35,5.0,0.375909,
35,7.0,0.41385,
35,10.0,,
35,14.0,0.326309,
39,0.0,,
39,1.0,0.549716,
39,3.0,,
39,5.0,0.508479,
39,7.0,,
39,10.0,0.470337,
39,14.0,0.467756,
41,0.0,,
41,1.0,0.738578,
41,3.0,0.364427,
41,5.0,0.410395,
41,7.0,,
41,10.0,,
41,14.0,0.30442,
43,0.0,0.417691,
43,1.0,,
43,3.0,0.370567,
43,5.0,0.307359,
43,7.0,,
43,10.0,0.480597,
43,14.0,,
45,0.0,,
45,1.0,,
45,3.0,,
45,5.0,0.144056,
45,7.0,0.138173,
45,10.0,0.229702,
45,14.0,0.0837235,
48,0.0,0.455275,
48,1.0,,
48,3.0,,
48,5.0,0.225971,
48,7.0,0.259643,
48,10.0,0.197941,
48,14.0,,
58,0.0,0.357902,
58,1.0,,
58,3.0,,
58,5.0,0.231948,
58,7.0,,
58,10.0,0.1213,
58,14.0,0.0917805,
63,0.0,,
63,1.0,0.279855,
63,3.0,0.327973,
63,5.0,,
63,7.0,0.372244,
63,10.0,,
63,14.0,0.127363,
65,0.0,0.54257,
65,1.0,,
65,3.0,0.409677,
65,5.0,,
65,7.0,0.345629,
65,10.0,0.31981,
65,14.0,,
70,0.0,,
70,1.0,,
70,3.0,0.589472,
70,5.0,,
70,7.0,0.53545,
70,10.0,0.226308,
70,14.0,0.434905,
76,0.0,,
76,1.0,0.37225,
76,3.0,,
76,5.0,0.221205,
76,7.0,0.224486,
76,10.0,,
76,14.0,0.136647,
77,0.0,,
77,1.0,,
77,3.0,0.233435,
77,5.0,0.154234,
77,7.0,,
77,10.0,0.651199,
77,14.0,0.111253,
78,0.0,0.325424,
78,1.0,,
78,3.0,0.213264,
78,5.0,0.172931,
78,7.0,,
78,10.0,0.482897,
78,14.0,,
80,0.0,,
80,1.0,0.365191,
80,3.0,,
80,5.0,,
80,7.0,0.318173,
80,10.0,0.233282,
80,14.0,0.193629,
83,0.0,0.451009,
83,1.0,0.54411,
83,3.0,,
83,5.0,,
83,7.0,,
83,10.0,0.201426,
83,14.0,0.136862,
85,0.0,0.441915,
85,1.0,0.339945,
85,3.0,,
85,5.0,0.185036,
85,7.0,,
85,10.0,0.144066,
85,14.0,,
86,0.0,0.501589,
86,1.0,,
86,3.0,,
86,5.0,,
86,7.0,0.275085,
86,10.0,0.218593,
86,14.0,0.324405,
89,0.0,,
89,1.0,0.362546,
89,3.0,0.225906,
89,5.0,0.281344,
89,7.0,,
89,10.0,0.141977,
89,14.0,,
91,0.0,0.309842,
91,1.0,0.250919,
91,3.0,0.180488,
91,5.0,,
91,7.0,,
91,10.0,,
91,14.0,0.0630832,
93,0.0,,
93,1.0,,
93,3.0,0.508905,
93,5.0,0.422724,
93,7.0,,
93,10.0,0.118035,
93,14.0,0.429189,
110,0.0,0.340553,
110,1.0,0.35177,
110,3.0,,
110,5.0,0.288673,
110,7.0,,
110,10.0,0.0682913,
110,14.0,,
111,0.0,,
111,1.0,0.416705,
111,3.0,0.358974,
111,5.0,0.199825,
111,7.0,,
111,10.0,,
111,14.0,0.255993,
112,0.0,,
112,1.0,,
112,3.0,0.440109,
112,5.0,,
112,7.0,0.382913,
112,10.0,0.353393,
112,14.0,0.280767,
113,0.0,,
113,1.0,,
113,3.0,0.570466,
113,5.0,0.526684,
113,7.0,,
113,10.0,0.507221,
113,14.0,0.470202,
114,0.0,,
114,1.0,,
114,3.0,,
114,5.0,0.312871,
114,7.0,0.312004,
114,10.0,0.29993,
114,14.0,0.261175,
115,0.0,0.419145,
115,1.0,,
115,3.0,,
115,5.0,,
115,7.0,0.318191,
115,10.0,0.287527,
115,14.0,0.238826,
116,0.0,,
116,1.0,0.379035,
116,3.0,0.563664,
116,5.0,,
116,7.0,,
116,10.0,0.273766,
116,14.0,0.334572,
118,0.0,,
118,1.0,0.430204,
118,3.0,0.541444,
118,5.0,0.473598,
118,7.0,,
118,10.0,,
118,14.0,0.228064,
119,0.0,0.417472,
119,1.0,,
119,3.0,0.43143,
119,5.0,0.380717,
119,7.0,0.451845,
119,10.0,,
119,14.0,,
123,0.0,,
123,1.0,0.432187,
123,3.0,0.391356,
123,5.0,,
123,7.0,,
123,10.0,0.27431,
123,14.0,0.223324,
124,0.0,,
124,1.0,0.312932,
124,3.0,0.286998,
124,5.0,,
124,7.0,0.283703,
124,10.0,,
124,14.0,0.228607,
125,0.0,0.491777,
125,1.0,0.497416,
125,3.0,0.491615,
125,5.0,,
125,7.0,0.488905,
125,10.0,,
125,14.0,,
128,0.0,,
128,1.0,0.376858,
128,3.0,,
128,5.0,,
128,7.0,0.349685,
128,10.0,0.328059,
128,14.0,0.312174,
130,0.0,,
130,1.0,0.564439,
130,3.0,0.556791,
130,5.0,,
130,7.0,0.510774,
130,10.0,,
130,14.0,0.34722,
131,0.0,0.310455,
131,1.0,,
131,3.0,,
131,5.0,0.256293,
131,7.0,0.260675,
131,10.0,,
131,14.0,0.195136,
134,0.0,0.302087,
134,1.0,,
134,3.0,,
134,5.0,,
134,7.0,0.220917,
134,10.0,0.0716702,
134,14.0,0.445637,
138,0.0,0.355567,
138,1.0,,
138,3.0,0.458766,
138,5.0,0.0957185,
138,7.0,0.103621,
138,10.0,,
138,14.0,,
141,0.0,0.512278,
141,1.0,0.173286,
141,3.0,0.320553,
141,5.0,,
141,7.0,,
141,10.0,,
141,14.0,0.238145,
145,0.0,,
145,1.0,0.454735,
145,3.0,0.593986,
145,5.0,,
145,7.0,0.334413,
145,10.0,0.302115,
145,14.0,,
148,0.0,0.42951,
148,1.0,,
148,3.0,,
148,5.0,0.275708,
148,7.0,,
148,10.0,0.225082,
148,14.0,0.171208,
150,0.0,,
150,1.0,,
150,3.0,,
150,5.0,0.156538,
150,7.0,0.214488,
150,10.0,0.125322,
150,14.0,0.0867113,
151,0.0,0.349384,
151,1.0,0.319638,
151,3.0,,
151,5.0,,
151,7.0,0.266673,
151,10.0,0.166625,
151,14.0,,
156,0.0,,
156,1.0,,
156,3.0,0.294337,
156,5.0,,
156,7.0,0.241751,
156,10.0,0.194453,
156,14.0,0.148614,
159,0.0,0.480195,
159,1.0,,
159,3.0,,
159,5.0,,
159,7.0,0.392181,
159,10.0,0.358768,
159,14.0,0.314835,
160,0.0,0.364185,
160,1.0,0.312775,
160,3.0,0.252295,
160,5.0,,
160,7.0,,
160,10.0,0.171055,
160,14.0,,
162,0.0,0.51614,
162,1.0,,
162,3.0,0.436559,
162,5.0,0.379366,
162,7.0,,
162,10.0,0.300623,
162,14.0,,
168,0.0,0.394539,
168,1.0,,
168,3.0,0.338374,
168,5.0,,
168,7.0,0.265273,
168,10.0,,
168,14.0,0.152336,
169,0.0,0.391133,
169,1.0,,
169,3.0,0.355595,
169,5.0,,
169,7.0,0.358113,
169,10.0,0.321056,
169,14.0,,
170,0.0,0.241176,
170,1.0,,
170,3.0,0.195815,
