"","d0","d1","d3","d5","d7","d10","d14"
"1",0.342869,0.215707,0.554603,0.363378,0.188807,0.274631,0.231228
"2",0.342869,0.215707,0.554603,0.363378,0.188807,0.274631,0.122084
"3",0.342869,0.215707,0.222334,0.363378,0.188807,0.274631,0.231228
"4",0.342869,0.215707,0.554603,0.363378,0.272912,0.274631,0.231228
"5",0.342869,0.215707,0.554603,0.363378,0.230381,0.196893,0.231228
"6",0.342869,0.215707,0.554603,0.363378,0.188807,0.328541,0.231228
"7",0.423622,0.215707,0.554603,0.363378,0.326032,0.274631,0.231228
"8",0.342869,0.215707,0.554603,0.363378,0.148777,0.274631,0.231228
"9",0.342869,0.215707,0.554603,0.345529,0.339256,0.270195,0.231228
"10",0.342869,0.215707,0.554603,0.375909,0.188807,0.339989,0.231228
"11",0.342869,0.215707,0.554603,0.363378,0.493944,0.470337,0.231228
"12",0.342869,0.215707,0.364427,0.363378,0.360437,0.274631,0.231228
"13",0.342869,0.395711,0.370567,0.363378,0.188807,0.274631,0.231228
"14",0.342869,0.158559,0.554603,0.363378,0.188807,0.229702,0.231228
"15",0.342869,0.215707,0.554603,0.363378,0.259643,0.274631,0.136249
"16",0.357902,0.215707,0.554603,0.231948,0.188807,0.274631,0.231228
"17",0.340449,0.215707,0.554603,0.31359,0.188807,0.274631,0.231228
"18",0.54257,0.215707,0.409677,0.363378,0.188807,0.274631,0.231228
"19",0.342869,0.631444,0.554603,0.363378,0.188807,0.274631,0.434905
"20",0.342869,0.215707,0.554603,0.363378,0.188807,0.181951,0.136647
"21",0.342869,0.215707,0.554603,0.363378,0.173462,0.274631,0.111253
"22",0.342869,0.215707,0.554603,0.363378,0.158481,0.482897,0.231228
"23",0.342869,0.215707,0.554603,0.275124,0.188807,0.274631,0.193629
"24",0.342869,0.54411,0.554603,0.363378,0.319819,0.274631,0.231228
"25",0.342869,0.215707,0.554603,0.185036,0.188807,0.274631,0.145713
"26",0.342869,0.215707,0.338012,0.363378,0.188807,0.218593,0.231228
"27",0.342869,0.215707,0.554603,0.281344,0.188807,0.141977,0.231228
"28",0.342869,0.215707,0.554603,0.128489,0.188807,0.274631,0.0630832
"29",0.342869,0.373392,0.554603,0.422724,0.188807,0.274631,0.231228
"30",0.342869,0.215707,0.314983,0.288673,0.188807,0.274631,0.231228
"31",0.342869,0.215707,0.554603,0.363378,0.344545,0.274631,0.255993
"32",0.342869,0.457561,0.440109,0.363378,0.188807,0.274631,0.231228
"33",0.342869,0.588194,0.570466,0.363378,0.188807,0.274631,0.231228
"34",0.342869,0.215707,0.554603,0.363378,0.312004,0.29993,0.231228
