"","x"
"1",4
"2",16
"3",17
"4",33
"5",35
"6",43
"7",45
"8",47
"9",50
"10",58
"11",64
"12",69
"13",71
"14",75
"15",81
"16",90
"17",94
"18",95
"19",98
"20",106
"21",107
"22",108
"23",110
"24",112
"25",123
"26",124
"27",125
"28",126
"29",127
"30",128
"31",131
"32",134
"33",135
"34",136
"35",137
"36",138
"37",139
"38",141
"39",142
"40",143
"41",154
"42",157
"43",159
"44",162
"45",163
"46",165
"47",166
"48",167
"49",169
"50",180
"51",183
"52",184
"53",186
"54",187
"55",190
"56",193
"57",194
"58",199
"59",200
"60",201
"61",202
"62",206
"63",207
"64",209
"65",213
"66",215
"67",217
"68",218
"69",219
"70",220
"71",228
"72",234
"73",235
"74",237
"75",238
"76",239
"77",242
"78",244
"79",245
"80",246
"81",248
"82",254
"83",255
"84",257
"85",263
"86",264
"87",266
"88",267
"89",269
"90",271
"91",273
"92",282
"93",283
"94",293
"95",300
"96",310
"97",312
"98",313
"99",316
"100",317
"101",319
"102",321
"103",326
"104",331
"105",335
"106",338
"107",339
"108",347
"109",351
"110",359
"111",370
"112",372
"113",373
"114",375
"115",376
"116",383
"117",384
"118",385
"119",388
"120",391
"121",397
"122",398
"123",399
"124",406
"125",407
"126",409
"127",410
"128",412
"129",417
"130",418
"131",420
"132",421
"133",422
"134",423
"135",424
"136",425
"137",428
"138",429
"139",431
"140",432
"141",437
"142",439
"143",440
"144",444
"145",446
"146",447
"147",448
"148",451
"149",454
"150",457
"151",458
"152",463
"153",464
"154",466
"155",468
"156",470
"157",474
"158",476
"159",477
"160",480
"161",484
"162",485
"163",486
"164",488
"165",491
"166",494
"167",495
"168",496
"169",498
"170",499
"171",501
"172",502
"173",505
"174",506
"175",507
"176",512
"177",513
"178",515
"179",518
"180",519
"181",520
"182",521
"183",522
"184",524
"185",525
"186",530
"187",531
"188",532
"189",533
"190",536
"191",537
"192",538
"193",540
"194",541
"195",543
"196",546
"197",547
"198",548
"199",552
"200",553
"201",560
"202",561
"203",562
"204",564
"205",565
"206",566
"207",567
"208",568
"209",571
"210",573
"211",575
"212",576
"213",577
"214",579
"215",580
"216",581
"217",582
"218",591
"219",593
"220",594
"221",595
"222",607
"223",608
"224",640
"225",646
"226",647
"227",648
"228",654
"229",655
"230",657
"231",658
"232",661
"233",665
"234",667
"235",669
"236",670
"237",671
"238",676
"239",677
"240",682
"241",685
"242",686
"243",688
"244",693
"245",697
"246",699
"247",701
"248",704
"249",709
"250",716
"251",728
"252",729
"253",732
"254",734
"255",736
"256",743
"257",746
"258",748
"259",751
"260",768
"261",770
"262",776
"263",777
"264",782
"265",783
"266",792
"267",797
"268",798
"269",801
"270",812
"271",814
"272",829
"273",831
"274",841
"275",849
"276",851
"277",852
"278",855
"279",858
"280",859
"281",867
"282",868
"283",870
"284",871
"285",872
"286",874
"287",878
"288",883
"289",888
"290",898
"291",899
"292",908
"293",913
"294",915
"295",923
"296",929
"297",934
"298",935
"299",945
"300",950
"301",951
"302",956
"303",957
"304",959
"305",960
"306",967
"307",969
"308",970
"309",971
"310",977
"311",978
"312",979
"313",984
"314",988
"315",989
"316",991
"317",992
"318",995
"319",1004
"320",1007
"321",1008
"322",1010
"323",1011
"324",1014
"325",1017
"326",1031
"327",1046
"328",1047
"329",1050
"330",1054
"331",1055
"332",1057
"333",1059
"334",1060
"335",1061
"336",1065
"337",1067
"338",1069
"339",1071
"340",1075
"341",1076
"342",1080
"343",1082
"344",1084
"345",1086
"346",1087
"347",1088
"348",1090
"349",1098
"350",1102
"351",1106
"352",1113
"353",1124
"354",1146
"355",1148
"356",1149
"357",1151
"358",1154
"359",1165
"360",1166
"361",1168
"362",1173
"363",1175
"364",1182
"365",1184
"366",1185
"367",1188
"368",1190
"369",1192
"370",1204
"371",1206
"372",1209
"373",1215
"374",1219
"375",1226
"376",1232
"377",1233
"378",1240
"379",1244
"380",1248
"381",1249
"382",1255
"383",1256
"384",1258
"385",1262
"386",1264
"387",1269
"388",1271
"389",1272
"390",1273
"391",1275
"392",1276
"393",1280
"394",1282
"395",1283
"396",1285
"397",1286
"398",1288
"399",1290
"400",1296
"401",1297
"402",1298
"403",1308
"404",1317
"405",1323
"406",1324
"407",1325
"408",1328
"409",1331
"410",1334
"411",1336
"412",1338
"413",1341
"414",1344
"415",1353
"416",1358
"417",1362
"418",1364
"419",1367
"420",1369
"421",1373
"422",1383
"423",1388
"424",1390
"425",1392
"426",1393
"427",1394
"428",1395
"429",1396
"430",1397
"431",1399
"432",1401
"433",1405
"434",1408
"435",1411
"436",1412
"437",1415
"438",1417
"439",1418
"440",1421
"441",1423
"442",1428
"443",1433
"444",1435
"445",1439
"446",1441
"447",1442
"448",1443
"449",1445
"450",1447
"451",1456
"452",1460
"453",1465
"454",1470
"455",1471
"456",1472
"457",1474
"458",1475
"459",1476
"460",1478
"461",1479
"462",1480
"463",1483
"464",1485
"465",1488
"466",1496
"467",1503
"468",1515
"469",1520
"470",1521
"471",1523
"472",1524
"473",1525
"474",1527
"475",1528
"476",1529
"477",1531
"478",1532
"479",1533
"480",1534
"481",1538
"482",1541
"483",1542
"484",1543
"485",1544
"486",1546
"487",1549
"488",1550
"489",1556
"490",1566
"491",1573
"492",1579
"493",1581
"494",1584
"495",1585
"496",1589
"497",1592
"498",1594
"499",1601
"500",1608
"501",1616
"502",1619
"503",1624
"504",1625
"505",1626
"506",1634
"507",1636
"508",1638
"509",1640
"510",1642
"511",1645
"512",1649
"513",1652
"514",1653
"515",1656
"516",1672
"517",1675
"518",1687
"519",1688
"520",1690
"521",1695
"522",1703
"523",1704
"524",1714
"525",1718
"526",1719
"527",1721
"528",1750
"529",1751
"530",1753
"531",1767
"532",1770
"533",1772
"534",1773
"535",1778
"536",1779
"537",1780
"538",1782
"539",1790
"540",1791
"541",1792
"542",1793
"543",1794
"544",1795
"545",1799
"546",1810
"547",1811
"548",1830
"549",1835
"550",1836
"551",1837
"552",1839
"553",1841
"554",1847
"555",1857
"556",1858
"557",1872
"558",1873
"559",1876
"560",1882
"561",1884
"562",1885
"563",1886
"564",1905
"565",1921
"566",1927
"567",1955
"568",1959
"569",1960
"570",1961
"571",1969
"572",1970
"573",1975
"574",1978
"575",1979
"576",1983
"577",1987
"578",1993
"579",1994
"580",1996
"581",1997
"582",2001
"583",2003
"584",2004
"585",2005
"586",2006
"587",2007
"588",2008
"589",2009
"590",2017
"591",2024
"592",2032
"593",2034
"594",2041
"595",2042
"596",2043
"597",2044
"598",2045
"599",2046
"600",2048
"601",2052
"602",2053
"603",2055
"604",2061
"605",2072
"606",2073
"607",2074
"608",2075
"609",2076
"610",2077
"611",2078
"612",2082
"613",2085
"614",2093
"615",2118
"616",2130
"617",2132
"618",2138
"619",2139
"620",2140
"621",2142
"622",2143
"623",2144
"624",2146
"625",2149
"626",2150
"627",2152
"628",2154
"629",2157
"630",2159
"631",2161
"632",2162
"633",2176
"634",2178
"635",2181
"636",2183
"637",2184
"638",2185
"639",2189
"640",2190
"641",2196
"642",2198
"643",2199
"644",2201
"645",2202
"646",2203
"647",2206
"648",2207
"649",2208
"650",2211
"651",2212
"652",2214
"653",2216
"654",2238
"655",2247
"656",2255
"657",2256
"658",2257
"659",2261
"660",2267
"661",2270
"662",2271
"663",2274
"664",2279
"665",2280
"666",2285
"667",2286
"668",2287
"669",2288
"670",2289
"671",2290
"672",2293
"673",2294
"674",2297
"675",2305
"676",2309
"677",2318
"678",2324
"679",2326
"680",2335
"681",2336
"682",2337
"683",2338
"684",2339
"685",2347
"686",2349
"687",2354
"688",2371
"689",2373
"690",2374
"691",2381
"692",2383
"693",2385
"694",2391
"695",2396
"696",2397
"697",2398
"698",2401
"699",2402
"700",2403
"701",2404
"702",2406
"703",2408
"704",2409
"705",2411
"706",2413
"707",2414
"708",2416
"709",2417
"710",2418
"711",2419
"712",2420
"713",2421
"714",2425
"715",2427
"716",2428
"717",2429
"718",2430
"719",2431
"720",2445
"721",2446
"722",2448
"723",2450
"724",2451
"725",2454
"726",2455
"727",2458
"728",2459
"729",2460
"730",2463
"731",2465
"732",2469
"733",2470
"734",2471
"735",2479
"736",2480
"737",2484
"738",2485
"739",2491
