ID	t	A0	notFoundBySE
0	0.00000	0.315466	
0	1.00000	0.297924	
0	3.00000	0.251573	
0	5.00000	0.275739	
0	10.0000	0.246859	
0	14.0000	0.257879	
1	0.00000	0.318550	
1	1.00000	0.297924	
1	3.00000	0.267059	
1	5.00000	0.260106	
1	7.00000	0.277077	
1	14.0000	0.247963	
2	0.00000	0.404485	
2	1.00000	0.229087	
2	3.00000	0.154745	
2	5.00000	0.139389	
3	0.00000	0.543615	
3	1.00000	0.468446	
3	3.00000	0.344490	
3	5.00000	0.142618	
3	10.0000	0.232906	
4	0.00000	0.572086	
4	1.00000	0.547361	
4	3.00000	0.227179	
4	5.00000	0.481248	
4	7.00000	0.445970	
4	10.0000	0.252537	
4	14.0000	0.193581	
5	0.00000	0.505881	
5	1.00000	0.508923	
5	3.00000	0.393498	
5	5.00000	0.378993	
5	7.00000	0.326927	
5	10.0000	0.230950	
6	0.00000	0.499930	
6	1.00000	0.571815	
6	3.00000	0.190678	
6	10.0000	0.337525	
7	1.00000	0.484927	
7	3.00000	0.299646	
7	5.00000	0.430670	
7	10.0000	0.234757	
7	14.0000	0.196332	
8	1.00000	0.386982	
8	3.00000	0.341893	
8	7.00000	0.0968792	
8	10.0000	0.0437587	
8	14.0000	0.278332	
9	0.00000	0.325723	
9	1.00000	0.252064	
9	3.00000	0.189949	
9	5.00000	0.192178	
9	14.0000	0.247840	
10	0.00000	0.420469	
10	1.00000	0.336601	
10	5.00000	0.241794	
10	7.00000	0.219588	
10	10.0000	0.185869	
10	14.0000	0.208653	
11	0.00000	0.421332	
11	1.00000	0.414013	
11	3.00000	0.334103	
11	5.00000	0.299975	
11	10.0000	0.190941	
11	14.0000	0.219984	
12	5.00000	0.134610	
12	7.00000	0.195136	
12	10.0000	0.383579	
12	14.0000	0.273802	
13	0.00000	0.527910	
13	3.00000	0.289745	
13	5.00000	0.524607	
13	10.0000	0.101489	
13	14.0000	0.212198	
14	0.00000	0.449111	
14	1.00000	0.367822	
14	3.00000	0.299424	
14	14.0000	0.334755	
15	1.00000	0.414030	
15	3.00000	0.282233	
15	10.0000	0.291978	
15	14.0000	0.126380	
16	0.00000	0.391766	
16	1.00000	0.324916	
16	3.00000	0.239573	
16	5.00000	0.218400	
16	7.00000	0.192421	
16	10.0000	0.158046	
16	14.0000	0.155375	
17	0.00000	0.396316	
17	1.00000	0.293779	
17	3.00000	0.196734	
17	5.00000	0.170047	
17	7.00000	0.150727	
17	10.0000	0.307062	
17	14.0000	0.146620	
18	0.00000	0.610211	
18	1.00000	0.483287	
18	5.00000	0.358187	
18	7.00000	0.785900	
18	10.0000	0.312596	
18	14.0000	0.308778	
19	0.00000	0.393903	
19	1.00000	0.203024	
19	3.00000	0.195242	
19	5.00000	0.110677	
19	10.0000	0.487407	
20	0.00000	0.537967	
20	1.00000	0.414216	
20	5.00000	0.301289	
20	7.00000	0.255507	
20	10.0000	0.206840	
20	14.0000	0.207357	
21	0.00000	0.430768	
21	1.00000	0.270216	
21	3.00000	0.469691	
21	5.00000	0.165407	
21	10.0000	0.386634	
21	14.0000	0.156137	
22	0.00000	0.418990	
22	3.00000	0.332722	
22	5.00000	0.355957	
22	10.0000	0.666718	
22	14.0000	0.332266	
23	0.00000	0.332099	
23	1.00000	0.411637	
23	3.00000	0.176245	
23	5.00000	0.225633	
23	10.0000	0.243531	
24	0.00000	1.00000	
24	1.00000	0.185680	
24	7.00000	0.389427	
24	10.0000	0.221698	
24	14.0000	0.0871812	
25	1.00000	0.573160	
25	3.00000	0.674807	
25	5.00000	0.439871	
25	10.0000	0.227275	
25	14.0000	0.498477	
26	0.00000	0.551206	
26	1.00000	0.172747	
26	10.0000	0.614254	
26	14.0000	0.391689	
27	0.00000	0.404035	
27	1.00000	0.0920371	
27	3.00000	0.0594925	
27	5.00000	0.0872830	
27	10.0000	0.100374	
27	14.0000	0.0546139	
28	0.00000	0.353261	
28	3.00000	0.0222209	
28	7.00000	0.314347	
28	10.0000	0.140476	
29	1.00000	0.543833	
29	3.00000	0.546005	
29	5.00000	0.511128	
29	7.00000	0.197237	
30	1.00000	0.211611	
30	5.00000	0.0910374	
30	10.0000	0.172473	
30	14.0000	0.0999646	
31	1.00000	0.198225	
31	3.00000	0.117452	
31	5.00000	0.161380	
31	7.00000	0.174777	
31	14.0000	0.132827	
32	0.00000	0.444437	
32	3.00000	0.377856	
32	5.00000	0.373634	
32	10.0000	0.394121	
32	14.0000	0.286748	
33	0.00000	0.387327	
33	1.00000	0.348664	
33	3.00000	0.224717	
33	5.00000	0.272684	
33	7.00000	0.223486	
33	10.0000	0.480462	
33	14.0000	0.204327	
34	0.00000	0.419760	
34	3.00000	0.337673	
