ID,t,A0,notFoundBySE
4,0.0,,
4,1.0,0.547361,
4,3.0,0.227179,
4,5.0,0.481248,
4,7.0,0.44597,
4,10.0,,
4,14.0,,
16,0.0,0.391766,
16,1.0,,
16,3.0,0.239573,
16,5.0,,
16,7.0,0.192421,
16,10.0,,
16,14.0,0.155375,
17,0.0,0.396316,
17,1.0,0.293779,
17,3.0,,
17,5.0,,
17,7.0,0.150727,
17,10.0,0.307062,
17,14.0,,
33,0.0,0.387327,
33,1.0,0.348664,
33,3.0,,
33,5.0,,
33,7.0,0.223486,
33,10.0,0.480462,
33,14.0,,
35,0.0,,
35,1.0,0.4118,
35,3.0,0.391092,
35,5.0,,
35,7.0,,
35,10.0,0.383054,
35,14.0,0.293275,
43,0.0,0.417457,
43,1.0,,
43,3.0,0.318528,
43,5.0,,
43,7.0,0.453624,
43,10.0,,
43,14.0,0.264021,
45,0.0,,
45,1.0,0.548877,
45,3.0,0.528383,
45,5.0,0.492734,
45,7.0,,
45,10.0,,
45,14.0,0.482548,
47,0.0,0.46801,
47,1.0,,
47,3.0,0.44762,
47,5.0,0.39269,
47,7.0,,
47,10.0,0.360004,
47,14.0,,
50,0.0,0.489186,
50,1.0,,
50,3.0,0.381286,
50,5.0,,
50,7.0,0.381869,
50,10.0,0.305488,
50,14.0,,
58,0.0,,
58,1.0,0.329154,
58,3.0,0.359796,
58,5.0,,
58,7.0,0.224766,
58,10.0,0.183636,
58,14.0,,
64,0.0,0.572429,
64,1.0,0.60217,
64,3.0,,
64,5.0,,
64,7.0,,
64,10.0,0.390702,
64,14.0,0.377549,
69,0.0,0.415681,
69,1.0,0.377606,
69,3.0,,
69,5.0,,
69,7.0,0.211053,
69,10.0,0.997243,
69,14.0,,
71,0.0,,
71,1.0,0.28934,
71,3.0,0.503736,
71,5.0,0.411506,
71,7.0,0.371349,
71,10.0,,
71,14.0,,
75,0.0,0.274634,
75,1.0,0.240669,
75,3.0,0.186109,
75,5.0,,
75,7.0,,
