ID,t,A0,notFoundBySE
4,0.0,,
4,1.0,,
4,3.0,,
4,5.0,,
4,7.0,,
4,10.0,,
4,14.0,0.193581,
16,0.0,0.391766,
16,1.0,,
16,3.0,,
16,5.0,,
16,7.0,,
16,10.0,,
16,14.0,,
17,0.0,,
17,1.0,,
17,3.0,0.196734,
17,5.0,,
17,7.0,,
17,10.0,,
17,14.0,,
33,0.0,0.387327,
33,1.0,,
33,3.0,,
33,5.0,,
33,7.0,,
33,10.0,,
33,14.0,,
35,0.0,,
35,1.0,,
35,3.0,,
35,5.0,,
35,7.0,0.331682,
35,10.0,,
35,14.0,,
43,0.0,,
43,1.0,0.543572,
43,3.0,,
43,5.0,,
43,7.0,,
43,10.0,,
43,14.0,,
45,0.0,,
45,1.0,,
45,3.0,,
45,5.0,,
45,7.0,0.517621,
45,10.0,,
45,14.0,,
47,0.0,,
47,1.0,,
47,3.0,,
47,5.0,,
47,7.0,,
47,10.0,,
47,14.0,0.311324,
50,0.0,,
50,1.0,,
50,3.0,,
50,5.0,0.355133,
50,7.0,,
50,10.0,,
50,14.0,,
58,0.0,,
58,1.0,,
58,3.0,,
58,5.0,0.245844,
58,7.0,,
58,10.0,,
58,14.0,,
64,0.0,0.572429,
64,1.0,,
64,3.0,,
64,5.0,,
64,7.0,,
64,10.0,,
64,14.0,,
69,0.0,,
69,1.0,,
69,3.0,,
69,5.0,0.222769,
69,7.0,,
69,10.0,,
69,14.0,,
71,0.0,,
71,1.0,,
71,3.0,,
71,5.0,,
71,7.0,,
71,10.0,0.0506736,
71,14.0,,
75,0.0,,
75,1.0,,
75,3.0,,
75,5.0,,
75,7.0,,
75,10.0,0.155205,
75,14.0,,
81,0.0,,
81,1.0,,
81,3.0,0.244796,
81,5.0,,
81,7.0,,
81,10.0,,
81,14.0,,
90,0.0,,
90,1.0,,
90,3.0,,
90,5.0,,
90,7.0,0.176555,
90,10.0,,
90,14.0,,
94,0.0,,
94,1.0,,
94,3.0,,
94,5.0,,
94,7.0,,
94,10.0,0.13892,
94,14.0,,
95,0.0,,
95,1.0,,
95,3.0,0.328143,
95,5.0,,
95,7.0,,
95,10.0,,
95,14.0,,
98,0.0,,
98,1.0,0.277525,
98,3.0,,
98,5.0,,
98,7.0,,
98,10.0,,
98,14.0,,
106,0.0,,
106,1.0,,
106,3.0,0.177158,
106,5.0,,
106,7.0,,
106,10.0,,
106,14.0,,
107,0.0,,
107,1.0,,
107,3.0,,
107,5.0,,
107,7.0,,
107,10.0,,
107,14.0,0.21007,
108,0.0,0.62462,
108,1.0,,
108,3.0,,
108,5.0,,
108,7.0,,
108,10.0,,
108,14.0,,
110,0.0,,
110,1.0,,
110,3.0,,
110,5.0,,
110,7.0,,
110,10.0,,
110,14.0,0.0618785,
112,0.0,,
112,1.0,,
112,3.0,,
112,5.0,,
112,7.0,,
112,10.0,,
112,14.0,0.221806,
123,0.0,,
123,1.0,,
123,3.0,,
123,5.0,,
123,7.0,0.107744,
123,10.0,,
123,14.0,,
124,0.0,,
124,1.0,,
124,3.0,,
124,5.0,,
124,7.0,0.357369,
124,10.0,,
124,14.0,,
125,0.0,,
125,1.0,,
125,3.0,0.37486,
125,5.0,,
125,7.0,,
125,10.0,,
125,14.0,,
126,0.0,,
126,1.0,,
126,3.0,,
126,5.0,,
126,7.0,,
126,10.0,,
126,14.0,0.2492,
127,0.0,,
127,1.0,,
127,3.0,,
127,5.0,,
127,7.0,,
127,10.0,0.282943,
127,14.0,,
128,0.0,,
128,1.0,,
128,3.0,0.511493,
128,5.0,,
128,7.0,,
128,10.0,,
128,14.0,,
131,0.0,,
131,1.0,0.313507,
131,3.0,,
131,5.0,,
131,7.0,,
131,10.0,,
131,14.0,,
134,0.0,,
134,1.0,,
134,3.0,,
134,5.0,0.364643,
134,7.0,,
134,10.0,,
134,14.0,,
135,0.0,,
135,1.0,,
135,3.0,,
135,5.0,,
135,7.0,0.257599,
135,10.0,,
135,14.0,,
136,0.0,,
136,1.0,,
