"","d0","d1","d3","d5","d7","d10","d14"
"1",0.572086,0.547361,0.227179,0.481248,0.44597,0.158046,0.193581
"2",0.391766,0.324916,0.239573,0.2184,0.192421,0.158046,0.193581
"3",0.396316,0.293779,0.196734,0.170047,0.150727,0.307062,0.193581
"4",0.387327,0.348664,0.224717,0.272684,0.44597,0.480462,0.204327
"5",0.400333,0.4118,0.391092,0.352484,0.331682,0.158046,0.293275
"6",0.417457,0.543572,0.318528,0.350825,0.44597,0.27578,0.264021
"7",0.407476,0.547361,0.528383,0.492734,0.517621,0.317154,0.482548
"8",0.46801,0.444273,0.227179,0.39269,0.469489,0.360004,0.311324
"9",0.489186,0.483155,0.227179,0.355133,0.381869,0.305488,0.29782
"10",0.403642,0.329154,0.359796,0.245844,0.224766,0.183636,0.193581
"11",0.572429,0.60217,0.47177,0.481248,0.238057,0.390702,0.377549
"12",0.415681,0.547361,0.241557,0.222769,0.211053,0.997243,0.147101
"13",0.572086,0.28934,0.503736,0.411506,0.371349,0.0506736,0.34952
"14",0.274634,0.240669,0.186109,0.210856,0.207142,0.155205,0.143597
"15",0.348085,0.385731,0.244796,0.215939,0.19308,0.355108,0.193581
"16",0.343829,0.320145,0.227179,0.207819,0.176555,0.43815,0.119874
"17",0.471444,0.328807,0.245397,0.222574,0.170072,0.158046,0.123598
"18",0.50532,0.497457,0.328143,0.481248,0.282281,0.234605,0.192141
"19",0.572086,0.277525,0.169009,0.183763,0.120434,0.644925,0.0832687
"20",0.314547,0.260315,0.177158,0.481248,0.127732,0.111339,0.0861685
"21",0.252924,0.526044,0.636344,0.518139,0.44597,0.57872,0.21007
"22",0.62462,0.592751,0.523389,0.481248,0.482362,0.455355,0.44684
"23",0.420047,0.368914,0.284404,0.188858,0.194766,0.158046,0.0618785
"24",0.97574,0.547361,0.994936,0.317386,0.223745,0.264001,0.221806
"25",0.410313,0.333752,0.0682031,0.0933011,0.44597,0.237304,0.227571
"26",0.394374,0.245835,0.380771,0.346881,0.357369,0.288554,0.193581
"27",0.460362,0.477196,0.37486,0.375854,0.372789,0.397838,0.193581
"28",0.572086,0.405327,0.329744,0.29491,0.3059,0.279114,0.2492
"29",0.425172,0.392195,0.270384,0.481248,0.321351,0.282943,0.259868
"30",0.423454,0.547361,0.511493,0.518185,0.499546,0.474056,0.454829
"31",0.318687,0.313507,0.27208,0.481248,0.259781,0.238383,0.18208
"32",0.553366,0.547361,0.481504,0.364643,0.34274,0.559949,0.277868
"33",0.269208,0.311076,0.29532,0.312031,0.44597,0.25221,0.237134
"34",0.331189,0.326214,0.227179,0.320091,0.304864,0.297852,0.304107
"35",0.572086,0.494753,0.49414,0.429067,0.477834,0.460355,0.446947
"36",0.457607,0.408958,0.28134,0.385835,0.322675,0.158046,0.323228
"37",0.273474,0.271222,0.285187,0.30941,0.220217,0.227428,0.193581
"38",0.565396,0.569702,0.517373,0.481248,0.33415,0.489217,0.476502
"39",0.292469,0.292606,0.227179,0.256677,0.257533,0.235232,0.221821
"40",0.366474,0.326738,0.287278,0.285959,0.160883,0.24661,0.313011
"41",0.145801,0.337051,0.0648303,0.056799,0.153444,1,0.207688
"42",0.378511,0.298641,0.287443,0.214864,0.44597,0.162068,0.106146
"43",0.418078,0.547361,0.24069,0.218216,0.241099,0.149444,0.141742
"44",0.572086,0.333356,0.249187,0.225698,0.19791,0.239391,0.141059
"45",0.434804,0.419304,0.45631,0.304897,0.44597,0.694067,0.169232
"46",0.359405,0.308238,0.227179,0.183936,0.167291,0.106896,0.106773
"47",0.497103,0.478174,0.227179,0.389874,0.373235,0.323851,0.315147
"48",0.321846,0.353862,0.222347,0.191598,0.44597,0.0559299,0.191102
"49",0.26862,0.479459,0.394445,0.320281,0.298809,0.238608,0.22509
"50",0.446308,0.373433,0.277331,0.132461,0.452253,0.158046,0.168065
"51",0.511187,0.547361,0.481906,0.372014,0.448508,0.420561,0.308493
"52",0.443674,0.547361,0.333471,0.276087,0.280497,0.546141,0.204131
"53",0.28988,0.227548,0.176378,0.148857,0.126984,0.0960999,0.193581
"54",0.121739,0.547361,0.225548,0.343826,0.345551,0.115582,0.253111
"55",0.572086,0.249686,0.127351,0.228906,0.203533,0.0584597,0.596852
"56",0.519294,0.49975,0.227179,0.41714,0.390807,0.342652,0.290742
"57",0.629457,0.983604,0.227179,0.528097,0.508233,0.450521,0.420027
"58",0.445236,0.444559,0.227179,0.35793,0.283207,0.504594,0.218503
"59",0.572086,0.346665,0.316183,0.275342,0.26106,0.235291,0.208557
"60",0.406852,0.448954,0.31334,0.295322,0.269468,0.125493,0.193581
"61",0.382318,0.351806,0.318375,0.294962,0.44597,0.243339,0.219072
"62",0.472324,0.258047,0.225031,0.481248,0.348489,0.161881,0.185324
"63",0.530426,0.488987,0.430701,0.402473,0.358711,0.326932,0.193581
"64",0.45495,0.432649,0.386572,0.537042,0.341673,0.158046,0.271003
"65",0.446357,0.424025,0.383432,0.481248,0.335345,0.299319,0.278204
"66",0.574931,0.548205,0.227179,0.46976,0.446648,0.39046,0.371787
"67",0.499858,0.494202,0.489665,0.417105,0.3961,0.158046,0.338804
"68",0.611903,0.460533,0.521219,0.527732,0.425084,0.460443,0.443421
"69",0.496387,0.453082,0.490713,0.439425,0.44552,0.158046,0.293743
"70",0.498169,0.467574,0.416988,0.397003,0.202696,0.158046,0.304914
"71",0.456554,0.401816,0.382297,0.481248,0.33703,0.406104,0.266249
"72",0.367676,0.344542,0.29923,0.400961,0.256652,0.215015,0.204174
"73",0.430289,0.433057,0.3781,0.481248,0.325806,0.269306,0.313796
"74",0.549575,0.515355,0.453512,0.427903,0.40129,0.158046,0.308243
"75",0.37081,0.479591,0.47792,0.481248,0.296162,0.313957,0.228508
"76",0.524449,0.528973,0.469162,0.481248,0.48357,0.420705,0.365751
"77",0.386127,0.372291,0.325812,0.398114,0.272446,0.22342,0.193581
"78",0.645985,0.310743,0.227179,0.409144,0.381762,0.329083,0.310991
"79",0.577466,0.547361,0.482707,0.434693,0.468116,0.342504,0.277646
"80",0.532062,0.502593,0.451514,0.412496,0.398037,0.336172,0.37205
"81",0.471852,0.547361,0.406035,0.390691,0.386163,0.354161,0.307583
"82",0.572086,0.434079,0.349989,0.315472,0.286594,0.21733,0.197218
"83",0.587868,0.547361,0.569454,0.553981,0.550291,0.491044,0.48599
"84",0.358658,0.999513,0.253552,0.243513,0.232365,0.438297,0.193581
"85",0.572086,0.413765,0.332337,0.299413,0.271706,0.0116715,0.26819
"86",0.485843,0.547361,0.34593,0.329995,0.303174,0.255096,0.250464
"87",0.325913,0.415879,0.333159,0.332698,0.305886,0.27582,0.234483
"88",0.572086,0.350938,0.344011,0.264615,0.248832,0.178543,0.162065
"89",0.585282,0.547377,0.227179,0.451319,0.454651,0.222395,0.362994
"90",0.571952,0.635291,0.227179,0.498666,0.238346,0.462905,0.63996
"91",0.31459,0.313279,0.691102,0.134471,0.243506,0.14868,0.193581
"92",0.601542,0.461428,0.52117,0.498156,0.44597,0.257328,0.230239
"93",0.526639,0.374435,0.305275,0.056799,0.213295,1,0.207688
"94",0.443872,0.344497,0.227179,0.40651,0.179235,0.184551,0.167765
"95",0.577335,0.558486,0.497452,0.486972,0.44597,0.442425,0.452992
"96",0.456309,0.398806,0.38289,0.383846,0.349727,0.446625,0.193581
"97",0.47831,0.547361,0.435193,0.348626,0.208289,0.326136,0.335877
"98",0.383717,0.55165,0.159407,0.278831,1,0.212089,0.191625
"99",0.386801,0.367613,0.322645,0.481248,0.29779,0.273691,0.254116
"100",0.383392,0.367241,0.470844,0.257639,0.692459,0.286578,0.193581
"101",0.381843,0.560065,0.496277,0.467241,0.44597,0.394043,0.378295
"102",0.547262,0.509548,0.455421,0.422812,0.405188,0.367243,0.193581
"103",0.51197,0.448093,0.227179,0.291298,0.264225,0.969653,0.222563
"104",0.572086,0.623163,0.674977,0.670128,0.553254,0.466205,0.405715
"105",0.572086,0.432268,0.568264,0.372448,0.34027,0.104281,0.295248
"106",0.594933,0.573172,0.524781,0.482172,0.432608,0.300835,0.193581
"107",0.54869,0.394906,0.444906,0.325051,0.260059,0.508353,0.481797
"108",0.541342,0.472814,0.426664,0.343027,0.380154,0.158046,0.339378
"109",0.572086,0.427457,0.396918,0.356604,0.364052,0.28193,0.40746
