"","x"
"1",0
"2",2
"3",3
"4",14
"5",15
"6",32
"7",33
"8",39
"9",43
"10",45
"11",48
"12",66
"13",68
"14",72
"15",74
"16",78
"17",85
"18",86
"19",94
"20",97
"21",99
"22",102
"23",103
"24",105
"25",110
"26",112
"27",115
"28",119
"29",129
"30",132
"31",133
"32",135
"33",136
"34",137
"35",138
"36",139
"37",140
"38",144
"39",145
"40",146
"41",148
"42",152
"43",153
"44",154
"45",155
"46",156
"47",159
"48",161
"49",172
"50",174
"51",175
"52",177
"53",178
"54",181
"55",184
"56",187
"57",192
"58",195
"59",199
"60",200
"61",201
"62",207
"63",208
"64",210
"65",213
"66",214
"67",215
"68",216
"69",221
"70",222
"71",223
"72",226
"73",228
"74",229
"75",230
"76",231
"77",234
"78",235
"79",239
"80",240
"81",242
"82",243
"83",249
"84",251
"85",253
"86",254
"87",255
"88",259
"89",262
"90",264
"91",267
"92",268
"93",269
"94",271
"95",274
"96",278
"97",281
"98",283
"99",286
"100",287
"101",294
"102",296
"103",297
"104",305
"105",308
"106",312
"107",314
"108",318
"109",319
"110",326
"111",327
"112",330
"113",331
"114",334
"115",337
"116",340
"117",341
"118",347
"119",348
"120",350
"121",351
"122",353
"123",354
"124",363
"125",364
"126",367
"127",369
"128",371
"129",372
"130",373
"131",374
"132",383
"133",389
"134",392
"135",393
"136",396
"137",399
"138",400
"139",402
"140",405
"141",408
"142",409
"143",410
"144",416
"145",417
"146",418
"147",419
"148",422
"149",423
"150",424
"151",425
"152",426
"153",427
"154",428
"155",429
"156",430
"157",431
"158",433
"159",436
"160",438
"161",441
"162",443
"163",451
"164",452
"165",453
"166",458
"167",460
"168",461
"169",462
"170",463
"171",464
"172",469
"173",470
"174",471
"175",472
"176",475
"177",476
"178",478
"179",480
"180",482
"181",483
"182",485
"183",489
"184",491
"185",493
"186",494
"187",497
"188",498
"189",499
"190",500
"191",502
"192",504
"193",506
"194",508
"195",509
"196",510
"197",511
"198",512
"199",513
"200",515
"201",516
"202",517
"203",521
"204",522
"205",526
"206",527
"207",528
"208",530
"209",531
"210",536
"211",537
"212",539
"213",542
"214",546
"215",547
"216",548
"217",549
"218",550
"219",551
"220",554
"221",555
"222",556
"223",557
"224",558
"225",559
"226",561
"227",563
"228",564
"229",565
"230",568
"231",569
"232",575
"233",577
"234",578
"235",579
"236",581
"237",583
"238",585
"239",588
"240",589
"241",592
"242",593
"243",595
"244",596
"245",610
"246",611
"247",613
"248",622
"249",627
"250",628
"251",629
"252",630
"253",633
"254",645
"255",656
"256",661
"257",662
"258",663
"259",666
"260",670
"261",671
"262",672
"263",676
"264",678
"265",679
"266",680
"267",681
"268",686
"269",692
"270",693
"271",697
"272",705
"273",707
"274",709
"275",711
"276",717
"277",720
"278",724
"279",726
"280",727
"281",730
"282",735
"283",736
"284",738
"285",743
"286",744
"287",748
"288",754
"289",765
"290",781
"291",784
"292",786
"293",793
"294",794
"295",795
"296",801
"297",809
"298",814
"299",815
"300",818
"301",824
"302",828
"303",834
"304",835
"305",836
"306",844
"307",856
"308",872
"309",875
"310",876
"311",877
"312",886
"313",887
"314",889
"315",890
"316",894
"317",897
"318",901
"319",910
"320",918
"321",921
"322",926
"323",931
"324",936
"325",942
"326",943
"327",952
"328",953
"329",957
"330",959
"331",961
"332",965
"333",969
"334",971
"335",972
"336",981
"337",982
"338",983
"339",984
"340",986
"341",987
"342",988
"343",991
"344",996
"345",997
"346",998
"347",999
"348",1003
"349",1004
"350",1005
"351",1015
"352",1016
"353",1017
"354",1018
"355",1023
"356",1024
"357",1031
"358",1042
"359",1046
"360",1054
"361",1055
"362",1057
"363",1063
"364",1065
"365",1066
"366",1068
"367",1070
"368",1071
"369",1072
"370",1073
"371",1074
"372",1075
"373",1078
"374",1079
"375",1080
"376",1084
"377",1087
"378",1088
"379",1090
"380",1094
"381",1095
"382",1096
"383",1097
"384",1101
"385",1102
"386",1110
"387",1113
"388",1114
"389",1122
"390",1127
"391",1129
"392",1133
"393",1137
"394",1141
"395",1155
"396",1157
"397",1159
"398",1161
"399",1162
"400",1163
"401",1167
"402",1168
"403",1177
"404",1182
"405",1183
"406",1186
"407",1187
"408",1190
"409",1193
"410",1194
"411",1196
"412",1200
"413",1202
"414",1203
"415",1213
"416",1215
"417",1217
"418",1224
"419",1226
"420",1229
"421",1230
"422",1232
"423",1233
"424",1239
"425",1245
"426",1247
"427",1248
"428",1254
"429",1255
"430",1259
"431",1262
"432",1263
"433",1265
"434",1266
"435",1271
"436",1273
"437",1279
"438",1287
"439",1288
"440",1289
"441",1294
"442",1296
"443",1297
"444",1300
"445",1301
"446",1302
"447",1304
"448",1305
"449",1307
"450",1311
"451",1313
"452",1314
"453",1322
"454",1324
"455",1326
"456",1331
"457",1335
"458",1337
"459",1339
"460",1341
"461",1343
"462",1345
"463",1346
"464",1349
"465",1350
"466",1351
"467",1358
"468",1363
"469",1364
"470",1366
"471",1372
"472",1373
"473",1374
"474",1375
"475",1378
"476",1382
"477",1385
"478",1386
"479",1388
"480",1390
"481",1396
"482",1398
"483",1401
"484",1402
"485",1403
"486",1410
"487",1412
"488",1414
"489",1417
"490",1421
"491",1422
"492",1425
"493",1426
"494",1433
"495",1436
"496",1442
"497",1444
"498",1445
"499",1446
"500",1447
"501",1449
"502",1450
"503",1451
"504",1452
"505",1453
"506",1458
"507",1460
"508",1465
"509",1473
"510",1474
"511",1476
"512",1477
"513",1478
"514",1480
"515",1485
"516",1489
"517",1490
"518",1495
"519",1504
"520",1508
"521",1514
"522",1528
"523",1531
"524",1532
"525",1534
"526",1536
"527",1539
"528",1540
"529",1541
"530",1542
"531",1544
"532",1545
"533",1546
"534",1547
"535",1551
"536",1554
"537",1556
"538",1557
"539",1559
"540",1562
"541",1565
"542",1568
"543",1571
"544",1577
"545",1581
"546",1582
"547",1585
"548",1590
"549",1591
"550",1592
"551",1594
"552",1596
"553",1598
"554",1599
"555",1607
"556",1609
"557",1612
"558",1614
"559",1616
"560",1617
"561",1621
"562",1625
"563",1626
"564",1629
"565",1634
"566",1635
"567",1648
"568",1649
"569",1652
"570",1653
"571",1671
"572",1672
"573",1681
"574",1683
"575",1687
"576",1688
"577",1689
"578",1691
"579",1692
"580",1699
"581",1702
"582",1703
"583",1708
"584",1716
"585",1721
"586",1722
"587",1723
"588",1742
"589",1743
"590",1745
"591",1761
"592",1769
"593",1774
"594",1777
"595",1779
"596",1780
"597",1781
"598",1783
"599",1786
"600",1793
"601",1796
"602",1797
"603",1798
"604",1801
"605",1802
"606",1817
"607",1822
"608",1823
"609",1849
"610",1856
"611",1858
"612",1859
"613",1861
"614",1862
"615",1874
"616",1881
"617",1882
"618",1885
"619",1886
"620",1895
"621",1906
"622",1909
"623",1910
"624",1911
"625",1917
"626",1920
"627",1921
"628",1924
"629",1927
"630",1936
"631",1942
"632",1954
"633",1957
"634",1958
"635",1964
"636",1972
"637",1974
"638",1976
"639",1978
"640",1982
"641",1987
"642",1989
"643",1990
"644",1995
"645",1997
"646",1998
"647",2000
"648",2004
"649",2011
"650",2013
"651",2015
"652",2017
"653",2019
"654",2022
"655",2023
"656",2025
"657",2026
"658",2027
"659",2028
"660",2032
"661",2036
"662",2039
"663",2040
"664",2043
"665",2045
"666",2047
"667",2048
"668",2049
"669",2050
"670",2055
"671",2057
"672",2058
"673",2059
"674",2063
"675",2067
"676",2069
"677",2084
"678",2085
"679",2088
"680",2089
"681",2090
"682",2092
"683",2096
"684",2097
"685",2099
"686",2101
"687",2106
"688",2108
"689",2110
"690",2113
"691",2119
"692",2121
"693",2123
"694",2125
"695",2127
"696",2131
"697",2133
"698",2144
"699",2149
"700",2153
"701",2154
"702",2156
"703",2157
"704",2159
"705",2162
"706",2164
"707",2165
"708",2168
"709",2169
"710",2170
"711",2172
"712",2173
"713",2175
"714",2177
"715",2179
"716",2189
"717",2190
"718",2193
"719",2194
"720",2196
"721",2201
"722",2202
"723",2205
"724",2207
"725",2209
"726",2211
"727",2212
"728",2213
"729",2214
"730",2216
"731",2217
"732",2218
"733",2220
"734",2221
"735",2222
"736",2226
"737",2228
"738",2230
"739",2231
"740",2232
"741",2235
"742",2236
"743",2241
"744",2256
"745",2266
"746",2270
"747",2272
"748",2273
"749",2274
"750",2276
"751",2281
"752",2283
"753",2284
"754",2288
"755",2289
"756",2290
"757",2291
"758",2292
"759",2293
"760",2294
"761",2295
"762",2297
"763",2298
"764",2301
"765",2305
"766",2312
"767",2318
"768",2336
"769",2340
"770",2341
"771",2350
"772",2351
"773",2357
"774",2360
"775",2361
"776",2366
"777",2367
"778",2373
"779",2378
"780",2379
"781",2380
"782",2384
"783",2388
"784",2393
"785",2396
"786",2400
"787",2409
"788",2410
"789",2411
"790",2412
"791",2413
"792",2414
"793",2415
"794",2419
"795",2421
"796",2422
"797",2423
"798",2425
"799",2426
"800",2432
"801",2433
"802",2434
"803",2435
"804",2439
"805",2441
"806",2444
"807",2446
"808",2451
"809",2453
"810",2454
"811",2455
"812",2456
"813",2457
"814",2458
"815",2460
"816",2462
"817",2464
"818",2465
"819",2467
"820",2468
"821",2473
"822",2477
"823",2479
"824",2491
"825",2495
"826",2499
"827",2505
"828",2507
"829",2512
"830",2516
"831",2531
"832",2532
"833",2538
"834",2543
"835",2544
"836",2549
"837",2551
"838",2552
"839",2556
"840",2558
"841",2561
"842",2567
"843",2568
"844",2570
"845",2573
"846",2576
"847",2577
"848",2580
"849",2589
"850",2591
"851",2594
"852",2597
"853",2602
"854",2606
"855",2607
"856",2610
"857",2611
"858",2612
"859",2621
"860",2623
"861",2642
"862",2643
"863",2655
"864",2656
"865",2659
"866",2660
"867",2664
"868",2669
"869",2671
"870",2672
"871",2673
"872",2674
"873",2678
"874",2684
"875",2685
"876",2688
"877",2690
"878",2691
"879",2693
"880",2696
"881",2697
"882",2700
"883",2703
"884",2706
"885",2707
"886",2709
"887",2711
"888",2712
"889",2713
"890",2714
"891",2717
"892",2718
"893",2721
"894",2723
"895",2724
"896",2726
"897",2728
"898",2729
"899",2733
"900",2765
"901",2769
"902",2770
"903",2772
"904",2774
"905",2775
"906",2776
"907",2778
"908",2779
"909",2786
"910",2788
"911",2792
"912",2793
"913",2796
"914",2801
"915",2802
"916",2820
"917",2821
"918",2825
"919",2827
"920",2828
"921",2831
"922",2840
"923",2842
"924",2845
"925",2846
"926",2852
"927",2853
"928",2854
"929",2856
"930",2857
"931",2858
"932",2861
"933",2862
"934",2864
"935",2865
"936",2866
"937",2869
"938",2873
"939",2878
"940",2883
"941",2896
"942",2901
"943",2903
"944",2910
"945",2911
"946",2912
"947",2913
"948",2914
"949",2915
"950",2916
"951",2918
"952",2919
"953",2920
"954",2921
"955",2933
"956",2937
"957",2943
"958",2953
"959",2954
"960",2960
"961",2962
"962",2965
"963",2967
"964",2968
"965",2969
"966",2974
"967",2981
"968",2983
"969",2986
"970",2993
"971",3000
"972",3001
"973",3002
"974",3005
"975",3006
"976",3008
"977",3010
"978",3014
"979",3016
"980",3020
"981",3021
"982",3024
"983",3025
"984",3026
"985",3027
"986",3029
"987",3030
"988",3032
"989",3035
"990",3037
"991",3041
"992",3042
"993",3044
"994",3045
"995",3051
"996",3052
"997",3053
"998",3056
"999",3059
"1000",3065
"1001",3069
"1002",3070
"1003",3071
"1004",3072
"1005",3075
"1006",3077
"1007",3079
"1008",3081
"1009",3083
"1010",3088
"1011",3096
"1012",3113
"1013",3115
"1014",3117
"1015",3118
"1016",3119
"1017",3121
"1018",3122
"1019",3123
"1020",3124
"1021",3128
"1022",3135
"1023",3136
"1024",3138
"1025",3140
"1026",3142
"1027",3143
"1028",3145
"1029",3146
"1030",3147
"1031",3149
"1032",3168
"1033",3171
"1034",3172
"1035",3177
"1036",3188
"1037",3189
"1038",3190
"1039",3212
"1040",3215
"1041",3226
"1042",3229
"1043",3233
"1044",3235
"1045",3240
"1046",3244
"1047",3246
"1048",3250
"1049",3265
"1050",3276
"1051",3277
"1052",3286
"1053",3287
"1054",3290
"1055",3299
"1056",3300
"1057",3301
"1058",3306
"1059",3309
"1060",3311
"1061",3318
"1062",3329
"1063",3330
"1064",3337
"1065",3341
"1066",3346
"1067",3349
"1068",3355
"1069",3361
"1070",3364
"1071",3366
"1072",3373
"1073",3375
"1074",3382
"1075",3388
"1076",3397
"1077",3403
"1078",3404
"1079",3410
"1080",3420
"1081",3424
"1082",3427
"1083",3428
"1084",3432
"1085",3435
"1086",3443
"1087",3451
"1088",3453
"1089",3455
"1090",3461
"1091",3465
"1092",3469
"1093",3470
"1094",3479
"1095",3480
"1096",3487
"1097",3488
"1098",3490
"1099",3493
"1100",3494
"1101",3500
"1102",3503
"1103",3504
"1104",3505
"1105",3509
"1106",3522
"1107",3525
"1108",3527
"1109",3529
"1110",3530
"1111",3531
"1112",3532
"1113",3533
"1114",3534
"1115",3535
"1116",3537
"1117",3538
"1118",3540
"1119",3541
"1120",3542
"1121",3543
"1122",3544
"1123",3547
"1124",3552
"1125",3555
"1126",3556
"1127",3558
"1128",3565
"1129",3567
"1130",3568
"1131",3569
"1132",3571
"1133",3572
"1134",3575
"1135",3590
"1136",3594
"1137",3597
"1138",3599
"1139",3600
"1140",3602
"1141",3603
"1142",3604
"1143",3607
"1144",3610
"1145",3612
"1146",3615
"1147",3619
"1148",3621
"1149",3622
"1150",3623
"1151",3624
"1152",3626
"1153",3632
"1154",3635
"1155",3639
"1156",3641
"1157",3670
"1158",3671
"1159",3674
"1160",3675
"1161",3676
"1162",3677
"1163",3683
"1164",3696
"1165",3699
"1166",3700
"1167",3701
"1168",3702
"1169",3705
"1170",3707
"1171",3708
"1172",3709
"1173",3711
"1174",3714
"1175",3715
"1176",3716
"1177",3717
"1178",3718
"1179",3719
"1180",3720
"1181",3723
"1182",3725
"1183",3726
"1184",3728
"1185",3729
"1186",3736
"1187",3737
"1188",3740
"1189",3741
"1190",3742
"1191",3743
"1192",3747
"1193",3748
"1194",3753
"1195",3754
"1196",3755
"1197",3757
"1198",3758
"1199",3760
"1200",3764
"1201",3765
"1202",3766
"1203",3778
"1204",3782
"1205",3788
"1206",3791
"1207",3795
"1208",3803
"1209",3804
"1210",3809
"1211",3810
"1212",3813
"1213",3817
"1214",3822
"1215",3830
"1216",3831
"1217",3832
"1218",3837
"1219",3838
"1220",3840
"1221",3841
"1222",3842
"1223",3844
"1224",3848
"1225",3851
"1226",3852
"1227",3853
"1228",3856
"1229",3859
"1230",3861
"1231",3862
"1232",3865
"1233",3866
"1234",3867
"1235",3868
"1236",3869
"1237",3870
"1238",3871
"1239",3874
"1240",3875
"1241",3876
"1242",3877
"1243",3878
"1244",3880
"1245",3882
"1246",3884
"1247",3886
"1248",3888
"1249",3889
"1250",3892
"1251",3894
"1252",3897
"1253",3898
"1254",3901
"1255",3906
"1256",3909
"1257",3913
"1258",3917
"1259",3918
"1260",3920
"1261",3927
"1262",3928
"1263",3935
"1264",3944
"1265",3951
"1266",3969
"1267",3971
"1268",3972
"1269",3976
"1270",3977
"1271",3985
"1272",3991
"1273",3995
"1274",4001
"1275",4002
"1276",4003
"1277",4010
"1278",4017
"1279",4022
"1280",4024
"1281",4026
"1282",4027
"1283",4033
"1284",4035
"1285",4039
"1286",4040
"1287",4042
